date,open,high,low,close,volume
2012-06-04,1.75,1.75,1.75,1.75,5000
2012-06-05,1.75,1.98,1.75,1.9,8000
2012-06-07,1.96,1.96,1.8,1.8,8000
2012-06-11,1.9,1.98,1.9,1.98,50000
2012-06-13,1.99,1.99,1.9,1.9,19000
2012-06-15,1.8,1.8,1.8,1.8,12000
2012-06-19,1.8,1.8,1.8,1.8,4000
2012-06-21,1.78,1.78,1.78,1.78,1000
2012-06-25,1.78,1.78,1.76,1.76,2000
2012-06-26,1.76,1.76,1.76,1.76,4000
2012-06-27,1.76,1.76,1.76,1.76,45000
2012-06-28,1.76,1.76,1.76,1.76,4000
2012-06-29,1.94,1.94,1.94,1.94,2000
2012-07-02,1.94,1.94,1.88,1.88,34000
2012-07-03,1.89,1.89,1.89,1.89,2000
2012-07-05,1.93,1.93,1.89,1.89,8000
2012-07-06,1.9,1.9,1.9,1.9,10000
2012-07-18,1.9,1.9,1.9,1.9,1000
2012-07-20,1.9,1.9,1.9,1.9,9000
2012-07-31,1.8,1.8,1.8,1.8,3000
2012-08-03,1.7,1.7,1.7,1.7,3000
2012-08-06,1.7,1.7,1.7,1.7,2000
2012-08-13,1.69,1.69,1.69,1.69,33000
2012-08-15,1.7,1.7,1.7,1.7,2000
2012-08-16,1.72,1.72,1.7,1.7,28000
2012-08-17,1.71,1.71,1.71,1.71,2000
2012-08-28,1.7,1.7,1.7,1.7,1000
2012-08-30,1.7,1.7,1.7,1.7,8000
2012-08-31,1.96,1.96,1.96,1.96,1000
2012-09-03,1.96,1.96,1.96,1.96,1000
2012-09-07,1.7,1.76,1.7,1.76,6000
2012-09-10,1.76,1.76,1.76,1.76,17000
2012-09-13,1.7,1.7,1.7,1.7,1000
2012-09-20,1.7,1.75,1.7,1.75,5000
2012-09-21,1.7,1.7,1.7,1.7,20000
2012-09-24,1.7,1.7,1.7,1.7,12000
2012-09-25,1.7,1.7,1.7,1.7,1000
2012-09-26,1.71,1.71,1.63,1.7,23000
2012-09-27,1.7,1.7,1.7,1.7,13000
2012-10-02,1.75,1.75,1.75,1.75,8000
2012-10-03,1.7,1.71,1.7,1.7,74000
2012-10-23,1.7,1.7,1.7,1.7,14000
2012-10-25,1.84,2.34,1.84,2.15,542000
2012-10-29,2.2,2.7,1.67,1.9,805000
2012-10-30,1.91,2.2,1.9,2.1,70000
2012-10-31,2.19,3.15,2.19,2.85,1969000
2012-11-05,2.81,2.81,2.5,2.52,313000
2012-11-06,2.52,2.52,2.5,2.5,79000
2012-11-07,2.5,2.6,2.5,2.5,40000
2012-11-08,2.5,2.5,1.91,2.46,12000
2012-11-09,2.0,2.15,2.0,2.12,70000
2012-11-12,2.0,2.3,2.0,2.1,24000
