date,open,high,low,close,volume
2018-04-30,100.2,100.2,100.2,100.2,500
2018-05-02,100.3,101.0,100.3,101.0,730
2018-05-04,100.3,100.3,100.3,100.3,2980
2018-05-08,101.0,101.0,101.0,101.0,30
2018-05-09,100.5,100.5,100.5,100.5,1000
2018-05-10,100.3,100.3,100.3,100.3,28500
2018-05-11,101.0,101.0,100.3,100.4,5520
2018-05-16,100.5,100.9,100.5,100.9,9100
2018-05-17,100.4,100.9,100.4,100.9,75410
2018-05-18,100.0,100.0,100.0,100.0,15500
2018-05-21,100.0,100.5,100.0,100.1,28190
2018-05-22,100.1,100.1,100.0,100.0,350
2018-05-23,100.0,100.0,100.0,100.0,5600
2018-05-24,99.95,99.95,99.95,99.95,1000
2018-05-25,100.0,100.3,97.0,97.7,40500
2018-05-28,97.7,99.95,97.7,99.45,900
2018-05-29,99.45,99.45,97.1,97.3,580
2018-06-01,100.2,100.2,100.2,100.2,500
2018-06-04,97.5,97.5,97.5,97.5,500
2018-06-06,100.2,100.2,100.2,100.2,200
2018-06-08,100.2,100.2,100.0,100.0,160
2018-06-11,100.0,100.0,100.0,100.0,900
2018-06-14,100.0,100.0,99.0,100.0,5600
2018-06-18,100.0,100.0,99.5,99.5,10220
2018-06-19,99.4,99.5,99.4,99.5,930
2018-06-20,99.5,99.5,99.5,99.5,1210
2018-06-21,100.0,100.0,99.0,99.0,11050
2018-06-22,99.0,99.0,99.0,99.0,4200
2018-06-25,99.5,99.5,98.6,99.0,14100
2018-06-26,99.3,99.9,99.3,99.9,1070
2018-06-27,99.9,99.9,98.65,99.9,20610
2018-06-28,99.9,99.9,99.9,99.9,5500
2018-06-29,100.0,100.0,100.0,100.0,1500
2018-07-02,100.0,100.0,99.0,99.0,2000
2018-07-03,100.0,100.0,99.0,99.0,23630
2018-07-04,99.5,99.5,99.5,99.5,5500
2018-07-05,100.3,100.3,100.3,100.3,15350
2018-07-06,100.0,100.0,99.0,99.1,12500
2018-07-09,99.9,99.9,99.0,99.0,10000
2018-07-11,99.0,100.3,99.0,100.3,21400
2018-07-13,99.1,99.1,99.1,99.1,20
2018-07-17,100.3,100.3,99.3,99.3,20110
2018-07-18,99.4,99.5,99.4,99.5,5500
2018-07-23,100.2,100.2,100.0,100.0,240
2018-07-24,99.6,99.6,99.5,99.5,9960
2018-07-25,99.6,99.6,99.5,99.5,10000
2018-07-26,100.2,100.2,100.2,100.2,940
2018-07-27,100.0,100.3,100.0,100.3,15000
2018-07-30,100.3,100.3,100.3,100.3,300
2018-07-31,100.3,100.3,100.3,100.3,520
2018-08-01,100.0,100.3,100.0,100.3,1510
2018-08-02,100.2,100.3,100.2,100.2,3310
2018-08-03,100.3,100.8,100.3,100.8,13080
2018-08-06,100.8,101.0,100.1,101.0,12190
2018-08-07,101.0,101.0,101.0,101.0,2090
2018-08-08,100.1,100.1,100.0,100.0,2500
2018-08-09,101.0,101.0,101.0,101.0,20
2018-08-10,100.0,101.0,100.0,101.0,11050
2018-08-13,101.0,101.0,101.0,101.0,160
2018-08-14,101.0,101.0,101.0,101.0,3340
2018-08-15,99.7,99.7,99.7,99.7,10000
2018-08-16,99.5,99.5,99.5,99.5,100
2018-08-17,99.5,101.1,99.5,101.1,1120
2018-08-20,99.6,101.1,99.6,101.0,9830
2018-08-24,101.0,101.0,99.6,99.6,710
2018-08-31,99.6,99.6,99.6,99.6,60
2018-09-03,99.8,99.8,99.8,99.8,200
2018-09-05,99.6,99.6,99.6,99.6,270
2018-09-11,99.6,99.6,99.5,99.5,2650
2018-09-13,99.0,99.0,99.0,99.0,10000
2018-09-17,99.0,100.0,95.0,100.0,66030
2018-09-18,97.0,100.0,95.0,99.9,37030
2018-09-19,95.3,99.9,95.1,99.9,1600
2018-09-20,95.25,99.0,93.0,99.0,12750
2018-09-21,99.0,99.0,93.1,96.0,22980
2018-09-25,96.95,96.95,95.0,95.0,1610
2018-09-26,95.0,96.0,95.0,96.0,820
2018-09-27,96.0,96.1,96.0,96.1,6390
2018-09-28,95.2,96.5,95.2,95.2,510
2018-10-01,95.2,96.9,95.2,95.4,9030
2018-10-02,95.5,95.5,95.4,95.5,890
2018-10-03,95.4,95.4,95.4,95.4,14230
2018-10-04,95.0,98.0,95.0,98.0,990
2018-10-05,98.0,98.0,98.0,98.0,90
2018-10-08,98.0,98.0,98.0,98.0,200
2018-10-09,99.0,99.0,95.2,95.2,10160
2018-10-10,95.55,95.55,95.55,95.55,500
2018-10-11,95.55,95.55,95.55,95.55,290
2018-10-18,99.0,99.0,96.0,96.0,4500
2018-10-19,96.05,96.05,96.05,96.05,850
2018-10-23,99.0,99.0,99.0,99.0,1300
2018-10-24,99.0,99.0,96.0,96.0,1530
2018-10-25,96.8,96.8,96.8,96.8,1030
2018-10-26,96.0,96.8,96.0,96.8,1790
2018-10-29,96.8,96.8,95.65,95.65,300
2018-10-30,98.95,98.95,98.95,98.95,90
2018-10-31,98.0,98.0,98.0,98.0,300
2018-11-05,98.0,98.0,97.0,97.0,1100
2018-11-06,98.8,98.8,98.8,98.8,510
2018-11-07,98.8,98.8,97.0,97.0,1500
2018-11-09,97.0,97.0,97.0,97.0,2420
2018-11-12,97.0,97.0,96.8,96.8,1300
2018-11-13,96.0,96.0,96.0,96.0,660
2018-11-19,95.0,95.1,95.0,95.0,590
2018-11-20,95.0,95.0,95.0,95.0,200
2018-11-21,96.0,96.0,96.0,96.0,340
2018-11-22,96.0,96.0,96.0,96.0,70
2018-11-23,96.0,96.0,95.0,95.0,430
2018-11-27,95.0,95.0,95.0,95.0,600
2018-11-29,95.0,95.0,95.0,95.0,2050
2018-12-03,95.0,95.0,95.0,95.0,1530
2018-12-04,95.0,97.0,95.0,97.0,330
2018-12-06,94.45,95.0,94.0,94.0,3500
2018-12-07,94.55,94.55,94.55,94.55,100
2018-12-10,97.0,97.0,97.0,97.0,220
2018-12-14,95.0,97.0,95.0,95.0,1400
2018-12-17,95.0,95.0,95.0,95.0,100
2018-12-18,96.9,96.9,96.9,96.9,400
2018-12-20,97.0,97.0,97.0,97.0,150
2018-12-21,97.0,97.0,97.0,97.0,150
2018-12-26,95.05,96.0,95.0,96.0,4000
2018-12-27,96.0,96.0,96.0,96.0,1500
2018-12-28,96.0,96.0,96.0,96.0,200
2019-01-02,96.0,96.0,95.0,95.0,1200
2019-01-03,96.0,96.0,95.0,95.0,3240
2019-01-04,95.0,95.0,95.0,95.0,700
2019-01-09,96.0,96.0,95.0,95.0,5100
2019-01-10,96.0,96.0,96.0,96.0,600
2019-01-11,95.05,95.05,95.0,95.0,3030
2019-01-14,96.0,96.0,96.0,96.0,190
2019-01-15,96.0,96.0,96.0,96.0,650
2019-01-16,96.0,96.0,96.0,96.0,900
2019-01-17,96.0,96.0,96.0,96.0,10
2019-01-18,96.0,96.0,95.95,95.95,1300
2019-01-21,95.0,95.0,95.0,95.0,100
2019-01-22,96.0,96.0,96.0,96.0,410
2019-01-23,96.0,96.0,96.0,96.0,34350
2019-01-24,96.0,96.0,95.25,95.25,5200
2019-01-25,95.2,95.2,95.0,95.0,4420
2019-01-28,95.5,96.0,95.1,95.1,1500
2019-01-29,95.0,96.0,95.0,96.0,570
2019-01-30,96.0,96.0,96.0,96.0,2470
2019-01-31,95.0,95.0,94.05,94.05,500
2019-02-01,96.0,96.0,96.0,96.0,40
2019-02-04,96.0,96.0,95.5,95.5,650
2019-02-06,95.05,96.0,95.05,96.0,9490
2019-02-07,95.55,96.0,95.55,96.0,1300
2019-02-08,95.8,95.8,95.6,95.6,3550
2019-02-11,96.0,96.1,96.0,96.0,5950
2019-02-12,96.5,96.5,96.05,96.05,7400
2019-02-13,96.5,96.5,95.95,95.95,2860
2019-02-14,96.0,96.0,96.0,96.0,80
2019-02-19,95.0,96.0,95.0,96.0,1500
2019-02-21,95.0,95.0,90.0,90.0,20000
2019-02-26,96.0,96.0,96.0,96.0,350
2019-02-27,96.0,96.0,96.0,96.0,700
2019-02-28,96.0,96.0,96.0,96.0,1500
2019-03-01,96.0,96.0,95.0,95.0,480
2019-03-04,95.95,95.95,95.0,95.0,600
2019-03-05,95.95,95.95,95.95,95.95,10
2019-03-06,95.0,95.0,94.6,95.0,2950
2019-03-07,95.0,95.0,95.0,95.0,800
2019-03-08,95.0,95.0,95.0,95.0,2830
2019-03-11,95.0,95.0,95.0,95.0,10210
2019-03-14,95.0,95.0,95.0,95.0,350
2019-03-19,96.5,96.5,96.0,96.0,160
2019-03-20,96.0,96.0,96.0,96.0,70
2019-03-21,96.0,96.0,96.0,96.0,1820
2019-03-22,96.0,96.0,96.0,96.0,870
2019-03-25,95.0,95.0,94.55,94.55,2100
2019-03-26,95.0,95.95,94.5,95.0,1260
2019-03-27,94.5,95.0,94.5,94.8,2280
2019-03-28,94.8,94.8,94.0,94.0,1830
2019-03-29,93.15,93.15,93.0,93.0,34010
2019-04-01,93.0,94.95,93.0,94.95,2230
2019-04-02,94.0,94.0,94.0,94.0,300
2019-04-03,95.85,95.85,95.85,95.85,50
2019-04-04,95.75,95.75,95.75,95.75,10
2019-04-08,95.0,95.0,95.0,95.0,750
2019-04-12,94.95,95.0,91.0,91.0,1860
2019-04-15,92.1,92.1,92.1,92.1,250
2019-04-16,94.9,94.9,94.9,94.9,80
2019-04-17,94.95,94.95,94.95,94.95,310
2019-04-22,92.35,95.95,92.35,95.95,8000
2019-04-23,95.9,95.95,95.0,95.0,750
2019-04-24,95.9,95.95,95.9,95.95,350
2019-04-25,95.9,95.9,95.9,95.9,200
2019-04-30,95.85,96.0,95.85,96.0,3120
2019-05-02,96.0,96.0,96.0,96.0,1340
2019-05-03,96.0,96.5,96.0,96.5,24680
