date,open,high,low,close,volume
1999-04-07,0.5,0.5,0.5,0.5,180000
1999-04-14,0.49,0.5,0.49,0.49,310000
1999-04-16,0.4,0.42,0.37,0.37,260000
1999-04-19,0.4,0.42,0.4,0.42,90000
1999-04-20,0.41,0.41,0.41,0.41,50000
1999-04-22,0.41,0.41,0.41,0.41,10000
1999-04-27,0.39,0.41,0.39,0.41,170000
1999-05-03,0.39,0.39,0.39,0.39,20000
1999-05-06,0.38,0.38,0.38,0.38,130000
1999-05-07,0.4,0.4,0.4,0.4,40000
1999-05-10,0.42,0.45,0.42,0.45,300000
1999-05-17,0.42,0.42,0.42,0.42,40000
1999-05-28,0.4,0.4,0.4,0.4,20000
1999-06-01,0.42,0.42,0.42,0.42,20000
1999-06-03,0.39,0.39,0.39,0.39,20000
1999-06-04,0.37,0.37,0.37,0.37,20000
1999-06-18,0.38,0.42,0.38,0.42,30000
1999-06-24,0.46,0.46,0.46,0.46,100000
1999-06-25,0.46,0.46,0.46,0.46,100000
1999-07-06,0.44,0.65,0.44,0.6,1200000
1999-07-07,0.6,0.64,0.6,0.6,350000
1999-07-08,0.61,0.61,0.61,0.61,100000
1999-07-09,0.61,0.61,0.59,0.59,210000
1999-07-15,0.6,0.75,0.59,0.74,2360000
1999-07-16,0.8,0.84,0.62,0.68,1740000
1999-07-19,0.68,0.68,0.62,0.62,200000
1999-07-20,0.62,0.64,0.61,0.64,300000
1999-07-21,0.6,0.6,0.55,0.55,130000
1999-07-22,0.55,0.55,0.5,0.5,30000
2000-01-06,0.55,0.55,0.55,0.55,30000
2000-01-07,0.6,0.61,0.6,0.61,150000
2000-01-11,0.5,0.51,0.5,0.5,70000
2000-01-14,0.5,0.5,0.5,0.5,30000
2000-01-24,0.5,0.5,0.5,0.5,100000
2000-02-11,0.54,0.64,0.54,0.64,40000
2000-02-15,0.6,0.65,0.6,0.65,260000
2000-02-16,0.63,0.63,0.63,0.63,100000
2000-02-17,0.7,0.8,0.7,0.8,390000
2000-02-18,0.8,0.8,0.7,0.71,210000
2000-02-21,0.8,0.8,0.8,0.8,280000
2000-02-22,0.85,0.85,0.7,0.7,60000
2000-02-23,0.79,0.79,0.79,0.79,50000
2000-02-24,0.79,0.92,0.75,0.82,1150000
2000-02-28,0.9,0.9,0.85,0.89,80000
2000-02-29,0.9,0.95,0.85,0.9,1060000
2000-03-01,0.94,0.94,0.75,0.75,600000
2000-03-02,0.71,0.71,0.71,0.71,10000
2000-03-03,0.7,0.7,0.7,0.7,20000
2000-03-06,0.65,0.68,0.65,0.68,80000
2000-03-07,0.62,0.63,0.6,0.63,60000
2000-03-08,0.6,0.6,0.6,0.6,50000
2000-03-09,0.6,0.6,0.6,0.6,50000
2000-03-13,0.52,0.52,0.52,0.52,100000
2000-03-16,0.52,0.52,0.52,0.52,50000
2000-03-21,0.56,0.56,0.5,0.5,190000
2000-03-22,0.45,0.45,0.45,0.45,30000
2000-04-07,0.35,0.35,0.35,0.35,60000
2000-04-14,0.3,0.3,0.3,0.3,50000
2000-04-24,0.45,0.45,0.45,0.45,100000
2000-08-04,0.3,0.3,0.3,0.3,70000
2000-08-07,0.3,0.3,0.3,0.3,30000
2000-08-11,0.3,0.3,0.3,0.3,200000
2000-08-25,0.4,0.4,0.4,0.4,190000
2000-08-31,0.4,0.4,0.4,0.4,70000
2000-09-01,0.4,0.4,0.4,0.4,50000
2000-09-05,0.55,0.55,0.55,0.55,40000
2000-09-06,0.42,0.42,0.42,0.42,20000
2000-09-08,0.42,0.42,0.42,0.42,10000
2000-09-14,0.42,0.42,0.42,0.42,100000
2000-09-15,0.42,0.42,0.42,0.42,50000
2000-09-19,0.4,0.4,0.4,0.4,50000
2000-09-26,0.35,0.35,0.35,0.35,50000
2000-10-02,0.35,0.35,0.35,0.35,100000
2000-10-03,0.3,0.3,0.25,0.25,100000
2000-10-25,0.25,0.25,0.25,0.25,20000
2001-06-29,0.16,0.16,0.16,0.16,20000
2001-11-07,0.1,0.1,0.1,0.1,10000
2004-06-30,0.07,0.07,0.07,0.07,100000
2005-06-22,0.08,0.08,0.08,0.08,100000
2005-07-22,0.085,0.085,0.085,0.085,200000
2006-08-18,0.085,0.085,0.085,0.085,400000
2006-08-24,0.1,0.1,0.1,0.1,100000
2006-08-30,0.15,0.15,0.15,0.15,100000
2006-08-31,0.225,0.225,0.225,0.225,30000
2006-09-01,0.33,0.33,0.225,0.33,240000
2006-09-04,0.49,0.49,0.49,0.49,110000
2006-09-05,0.73,0.73,0.71,0.73,970000
2006-09-06,0.7,0.7,0.48,0.48,350000
2006-09-07,0.6,0.67,0.6,0.67,80000
2006-09-11,0.45,0.45,0.45,0.45,100000
2006-09-12,0.41,0.41,0.41,0.41,120000
2006-09-18,0.31,0.31,0.29,0.29,30000
2006-09-19,0.28,0.3,0.28,0.3,240000
2006-09-20,0.36,0.39,0.36,0.39,100000
2006-09-21,0.35,0.35,0.35,0.35,20000
2006-09-22,0.34,0.34,0.33,0.33,140000
2006-09-27,0.3,0.3,0.3,0.3,250000
2006-10-04,0.2,0.2,0.2,0.2,70000
2006-10-05,0.2,0.2,0.2,0.2,170000
2006-10-18,0.21,0.3,0.21,0.3,40000
2006-10-19,0.32,0.35,0.32,0.35,20000
2006-10-20,0.42,0.47,0.42,0.47,380000
2006-10-23,0.45,0.45,0.4,0.4,70000
2006-10-25,0.39,0.39,0.39,0.39,20000
2006-10-27,0.35,0.35,0.35,0.35,10000
2006-11-03,0.33,0.33,0.33,0.33,50000
2006-11-17,0.43,0.43,0.43,0.43,20000
2006-11-29,0.42,0.64,0.42,0.59,1330000
2006-11-30,0.55,0.55,0.48,0.48,270000
2006-12-04,0.51,0.51,0.46,0.46,120000
2006-12-14,0.42,0.42,0.42,0.42,160000
2006-12-15,0.42,0.42,0.4,0.4,150000
