date,open,high,low,close,volume
1999-02-04,0.33,0.33,0.33,0.33,300000
1999-02-05,0.31,0.32,0.31,0.32,350000
1999-02-08,0.31,0.32,0.31,0.32,350000
1999-02-09,0.31,0.32,0.31,0.32,350000
1999-02-10,0.31,0.32,0.31,0.32,350000
1999-02-11,0.31,0.32,0.31,0.32,350000
1999-02-24,0.3,0.3,0.3,0.3,170000
1999-03-08,0.24,0.24,0.24,0.24,20000
1999-03-16,0.195,0.195,0.195,0.195,20000
1999-03-26,0.185,0.195,0.185,0.195,400000
1999-04-05,0.2,0.2,0.195,0.195,310000
1999-04-07,0.22,0.22,0.22,0.22,50000
1999-04-08,0.28,0.28,0.28,0.28,20000
1999-04-14,0.25,0.25,0.25,0.25,280000
1999-04-16,0.25,0.25,0.25,0.25,930000
1999-04-22,0.22,0.22,0.22,0.22,10000
1999-04-23,0.3,0.3,0.3,0.3,80000
1999-04-28,0.3,0.3,0.3,0.3,100000
1999-04-29,0.3,0.3,0.3,0.3,50000
1999-04-30,0.31,0.38,0.31,0.38,1010000
1999-05-03,0.39,0.42,0.39,0.41,1130000
1999-05-04,0.41,0.42,0.41,0.41,820000
1999-05-05,0.43,0.43,0.43,0.43,270000
1999-05-06,0.46,0.49,0.46,0.48,620000
1999-05-07,0.48,0.54,0.48,0.53,2470000
1999-05-10,0.53,0.54,0.53,0.54,460000
1999-05-12,0.55,0.56,0.55,0.55,290000
1999-05-13,0.56,0.61,0.56,0.61,250000
1999-05-14,0.62,0.67,0.62,0.62,1730000
1999-05-17,0.6,0.64,0.56,0.64,780000
1999-05-18,0.62,0.62,0.61,0.62,830000
1999-05-19,0.62,0.62,0.6,0.6,450000
1999-05-20,0.6,0.6,0.58,0.58,130000
1999-05-21,0.58,0.58,0.55,0.55,120000
1999-05-24,0.56,0.56,0.56,0.56,30000
1999-05-25,0.56,0.78,0.56,0.73,8580000
1999-05-26,0.71,0.86,0.7,0.86,6500000
1999-05-27,0.87,0.88,0.78,0.79,3520000
1999-05-28,0.77,0.77,0.74,0.76,790000
1999-05-31,0.82,0.82,0.77,0.77,1550000
1999-06-01,0.79,0.79,0.75,0.75,1660000
1999-06-02,0.73,0.86,0.73,0.81,2710000
