date,open,high,low,close,volume
1999-02-04,15.5,15.5,15.25,15.5,113900
1999-02-05,15.5,15.5,15.5,15.5,54800
1999-02-08,15.5,15.5,15.5,15.5,54800
1999-02-09,15.5,15.5,15.5,15.5,54800
1999-02-10,15.5,15.5,15.5,15.5,54800
1999-02-11,15.5,15.5,15.5,15.5,54800
1999-02-12,13.0,13.0,13.0,13.0,100
1999-02-17,14.0,14.0,14.0,14.0,100
1999-02-25,14.0,14.0,14.0,14.0,200
1999-02-26,13.0,13.0,13.0,13.0,100
1999-03-01,13.0,13.0,13.0,13.0,100
1999-03-02,13.0,13.0,13.0,13.0,100
1999-03-03,13.0,13.0,13.0,13.0,100
1999-03-05,13.0,14.0,10.0,10.0,36000
1999-03-09,9.5,9.5,9.0,9.0,2000
1999-03-10,11.0,11.0,11.0,11.0,1000
1999-03-11,10.5,10.5,10.5,10.5,100
1999-03-12,10.0,10.0,6.3,6.3,12100
1999-03-19,6.5,6.5,6.5,6.5,2000
1999-03-23,6.5,6.5,6.5,6.5,46000
1999-04-07,6.5,6.5,6.5,6.5,3000
1999-04-08,7.0,7.0,7.0,7.0,1000
1999-07-16,7.0,7.0,7.0,7.0,1000
2002-01-11,7.0,7.0,7.0,7.0,10000
2002-01-16,7.0,7.0,7.0,7.0,5000
2002-01-17,6.8,6.8,6.8,6.8,9000
2002-01-21,6.8,6.8,6.8,6.8,8000
2002-01-22,6.7,6.7,6.7,6.7,10000
2002-01-24,6.6,6.6,6.6,6.6,10000
2002-01-25,6.5,6.5,6.5,6.5,5000
2002-01-28,6.4,6.4,6.4,6.4,5000
2002-01-29,6.3,6.3,6.3,6.3,5000
2002-07-12,5.0,5.0,4.5,4.5,15000
2002-11-07,3.2,3.2,3.2,3.2,10000
2002-11-18,3.0,3.0,2.2,2.2,25000
2002-11-22,2.0,2.0,1.5,1.5,26000
2003-02-17,1.66,1.68,1.66,1.66,75016000
2003-03-17,1.66,1.66,1.66,1.66,434000
2003-08-01,1.66,1.66,1.66,1.66,10000
2003-11-14,1.5,1.5,1.4,1.4,30000
2003-11-17,1.3,1.3,1.2,1.2,130000
2003-11-19,1.12,1.12,1.0,1.0,140000
2004-06-21,1.0,1.0,1.0,1.0,10000
2004-08-26,1.4,1.4,1.4,1.4,10000
2004-08-27,1.74,1.9,1.74,1.9,20000
2004-08-30,2.8,2.8,2.8,2.8,1000
2004-08-31,3.1,4.0,3.1,4.0,13000
2004-09-01,5.9,5.9,5.9,5.9,1000
2004-09-07,8.7,8.7,8.7,8.7,1000
2004-09-08,9.5,10.0,9.5,10.0,4000
2004-09-09,12.5,13.0,12.5,13.0,2000
2004-10-29,12.0,12.0,12.0,12.0,260000
2004-11-08,12.0,12.0,11.5,11.5,203000
2004-11-12,11.0,11.0,10.5,10.75,196400
2004-11-26,13.0,13.0,13.0,13.0,200
2005-01-03,11.75,11.75,11.75,11.75,1000
2005-01-25,12.0,12.0,12.0,12.0,1000
2005-02-08,13.0,13.0,13.0,13.0,1000
