date,open,high,low,close,volume
2019-10-21,2.85,2.89,2.8,2.85,22904000
2019-10-22,2.85,2.87,2.72,2.75,29233000
2019-10-23,2.78,2.85,2.7,2.83,23615000
2019-10-24,2.82,2.83,2.77,2.78,14031000
2019-10-25,2.78,2.86,2.76,2.85,22065000
2019-10-28,2.86,2.88,2.82,2.82,8822000
2019-10-29,2.8,2.85,2.75,2.79,6527000
2019-10-30,2.79,2.82,2.79,2.8,3121000
2019-10-31,2.8,2.84,2.79,2.79,4883000
2019-11-04,2.81,2.82,2.78,2.79,5628000
2019-11-05,2.8,2.8,2.71,2.74,11847000
2019-11-06,2.74,2.76,2.65,2.66,9062000
2019-11-07,2.66,2.74,2.65,2.67,3741000
2019-11-08,2.66,2.66,2.58,2.59,9984000
2019-11-11,2.59,2.69,2.55,2.67,6589000
2019-11-12,2.69,2.78,2.68,2.74,12846000
2019-11-13,2.77,2.77,2.68,2.71,4883000
2019-11-14,2.7,2.74,2.65,2.65,2958000
2019-11-15,2.65,2.7,2.56,2.59,26593000
2019-11-18,2.6,2.65,2.6,2.6,2322000
2019-11-19,2.63,2.63,2.57,2.58,2498000
2019-11-20,2.57,2.63,2.57,2.57,5266000
2019-11-21,2.58,2.58,2.44,2.46,7509000
2019-11-22,2.46,2.5,2.45,2.47,2471000
2019-11-25,2.47,2.52,2.43,2.43,2854000
2019-11-26,2.44,2.61,2.39,2.6,5014000
2019-11-27,2.6,2.6,2.51,2.51,1662000
2019-11-28,2.57,2.59,2.51,2.51,1418000
2019-11-29,2.51,2.51,2.45,2.46,3497000
2019-12-02,2.46,2.51,2.41,2.42,1922000
2019-12-03,2.42,2.58,2.42,2.49,1488000
2019-12-04,2.49,2.49,2.42,2.44,1536000
2019-12-05,2.49,2.49,2.42,2.44,1461000
2019-12-06,2.44,2.44,2.4,2.41,2099000
2019-12-09,2.41,2.43,2.39,2.39,2696000
2019-12-10,2.38,2.38,2.25,2.26,6475000
2019-12-11,2.25,2.33,2.22,2.26,4616000
2019-12-12,2.26,2.32,2.21,2.25,1418000
2019-12-13,2.26,2.37,2.21,2.32,2945000
2019-12-16,2.34,2.38,2.25,2.28,1206000
2019-12-17,2.29,2.29,2.12,2.14,6814000
2019-12-18,2.14,2.23,2.14,2.2,1245000
2019-12-19,2.2,2.35,2.2,2.31,3309000
2019-12-20,2.32,2.38,2.27,2.31,4321000
2019-12-23,2.31,2.34,2.26,2.27,2658000
2019-12-26,2.28,2.31,2.27,2.27,1978000
2019-12-27,2.28,2.28,2.23,2.23,3099000
2020-01-02,2.23,2.39,2.21,2.29,4748000
2020-01-03,2.34,2.48,2.31,2.44,7947000
2020-01-06,2.43,2.44,2.35,2.35,4153000
2020-01-07,2.38,2.41,2.34,2.37,2731000
2020-01-08,2.37,2.37,2.25,2.33,2696000
2020-01-09,2.31,2.42,2.31,2.41,2342000
2020-01-10,2.41,2.42,2.35,2.35,1749000
2020-01-14,2.37,2.38,2.28,2.3,2051000
2020-01-15,2.3,2.38,2.3,2.32,2767000
2020-01-16,2.32,2.35,2.27,2.29,3798000
2020-01-17,2.28,2.34,2.22,2.26,3953000
2020-01-20,2.25,2.26,2.14,2.15,10788000
2020-01-21,2.15,2.23,1.98,2.08,13433000
2020-01-22,2.08,2.25,2.05,2.24,7149000
2020-01-23,2.24,2.27,2.16,2.22,4867000
2020-01-24,2.25,2.28,2.13,2.15,4172000
2020-01-27,2.15,2.18,2.1,2.13,1287000
2020-01-28,2.12,2.12,2.03,2.03,3959000
2020-01-29,2.04,2.1,2.04,2.07,1874000
2020-01-30,2.08,2.12,2.02,2.04,2891000
2020-01-31,2.02,2.07,1.98,1.98,4603000
2020-02-03,1.98,2.11,1.95,2.07,3218000
2020-02-04,2.08,2.17,2.08,2.13,6567000
2020-02-05,2.17,2.2,2.13,2.15,3881000
2020-02-06,2.18,2.19,2.14,2.16,1887000
2020-02-07,2.16,2.16,2.09,2.14,5277000
2020-02-10,2.15,2.15,2.03,2.04,2379000
2020-02-11,2.02,2.12,2.0,2.09,2893000
2020-02-12,2.12,2.12,2.05,2.08,897000
2020-02-13,2.09,2.09,2.02,2.07,3832000
2020-02-14,2.03,2.12,2.02,2.11,1334000
2020-02-17,2.09,2.18,2.09,2.15,2955000
2020-02-18,2.16,2.17,2.12,2.13,450000
2020-02-19,2.15,2.15,2.1,2.14,658000
2020-02-20,2.14,2.25,2.14,2.22,5696000
2020-02-21,2.22,2.27,2.19,2.27,3794000
2020-02-24,2.27,2.27,2.11,2.13,4439000
2020-02-26,2.09,2.12,2.0,2.09,7072000
2020-02-27,2.07,2.14,2.04,2.1,3393000
2020-02-28,2.08,2.09,2.02,2.06,4331000
2020-03-02,2.06,2.06,1.98,2.05,4353000
2020-03-03,2.06,2.08,2.03,2.06,2188000
2020-03-04,2.08,2.08,2.02,2.05,603000
