date,open,high,low,close,volume
2018-04-30,507.0,507.0,485.0,485.0,6000
2018-05-02,486.0,500.0,486.0,500.0,530
2018-05-03,500.0,500.0,500.0,500.0,130
2018-05-04,500.0,500.0,500.0,500.0,20410
2018-05-07,498.0,500.0,497.0,500.0,2910
2018-05-08,500.0,500.0,500.0,500.0,10
2018-05-09,488.0,488.0,488.0,488.0,750
2018-05-10,491.0,491.0,491.0,491.0,3200
2018-05-15,495.0,500.0,495.0,500.0,240
2018-05-17,500.0,500.0,500.0,500.0,2940
2018-05-18,500.0,500.0,500.0,500.0,480
2018-05-22,500.0,501.0,495.0,495.0,370
2018-05-23,500.0,500.0,500.0,500.0,690
2018-05-24,501.0,501.0,500.0,500.0,2660
2018-05-28,500.0,500.0,500.0,500.0,3970
2018-05-29,500.0,500.0,500.0,500.0,3000
2018-05-31,499.0,499.0,499.0,499.0,200
2018-06-04,499.0,499.0,499.0,499.0,7050
2018-06-05,499.0,499.0,498.0,499.0,340
2018-06-06,495.0,499.0,493.0,493.0,29210
2018-06-07,493.0,493.2,493.0,493.2,3220
2018-06-08,493.0,499.0,493.0,499.0,1040
2018-06-18,499.0,499.0,498.0,498.0,200
2018-06-20,499.0,499.0,499.0,499.0,5350
2018-06-21,499.0,499.0,499.0,499.0,800
2018-06-22,499.0,500.0,495.0,495.0,1250
2018-06-26,500.0,500.0,500.0,500.0,1000
2018-06-27,495.0,498.0,495.0,498.0,7000
2018-06-28,495.0,495.0,495.0,495.0,12060
2018-06-29,499.0,499.0,499.0,499.0,20
2018-07-02,499.0,500.0,495.0,495.0,4040
2018-07-04,495.0,500.0,495.0,500.0,2190
2018-07-05,500.0,500.0,500.0,500.0,500
2018-07-06,496.0,496.0,496.0,496.0,6590
2018-07-09,495.0,495.0,495.0,495.0,10
2018-07-10,500.0,501.0,500.0,501.0,3270
2018-07-13,502.0,502.0,502.0,502.0,10
2018-07-17,502.0,502.0,502.0,502.0,1000
2018-07-18,502.0,502.0,502.0,502.0,3000
2018-07-19,505.0,505.0,505.0,505.0,10
2018-07-30,500.0,500.0,500.0,500.0,6200
2018-08-02,500.0,500.0,500.0,500.0,2550
2018-08-03,500.0,500.0,500.0,500.0,130
2018-08-08,500.0,500.0,500.0,500.0,3690
2018-08-09,500.0,500.0,500.0,500.0,1000
2018-08-15,499.0,500.0,499.0,500.0,2030
2018-08-16,500.0,500.0,500.0,500.0,3000
2018-08-17,495.0,495.0,495.0,495.0,20000
2018-08-20,490.0,490.0,490.0,490.0,1320
2018-08-22,490.0,490.0,487.0,487.0,1520
2018-08-23,490.0,490.0,490.0,490.0,10
2018-08-24,501.0,501.0,501.0,501.0,100
2018-08-28,501.0,501.0,501.0,501.0,20
2018-08-29,490.0,490.0,490.0,490.0,4110
2018-08-30,501.0,504.0,501.0,504.0,3950
2018-08-31,503.0,503.0,503.0,503.0,20
2018-09-03,501.0,501.0,501.0,501.0,1000
2018-09-04,502.0,502.0,501.0,501.0,5110
2018-09-05,503.0,503.0,503.0,503.0,10
2018-09-07,490.0,490.0,490.0,490.0,1500
2018-09-10,490.0,490.0,490.0,490.0,980
2018-09-13,490.0,490.0,490.0,490.0,6400
2018-09-14,501.0,501.0,501.0,501.0,2000
2018-09-17,490.0,495.0,480.4,495.0,7620
2018-09-18,490.0,490.0,490.0,490.0,2000
2018-09-19,485.0,485.0,485.0,485.0,14580
2018-09-20,485.0,485.0,485.0,485.0,4810
2018-09-21,485.0,485.0,485.0,485.0,1040
2018-09-24,485.0,485.0,485.0,485.0,100
2018-09-26,485.0,485.0,485.0,485.0,4130
2018-09-28,486.0,486.0,485.0,485.0,2000
2018-10-01,485.4,485.4,485.0,485.0,550
2018-10-02,485.0,485.0,485.0,485.0,1690
2018-10-03,489.0,489.0,485.0,485.0,2040
2018-10-08,480.0,480.0,480.0,480.0,1360
2018-10-10,480.0,480.0,480.0,480.0,350
2018-10-12,489.4,489.4,475.0,475.0,5670
2018-10-15,510.0,510.0,465.0,465.0,4720
2018-10-16,467.0,467.0,465.0,465.0,5320
2018-10-17,460.0,460.0,460.0,460.0,5500
2018-10-18,460.0,460.0,460.0,460.0,1010
2018-10-23,470.0,470.0,470.0,470.0,50
2018-10-25,465.0,465.0,464.6,464.6,8010
2018-10-26,465.0,465.0,460.0,465.0,1070
2018-10-29,460.0,460.0,460.0,460.0,470
2018-10-30,460.0,465.0,460.0,465.0,270
2018-10-31,465.0,465.0,465.0,465.0,20
2018-11-05,465.0,465.0,465.0,465.0,350
2018-11-06,465.0,465.0,463.0,465.0,190
2018-11-07,462.0,462.0,462.0,462.0,100
2018-11-08,460.0,460.0,460.0,460.0,120
2018-11-09,465.0,465.0,465.0,465.0,90
2018-11-12,465.0,465.0,460.0,460.0,6120
2018-11-15,460.0,460.0,460.0,460.0,3480
2018-11-16,465.0,465.0,465.0,465.0,10
2018-11-22,470.0,470.0,470.0,470.0,70
2018-11-23,462.0,462.0,462.0,462.0,300
2018-11-28,462.0,462.0,462.0,462.0,1200
2018-11-29,460.0,460.0,460.0,460.0,5440
2018-12-05,460.0,460.0,460.0,460.0,4560
2018-12-06,460.0,460.0,460.0,460.0,170
2018-12-07,469.0,469.0,460.0,460.0,40
2018-12-11,460.0,460.0,455.0,455.0,4000
2018-12-14,457.0,457.0,450.0,450.0,6000
2018-12-17,455.0,455.0,455.0,455.0,170
2018-12-18,451.2,451.2,451.0,451.0,610
