date,open,high,low,close,volume
1999-02-04,1.5,1.5,1.48,1.5,2196000
1999-02-05,1.5,1.5,1.5,1.5,2000
1999-02-08,1.5,1.5,1.5,1.5,2000
1999-02-09,1.5,1.5,1.5,1.5,2000
1999-02-10,1.5,1.5,1.5,1.5,2000
1999-02-11,1.5,1.5,1.5,1.5,2000
1999-02-12,1.4,1.4,1.36,1.36,1809000
1999-02-15,1.36,1.38,1.36,1.36,348000
1999-02-16,1.36,1.36,1.36,1.36,5000
1999-02-17,1.38,1.4,1.38,1.4,20000
1999-02-18,1.4,1.4,1.4,1.4,71000
1999-02-19,1.4,1.4,1.38,1.38,1230000
1999-02-22,1.4,1.42,1.4,1.42,240000
1999-02-23,1.42,1.42,1.4,1.42,83000
1999-02-24,1.42,1.42,1.42,1.42,70000
1999-02-25,1.4,1.42,1.4,1.4,712000
1999-02-26,1.4,1.4,1.38,1.38,605000
1999-03-01,1.4,1.4,1.4,1.4,31000
1999-03-02,1.4,1.4,1.38,1.38,505000
1999-03-03,1.4,1.44,1.4,1.44,1655000
1999-03-04,1.4,1.42,1.4,1.42,901000
1999-03-05,1.44,1.44,1.42,1.42,1782000
1999-03-08,1.42,1.42,1.4,1.4,705000
1999-03-09,1.38,1.4,1.38,1.4,537000
1999-03-10,1.4,1.4,1.38,1.4,534000
1999-03-11,1.4,1.4,1.4,1.4,348000
1999-03-12,1.4,1.4,1.4,1.4,14000
1999-03-15,1.4,1.4,1.4,1.4,22000
1999-03-16,1.4,1.4,1.4,1.4,865000
1999-03-17,1.38,1.38,1.34,1.36,5090000
1999-03-19,1.38,1.4,1.38,1.4,1306000
1999-03-22,1.46,1.5,1.42,1.5,4069000
1999-03-23,1.46,1.5,1.44,1.5,329000
1999-03-24,1.48,1.48,1.44,1.44,1001000
1999-03-25,1.46,1.52,1.44,1.52,2025000
1999-03-26,1.5,1.52,1.5,1.5,1419000
1999-03-29,1.5,1.54,1.5,1.54,438000
1999-03-30,1.54,1.56,1.54,1.56,382000
1999-03-31,1.54,1.54,1.54,1.54,538000
1999-04-05,1.5,1.5,1.5,1.5,808000
1999-04-06,1.5,1.5,1.48,1.5,1260000
1999-04-07,1.5,1.52,1.5,1.52,3419000
1999-04-08,1.5,1.56,1.5,1.54,1772000
1999-04-12,1.62,1.76,1.62,1.68,6232000
1999-04-13,1.7,1.76,1.7,1.74,4053000
1999-04-14,1.74,1.74,1.66,1.66,2766000
1999-04-15,1.66,1.66,1.62,1.66,19487000
1999-04-16,1.68,1.76,1.68,1.72,10799000
1999-04-19,1.7,1.8,1.7,1.78,1210000
1999-04-20,1.78,1.78,1.74,1.76,1252000
1999-04-21,1.7,1.7,1.7,1.7,6802000
1999-04-22,1.76,1.76,1.72,1.74,800000
1999-04-23,1.7,1.7,1.7,1.7,922000
1999-04-26,1.7,1.76,1.7,1.76,8009000
1999-04-27,1.78,1.9,1.76,1.84,8022000
1999-04-28,1.82,1.92,1.82,1.9,5142000
1999-04-29,1.9,2.04,1.9,1.96,8252000
1999-04-30,1.9,2.02,1.9,1.98,13997000
1999-05-03,2.04,2.04,1.98,1.98,4623000
1999-05-04,2.0,2.0,1.9,1.98,5006000
1999-05-05,1.98,2.02,1.98,1.98,2956000
1999-05-06,1.98,2.1,1.98,2.1,9001000
1999-05-07,2.1,2.14,2.06,2.08,4352000
1999-05-10,2.1,2.1,2.06,2.08,6296000
1999-05-11,2.08,2.14,2.08,2.12,7561000
1999-05-12,2.1,2.24,2.08,2.2,23533000
1999-05-13,2.22,2.22,2.14,2.14,12298000
1999-05-14,2.2,2.4,2.2,2.3,22780000
1999-05-17,2.26,2.5,2.26,2.48,8632000
1999-05-18,2.48,2.65,2.46,2.5,10410000
1999-05-19,2.55,2.55,2.38,2.44,10871000
1999-05-20,2.42,2.48,2.34,2.48,4726000
1999-05-21,2.48,2.48,2.4,2.48,856000
1999-05-24,2.42,2.44,2.42,2.44,824000
1999-05-25,2.4,2.4,2.36,2.38,3629000
1999-05-26,2.36,2.36,2.3,2.32,4741000
1999-05-27,2.32,2.32,2.28,2.28,1240000
1999-05-28,2.28,2.28,2.22,2.24,1391000
1999-05-31,2.22,2.22,2.16,2.18,2812000
1999-06-01,2.24,2.26,2.2,2.22,3046000
1999-06-02,2.26,2.3,2.24,2.26,1312000
1999-06-03,2.26,2.26,2.16,2.2,4601000
1999-06-04,2.2,2.2,2.16,2.16,3779000
1999-06-07,2.16,2.16,2.14,2.14,1670000
1999-06-08,2.16,2.24,2.16,2.22,9761000
1999-06-09,2.22,2.26,2.2,2.2,308000
1999-06-10,2.2,2.24,2.2,2.24,2158000
1999-06-11,2.22,2.24,2.2,2.2,621000
1999-06-14,2.2,2.24,2.2,2.22,437000
1999-06-15,2.24,2.26,2.22,2.22,4140000
1999-06-16,2.22,2.22,2.2,2.2,618000
1999-06-17,2.2,2.2,2.18,2.2,374000
1999-06-18,2.18,2.22,2.14,2.14,493000
1999-06-21,2.14,2.18,2.06,2.18,817000
1999-06-22,2.18,2.18,2.16,2.18,1008000
1999-06-23,2.2,2.2,2.18,2.2,1974000
1999-06-24,2.2,2.2,2.14,2.2,4021000
1999-06-25,2.16,2.16,2.14,2.14,4249000
1999-06-28,2.12,2.14,2.1,2.1,1430000
1999-06-29,2.12,2.12,2.1,2.1,2556000
1999-06-30,2.12,2.12,2.08,2.08,6287000
1999-07-01,2.1,2.22,2.1,2.2,7138000
1999-07-02,2.26,2.34,2.24,2.26,23517000
1999-07-05,2.26,2.36,2.26,2.36,7908000
1999-07-06,2.34,2.34,2.24,2.28,4218000
1999-07-07,2.36,2.65,2.36,2.42,28495000
1999-07-08,2.55,2.55,2.4,2.42,3472000
1999-07-09,2.4,2.4,2.3,2.3,11062000
1999-07-12,2.28,2.28,2.2,2.22,2167000
1999-07-13,2.2,2.26,2.2,2.26,239000
1999-07-14,2.2,2.32,2.2,2.3,809000
1999-07-15,2.28,2.28,2.26,2.26,726000
1999-07-16,2.26,2.28,2.26,2.26,7336000
1999-07-19,2.24,2.24,2.24,2.24,60000
1999-07-20,2.22,2.22,2.2,2.2,1400000
1999-07-21,2.18,2.2,2.14,2.14,1634000
1999-07-22,2.16,2.16,2.14,2.16,1040000
1999-07-23,2.2,2.3,2.2,2.26,10221000
1999-07-26,2.26,2.26,2.16,2.2,3937000
1999-07-27,2.2,2.24,2.14,2.16,3710000
1999-07-28,2.2,2.2,2.18,2.2,4861000
1999-07-29,2.2,2.3,2.2,2.26,7788000
1999-07-30,2.2,2.22,2.2,2.2,886000
1999-08-02,2.24,2.42,2.24,2.4,12029000
1999-08-04,2.38,2.5,2.38,2.48,12268000
1999-08-05,2.48,2.55,2.44,2.46,15584000
1999-08-06,2.46,2.46,2.34,2.36,13904000
1999-08-09,2.38,2.48,2.38,2.4,25817000
1999-08-10,2.4,2.6,2.4,2.5,44844000
1999-08-11,2.55,2.55,2.46,2.55,30528000
1999-08-12,2.55,2.55,2.48,2.5,31139000
1999-08-13,2.48,2.5,2.42,2.46,35674000
1999-08-16,2.46,2.48,2.38,2.38,7134000
1999-08-17,2.4,2.42,2.3,2.3,7402000
1999-08-18,2.26,2.42,2.26,2.42,17901000
1999-08-19,2.4,2.5,2.4,2.5,17700000
1999-08-20,2.48,2.55,2.48,2.55,10662000
1999-08-23,2.5,2.5,2.46,2.5,1367000
1999-08-24,2.5,2.5,2.48,2.5,2936000
1999-08-25,2.5,2.5,2.44,2.48,11765000
1999-08-26,2.46,2.5,2.46,2.5,6665000
1999-08-27,2.46,2.5,2.46,2.5,3494000
1999-08-30,2.44,2.46,2.44,2.46,282000
1999-08-31,2.46,2.46,2.42,2.42,1111000
1999-09-01,2.42,2.42,2.42,2.42,449000
1999-09-02,2.44,2.46,2.42,2.44,3810000
1999-09-03,2.4,2.4,2.4,2.4,981000
1999-09-06,2.4,2.42,2.4,2.4,7827000
1999-09-07,2.4,2.42,2.38,2.4,5111000
1999-09-08,2.4,2.4,2.38,2.4,2110000
1999-09-09,2.38,2.4,2.34,2.38,4541000
1999-09-10,2.38,2.44,2.38,2.42,2172000
1999-09-13,2.4,2.4,2.22,2.22,7800000
1999-09-14,2.28,2.3,2.28,2.3,834000
1999-09-17,2.3,2.36,2.3,2.36,8413000
1999-09-20,2.36,2.38,2.34,2.38,10901000
1999-09-21,2.34,2.36,2.34,2.36,3781000
1999-09-22,2.34,2.36,2.34,2.34,2274000
1999-09-23,2.36,2.38,2.36,2.38,1439000
1999-09-24,2.28,2.3,2.28,2.3,614000
1999-09-27,2.3,2.3,2.28,2.3,1144000
1999-09-28,2.3,2.3,2.28,2.28,4848000
1999-09-29,2.28,2.28,2.28,2.28,1136000
1999-09-30,2.28,2.28,2.26,2.28,3555000
1999-10-01,2.24,2.26,2.24,2.24,742000
1999-10-04,2.22,2.3,2.22,2.3,1377000
1999-10-05,2.26,2.38,2.26,2.28,16921000
1999-10-06,2.3,2.3,2.24,2.24,1729000
1999-10-07,2.2,2.2,2.18,2.18,902000
1999-10-08,2.16,2.16,2.12,2.14,3108000
1999-10-11,2.1,2.18,2.1,2.14,1171000
1999-10-12,2.1,2.12,2.1,2.12,1898000
1999-10-13,2.1,2.1,2.08,2.1,2547000
1999-10-14,2.1,2.1,2.06,2.06,914000
1999-10-15,2.06,2.06,2.06,2.06,7000
1999-10-18,2.08,2.08,2.06,2.06,73000
1999-10-19,2.14,2.16,2.08,2.16,399000
1999-10-20,2.18,2.22,2.18,2.2,1799000
1999-10-21,2.2,2.2,2.14,2.14,2832000
1999-10-22,2.12,2.16,2.1,2.16,2692000
1999-10-25,2.16,2.16,2.12,2.16,2144000
1999-10-26,2.08,2.1,2.04,2.1,1460000
1999-10-27,2.1,2.1,2.08,2.1,2224000
1999-10-28,2.1,2.1,2.06,2.1,511000
1999-11-03,2.1,2.12,2.08,2.08,2881000
1999-11-04,2.08,2.08,2.02,2.06,2870000
1999-11-05,2.08,2.08,2.08,2.08,2330000
1999-11-08,2.06,2.08,2.06,2.06,4576000
1999-11-09,2.06,2.06,2.06,2.06,1705000
1999-11-10,2.06,2.06,2.06,2.06,105000
1999-11-11,2.06,2.06,2.06,2.06,2560000
1999-11-12,2.06,2.06,2.04,2.06,3911000
1999-11-15,2.06,2.06,2.06,2.06,227000
1999-11-16,2.06,2.06,2.06,2.06,318000
1999-11-17,2.06,2.06,2.06,2.06,2121000
1999-11-18,2.06,2.06,2.06,2.06,1838000
1999-11-19,2.06,2.06,2.06,2.06,2183000
1999-11-22,2.08,2.08,2.06,2.06,1217000
1999-11-23,2.06,2.06,2.06,2.06,154000
1999-11-24,2.06,2.06,2.06,2.06,325000
1999-11-25,2.08,2.12,2.08,2.1,452000
1999-11-26,2.1,2.1,2.1,2.1,45000
1999-11-29,2.1,2.12,2.1,2.12,1875000
1999-12-01,2.12,2.12,2.1,2.12,820000
