date,open,high,low,close,volume
2013-08-13,2.2,2.24,2.12,2.2,5611000
2013-08-14,2.2,2.28,2.17,2.26,2490000
2013-08-15,2.18,2.47,2.18,2.4,2783000
2013-08-16,2.4,2.65,2.4,2.55,3029000
2013-08-22,2.55,2.56,2.3,2.55,1688000
2013-08-23,2.6,2.75,2.5,2.6,495000
2013-08-27,2.6,2.6,2.42,2.42,4079000
2013-08-28,2.33,2.42,2.25,2.42,1493000
2013-08-29,2.45,2.45,2.35,2.35,322000
2013-08-30,2.36,2.36,2.26,2.32,434000
2013-09-02,2.27,2.33,2.27,2.32,92000
2013-09-03,2.32,2.54,2.32,2.47,870000
2013-09-04,2.55,2.55,2.31,2.55,1498000
2013-09-05,2.59,2.59,2.51,2.55,40000
2013-09-06,2.5,2.65,2.5,2.55,313000
2013-09-09,2.62,2.67,2.6,2.6,28000
2013-09-10,2.51,2.58,2.41,2.43,182000
2013-09-11,2.42,2.5,2.42,2.47,21000
2013-09-12,2.45,2.47,2.38,2.39,57000
2013-09-13,2.38,2.6,2.31,2.6,1183000
2013-09-16,2.57,2.86,2.5,2.81,1035000
2013-09-17,2.8,2.93,2.79,2.85,786000
2013-09-18,2.8,2.85,2.75,2.75,246000
2013-09-19,2.8,2.88,2.78,2.8,146000
2013-09-20,2.67,3.47,2.67,3.2,3441000
2013-09-23,3.2,3.29,3.15,3.15,667000
2013-09-24,3.25,3.25,3.07,3.07,374000
2013-09-25,3.07,3.16,3.03,3.05,86000
2013-09-26,3.15,3.33,3.12,3.3,935000
2013-09-27,3.34,3.57,3.34,3.48,1064000
2013-09-30,3.49,3.57,3.26,3.39,518000
2013-10-01,3.32,3.41,3.32,3.39,185000
2013-10-02,3.53,3.53,3.37,3.4,203000
2013-10-03,3.43,3.57,3.43,3.49,430000
2013-10-04,3.51,3.73,3.51,3.57,733000
2013-10-07,3.6,3.7,3.57,3.69,150000
2013-10-08,3.74,3.74,3.62,3.62,148000
2013-10-09,3.7,3.7,3.58,3.58,392000
2013-10-10,3.6,3.63,3.5,3.52,343000
2013-10-11,3.58,3.7,3.39,3.45,644000
2013-10-14,3.45,3.54,3.34,3.54,150000
2013-10-16,3.42,3.58,3.42,3.55,83000
2013-10-17,3.57,3.6,3.52,3.52,273000
2013-10-18,3.42,3.55,3.42,3.5,203000
2013-10-21,3.55,3.55,3.5,3.5,56000
2013-10-22,3.55,3.55,3.45,3.45,131000
2013-10-23,3.45,3.45,3.34,3.45,86000
2013-10-24,3.36,3.4,3.3,3.3,216000
2013-10-25,3.3,3.3,3.1,3.27,132000
2013-10-29,3.25,3.3,3.15,3.19,68000
2013-10-30,3.13,3.13,3.0,3.02,133000
2013-10-31,3.01,3.01,2.73,2.82,371000
2013-11-04,2.77,2.77,2.67,2.67,131000
2013-11-05,2.6,2.95,2.6,2.94,92000
2013-11-06,2.9,2.9,2.75,2.75,62000
2013-11-07,2.75,2.75,2.67,2.7,164000
2013-11-08,2.75,2.94,2.75,2.93,407000
2013-11-11,2.9,2.91,2.81,2.9,368000
2013-11-12,2.9,3.05,2.86,3.0,184000
2013-11-13,3.01,3.12,3.01,3.08,96000
2013-11-14,3.08,3.4,3.08,3.38,551000
2013-11-15,3.41,3.5,3.38,3.5,1623000
2013-11-18,3.52,3.57,3.46,3.46,265000
2013-11-19,3.36,3.4,3.26,3.39,174000
2013-11-20,3.35,3.37,3.0,3.0,146000
2013-11-21,3.1,3.4,3.1,3.34,87000
2013-11-22,3.45,3.46,3.25,3.45,286000
2013-11-25,3.63,3.63,3.39,3.39,88000
2013-11-26,3.06,3.38,3.0,3.28,66000
2013-11-27,3.04,3.24,3.04,3.1,70000
2013-11-28,3.1,3.1,3.0,3.07,76000
2013-11-29,3.24,3.25,3.24,3.25,6000
2013-12-02,3.03,3.03,3.0,3.03,68000
2013-12-03,3.17,3.17,3.1,3.1,47000
2013-12-04,3.08,3.1,3.08,3.1,16000
2013-12-05,3.0,3.01,3.0,3.01,30000
2013-12-06,3.1,3.1,3.0,3.0,50000
2013-12-09,3.09,3.09,3.09,3.09,2000
2013-12-10,2.96,3.09,2.96,3.0,36000
2013-12-11,3.08,3.08,3.0,3.0,23000
2013-12-12,2.98,3.0,2.85,2.85,55000
2013-12-13,2.8,2.93,2.65,2.93,28000
2013-12-16,2.93,2.99,2.93,2.99,9000
2013-12-17,2.99,3.06,2.99,3.06,60000
2013-12-18,3.07,3.08,2.95,2.95,64000
2013-12-19,2.95,3.05,2.95,3.0,116000
