date,open,high,low,close,volume
1999-04-19,1.32,1.36,1.32,1.32,1440000
1999-04-20,1.32,1.36,1.32,1.34,1027000
1999-04-21,1.32,1.32,1.32,1.32,590000
1999-04-22,1.32,1.32,1.32,1.32,286000
1999-04-23,1.32,1.34,1.32,1.34,240000
1999-04-26,1.34,1.34,1.34,1.34,205000
1999-04-27,1.34,1.34,1.34,1.34,300000
1999-04-28,1.34,1.36,1.34,1.36,820000
1999-04-29,1.36,1.38,1.34,1.34,450000
1999-04-30,1.38,1.4,1.36,1.36,540000
1999-05-03,1.36,1.36,1.36,1.36,482000
1999-05-04,1.36,1.36,1.36,1.36,327000
1999-05-05,1.36,1.36,1.36,1.36,400000
1999-05-06,1.4,1.4,1.36,1.36,345000
1999-05-07,1.36,1.36,1.36,1.36,400000
1999-05-10,1.36,1.36,1.36,1.36,350000
1999-05-11,1.36,1.4,1.36,1.38,265000
1999-05-12,1.38,1.38,1.38,1.38,200000
1999-05-13,1.4,1.4,1.4,1.4,200000
1999-05-14,1.4,1.4,1.4,1.4,137000
1999-05-17,1.38,1.38,1.38,1.38,200000
1999-05-18,1.4,1.4,1.38,1.38,117000
1999-05-19,1.38,1.38,1.36,1.36,450000
1999-05-20,1.36,1.36,1.36,1.36,200000
1999-05-21,1.36,1.36,1.36,1.36,250000
1999-05-24,1.4,1.4,1.38,1.4,175000
1999-05-25,1.36,1.36,1.36,1.36,200000
1999-05-28,1.36,1.36,1.36,1.36,200000
1999-05-31,1.38,1.38,1.38,1.38,200000
1999-06-01,1.38,1.38,1.38,1.38,200000
1999-06-02,1.38,1.38,1.38,1.38,167000
1999-06-03,1.4,1.4,1.38,1.38,200000
1999-06-04,1.38,1.38,1.38,1.38,210000
1999-06-07,1.38,1.38,1.38,1.38,200000
1999-06-08,1.36,1.36,1.36,1.36,100000
1999-06-09,1.36,1.36,1.36,1.36,100000
1999-06-10,1.4,1.4,1.36,1.36,180000
1999-06-11,1.36,1.36,1.36,1.36,80000
1999-06-14,1.36,1.36,1.36,1.36,200000
1999-06-16,1.4,1.4,1.36,1.36,190000
1999-06-18,1.36,1.36,1.36,1.36,200000
1999-06-28,1.36,1.36,1.36,1.36,200000
1999-06-29,1.36,1.36,1.36,1.36,220000
1999-07-02,1.36,1.36,1.36,1.36,110000
1999-07-09,1.36,1.36,1.36,1.36,10000
1999-07-12,1.5,1.5,1.36,1.36,120000
1999-07-16,1.4,1.4,1.4,1.4,50000
1999-07-19,1.28,1.28,1.28,1.28,80000
1999-07-20,1.28,1.28,1.28,1.28,80000
1999-07-22,1.26,1.26,1.26,1.26,100000
1999-07-23,1.26,1.26,1.26,1.26,20000
1999-08-02,1.26,1.26,1.26,1.26,100000
1999-08-18,1.26,1.26,1.26,1.26,54000
1999-08-23,1.26,1.26,1.26,1.26,235000
1999-08-31,1.28,1.28,1.26,1.28,217000
1999-09-01,1.28,1.4,1.28,1.34,112000
1999-09-02,1.4,1.42,1.4,1.42,30000
1999-09-03,1.5,1.5,1.5,1.5,35000
1999-09-06,1.72,2.1,1.64,2.1,70000
1999-09-07,2.5,2.5,2.12,2.22,160000
1999-09-08,2.5,3.3,2.5,3.3,291000
