date,open,high,low,close,volume
2018-05-02,106.0,106.0,106.0,106.0,2000
2018-05-08,106.2,107.0,106.2,107.0,1360
2018-05-18,103.0,103.0,103.0,103.0,590
2018-05-21,100.4,100.4,100.4,100.4,10000
2018-05-29,101.1,101.1,101.0,101.0,1000
2018-05-31,105.0,105.0,105.0,105.0,30
2018-06-08,101.1,101.1,101.1,101.1,1000
2018-06-11,105.0,105.0,105.0,105.0,1900
2018-06-13,102.0,102.0,102.0,102.0,500
2018-06-18,102.0,102.0,101.1,101.1,10000
2018-06-29,101.5,101.5,101.1,101.1,10000
2018-07-02,101.2,101.2,101.2,101.2,1000
2018-07-26,101.7,101.7,101.6,101.6,400
2018-08-07,101.6,101.6,101.5,101.5,800
2018-08-13,101.6,101.6,101.6,101.6,10000
2018-08-16,101.6,101.6,101.6,101.6,10300
2018-08-17,101.6,101.6,101.6,101.6,1000
2018-08-20,102.0,102.0,101.6,101.6,5800
2018-09-10,101.5,101.5,100.7,100.7,2000
2018-09-11,101.5,101.5,101.5,101.5,4900
2018-09-14,100.7,100.7,98.0,99.0,6410
2018-09-17,99.0,99.0,99.0,99.0,14210
2018-09-21,99.0,99.0,99.0,99.0,100
2018-09-25,100.0,100.0,100.0,100.0,500
2018-10-03,100.0,100.0,100.0,100.0,10000
2018-10-04,100.5,100.5,100.5,100.5,5500
2018-10-05,100.1,100.5,100.1,100.5,29500
2018-10-10,100.4,100.4,100.2,100.4,10300
2018-10-15,100.4,100.4,100.4,100.4,2000
2018-10-19,100.5,100.5,100.3,100.3,10000
2018-10-23,100.3,100.3,100.3,100.3,10000
2018-10-24,99.0,99.0,99.0,99.0,23000
2018-10-25,99.0,99.0,99.0,99.0,1000
2018-10-29,100.0,100.0,100.0,100.0,1400
2018-10-30,100.0,100.0,100.0,100.0,15600
2018-11-05,100.1,101.0,100.0,101.0,25000
2018-11-06,100.0,100.0,100.0,100.0,30000
2018-11-13,95.6,95.6,95.5,95.5,9400
2018-11-14,95.6,95.6,95.5,95.5,9500
2018-11-16,95.5,95.5,95.45,95.45,10000
2018-11-20,95.5,95.5,95.5,95.5,2900
2018-11-22,98.0,98.0,97.5,98.0,6200
2018-11-23,98.0,98.0,98.0,98.0,2000
2018-12-06,99.0,99.0,98.0,98.0,18040
2018-12-17,98.05,98.05,98.0,98.0,9100
2018-12-19,98.05,98.05,98.05,98.05,290
2018-12-20,101.0,101.0,101.0,101.0,20
2019-01-04,99.0,99.0,96.1,96.1,2300
2019-01-07,98.0,99.0,98.0,99.0,1000
2019-01-09,99.05,99.05,99.0,99.0,500
2019-01-11,100.9,100.9,100.9,100.9,10
2019-01-15,100.9,100.9,100.9,100.9,160
2019-01-16,99.9,100.9,99.9,100.9,1200
2019-01-22,100.9,101.0,100.0,100.0,53230
2019-01-23,100.0,100.0,100.0,100.0,100
2019-01-24,100.0,100.0,100.0,100.0,250
2019-01-25,101.0,101.0,101.0,101.0,1000
2019-01-30,101.0,101.0,100.9,101.0,9000
2019-02-01,101.5,101.5,101.5,101.5,630
2019-02-04,101.6,101.6,101.6,101.6,150
2019-02-06,101.5,101.5,101.5,101.5,1870
2019-02-15,101.0,101.0,101.0,101.0,1500
2019-02-19,102.0,102.0,102.0,102.0,90
2019-02-21,100.0,100.0,100.0,100.0,12000
2019-02-22,100.0,100.0,100.0,100.0,8000
2019-03-01,100.0,100.0,100.0,100.0,6220
2019-03-05,100.0,100.0,100.0,100.0,100
2019-03-07,100.0,100.0,100.0,100.0,1960
2019-03-08,100.0,100.0,100.0,100.0,1000
2019-03-11,100.0,100.0,100.0,100.0,720
2019-03-13,100.0,100.0,100.0,100.0,10000
2019-03-20,100.0,100.0,100.0,100.0,6330
2019-03-22,100.0,100.0,100.0,100.0,3280
2019-04-01,100.0,100.0,99.8,99.8,11800
2019-04-02,99.8,99.8,99.5,99.5,24200
2019-04-12,98.1,98.1,97.0,97.0,10000
2019-04-16,101.8,101.8,101.8,101.8,160
2019-04-26,97.3,97.3,96.0,96.0,6400
2019-04-30,97.0,97.0,97.0,97.0,5000
2019-05-03,98.6,98.6,96.3,96.3,6350
2019-05-06,99.0,99.0,99.0,99.0,500
2019-05-27,99.0,99.0,99.0,99.0,100
2019-05-31,98.5,98.5,98.0,98.0,5170
2019-06-03,98.0,98.0,98.0,98.0,2400
2019-06-04,98.0,98.0,98.0,98.0,5000
2019-06-10,98.0,98.0,98.0,98.0,15500
2019-06-11,99.0,99.0,99.0,99.0,2000
2019-06-18,98.0,98.05,98.0,98.05,8000
2019-06-19,98.05,98.05,98.05,98.05,3100
2019-06-20,99.9,100.0,99.9,100.0,10070
2019-06-21,99.5,99.5,99.0,99.0,10000
2019-06-27,99.0,99.0,99.0,99.0,90
2019-07-01,100.0,100.0,100.0,100.0,4400
2019-07-03,100.0,100.0,100.0,100.0,6000
2019-07-04,100.0,100.0,100.0,100.0,25600
2019-07-05,100.0,100.0,100.0,100.0,10
2019-07-08,100.0,100.0,100.0,100.0,9800
2019-07-12,100.0,100.0,100.0,100.0,200
2019-07-17,101.0,101.0,100.0,100.0,53150
2019-07-18,101.0,101.0,101.0,101.0,800
2019-07-24,100.0,100.0,100.0,100.0,90
2019-07-26,101.0,101.0,100.0,101.0,6190
2019-07-30,100.0,100.0,100.0,100.0,200
2019-07-31,101.0,101.0,101.0,101.0,5750
2019-08-01,101.0,101.0,101.0,101.0,1510
2019-08-02,101.0,101.0,101.0,101.0,200
2019-08-06,102.0,102.0,102.0,102.0,60
2019-08-07,102.0,102.0,102.0,102.0,10
2019-08-08,100.1,100.1,100.1,100.1,10
2019-08-09,102.0,102.0,102.0,102.0,1430
2019-08-14,105.0,105.0,105.0,105.0,470
2019-08-15,104.9,104.9,104.9,104.9,300
2019-08-20,101.2,101.2,101.2,101.2,1000
2019-08-22,101.0,101.0,101.0,101.0,500
2019-08-27,104.8,105.0,104.8,105.0,76730
2019-08-28,101.3,102.0,101.2,102.0,1000
2019-09-02,101.2,104.8,101.2,104.8,1700
2019-09-04,102.0,102.0,102.0,102.0,150
2019-09-11,102.0,102.0,102.0,102.0,840
2019-09-17,102.0,102.0,101.2,101.2,2160
2019-09-19,102.0,102.0,102.0,102.0,230
2019-09-20,102.0,102.0,102.0,102.0,1870
2019-09-23,101.3,101.3,100.0,100.0,10640
2019-09-25,100.5,100.5,100.5,100.5,500
2019-10-02,100.5,103.0,100.0,103.0,20020
2019-10-14,103.5,103.5,100.0,100.0,13800
2019-10-15,101.2,101.2,100.2,100.2,21000
2019-10-16,103.8,103.8,103.8,103.8,10
2019-10-22,103.4,103.4,100.7,100.7,300
2019-10-28,103.4,103.4,103.4,103.4,80
2019-10-30,103.3,103.3,103.3,103.3,2000
2019-10-31,103.3,103.3,103.3,103.3,290
2019-11-05,102.0,102.0,102.0,102.0,9400
2019-11-06,101.0,101.0,100.1,100.1,8530
2019-11-11,101.1,101.1,101.1,101.1,1180
2019-11-14,101.3,101.3,101.3,101.3,1380
2019-11-19,100.5,100.5,100.5,100.5,550
2019-11-20,100.5,100.5,100.0,100.0,23000
2019-11-22,100.0,100.0,100.0,100.0,11000
2019-11-25,100.1,101.5,100.1,101.5,850
2019-11-27,100.0,100.0,100.0,100.0,5240
2019-12-05,101.3,101.3,101.3,101.3,84000
2019-12-06,101.5,101.5,101.5,101.5,660
2019-12-11,101.3,101.3,101.3,101.3,500
2019-12-12,101.3,101.3,101.3,101.3,73100
2019-12-13,101.3,101.3,101.3,101.3,10
2019-12-16,103.3,103.3,103.3,103.3,100
2019-12-17,103.3,103.3,103.3,103.3,10
2019-12-19,101.3,101.3,101.3,101.3,30
2019-12-23,102.5,103.3,102.5,103.3,3090
2019-12-27,101.3,101.3,98.25,101.3,510
2020-01-03,98.8,98.8,98.8,98.8,10
2020-01-07,103.1,103.1,103.1,103.1,1050
2020-01-08,103.1,103.1,100.1,100.1,17160
2020-01-14,100.4,101.5,100.4,101.5,150
2020-01-15,101.5,101.5,101.5,101.5,860
2020-01-28,103.1,103.1,103.1,103.1,200
2020-01-31,103.1,103.1,103.1,103.1,490
2020-02-03,101.0,103.1,101.0,103.1,3010
2020-02-04,101.5,102.0,101.5,101.5,250
2020-02-05,103.1,103.2,103.1,103.2,170
2020-02-07,103.2,103.2,103.2,103.2,130
2020-02-10,103.2,103.2,103.2,103.2,280
2020-02-11,99.5,99.5,99.5,99.5,100
2020-02-17,100.1,100.1,100.0,100.0,10870
2020-02-26,100.4,100.4,100.1,100.1,2000
2020-02-27,100.2,100.2,100.2,100.2,200
2020-03-05,104.7,104.7,104.7,104.7,10
2020-03-12,100.3,100.3,100.3,100.3,6600
2020-03-13,100.5,102.3,100.5,102.3,3510
2020-03-19,100.4,100.4,100.3,100.4,13810
2020-03-20,100.4,100.4,100.2,100.2,6070
2020-03-23,100.2,100.2,100.2,100.2,16780
2020-03-24,100.2,100.2,100.2,100.2,2690
2020-03-25,99.0,99.0,99.0,99.0,3160
2020-03-26,99.0,99.0,99.0,99.0,1940
2020-03-27,98.0,98.0,98.0,98.0,2000
2020-03-30,98.0,98.0,98.0,98.0,2000
2020-04-01,100.0,100.0,100.0,100.0,7000
2020-04-06,99.0,99.0,99.0,99.0,1200
2020-04-07,98.0,100.0,98.0,100.0,330
2020-04-15,101.0,101.0,101.0,101.0,10
2020-04-21,100.0,100.0,100.0,100.0,1480
2020-04-28,100.0,100.0,100.0,100.0,8520
