date,open,high,low,close,volume
2007-08-08,6.1,8.9,6.1,8.1,5249000
2007-08-09,8.2,8.2,7.4,7.7,1911000
2007-08-10,7.3,7.5,7.0,7.5,355000
2007-08-13,7.4,7.4,7.0,7.2,592000
2007-08-14,7.2,7.2,6.9,7.0,182000
2007-08-15,6.8,6.8,6.7,6.7,1193000
2007-08-16,6.5,6.5,6.0,6.4,39000
2007-08-17,6.0,6.2,6.0,6.2,13000
2007-08-21,6.4,6.4,5.0,6.4,1887000
2007-08-22,6.4,6.9,6.4,6.8,209000
2007-08-23,6.8,6.9,6.7,6.9,121000
2007-08-24,6.9,7.0,6.7,7.0,188000
2007-08-28,7.0,7.1,6.5,7.0,119000
2007-08-29,6.9,6.9,6.7,6.9,91000
2007-08-30,7.0,7.0,6.8,7.0,207000
2007-08-31,6.9,7.0,6.8,7.0,130000
2007-09-03,7.0,7.0,6.8,6.9,162000
2007-09-04,6.9,6.9,6.5,6.8,100000
2007-09-05,6.9,7.4,6.7,7.2,534000
2007-09-06,7.4,7.6,7.4,7.5,295000
2007-09-07,7.5,7.7,7.5,7.5,157000
2007-09-10,7.5,7.7,7.3,7.5,45000
2007-09-11,7.5,7.6,7.3,7.4,103000
2007-09-12,7.5,7.7,7.3,7.7,193000
2007-09-13,7.7,7.7,7.4,7.6,111000
2007-09-14,7.6,8.0,7.6,7.8,205000
2007-09-17,7.7,7.9,7.7,7.8,593000
2007-09-18,7.9,8.1,7.8,7.9,298000
2007-09-19,8.0,8.4,8.0,8.1,366000
2007-09-20,8.1,8.2,8.0,8.1,161000
2007-09-21,8.1,8.1,8.0,8.0,10000
2007-09-24,8.0,8.1,7.9,7.9,43000
2007-09-25,8.0,8.1,7.9,7.9,12000
2007-09-26,8.0,8.0,7.7,7.7,26000
2007-09-27,7.9,8.1,7.9,8.0,62000
2007-09-28,8.0,8.0,7.7,7.8,62000
2007-10-01,7.9,7.9,7.8,7.9,15000
2007-10-02,8.0,8.0,7.7,7.8,77000
2007-10-03,7.9,8.0,7.6,8.0,144000
2007-10-04,7.9,8.0,7.7,7.7,12000
2007-10-05,7.9,7.9,7.5,7.7,221000
2007-10-08,7.8,7.9,7.8,7.9,9000
2007-10-09,7.8,7.8,7.6,7.8,18000
2007-10-10,7.8,7.8,7.6,7.8,30000
2007-10-11,7.8,7.8,7.6,7.7,15000
2007-10-15,7.7,8.0,7.7,8.0,162000
2007-10-16,8.0,8.0,7.7,7.9,137000
2007-10-17,7.8,7.9,7.8,7.9,9000
2007-10-18,7.7,7.9,7.6,7.9,52000
2007-10-19,7.8,7.9,7.6,7.8,31000
2007-10-22,7.0,7.7,7.0,7.6,48000
2007-10-23,7.6,7.9,7.5,7.5,46000
2007-10-24,7.8,7.8,7.6,7.8,45000
2007-10-25,7.6,7.7,7.6,7.7,11000
2007-10-26,7.5,7.6,7.5,7.6,25000
2007-10-30,7.8,7.8,7.6,7.8,76000
2007-10-31,7.6,7.7,7.5,7.7,76000
2007-11-05,7.7,7.8,7.6,7.7,28000
2007-11-07,7.6,7.7,7.6,7.7,12000
2007-11-08,7.5,7.7,7.5,7.7,22000
2007-11-09,7.5,7.7,7.5,7.7,24000
2007-11-12,7.4,7.7,7.4,7.7,82000
2007-11-13,7.4,7.6,7.4,7.5,42000
2007-11-14,7.4,7.5,7.4,7.5,22000
2007-11-15,7.5,7.6,7.4,7.5,37000
2007-11-16,7.5,7.6,7.2,7.2,62000
2007-11-19,7.3,7.6,7.2,7.2,17000
2007-11-20,7.5,7.6,7.2,7.5,39000
2007-11-21,7.2,7.4,7.2,7.4,26000
2007-11-22,7.2,7.4,7.2,7.4,24000
2007-11-23,7.2,7.4,7.2,7.4,25000
2007-11-26,7.2,7.4,7.2,7.4,64000
2007-11-28,7.1,7.4,7.1,7.4,104000
2007-11-29,7.1,7.4,7.0,7.4,168000
2007-12-03,7.3,7.4,7.1,7.4,48000
2007-12-06,7.4,7.4,7.1,7.3,17000
2007-12-07,7.3,7.4,7.2,7.4,17000
2007-12-11,7.3,7.4,7.1,7.3,36000
2007-12-12,5.9,7.3,5.9,7.1,26000
2007-12-13,7.1,7.4,7.1,7.4,87000
2007-12-14,7.1,7.4,7.1,7.3,20000
2007-12-17,7.1,7.3,7.1,7.3,24000
2007-12-18,7.0,7.2,7.0,7.2,35000
2007-12-21,7.2,7.3,7.2,7.3,7000
2007-12-26,6.8,7.2,6.8,7.2,96000
2007-12-28,6.8,6.8,6.8,6.8,28000
2008-01-02,7.1,7.1,7.1,7.1,5000
2008-01-03,7.1,7.2,7.0,7.2,29000
2008-01-04,6.6,7.1,6.6,7.1,11000
2008-01-07,6.6,7.0,6.6,6.8,40000
2008-01-08,6.9,7.0,6.8,7.0,75000
2008-01-11,7.0,7.1,7.0,7.0,49000
2008-01-14,7.0,7.2,7.0,7.2,48000
2008-01-15,6.7,7.1,6.7,7.1,7000
2008-01-17,6.7,6.9,6.6,6.9,38000
2008-01-18,5.5,6.8,5.5,6.8,34000
2008-01-21,6.7,6.8,6.7,6.8,12000
2008-01-22,6.3,6.7,6.2,6.7,32000
2008-01-23,6.7,6.8,6.7,6.8,24000
2008-01-24,6.7,6.8,6.2,6.7,33000
2008-01-25,6.6,6.7,6.6,6.7,6000
2008-01-30,6.5,6.6,6.5,6.6,7000
2008-01-31,6.6,6.7,6.6,6.6,15000
2008-02-01,6.6,6.8,5.8,6.7,32000
2008-02-04,6.6,6.8,6.6,6.8,66000
2008-02-05,6.7,6.8,6.4,6.8,40000
2008-02-06,6.4,6.6,6.3,6.6,30000
