date,open,high,low,close,volume
1999-02-04,12.0,12.0,11.75,12.0,2530600
1999-02-05,12.0,12.5,12.0,12.0,7465000
1999-02-08,12.0,12.5,12.0,12.0,7465000
1999-02-09,12.0,12.5,12.0,12.0,7465000
1999-02-10,12.0,12.5,12.0,12.0,7465000
1999-02-11,12.0,12.5,12.0,12.0,7465000
1999-02-12,11.75,11.75,11.75,11.75,2885500
1999-02-15,11.75,11.75,11.5,11.5,111900
1999-02-16,11.75,11.75,11.75,11.75,663700
1999-02-17,11.75,11.75,11.75,11.75,783500
1999-02-18,11.75,12.0,11.75,12.0,1908800
1999-02-19,12.0,12.25,11.75,12.0,2970500
1999-02-22,12.0,12.0,11.75,12.0,520000
1999-02-23,12.0,12.25,11.75,12.0,4088300
1999-02-24,12.0,12.0,11.5,11.75,2931400
1999-02-25,11.5,12.0,11.5,11.75,1898500
1999-02-26,11.5,11.75,11.5,11.5,4681400
1999-03-01,11.75,11.75,11.5,11.75,2998500
1999-03-02,11.75,11.75,11.5,11.75,2100700
1999-03-03,11.75,12.0,11.5,11.75,6749400
1999-03-04,11.75,11.75,11.5,11.75,3976800
1999-03-05,11.75,12.0,11.75,12.0,6750000
1999-03-08,12.25,12.5,12.0,12.5,4448200
1999-03-09,12.25,12.25,11.75,12.0,5521600
1999-03-10,12.0,12.0,11.75,11.75,4711300
1999-03-11,11.5,11.5,11.25,11.25,10217600
1999-03-12,11.25,11.25,11.0,11.0,13653500
1999-03-15,11.25,11.25,11.0,11.25,24723800
1999-03-16,11.25,11.75,11.25,11.75,3379400
1999-03-17,11.5,11.75,11.25,11.5,9639700
1999-03-18,11.25,11.5,11.25,11.5,5052000
1999-03-19,11.75,11.75,11.25,11.5,16875900
1999-03-22,11.5,11.75,11.5,11.75,2496700
1999-03-23,11.75,12.0,11.75,12.0,19123100
1999-03-24,11.5,11.75,11.5,11.5,5411900
1999-03-25,11.5,11.5,11.0,11.25,11568300
1999-03-26,11.25,11.25,11.25,11.25,4799500
1999-03-29,11.25,11.25,11.0,11.25,3150400
1999-03-30,11.25,11.25,11.0,11.0,6027800
1999-03-31,11.25,11.25,11.0,11.25,5315700
1999-04-05,11.0,11.25,11.0,11.25,1022200
1999-04-06,11.25,11.5,11.0,11.25,9430000
1999-04-07,11.25,11.5,11.0,11.25,9626200
1999-04-08,11.5,11.75,11.5,11.5,23262500
1999-04-12,12.0,12.25,11.75,12.0,23498700
1999-04-13,12.25,12.25,12.0,12.25,21024400
1999-04-14,12.25,12.75,12.25,12.5,13597100
1999-04-15,12.5,12.75,12.25,12.5,5329600
1999-04-16,12.5,12.5,12.25,12.25,14467500
1999-04-19,13.0,14.0,13.0,14.0,25061100
1999-04-20,13.5,14.25,13.5,14.0,30549500
1999-04-21,13.75,14.0,13.5,13.75,9505600
1999-04-22,13.5,13.75,13.5,13.5,8917800
1999-04-23,13.75,14.25,13.75,14.25,21687400
1999-04-26,14.0,14.25,14.0,14.0,15123100
1999-04-27,14.0,14.25,14.0,14.25,6473000
1999-04-28,14.25,14.5,14.0,14.25,18044300
1999-04-29,14.0,14.25,13.5,13.75,4324500
1999-04-30,13.5,14.0,13.5,14.0,9120400
1999-05-03,13.75,14.0,13.75,13.75,4713900
1999-05-04,14.0,14.0,13.5,13.5,10134600
1999-05-05,13.5,13.5,13.25,13.5,4820000
1999-05-06,13.5,14.5,13.5,14.25,16664000
1999-05-07,14.25,14.75,13.75,14.0,12060300
1999-05-10,14.0,14.25,13.75,13.75,5826600
1999-05-11,14.0,14.0,13.5,13.75,5839500
1999-05-12,13.75,14.0,13.5,14.0,6755900
1999-05-13,13.75,13.75,13.25,13.5,10464200
1999-05-14,13.5,13.5,13.5,13.5,4451900
1999-05-17,13.25,13.5,13.0,13.5,6053900
1999-05-18,13.25,13.25,12.75,12.75,6408100
1999-05-19,12.25,12.5,12.0,12.0,12264800
1999-05-20,12.0,12.0,11.25,11.75,15251200
1999-05-21,11.75,11.75,11.5,11.5,17324000
1999-05-24,11.75,12.25,11.75,12.25,13987700
1999-05-25,12.0,12.0,11.75,11.75,7025600
1999-05-26,11.75,12.0,11.75,12.0,10866000
1999-05-27,12.0,12.25,12.0,12.25,7976800
1999-05-28,12.0,12.25,12.0,12.25,9963000
1999-05-31,12.25,12.75,12.25,12.5,3486800
1999-06-01,12.5,13.0,12.5,12.75,5213100
1999-06-02,13.0,13.0,12.5,12.5,6486200
1999-06-03,12.5,12.75,12.25,12.5,8276200
1999-06-04,11.75,12.0,11.5,12.0,17689500
1999-06-07,12.5,12.5,12.0,12.25,11697700
1999-06-08,12.25,12.25,12.0,12.25,9475500
1999-06-09,12.0,12.0,11.5,12.0,17898900
1999-06-10,12.25,12.25,11.75,11.75,6895200
1999-06-11,11.75,11.75,11.5,11.75,9809400
1999-06-14,11.75,12.0,11.5,11.75,9864500
1999-06-15,11.5,11.75,11.5,11.5,6938600
1999-06-16,11.5,11.75,11.25,11.5,10020200
1999-06-17,11.5,11.75,11.5,11.5,19984200
1999-06-18,11.5,11.75,11.25,11.5,5476200
1999-06-21,11.5,11.75,11.25,11.5,9360600
1999-06-22,11.75,12.0,11.25,11.25,15119500
1999-06-23,11.5,12.25,11.5,12.0,10177400
1999-06-24,12.0,12.5,12.0,12.25,10047200
1999-06-25,12.5,12.5,11.5,11.75,12257200
1999-06-28,12.0,12.25,12.0,12.0,11982700
1999-06-29,12.25,12.75,12.25,12.5,10362400
1999-06-30,12.5,12.5,12.0,12.0,4678800
1999-07-01,12.25,12.5,12.0,12.25,6042700
1999-07-02,12.25,12.5,12.25,12.25,4004600
1999-07-05,12.5,13.25,12.5,13.25,8130300
1999-07-06,13.0,13.0,12.5,12.75,5397400
1999-07-07,12.75,13.0,12.75,13.0,3521100
1999-07-08,12.75,12.75,12.5,12.5,5312500
1999-07-09,12.5,12.75,12.5,12.75,5362900
1999-07-12,12.75,13.0,12.5,12.75,5900300
1999-07-13,12.75,12.75,12.5,12.75,4828200
1999-07-14,12.75,12.75,12.0,12.0,9059000
1999-07-15,12.0,12.5,12.0,12.25,12634500
1999-07-16,12.25,12.5,12.0,12.25,4778000
1999-07-19,12.5,12.5,12.25,12.25,29081700
1999-07-20,12.25,12.5,12.0,12.25,1792200
