date,open,high,low,close,volume
2019-06-03,3.61,3.75,3.6,3.72,10625000
2019-06-04,3.73,3.74,3.59,3.65,7916000
2019-06-06,3.65,3.73,3.65,3.71,6505000
2019-06-07,3.7,3.7,3.52,3.62,3434000
2019-06-10,3.63,3.65,3.44,3.44,7145000
2019-06-11,3.44,3.55,3.42,3.49,8384000
2019-06-13,3.52,3.65,3.46,3.62,6129000
2019-06-14,3.63,3.63,3.5,3.55,1608000
2019-06-17,3.55,3.73,3.47,3.72,14433000
2019-06-18,3.74,3.8,3.6,3.62,15942000
2019-06-19,3.63,3.7,3.57,3.64,3876000
2019-06-20,3.62,3.71,3.62,3.64,3529000
2019-06-21,3.63,3.67,3.62,3.67,5006000
2019-06-24,3.66,3.68,3.64,3.64,5399000
2019-06-25,3.64,3.9,3.52,3.83,36069000
2019-06-26,3.83,3.99,3.8,3.99,12217000
2019-06-27,3.98,3.99,3.9,3.98,13068000
2019-06-28,3.99,4.06,3.76,3.81,26872000
2019-07-01,3.76,3.87,3.67,3.87,8739000
2019-07-02,3.87,3.89,3.86,3.87,6687000
2019-07-03,3.89,3.98,3.86,3.97,9063000
2019-07-04,3.99,3.99,3.92,3.92,1210000
2019-07-05,3.94,3.95,3.83,3.86,2776000
2019-07-08,3.85,3.85,3.75,3.75,5609000
2019-07-09,3.8,3.8,3.62,3.78,11546000
2019-07-10,3.8,3.88,3.78,3.78,3084000
2019-07-11,3.83,3.83,3.75,3.81,1874000
2019-07-12,3.78,3.9,3.76,3.89,2295000
2019-07-15,3.88,3.98,3.86,3.98,4574000
2019-07-16,3.98,4.02,3.93,3.99,12979000
2019-07-17,4.0,4.02,3.95,4.0,5963000
2019-07-18,4.0,4.01,3.85,3.97,2600000
2019-07-19,3.97,4.01,3.91,4.01,5139000
2019-07-22,4.05,4.16,4.05,4.15,31090000
2019-07-23,4.19,4.25,4.11,4.15,15201000
2019-07-24,4.15,4.21,4.07,4.21,5816000
2019-07-25,4.21,4.29,4.15,4.22,5297000
2019-07-26,4.23,4.31,4.18,4.26,8772000
2019-07-29,4.28,4.3,4.24,4.28,6676000
2019-07-30,4.3,4.3,4.05,4.05,9890000
2019-07-31,4.05,4.09,3.92,3.99,11681000
2019-08-01,3.96,3.96,3.86,3.93,5594000
2019-08-02,3.93,4.04,3.89,4.04,1693000
2019-08-05,4.05,4.05,3.87,3.87,5074000
2019-08-06,3.84,3.84,3.65,3.78,8421000
2019-08-07,3.77,3.86,3.76,3.8,3199000
2019-08-08,3.82,3.92,3.82,3.9,1884000
2019-08-09,3.9,3.9,3.74,3.74,5976000
2019-08-13,3.7,3.7,3.5,3.56,6030000
2019-08-14,3.54,3.67,3.54,3.66,2010000
2019-08-15,3.58,3.65,3.51,3.61,3163000
2019-08-16,3.62,3.76,3.62,3.73,2190000
2019-08-19,3.74,3.8,3.74,3.77,1250000
2019-08-20,3.79,3.79,3.64,3.74,2115000
2019-08-22,3.74,3.74,3.6,3.66,2463000
2019-08-23,3.62,3.62,3.5,3.54,3861000
2019-08-27,3.5,3.5,3.38,3.41,2861000
2019-08-28,3.39,3.5,3.36,3.5,2258000
2019-08-29,3.5,3.54,3.43,3.47,1045000
2019-08-30,3.43,3.57,3.43,3.55,1732000
2019-09-02,3.56,3.61,3.54,3.54,1945000
2019-09-03,3.52,3.54,3.44,3.48,1873000
2019-09-04,3.46,3.52,3.45,3.49,2099000
2019-09-05,3.49,3.52,3.48,3.48,1982000
2019-09-06,3.5,3.56,3.4,3.43,7085000
2019-09-09,3.4,3.42,3.28,3.37,5737000
2019-09-10,3.4,3.43,3.35,3.39,1594000
2019-09-11,3.4,3.45,3.38,3.41,5808000
2019-09-12,3.45,3.61,3.45,3.6,7680000
2019-09-13,3.63,3.69,3.56,3.63,2850000
2019-09-16,3.6,3.67,3.58,3.64,6385000
2019-09-17,3.6,3.61,3.45,3.51,2332000
2019-09-18,3.5,3.52,3.4,3.48,3227000
2019-09-19,3.51,3.52,3.43,3.44,2261000
2019-09-20,3.47,3.52,3.44,3.5,1790000
2019-09-23,3.54,3.59,3.43,3.59,12337000
2019-09-24,3.61,3.63,3.56,3.59,1744000
2019-09-25,3.6,3.61,3.46,3.5,2483000
2019-09-26,3.53,3.6,3.52,3.6,7579000
2019-09-27,3.57,3.66,3.57,3.59,6295000
2019-09-30,3.58,3.6,3.5,3.5,971000
2019-10-01,3.51,3.52,3.47,3.48,539000
2019-10-02,3.48,3.49,3.45,3.49,839000
2019-10-03,3.45,3.45,3.36,3.37,3440000
2019-10-04,3.36,3.45,3.36,3.43,930000
2019-10-07,3.48,3.48,3.38,3.45,406000
2019-10-08,3.44,3.46,3.38,3.43,7117000
2019-10-09,3.49,3.49,3.41,3.41,430000
2019-10-10,3.4,3.44,3.37,3.43,14359000
2019-10-11,3.45,3.53,3.4,3.49,7623000
2019-10-14,3.51,3.56,3.5,3.55,1329000
2019-10-15,3.57,3.57,3.45,3.53,562000
2019-10-16,3.53,3.69,3.49,3.65,5161000
2019-10-17,3.66,3.68,3.6,3.65,1583000
2019-10-18,3.65,3.77,3.62,3.77,2655000
2019-10-21,3.77,3.78,3.65,3.76,2032000
2019-10-22,3.75,3.75,3.65,3.65,2742000
2019-10-23,3.65,3.7,3.62,3.69,502000
2019-10-24,3.69,3.69,3.65,3.68,934000
2019-10-25,3.68,3.7,3.65,3.7,1413000
2019-10-28,3.7,3.7,3.53,3.56,1997000
2019-10-29,3.56,3.68,3.46,3.66,41735000
2019-10-30,3.66,3.66,3.58,3.63,769000
2019-10-31,3.63,3.63,3.57,3.6,569000
2019-11-04,3.6,3.64,3.6,3.64,279000
2019-11-05,3.64,3.64,3.6,3.61,402000
2019-11-06,3.61,3.64,3.6,3.6,347000
2019-11-07,3.59,3.59,3.5,3.58,2219000
2019-11-08,3.53,3.54,3.51,3.53,588000
2019-11-11,3.57,3.57,3.5,3.5,1216000
2019-11-12,3.5,3.55,3.5,3.5,1079000
2019-11-13,3.55,3.55,3.5,3.51,505000
2019-11-14,3.53,3.68,3.5,3.65,4320000
2019-11-15,3.66,3.71,3.62,3.62,2493000
2019-11-18,3.62,3.62,3.51,3.51,1052000
2019-11-19,3.52,3.65,3.5,3.5,1129000
2019-11-20,3.55,3.55,3.43,3.43,3430000
2019-11-21,3.44,3.45,3.38,3.38,2652000
2019-11-22,3.38,3.5,3.38,3.41,581000
2019-11-25,3.42,3.42,3.39,3.4,303000
2019-11-26,3.4,3.46,3.38,3.42,632000
2019-11-27,3.43,3.49,3.43,3.48,287000
2019-11-28,3.49,3.49,3.39,3.39,566000
2019-11-29,3.4,3.4,3.38,3.39,2506000
2019-12-02,3.38,3.39,3.32,3.36,2067000
2019-12-03,3.37,3.45,3.37,3.4,242000
2019-12-04,3.42,3.44,3.38,3.39,562000
2019-12-05,3.42,3.42,3.37,3.39,364000
2019-12-06,3.41,3.41,3.33,3.33,275000
2019-12-09,3.32,3.44,3.32,3.33,795000
2019-12-10,3.32,3.32,3.0,3.04,19562000
2019-12-11,3.04,3.13,3.04,3.05,2014000
2019-12-12,3.05,3.11,3.05,3.07,444000
2019-12-13,3.05,3.09,3.05,3.08,656000
2019-12-16,3.11,3.13,3.04,3.04,1127000
2019-12-17,3.02,3.08,2.85,2.94,1407000
2019-12-18,3.06,3.06,2.96,3.05,901000
2019-12-19,3.02,3.07,3.02,3.05,394000
2019-12-20,3.05,3.05,2.96,2.98,448000
2019-12-23,2.96,3.0,2.95,2.99,252000
2019-12-26,2.96,3.01,2.96,3.01,286000
2019-12-27,3.02,3.02,2.99,2.99,1783000
2020-01-02,2.98,3.0,2.92,2.94,976000
2020-01-03,2.94,2.98,2.9,2.92,1550000
2020-01-06,2.97,2.97,2.85,2.93,630000
2020-01-07,2.93,3.01,2.91,3.01,1403000
2020-01-08,3.01,3.01,2.92,2.97,10821000
2020-01-09,2.99,3.03,2.95,2.95,290000
2020-01-10,2.95,2.99,2.92,2.92,681000
2020-01-14,2.91,2.91,2.85,2.9,734000
2020-01-15,2.93,2.93,2.83,2.85,782000
2020-01-16,2.84,2.88,2.83,2.83,446000
2020-01-17,2.85,2.92,2.82,2.83,3600000
2020-01-20,2.83,2.84,2.66,2.68,7379000
2020-01-21,2.68,2.68,2.5,2.6,1933000
2020-01-22,2.59,2.59,2.5,2.58,843000
2020-01-23,2.54,2.68,2.54,2.68,997000
2020-01-24,2.68,2.74,2.67,2.72,2993000
2020-01-27,2.72,2.72,2.62,2.67,570000
2020-01-28,2.65,2.65,2.58,2.58,1370000
2020-01-29,2.6,2.66,2.6,2.61,587000
2020-01-30,2.64,2.67,2.6,2.67,3428000
2020-01-31,2.68,2.74,2.52,2.55,1447000
2020-02-03,2.55,2.55,2.48,2.5,946000
2020-02-04,2.48,2.5,2.45,2.5,255000
2020-02-05,2.5,2.66,2.5,2.66,401000
2020-02-06,2.66,2.77,2.66,2.77,1012000
2020-02-07,2.79,2.81,2.73,2.78,888000
2020-02-10,2.78,2.78,2.7,2.7,4148000
2020-02-11,2.7,2.7,2.61,2.61,624000
2020-02-12,2.61,2.62,2.56,2.56,589000
2020-02-13,2.54,2.56,2.5,2.5,1118000
2020-02-14,2.55,2.55,2.5,2.5,588000
2020-02-17,2.48,2.54,2.47,2.5,204000
2020-02-18,2.48,2.5,2.46,2.46,108000
2020-02-19,2.46,2.53,2.46,2.48,254000
2020-02-20,2.58,2.58,2.49,2.49,303000
2020-02-21,2.55,2.57,2.48,2.49,1526000
2020-02-24,2.55,2.55,2.35,2.35,1392000
2020-02-26,2.35,2.35,2.16,2.19,3482000
2020-02-27,2.19,2.21,2.1,2.19,1780000
2020-02-28,2.14,2.14,2.0,2.0,23505000
2020-03-02,2.01,2.07,1.95,2.0,3926000
2020-03-03,2.0,2.1,2.0,2.09,586000
2020-03-04,2.1,2.1,2.03,2.1,201000
2020-03-05,2.08,2.27,2.08,2.11,782000
2020-03-06,2.11,2.18,2.11,2.14,291000
2020-03-09,2.09,2.09,1.92,1.94,1066000
2020-03-10,1.94,2.0,1.9,1.96,488000
2020-03-11,2.0,2.03,1.98,2.0,10727000
2020-03-12,2.0,2.0,1.88,1.88,1737000
2020-03-13,1.84,1.86,1.66,1.82,1220000
2020-03-16,1.62,1.72,1.61,1.7,466000
2020-03-19,1.6,1.6,1.1,1.49,985000
2020-03-20,1.5,1.5,1.4,1.5,1374000
2020-03-23,1.44,1.44,1.4,1.43,554000
2020-03-24,1.5,1.55,1.45,1.55,262000
2020-03-25,1.56,1.59,1.5,1.58,411000
2020-03-26,1.53,1.7,1.51,1.69,742000
2020-03-27,1.75,1.94,1.68,1.78,885000
2020-03-30,1.71,1.83,1.7,1.7,566000
2020-03-31,1.76,1.76,1.75,1.76,136000
2020-04-01,1.76,1.8,1.57,1.62,1957000
2020-04-02,1.63,1.63,1.53,1.56,1365000
2020-04-03,1.66,1.66,1.5,1.5,3111000
2020-04-06,1.54,1.57,1.54,1.55,1228000
2020-04-07,1.56,1.65,1.54,1.55,1791000
2020-04-08,1.57,1.57,1.5,1.5,2932000
2020-04-13,1.51,1.51,1.49,1.49,1034000
2020-04-14,1.57,1.57,1.52,1.52,3510000
2020-04-15,1.58,1.7,1.56,1.58,8308000
2020-04-16,1.6,1.63,1.5,1.5,3543000
2020-04-17,1.51,1.65,1.51,1.65,5115000
2020-04-20,1.68,1.72,1.61,1.71,3394000
2020-04-21,1.72,1.72,1.59,1.6,5384000
2020-04-22,1.61,1.61,1.51,1.59,2801000
2020-04-23,1.63,1.68,1.63,1.68,2452000
2020-04-24,1.73,1.84,1.72,1.83,6992000
