date,open,high,low,close,volume
2009-05-08,820.0,820.0,815.0,815.0,157520
2009-05-11,825.0,835.0,825.0,830.0,231030
2009-05-12,830.0,855.0,830.0,840.0,337980
2009-05-13,855.0,870.0,855.0,870.0,140860
2009-05-14,860.0,880.0,850.0,875.0,102240
2009-05-15,885.0,910.0,875.0,900.0,117470
2009-05-18,900.0,900.0,890.0,890.0,156060
2009-05-19,915.0,915.0,880.0,890.0,189310
2009-05-20,890.0,895.0,885.0,890.0,119060
2009-05-21,900.0,900.0,890.0,895.0,99430
2009-05-22,895.0,895.0,890.0,890.0,82710
2009-05-25,23.5,23.5,23.5,23.5,1000
2009-05-26,23.5,25.0,23.5,25.0,744800
2009-05-27,24.75,24.75,23.5,23.5,600
2009-05-28,23.5,23.75,23.5,23.75,117200
2009-05-29,23.0,23.0,23.0,23.0,67000
2009-06-01,22.75,22.75,22.75,22.75,20000
2009-06-02,20.0,20.0,20.0,20.0,1000
2009-06-03,20.0,21.5,20.0,21.5,121400
2009-06-05,17.5,17.5,17.5,17.5,3000
2009-06-08,17.5,18.0,17.5,17.75,1720800
2009-06-09,17.75,18.75,11.0,12.75,1213300
2009-06-10,13.0,13.0,12.0,12.75,1114400
2009-06-11,12.75,12.75,11.25,12.75,1060600
2009-06-15,12.75,13.0,12.5,13.0,504500
2009-06-16,12.25,13.0,12.0,13.0,509800
2009-06-17,12.75,12.75,11.75,12.5,93300
2009-06-18,12.75,12.75,11.75,12.25,43300
2009-06-19,12.0,13.0,12.0,13.0,17100
2009-06-22,13.25,13.25,12.75,12.75,31700
2009-06-23,12.75,12.75,12.0,12.5,40200
2009-06-24,12.5,12.75,12.5,12.5,91700
2009-06-25,12.5,12.75,12.25,12.5,62000
2009-06-26,12.5,13.5,12.5,13.25,11000
2009-06-29,14.0,14.5,14.0,14.5,5500
2009-06-30,14.0,14.0,14.0,14.0,72000
2009-07-01,12.5,13.0,12.5,12.75,32500
2009-07-02,12.5,12.5,12.25,12.25,6700
2009-07-03,13.0,13.0,12.25,12.25,8300
2009-07-06,12.25,12.25,12.0,12.0,4300
2009-07-07,12.0,12.5,12.0,12.0,11000
2009-07-08,12.0,12.25,12.0,12.0,17700
2009-07-09,12.25,12.25,12.25,12.25,136000
2009-07-10,12.0,12.0,11.5,12.0,19000
2009-07-13,11.75,11.75,11.75,11.75,5000
2009-07-14,11.75,11.75,11.75,11.75,3000
2009-07-15,11.75,11.75,11.5,11.75,11200
2009-07-16,12.0,12.25,12.0,12.0,5600
