date,open,high,low,close,volume
1999-02-12,0.8,0.8,0.8,0.8,100000
1999-02-15,0.82,0.82,0.82,0.82,30000
1999-02-16,0.82,0.82,0.82,0.82,620000
1999-02-17,0.78,0.78,0.78,0.78,20000
1999-02-19,0.78,0.78,0.78,0.78,110000
1999-02-24,0.78,0.78,0.76,0.78,600000
1999-02-25,0.78,0.78,0.76,0.76,2190000
1999-02-26,0.76,0.76,0.72,0.72,24060000
1999-03-01,0.72,0.75,0.72,0.75,60000
1999-03-02,0.75,0.75,0.75,0.75,60000
1999-03-03,0.76,0.76,0.76,0.76,10000
1999-03-04,0.77,0.77,0.76,0.76,70000
1999-03-05,0.76,0.76,0.76,0.76,40000
1999-03-08,0.72,0.72,0.71,0.71,70000
1999-03-09,0.72,0.72,0.71,0.71,180000
1999-03-10,0.72,0.73,0.72,0.73,210000
1999-03-16,0.72,0.72,0.72,0.72,10000
1999-03-18,0.8,0.8,0.8,0.8,30000
1999-03-19,0.8,0.88,0.8,0.88,175610000
1999-03-22,0.85,0.85,0.85,0.85,110000
1999-03-23,0.85,0.85,0.85,0.85,110000
1999-03-25,0.85,0.88,0.85,0.88,240000
1999-03-29,0.85,0.85,0.84,0.85,410000
1999-03-30,0.85,0.87,0.8,0.86,400000
1999-04-05,0.84,0.84,0.82,0.82,200000
1999-04-06,0.82,0.82,0.8,0.8,670000
1999-04-07,0.81,0.81,0.78,0.78,310000
1999-04-08,0.76,0.76,0.76,0.76,130000
1999-04-12,0.76,0.76,0.76,0.76,430000
1999-04-14,0.76,0.77,0.76,0.77,920000
1999-04-15,0.8,0.8,0.77,0.77,320000
1999-04-16,0.8,0.8,0.8,0.8,150000
1999-04-19,0.8,0.8,0.8,0.8,320000
1999-04-20,0.79,0.8,0.79,0.8,280000
1999-04-21,0.8,0.8,0.8,0.8,280000
1999-04-22,0.8,0.8,0.8,0.8,130000
1999-04-23,0.8,0.8,0.8,0.8,190000
1999-04-26,0.8,0.82,0.8,0.82,210000
1999-04-27,0.82,0.82,0.82,0.82,130000
1999-04-28,0.83,0.83,0.83,0.83,30000
1999-04-29,0.85,0.85,0.84,0.84,190000
1999-04-30,0.84,0.87,0.84,0.87,110000
1999-05-03,0.88,0.88,0.88,0.88,200000
1999-05-04,0.88,0.88,0.87,0.87,260000
1999-05-05,0.87,0.89,0.87,0.89,350000
1999-05-06,0.9,0.92,0.9,0.92,330000
1999-05-07,0.95,1.04,0.95,1.0,1880000
1999-05-10,1.02,1.04,1.0,1.0,980000
1999-05-11,0.96,0.96,0.96,0.96,410000
1999-05-12,1.0,1.0,1.0,1.0,220000
1999-05-13,1.0,1.0,1.0,1.0,4670000
1999-05-14,0.98,0.98,0.98,0.98,100000
1999-05-17,0.94,0.94,0.92,0.92,170000
1999-05-18,0.92,0.92,0.91,0.91,140000
1999-05-20,0.91,0.91,0.9,0.9,100000
1999-05-21,0.91,0.92,0.91,0.92,330000
1999-05-25,0.91,0.91,0.91,0.91,410000
1999-05-26,0.9,0.9,0.9,0.9,20000
1999-05-27,0.91,0.91,0.9,0.9,4010000
1999-05-28,0.9,0.92,0.9,0.92,2740000
1999-05-31,0.9,0.9,0.9,0.9,260000
1999-06-01,0.92,0.92,0.9,0.9,510000
1999-06-02,0.9,0.91,0.9,0.9,580000
1999-06-03,0.9,0.91,0.9,0.91,150000
1999-06-04,0.9,0.9,0.9,0.9,280000
1999-06-07,0.9,0.91,0.9,0.91,570000
1999-06-08,0.92,1.0,0.92,0.99,2010000
1999-06-09,0.98,1.14,0.97,1.12,4640000
1999-06-10,1.2,1.28,1.08,1.16,3149000
1999-06-11,1.18,1.24,1.18,1.22,3759000
1999-06-14,1.22,1.22,1.18,1.18,1709000
1999-06-15,1.16,1.18,1.16,1.18,824000
1999-06-16,1.1,1.12,1.1,1.12,150000
1999-06-17,1.06,1.1,1.06,1.1,108000
1999-06-18,1.08,1.14,1.08,1.14,378000
1999-06-21,1.12,1.12,1.06,1.08,405000
1999-06-22,1.08,1.08,1.04,1.04,1286000
1999-06-23,1.06,1.06,1.0,1.02,221000
1999-06-24,1.04,1.08,1.04,1.08,1365000
1999-06-25,1.1,1.1,1.06,1.08,2823000
1999-06-28,1.08,1.08,1.08,1.08,1452000
1999-06-29,1.08,1.08,1.08,1.08,736000
1999-06-30,1.14,1.16,1.1,1.1,6362000
1999-07-01,1.1,1.12,1.08,1.08,510000
1999-07-02,1.08,1.08,1.06,1.06,210000
1999-07-05,1.06,1.08,1.06,1.06,930000
1999-07-06,1.0,1.06,1.0,1.04,375000
1999-07-07,1.04,1.06,1.04,1.04,510000
1999-07-08,1.04,1.06,1.04,1.04,407000
1999-07-09,1.04,1.04,1.04,1.04,307000
1999-07-12,1.04,1.04,1.04,1.04,20000
1999-07-13,1.04,1.06,1.04,1.06,123000
1999-07-14,1.06,1.06,1.04,1.04,340000
1999-07-15,1.06,1.08,1.06,1.08,332000
1999-07-16,1.08,1.08,1.06,1.06,555000
1999-07-19,1.06,1.06,1.06,1.06,100000
1999-07-20,1.06,1.06,1.04,1.06,79000
1999-07-21,1.04,1.04,1.04,1.04,51000
1999-07-22,1.02,1.04,1.02,1.02,516000
1999-07-23,1.02,1.02,1.02,1.02,87000
1999-07-26,0.91,0.91,0.91,0.91,367000
1999-07-28,0.95,0.95,0.95,0.95,230000
1999-07-29,0.95,0.97,0.95,0.97,180000
1999-07-30,0.98,1.0,0.98,1.0,5010000
1999-08-04,1.0,1.0,1.0,1.0,2820000
1999-08-05,1.0,1.0,1.0,1.0,2170000
1999-08-06,1.0,1.0,0.98,0.98,160000
1999-08-09,0.97,1.02,0.97,1.0,9020000
1999-08-10,1.0,1.0,1.0,1.0,11460000
1999-08-11,1.0,1.0,1.0,1.0,54610000
1999-08-12,1.0,1.0,1.0,1.0,15270000
1999-08-13,1.0,1.02,1.0,1.02,8100000
1999-08-16,1.0,1.0,1.0,1.0,120000
1999-08-17,0.95,0.96,0.95,0.96,70000
1999-08-19,0.98,0.98,0.98,0.98,90000
1999-08-23,1.0,1.0,1.0,1.0,20000
1999-08-24,0.96,0.98,0.96,0.98,6100000
1999-08-25,0.98,0.98,0.98,0.98,350000
1999-08-27,0.96,0.96,0.96,0.96,310000
1999-08-30,0.95,1.0,0.95,1.0,40070000
1999-09-03,0.95,0.95,0.95,0.95,30000
1999-09-07,1.0,1.0,1.0,1.0,110000
1999-09-08,1.0,1.02,1.0,1.02,200000
1999-09-09,0.99,1.0,0.99,1.0,605000
1999-09-10,1.0,1.0,1.0,1.0,87550000
1999-09-13,0.99,0.99,0.99,0.99,100000
1999-09-17,0.99,0.99,0.95,0.95,90000
1999-09-20,0.95,0.95,0.95,0.95,10000
1999-09-21,0.98,1.0,0.98,1.0,90000
1999-09-24,0.95,0.95,0.95,0.95,400000
1999-09-28,0.96,0.96,0.96,0.96,100000
1999-09-29,0.95,0.98,0.95,0.98,630000
1999-10-05,0.92,0.92,0.92,0.92,100000
1999-10-06,0.92,0.92,0.92,0.92,200000
1999-10-07,0.92,0.98,0.91,0.91,350000
1999-10-08,0.91,0.91,0.91,0.91,210000
1999-10-12,0.9,0.9,0.9,0.9,310000
1999-10-13,0.9,0.9,0.9,0.9,20000
1999-10-19,0.82,0.88,0.82,0.88,2070000
1999-10-20,0.89,0.89,0.89,0.89,110000
1999-10-21,0.83,0.83,0.83,0.83,20000
1999-10-22,0.84,0.86,0.84,0.85,10460000
1999-10-25,0.84,0.84,0.82,0.82,400000
1999-10-26,0.8,0.82,0.8,0.82,35070000
1999-10-27,0.81,0.81,0.8,0.8,3050000
1999-10-28,0.8,0.85,0.8,0.83,940000
1999-11-03,0.83,0.83,0.82,0.82,690000
1999-11-04,0.82,0.82,0.82,0.82,50000
1999-11-08,0.76,0.76,0.75,0.76,240000
1999-11-09,0.78,0.8,0.78,0.8,260000
1999-11-10,0.82,0.82,0.82,0.82,200000
1999-11-11,0.82,0.82,0.82,0.82,110000
1999-11-15,0.82,0.82,0.82,0.82,20000
1999-11-16,0.81,0.81,0.8,0.81,230000
1999-11-17,0.8,0.8,0.8,0.8,110000
1999-11-18,0.79,0.79,0.79,0.79,10000
1999-11-23,0.79,0.79,0.78,0.78,210000
1999-11-24,0.76,0.76,0.75,0.75,360000
1999-11-26,0.7,0.73,0.7,0.71,440000
1999-11-29,0.7,0.7,0.69,0.69,330000
1999-12-01,0.69,0.69,0.68,0.68,140000
1999-12-02,0.67,0.67,0.67,0.67,40000
1999-12-03,0.69,0.7,0.69,0.7,390000
1999-12-06,0.7,0.7,0.69,0.69,180000
1999-12-07,0.7,0.71,0.69,0.7,2710000
1999-12-08,0.7,0.76,0.69,0.69,6970000
1999-12-09,0.69,0.69,0.66,0.67,2350000
1999-12-10,0.68,0.68,0.67,0.67,590000
1999-12-13,0.67,0.67,0.65,0.65,150000
1999-12-14,0.65,0.67,0.65,0.65,240000
