date,open,high,low,close,volume
2007-07-16,6.2,6.2,5.7,5.8,139564000
2007-07-17,5.7,5.7,5.5,5.5,116151000
2007-07-18,5.6,5.8,5.5,5.6,38920000
2007-07-19,5.6,5.7,5.5,5.5,9248000
2007-07-20,5.6,5.7,5.5,5.6,7944000
2007-07-23,5.5,5.6,5.5,5.5,4516000
2007-07-24,5.6,5.6,5.5,5.6,11424000
2007-07-25,5.6,5.6,5.5,5.5,12963000
2007-07-26,5.5,5.6,5.5,5.5,28376000
2007-07-27,5.4,5.4,5.3,5.3,29543000
2007-07-30,5.3,5.3,5.1,5.1,48217000
2007-07-31,5.2,5.3,5.1,5.1,5427000
2007-08-01,5.1,5.1,4.9,5.0,41022000
2007-08-02,5.0,5.0,4.6,4.8,8217000
2007-08-03,4.8,4.8,4.5,4.6,9910000
2007-08-06,4.4,4.4,4.2,4.3,15347000
2007-08-07,4.35,4.85,4.35,4.75,7431000
2007-08-08,4.6,4.85,4.55,4.8,20629000
2007-08-09,4.85,5.1,4.85,5.0,6841000
2007-08-10,4.7,4.9,4.65,4.85,7924000
2007-08-15,4.85,4.85,4.35,4.35,26975000
2007-08-16,4.3,4.3,3.8,3.9,38912000
2007-08-17,4.0,4.35,3.95,4.0,27263000
2007-08-21,4.3,4.5,4.3,4.45,15151000
2007-08-22,4.45,4.55,4.35,4.55,3937000
2007-08-23,4.7,5.1,4.7,4.95,15571000
2007-08-24,4.9,4.9,4.75,4.85,18429000
2007-08-28,4.9,4.95,4.9,4.95,3006000
2007-08-29,4.75,4.8,4.6,4.75,10125000
2007-08-30,4.8,5.2,4.8,5.2,17256000
2007-08-31,5.1,5.4,5.1,5.4,7458000
2007-09-03,5.4,5.4,5.1,5.2,4863000
2007-09-04,5.2,5.3,5.1,5.1,7662000
2007-09-05,5.1,5.4,5.1,5.3,41085000
2007-09-06,5.2,5.3,5.2,5.3,11993000
2007-09-07,5.3,5.3,5.1,5.2,966000
2007-09-10,5.1,5.1,4.9,5.0,5198000
2007-09-11,4.95,5.1,4.95,5.0,1580000
2007-09-12,5.1,5.2,5.1,5.1,2101000
2007-09-13,5.1,5.1,5.1,5.1,716000
2007-09-14,5.1,5.1,5.0,5.1,593000
2007-09-17,5.1,5.1,5.1,5.1,390000
2007-09-18,5.1,5.1,4.9,4.95,1706000
2007-09-19,5.1,5.1,5.1,5.1,2338000
2007-09-20,5.0,5.1,5.0,5.1,4236000
2007-09-21,5.0,5.1,5.0,5.0,4279000
2007-09-24,5.0,5.0,4.95,5.0,663000
2007-09-25,5.0,5.1,5.0,5.1,1172000
2007-09-26,5.1,5.1,5.0,5.1,1038000
2007-09-27,5.1,5.3,5.1,5.3,2831000
2007-09-28,5.3,5.4,5.2,5.4,3590000
2007-10-01,5.3,5.3,5.2,5.3,821000
2007-10-02,5.3,5.7,5.3,5.6,14714000
2007-10-03,5.6,5.8,5.6,5.8,7958000
2007-10-04,5.7,5.7,5.6,5.6,7238000
2007-10-05,5.6,5.6,5.4,5.4,4037000
2007-10-08,5.4,5.7,5.4,5.5,3966000
2007-10-09,5.5,5.6,5.5,5.5,5972000
2007-10-10,5.5,5.6,5.5,5.6,6710000
2007-10-11,5.6,5.6,5.5,5.5,7330000
2007-10-15,5.6,5.6,5.5,5.6,2135000
2007-10-16,5.5,5.6,5.5,5.6,3866000
2007-10-17,5.6,5.6,5.5,5.6,2597000
2007-10-18,5.6,5.6,5.5,5.6,2187000
2007-10-19,5.6,5.6,5.5,5.6,7171000
2007-10-22,5.4,5.4,5.2,5.3,6252000
2007-10-23,5.4,5.4,5.0,5.0,7977000
2007-10-24,5.2,5.3,5.2,5.2,2072000
2007-10-25,5.2,5.2,5.0,5.1,4500000
2007-10-26,5.1,5.3,5.1,5.2,3895000
2007-10-30,5.3,5.5,5.3,5.4,7834000
2007-10-31,5.4,5.7,5.4,5.7,8379000
2007-11-05,5.6,5.7,5.6,5.6,5267000
2007-11-06,5.6,5.6,5.5,5.5,2831000
2007-11-07,5.6,5.6,5.5,5.5,1453000
2007-11-08,5.4,5.4,5.2,5.3,1751000
2007-11-09,5.2,5.3,5.1,5.1,4517000
2007-11-12,5.1,5.1,5.0,5.1,6856000
2007-11-13,5.0,5.1,4.95,5.1,19742000
2007-11-14,5.1,5.2,5.1,5.1,13220000
2007-11-15,5.0,5.1,5.0,5.0,10149000
2007-11-16,5.0,5.1,5.0,5.0,25687000
2007-11-19,5.1,5.1,5.0,5.0,955000
2007-11-20,4.95,4.95,4.85,4.9,1249000
2007-11-21,4.9,5.0,4.8,4.85,972000
2007-11-22,4.85,4.85,4.7,4.85,2958000
2007-11-23,4.8,4.85,4.8,4.85,4562000
2007-11-26,4.85,4.85,4.75,4.8,2297000
2007-11-27,4.8,4.8,4.7,4.7,4159000
2007-11-28,4.75,4.8,4.75,4.8,4591000
2007-11-29,4.9,5.2,4.9,5.1,6592000
2007-12-03,5.1,5.3,5.1,5.1,2571000
2007-12-04,5.1,5.2,5.1,5.2,1055000
2007-12-05,5.1,5.3,5.1,5.3,3248000
2007-12-06,5.2,5.4,5.2,5.3,1434000
2007-12-07,5.4,5.4,5.2,5.3,1889000
2007-12-10,5.3,5.4,5.1,5.4,2187000
2007-12-11,5.4,5.4,5.3,5.3,3438000
2007-12-12,5.2,5.3,5.1,5.3,784000
2007-12-13,5.3,5.3,5.2,5.3,358000
2007-12-14,5.3,5.3,5.2,5.2,11870000
2007-12-17,5.1,5.2,5.0,5.0,747000
2007-12-18,5.0,5.2,4.95,5.0,718000
2007-12-19,5.0,5.1,5.0,5.0,193000
2007-12-20,5.0,5.0,4.95,4.95,243000
2007-12-21,5.0,5.3,5.0,5.2,1495000
2007-12-26,5.3,5.3,5.1,5.1,766000
2007-12-27,5.2,5.3,5.1,5.2,808000
2007-12-28,5.1,5.3,5.1,5.3,5205000
2008-01-02,5.3,5.4,5.2,5.3,212000
2008-01-03,5.2,5.3,5.1,5.3,1245000
2008-01-04,5.1,5.4,5.1,5.3,4062000
2008-01-07,5.2,5.2,5.1,5.2,1447000
2008-01-08,5.2,5.3,5.2,5.3,3492000
2008-01-09,5.3,5.3,5.2,5.2,612000
2008-01-10,5.3,5.5,5.3,5.4,7861000
2008-01-11,5.4,5.5,5.4,5.5,9121000
2008-01-14,5.4,5.5,5.4,5.5,2080000
2008-01-15,5.5,5.7,5.5,5.6,5751000
2008-01-16,5.5,5.5,5.4,5.4,1628000
2008-01-17,5.3,5.3,5.1,5.3,3768000
2008-01-18,5.1,5.1,4.95,4.95,10346000
2008-01-21,4.95,5.0,4.9,4.95,1804000
2008-01-22,4.9,4.9,4.45,4.5,3677000
2008-01-23,4.7,4.7,4.55,4.6,2327000
2008-01-24,4.8,4.9,4.75,4.75,2837000
2008-01-25,4.8,4.8,4.75,4.75,1241000
2008-01-28,4.7,4.7,4.55,4.6,7056000
2008-01-29,4.7,4.7,4.6,4.65,1055000
2008-01-30,4.65,4.65,4.6,4.65,701000
2008-01-31,4.65,4.65,4.6,4.65,3592000
2008-02-01,4.65,4.85,4.65,4.85,5243000
2008-02-04,4.9,5.1,4.9,5.1,6255000
2008-02-05,5.1,5.1,5.0,5.1,5927000
2008-02-06,5.1,5.1,4.85,5.1,4662000
2008-02-07,5.0,5.2,5.0,5.1,7818000
2008-02-08,5.3,5.5,5.2,5.2,6842000
2008-02-11,5.1,5.3,5.1,5.1,1678000
2008-02-12,5.1,5.2,5.1,5.2,2668000
2008-02-13,5.3,5.3,5.2,5.3,2814000
2008-02-14,5.3,5.3,5.0,5.0,3524000
2008-02-15,5.0,5.0,4.85,4.9,22312000
2008-02-18,4.85,4.85,4.8,4.8,945000
2008-02-19,4.9,4.9,4.85,4.9,2102000
2008-02-20,4.9,4.95,4.8,4.95,769000
2008-02-21,4.9,4.95,4.9,4.95,470000
2008-02-22,4.8,4.9,4.75,4.9,757000
2008-02-26,4.8,4.8,4.7,4.7,1830000
2008-02-27,4.7,4.8,4.7,4.75,776000
2008-02-28,4.75,4.85,4.75,4.8,6771000
2008-02-29,4.7,4.85,4.7,4.8,4024000
2008-03-03,4.8,4.8,4.8,4.8,3303000
2008-03-04,4.8,4.9,4.8,4.8,2141000
2008-03-05,4.95,4.95,4.85,4.9,8184000
2008-03-06,4.95,5.2,4.9,5.1,3285000
2008-03-07,5.0,5.0,4.95,4.95,590000
2008-03-10,4.9,4.95,4.8,4.9,2578000
2008-03-11,4.8,4.8,4.8,4.8,2275000
2008-03-12,5.0,5.0,4.9,4.95,772000
2008-03-13,4.9,4.9,4.75,4.75,1498000
2008-03-14,4.75,4.8,4.75,4.8,1901000
2008-03-17,4.75,4.75,4.7,4.7,413000
2008-03-18,4.7,4.75,4.6,4.75,4844000
2008-03-19,4.75,4.85,4.7,4.85,755000
2008-03-24,4.75,4.9,4.75,4.75,575000
2008-03-25,4.85,4.85,4.75,4.8,794000
2008-03-26,4.85,4.9,4.8,4.8,169000
2008-03-27,4.9,4.9,4.85,4.9,1853000
2008-03-28,4.85,4.85,4.85,4.85,78000
2008-03-31,4.85,4.95,4.8,4.8,696000
2008-04-01,4.8,4.85,4.75,4.8,20406000
2008-04-02,4.8,4.9,4.75,4.85,13474000
2008-04-03,4.8,4.85,4.8,4.85,130000
2008-04-04,4.85,4.85,4.8,4.8,1156000
2008-04-08,4.8,4.95,4.75,4.95,5524000
2008-04-09,4.95,4.95,4.9,4.9,165000
2008-04-10,4.95,5.0,4.95,5.0,6783000
2008-04-11,5.0,5.0,5.0,5.0,2326000
2008-04-14,5.0,5.2,5.0,5.1,4081000
2008-04-15,5.1,5.1,5.0,5.0,2653000
2008-04-16,5.0,5.1,5.0,5.1,1646000
2008-04-17,5.1,5.1,5.1,5.1,1802000
2008-04-18,5.1,5.1,5.1,5.1,732000
2008-04-21,5.1,5.1,5.0,5.0,3104000
2008-04-22,5.1,5.2,5.0,5.1,22468000
2008-04-23,5.1,5.2,5.0,5.1,6834000
2008-04-24,5.1,5.1,5.0,5.0,403000
2008-04-25,5.1,5.1,5.0,5.0,19532000
2008-04-28,5.0,5.1,4.95,4.95,471000
2008-04-29,5.0,5.0,4.9,4.95,1692000
2008-04-30,4.95,5.1,4.95,5.1,1204000
2008-05-02,5.0,5.0,4.95,4.95,772000
2008-05-05,5.0,5.0,4.95,4.95,948000
2008-05-06,4.95,4.95,4.9,4.95,898000
2008-05-07,4.95,5.0,4.95,5.0,2737000
2008-05-08,5.0,5.1,5.0,5.1,3088000
2008-05-09,5.0,5.1,5.0,5.1,624000
2008-05-12,5.0,5.1,5.0,5.0,171000
2008-05-13,5.1,5.2,5.0,5.1,3594000
2008-05-14,5.2,5.2,5.1,5.1,3030000
2008-05-15,5.1,5.2,5.0,5.0,5019000
2008-05-16,5.0,5.1,5.0,5.0,4588000
2008-05-19,5.1,5.2,5.0,5.1,22732000
2008-05-20,5.1,5.2,5.1,5.1,5639000
2008-05-21,5.0,5.1,5.0,5.1,3432000
2008-05-22,5.1,5.3,5.1,5.2,23651000
2008-05-23,5.2,5.3,5.2,5.3,5935000
2008-05-26,5.3,5.3,5.2,5.3,5182000
2008-05-27,5.4,5.7,5.4,5.5,15414000
2008-05-28,5.5,5.6,5.4,5.5,6126000
2008-05-29,5.5,5.5,5.4,5.4,5084000
2008-05-30,5.4,5.6,5.4,5.6,8772000
2008-06-02,5.5,5.6,5.5,5.6,3068000
2008-06-03,5.5,5.5,5.4,5.5,1431000
2008-06-04,5.4,5.5,5.4,5.5,7502000
2008-06-05,5.5,5.5,5.5,5.5,3873000
2008-06-06,5.5,5.5,5.4,5.4,2008000
2008-06-10,5.4,5.5,5.4,5.4,2532000
2008-06-11,5.3,5.4,5.3,5.4,1332000
2008-06-12,5.3,5.3,5.2,5.2,6010000
2008-06-13,5.2,5.3,5.2,5.3,1414000
2008-06-16,5.4,5.5,5.4,5.5,5171000
2008-06-17,5.5,5.6,5.5,5.5,1334000
2008-06-18,5.5,5.5,5.3,5.3,14084000
2008-06-19,5.2,5.3,5.2,5.3,2588000
2008-06-20,5.3,5.3,5.2,5.3,571000
2008-06-23,5.2,5.3,5.1,5.1,2854000
2008-06-24,5.0,5.2,5.0,5.1,960000
2008-06-25,5.2,5.2,5.1,5.2,1417000
2008-06-26,5.2,5.2,5.1,5.2,2716000
2008-06-27,5.1,5.2,5.1,5.2,392000
2008-06-30,5.2,5.2,5.1,5.2,3788000
2008-07-01,5.1,5.1,5.0,5.0,2950000
2008-07-02,5.0,5.1,5.0,5.1,1496000
2008-07-03,5.0,5.0,4.95,5.0,9007000
2008-07-04,5.0,5.1,5.0,5.0,5677000
2008-07-07,4.95,5.0,4.95,5.0,375000
2008-07-08,5.1,5.1,5.0,5.1,2214000
2008-07-09,5.1,5.1,5.1,5.1,7671000
2008-07-10,5.1,5.2,5.1,5.2,1911000
2008-07-11,5.1,5.1,5.1,5.1,3940000
2008-07-14,5.1,5.2,5.1,5.2,12000
2008-07-15,5.1,5.2,5.1,5.1,1004000
2008-07-16,5.0,5.0,5.0,5.0,565000
2008-07-17,5.1,5.1,5.1,5.1,5385000
2008-07-18,5.1,5.1,5.1,5.1,1334000
2008-07-21,5.1,5.1,5.1,5.1,1146000
2008-07-22,5.1,5.1,5.0,5.1,497000
2008-07-23,5.2,5.3,5.2,5.3,683000
2008-07-24,5.2,5.5,5.2,5.4,2761000
2008-07-25,5.3,5.4,5.2,5.4,1246000
2008-07-28,5.4,5.4,5.3,5.4,630000
2008-07-29,5.3,5.4,5.3,5.4,2025000
