date,open,high,low,close,volume
2019-11-29,505.0,505.0,501.0,501.0,5400
2019-12-02,500.0,502.0,500.0,502.0,1260
2019-12-03,502.0,504.0,502.0,504.0,210
2019-12-04,501.0,502.0,501.0,502.0,290
2019-12-05,500.0,501.0,500.0,501.0,200
2019-12-06,504.0,506.0,504.0,505.0,5000
2019-12-09,505.0,505.0,505.0,505.0,1590
2019-12-10,505.0,505.0,505.0,505.0,3570
2019-12-11,502.0,502.0,501.0,501.0,400
2019-12-12,501.0,501.0,501.0,501.0,6000
2019-12-13,501.0,505.0,501.0,505.0,17010
2019-12-16,505.0,505.0,505.0,505.0,1930
2019-12-17,505.0,505.0,505.0,505.0,1190
2019-12-18,505.0,505.0,505.0,505.0,2600
2019-12-19,505.0,505.0,505.0,505.0,11950
2019-12-20,505.0,505.0,505.0,505.0,330
2019-12-23,505.0,510.0,505.0,510.0,2800
2019-12-26,509.0,509.0,509.0,509.0,20
2019-12-27,505.0,505.0,505.0,505.0,3000
2020-01-02,507.0,507.0,507.0,507.0,10
2020-01-03,505.0,505.0,505.0,505.0,2000
2020-01-07,500.0,500.0,500.0,500.0,20
2020-01-08,501.0,501.0,490.0,500.0,12800
2020-01-10,500.0,500.0,500.0,500.0,30
2020-01-14,500.0,500.0,500.0,500.0,610
2020-01-15,500.0,500.0,500.0,500.0,60
2020-01-16,500.0,500.0,500.0,500.0,100
2020-01-21,504.5,504.5,504.5,504.5,1600
2020-01-27,500.0,500.0,500.0,500.0,200
2020-01-28,504.0,504.0,504.0,504.0,20
2020-01-29,495.0,495.0,495.0,495.0,100
2020-01-31,503.0,503.0,503.0,503.0,10
2020-02-03,495.0,495.0,495.0,495.0,180
2020-02-04,495.0,495.0,495.0,495.0,120
2020-02-06,495.0,495.0,495.0,495.0,240
2020-02-07,490.0,490.0,490.0,490.0,100
2020-02-10,504.5,504.5,504.5,504.5,100
2020-02-18,495.0,500.0,493.0,500.0,180
2020-02-19,500.0,500.0,500.0,500.0,20
2020-02-20,500.0,500.0,500.0,500.0,130
2020-02-21,501.0,501.0,500.0,500.0,220
2020-02-24,500.0,502.0,500.0,502.0,320
2020-02-26,502.0,503.0,502.0,503.0,1460
2020-02-27,503.0,504.5,503.0,504.5,6170
2020-02-28,500.0,503.0,500.0,503.0,1400
2020-03-02,503.0,503.0,502.0,502.0,510
2020-03-03,502.0,503.0,502.0,503.0,230
2020-03-04,503.0,503.0,503.0,503.0,50
2020-03-05,503.0,503.0,503.0,503.0,700
2020-03-06,502.0,502.0,500.0,500.0,1920
2020-03-09,500.0,500.0,495.0,495.0,2020
2020-03-10,495.0,495.0,495.0,495.0,850
2020-03-11,502.0,504.5,502.0,504.5,20
2020-03-12,502.0,502.0,498.0,502.0,3360
2020-03-13,498.0,500.0,498.0,498.0,810
2020-03-16,498.0,498.0,496.0,498.0,400
2020-03-19,496.0,496.0,496.0,496.0,16850
2020-03-20,496.0,500.0,496.0,500.0,290
2020-03-23,496.0,496.0,496.0,496.0,3110
2020-03-24,496.0,497.0,496.0,496.0,2500
2020-03-25,496.0,496.0,496.0,496.0,1600
2020-03-26,496.0,496.0,495.0,495.0,650
2020-03-27,496.0,496.0,496.0,496.0,610
2020-03-30,495.0,495.0,495.0,495.0,310
2020-03-31,492.0,492.0,490.0,490.0,490
2020-04-01,488.0,488.0,485.0,485.0,500
2020-04-03,495.0,495.0,480.0,490.0,1160
2020-04-06,490.0,490.0,490.0,490.0,200
2020-04-07,490.0,490.0,490.0,490.0,210
2020-04-08,490.0,490.0,490.0,490.0,150
2020-04-13,500.0,500.0,500.0,500.0,110
2020-04-15,490.0,495.0,490.0,490.0,4480
2020-04-16,490.0,490.0,485.0,485.0,12470
2020-04-17,490.0,490.0,490.0,490.0,390
2020-04-20,490.0,495.0,490.0,495.0,300
2020-04-22,495.0,495.0,495.0,495.0,920
2020-04-23,498.0,498.0,498.0,498.0,20
2020-04-24,495.0,504.5,495.0,504.5,1550
2020-04-27,504.5,504.5,491.0,491.0,40
2020-04-28,504.5,504.5,502.0,504.0,2420
