date,open,high,low,close,volume
1999-02-04,0.46,0.46,0.44,0.44,440000
1999-02-05,0.44,0.44,0.44,0.44,330000
1999-02-08,0.44,0.44,0.44,0.44,330000
1999-02-09,0.44,0.44,0.44,0.44,330000
1999-02-10,0.44,0.44,0.44,0.44,330000
1999-02-11,0.44,0.44,0.44,0.44,330000
1999-02-12,0.43,0.43,0.42,0.42,380000
1999-02-15,0.38,0.38,0.38,0.38,10000
1999-02-17,0.4,0.4,0.4,0.4,100000
1999-02-18,0.4,0.4,0.38,0.38,1870000
1999-02-19,0.37,0.37,0.36,0.37,770000
1999-02-22,0.37,0.37,0.37,0.37,370000
1999-02-23,0.37,0.37,0.37,0.37,110000
1999-02-24,0.37,0.38,0.37,0.38,90000
1999-02-25,0.39,0.39,0.38,0.38,380000
1999-02-26,0.39,0.4,0.39,0.4,400000
1999-03-02,0.39,0.39,0.38,0.38,240000
1999-03-03,0.38,0.4,0.38,0.4,590000
1999-03-04,0.37,0.37,0.37,0.37,400000
1999-03-05,0.36,0.37,0.36,0.36,990000
1999-03-09,0.36,0.36,0.33,0.33,2430000
1999-03-10,0.31,0.32,0.31,0.32,1730000
1999-03-11,0.31,0.31,0.31,0.31,200000
1999-03-16,0.36,0.36,0.36,0.36,50000
1999-03-18,0.33,0.35,0.33,0.35,650000
1999-03-19,0.35,0.37,0.35,0.35,940000
1999-03-24,0.35,0.37,0.35,0.37,250000
1999-03-25,0.36,0.38,0.36,0.36,130000
1999-03-29,0.35,0.35,0.34,0.35,1010000
1999-03-30,0.35,0.35,0.35,0.35,580000
1999-03-31,0.35,0.35,0.35,0.35,230000
1999-04-05,0.38,0.39,0.38,0.39,150000
1999-04-06,0.39,0.46,0.39,0.45,2870000
1999-04-07,0.45,0.47,0.44,0.44,2560000
1999-04-08,0.44,0.49,0.44,0.49,2200000
1999-04-12,0.48,0.5,0.46,0.46,1960000
1999-04-13,0.45,0.46,0.44,0.44,2000000
1999-04-14,0.43,0.43,0.42,0.42,860000
1999-04-15,0.42,0.43,0.39,0.39,3250000
1999-04-16,0.4,0.41,0.39,0.39,1780000
1999-04-19,0.41,0.41,0.4,0.4,3230000
1999-04-20,0.4,0.41,0.4,0.41,4380000
1999-04-21,0.41,0.41,0.4,0.4,640000
1999-04-22,0.41,0.45,0.41,0.42,10140000
1999-04-23,0.43,0.45,0.43,0.43,6790000
1999-04-26,0.43,0.43,0.41,0.42,6760000
1999-04-27,0.42,0.43,0.41,0.42,3980000
1999-04-28,0.42,0.42,0.42,0.42,2980000
1999-04-29,0.42,0.42,0.42,0.42,2190000
1999-04-30,0.43,0.44,0.42,0.42,4350000
1999-05-03,0.42,0.43,0.42,0.42,1410000
1999-05-04,0.42,0.42,0.41,0.41,710000
1999-05-05,0.41,0.45,0.41,0.44,5290000
1999-05-06,0.44,0.46,0.43,0.44,7650000
1999-05-07,0.46,0.46,0.45,0.45,5730000
1999-05-10,0.46,0.48,0.45,0.45,3290000
1999-05-11,0.46,0.47,0.44,0.45,4650000
1999-05-12,0.46,0.48,0.46,0.46,6060000
1999-05-13,0.46,0.46,0.46,0.46,3200000
1999-05-14,0.46,0.46,0.45,0.45,2940000
1999-05-17,0.43,0.43,0.43,0.43,780000
1999-05-18,0.43,0.45,0.43,0.44,1710000
1999-05-19,0.46,0.46,0.43,0.43,1400000
1999-05-20,0.42,0.44,0.41,0.44,2330000
1999-05-21,0.45,0.46,0.44,0.44,6510000
1999-05-24,0.45,0.46,0.45,0.45,1740000
1999-05-25,0.45,0.46,0.44,0.45,2200000
1999-05-26,0.46,0.47,0.46,0.47,2640000
1999-05-27,0.47,0.47,0.44,0.44,1200000
