date,open,high,low,close,volume
2012-10-18,2.5,4.5,2.4,2.7,16596000
2012-10-19,2.95,2.95,2.01,2.55,5638000
2012-10-22,2.54,2.54,2.22,2.27,1331000
2012-10-23,2.28,2.3,2.2,2.25,1260000
2012-10-24,2.25,2.38,2.1,2.23,1099000
2012-10-25,2.24,2.3,2.11,2.11,393000
2012-10-29,2.11,2.19,2.05,2.05,361000
2012-10-30,2.1,2.23,1.88,2.0,1161000
2012-10-31,1.92,2.0,1.9,2.0,193000
2012-11-05,2.0,2.0,1.85,1.85,244000
2012-11-06,1.85,1.85,1.75,1.76,283000
2012-11-07,1.74,1.74,1.4,1.63,813000
2012-11-08,1.53,1.59,1.43,1.43,214000
2012-11-09,1.4,1.41,1.38,1.39,167000
2012-11-12,1.39,1.39,1.34,1.34,60000
2012-11-13,1.26,1.34,1.23,1.27,484000
2012-11-14,1.28,1.3,1.21,1.21,399000
2012-11-15,1.21,1.25,1.21,1.22,185000
2012-11-16,1.21,1.21,1.18,1.19,166000
2012-11-19,1.18,1.18,1.14,1.15,343000
2012-11-20,1.16,1.21,1.16,1.16,181000
2012-11-21,1.18,1.18,1.16,1.16,26000
2012-11-22,1.16,1.2,1.16,1.2,5000
2012-11-23,1.16,1.22,1.16,1.16,136000
2012-11-26,1.15,1.17,1.15,1.15,11000
2012-11-27,1.15,1.15,1.14,1.14,42000
2012-11-28,1.15,1.21,1.15,1.2,162000
2012-11-29,1.2,1.26,1.2,1.26,33000
2012-12-03,1.22,1.26,1.22,1.22,5000
2012-12-04,1.25,1.26,1.2,1.22,169000
2012-12-05,1.2,1.2,1.18,1.18,108000
2012-12-06,1.18,1.18,1.18,1.18,3000
2012-12-07,1.18,1.18,1.17,1.18,119000
2012-12-10,1.18,1.18,1.16,1.16,50000
2012-12-11,1.16,1.17,1.16,1.16,49000
2012-12-12,1.16,1.19,1.16,1.19,11000
2012-12-13,1.19,1.77,1.19,1.65,6809000
2012-12-14,1.65,1.65,1.34,1.4,1648000
2012-12-17,1.4,1.46,1.27,1.33,742000
2012-12-18,1.21,1.42,1.21,1.29,255000
2012-12-19,1.23,1.34,1.21,1.3,257000
2012-12-20,1.3,1.46,1.3,1.35,210000
2012-12-21,1.43,1.43,1.35,1.4,36000
2012-12-26,1.34,1.36,1.3,1.3,115000
2012-12-27,1.3,1.34,1.27,1.28,113000
2012-12-28,1.31,1.31,1.25,1.25,124000
2013-01-02,1.25,1.3,1.25,1.26,135000
2013-01-03,1.26,1.31,1.26,1.31,24000
2013-01-04,1.28,1.3,1.28,1.28,167000
2013-01-07,1.27,1.3,1.26,1.26,90000
2013-01-08,1.26,1.26,1.26,1.26,183000
2013-01-09,1.27,1.45,1.27,1.34,819000
2013-01-10,1.34,1.37,1.3,1.37,135000
2013-01-11,1.3,1.35,1.3,1.31,63000
2013-01-14,1.31,1.31,1.3,1.3,70000
2013-01-15,1.3,1.31,1.3,1.31,173000
2013-01-16,1.34,1.34,1.28,1.28,60000
2013-01-17,1.28,1.29,1.27,1.29,64000
2013-01-18,1.27,1.27,1.27,1.27,15000
2013-01-21,1.28,1.32,1.27,1.3,62000
2013-01-23,1.28,1.3,1.28,1.3,7000
2013-01-24,1.29,1.31,1.29,1.31,33000
2013-01-25,1.29,1.32,1.29,1.31,127000
2013-01-28,1.34,1.39,1.29,1.29,30000
2013-01-29,1.29,1.35,1.29,1.32,324000
