date,open,high,low,close,volume
1999-02-04,0.28,0.28,0.28,0.28,110000
1999-02-05,0.32,0.32,0.32,0.32,30000
1999-02-08,0.32,0.32,0.32,0.32,30000
1999-02-09,0.32,0.32,0.32,0.32,30000
1999-02-10,0.32,0.32,0.32,0.32,30000
1999-02-11,0.32,0.32,0.32,0.32,30000
1999-02-24,0.2,0.26,0.2,0.26,250000
1999-02-25,0.28,0.35,0.26,0.35,210000
1999-03-11,0.28,0.28,0.28,0.28,50000
1999-03-22,0.26,0.26,0.26,0.26,300000
1999-03-23,0.26,0.26,0.26,0.26,40000
1999-03-29,0.26,0.26,0.25,0.25,600000
1999-04-06,0.3,0.3,0.3,0.3,10000
1999-04-07,0.35,0.38,0.35,0.38,110000
1999-04-08,0.32,0.32,0.32,0.32,90000
1999-04-12,0.33,0.33,0.33,0.33,110000
1999-04-13,0.35,0.35,0.35,0.35,20000
1999-04-20,0.35,0.35,0.35,0.35,280000
1999-04-27,0.35,0.45,0.35,0.45,110000
1999-04-29,0.42,0.42,0.42,0.42,20000
1999-04-30,0.43,0.43,0.42,0.42,210000
1999-05-04,0.43,0.43,0.43,0.43,350000
1999-05-06,0.5,0.55,0.5,0.51,360000
1999-05-07,0.52,0.52,0.51,0.52,180000
1999-05-10,0.52,0.52,0.52,0.52,400000
1999-05-11,0.5,0.5,0.5,0.5,20000
1999-05-12,0.55,0.55,0.55,0.55,100000
1999-05-13,0.55,0.55,0.55,0.55,350000
1999-05-21,0.38,0.4,0.38,0.4,350000
1999-05-26,0.43,0.43,0.43,0.43,250000
1999-06-07,0.41,0.41,0.41,0.41,10000
1999-06-11,0.45,0.45,0.45,0.45,60000
1999-06-14,0.41,0.41,0.41,0.41,10000
1999-06-15,0.5,0.61,0.5,0.61,1270000
1999-06-16,0.55,0.55,0.55,0.55,120000
1999-06-17,0.55,0.55,0.55,0.55,30000
1999-06-21,0.6,0.63,0.58,0.58,80000
1999-06-22,0.58,0.61,0.58,0.61,640000
1999-06-23,0.6,0.64,0.6,0.64,140000
1999-06-24,0.62,0.62,0.6,0.6,390000
1999-06-25,0.64,0.7,0.62,0.7,3070000
1999-06-28,0.64,0.64,0.64,0.64,100000
1999-06-29,0.68,0.7,0.68,0.7,410000
1999-06-30,0.72,0.76,0.72,0.74,770000
1999-07-01,0.72,0.72,0.7,0.7,120000
1999-07-02,0.68,0.7,0.68,0.69,230000
1999-07-05,0.66,0.66,0.66,0.66,110000
1999-07-06,0.71,0.71,0.71,0.71,50000
1999-07-07,0.71,0.71,0.71,0.71,130000
1999-07-08,0.78,0.85,0.78,0.78,580000
1999-07-09,0.8,0.8,0.8,0.8,50000
1999-07-12,0.7,0.7,0.7,0.7,90000
1999-07-13,0.7,0.7,0.7,0.7,130000
1999-07-14,0.7,0.7,0.68,0.68,150000
1999-07-15,0.67,0.68,0.67,0.68,60000
1999-07-20,0.55,0.55,0.55,0.55,160000
1999-07-21,0.53,0.53,0.53,0.53,60000
1999-07-22,0.5,0.5,0.5,0.5,100000
1999-08-16,0.4,0.4,0.4,0.4,10000
1999-08-18,0.34,0.34,0.34,0.34,40000
1999-08-20,0.36,0.36,0.36,0.36,10000
1999-08-24,0.36,0.36,0.36,0.36,40000
1999-08-27,0.37,0.4,0.37,0.4,90000
1999-08-30,0.38,0.38,0.38,0.38,30000
1999-08-31,0.4,0.4,0.4,0.4,20000
1999-09-06,0.37,0.37,0.37,0.37,20000
1999-09-09,0.37,0.37,0.37,0.37,40000
1999-09-17,0.45,0.45,0.44,0.45,170000
1999-09-20,0.5,0.5,0.45,0.45,40000
1999-09-23,0.5,0.5,0.5,0.5,20000
1999-09-30,0.4,0.4,0.4,0.4,10000
1999-10-01,0.4,0.4,0.4,0.4,30000
1999-10-04,0.44,0.5,0.43,0.5,100000
1999-10-05,0.58,0.75,0.58,0.75,1480000
1999-10-06,0.9,1.1,0.83,0.94,3170000
1999-10-07,0.97,1.14,0.97,0.98,5280000
1999-10-08,0.97,0.98,0.88,0.88,390000
1999-10-11,0.79,0.8,0.56,0.75,1410000
1999-10-12,0.75,0.75,0.7,0.7,30000
1999-10-13,0.7,0.7,0.65,0.65,350000
1999-10-14,0.65,0.65,0.65,0.65,30000
1999-10-15,0.65,0.65,0.65,0.65,80000
1999-10-18,0.67,0.67,0.67,0.67,340000
1999-10-20,0.65,0.65,0.65,0.65,10000
1999-10-25,0.48,0.48,0.48,0.48,30000
1999-10-27,0.54,0.54,0.52,0.52,110000
1999-11-04,0.48,0.48,0.48,0.48,30000
1999-11-10,0.51,0.51,0.51,0.51,80000
1999-11-11,0.52,0.55,0.52,0.55,90000
1999-11-15,0.55,0.55,0.55,0.55,20000
1999-11-16,0.55,0.55,0.55,0.55,10000
1999-11-25,0.4,0.4,0.4,0.4,20000
1999-12-08,0.42,0.42,0.42,0.42,60000
1999-12-09,0.58,0.58,0.58,0.58,90000
1999-12-10,0.6,0.6,0.6,0.6,250000
1999-12-14,0.58,0.62,0.58,0.62,30000
1999-12-17,0.64,0.8,0.64,0.65,220000
1999-12-20,0.51,0.51,0.51,0.51,30000
1999-12-22,0.52,0.53,0.52,0.53,280000
1999-12-28,0.54,0.54,0.54,0.54,250000
1999-12-29,0.54,0.65,0.52,0.65,410000
2000-01-04,0.74,0.75,0.74,0.75,50000
2000-01-05,0.7,0.7,0.7,0.7,40000
2000-01-06,0.7,0.7,0.7,0.7,40000
2000-01-07,0.69,0.69,0.69,0.69,50000
2000-01-10,0.55,0.55,0.55,0.55,100000
2000-01-11,0.56,0.56,0.55,0.55,150000
2000-01-17,0.56,0.56,0.56,0.56,10000
2000-01-19,0.56,0.56,0.56,0.56,500000
2000-01-21,0.55,0.55,0.55,0.55,30000
2000-01-24,0.56,0.56,0.56,0.56,30000
2000-01-25,0.55,0.55,0.55,0.55,40000
2000-01-26,0.56,0.56,0.56,0.56,40000
2000-01-28,0.65,0.66,0.64,0.66,290000
2000-01-31,0.6,0.67,0.6,0.67,140000
2000-02-02,0.67,0.67,0.67,0.67,20000
2000-02-03,0.58,0.58,0.58,0.58,10000
2000-02-07,0.58,0.58,0.58,0.58,10000
2000-02-10,0.66,0.67,0.66,0.67,140000
2000-02-11,0.58,0.67,0.58,0.67,120000
2000-02-21,0.58,0.58,0.57,0.57,150000
2000-02-23,0.68,0.72,0.68,0.7,280000
2000-03-01,0.55,0.55,0.55,0.55,10000
