date,open,high,low,close,volume
1999-02-04,0.9,0.9,0.9,0.9,2290000
1999-02-05,0.9,0.93,0.9,0.93,6050000
1999-02-08,0.9,0.93,0.9,0.93,6050000
1999-02-09,0.9,0.93,0.9,0.93,6050000
1999-02-10,0.9,0.93,0.9,0.93,6050000
1999-02-11,0.9,0.93,0.9,0.93,6050000
1999-02-12,0.95,0.95,0.95,0.95,100000
1999-02-18,1.0,1.0,1.0,1.0,200000
1999-02-23,0.98,0.98,0.93,0.93,100000
1999-02-24,0.93,0.93,0.85,0.85,7720000
1999-02-25,0.85,0.95,0.85,0.95,180000
1999-02-26,0.88,0.92,0.88,0.9,270000
1999-03-01,0.9,0.9,0.9,0.9,530000
1999-03-02,0.9,1.0,0.9,1.0,440000
1999-03-03,0.91,1.0,0.91,1.0,330000
1999-03-05,1.0,1.0,0.98,0.99,800000
1999-03-09,0.95,0.95,0.94,0.95,210000
1999-03-10,0.95,0.95,0.93,0.93,490000
1999-03-11,0.93,0.93,0.93,0.93,60000
1999-03-12,0.93,0.93,0.92,0.92,390000
1999-03-16,0.92,0.92,0.92,0.92,230000
1999-03-17,0.91,0.92,0.91,0.92,110000
1999-03-22,0.89,0.89,0.89,0.89,200000
1999-03-23,0.93,0.93,0.93,0.93,100000
1999-03-24,0.92,0.92,0.91,0.91,90000
1999-03-26,0.9,0.92,0.9,0.91,140000
1999-03-29,0.91,0.91,0.91,0.91,100000
1999-03-30,1.0,1.0,1.0,1.0,10000
1999-03-31,0.98,0.98,0.98,0.98,50000
1999-04-05,0.92,1.0,0.92,1.0,100000
1999-04-07,0.95,0.95,0.95,0.95,20000
1999-04-08,1.0,1.1,1.0,1.04,1420000
1999-04-12,1.02,1.02,1.0,1.0,908000
1999-04-13,1.0,1.0,0.95,0.95,420000
1999-04-14,0.95,0.95,0.94,0.95,740000
1999-04-15,0.95,0.96,0.95,0.95,900000
1999-04-16,0.95,0.95,0.95,0.95,200000
1999-04-19,0.95,0.95,0.95,0.95,100000
1999-04-26,0.95,0.95,0.95,0.95,60000
1999-04-27,0.95,0.95,0.9,0.95,300000
1999-04-28,0.95,0.95,0.95,0.95,50000
1999-04-29,0.95,0.95,0.95,0.95,100000
1999-05-04,1.0,1.04,1.0,1.04,210000
1999-05-05,1.06,1.24,1.06,1.16,2558000
1999-05-06,1.16,1.2,1.16,1.2,422000
1999-05-07,1.2,1.22,1.16,1.16,858000
1999-05-10,1.22,1.22,1.14,1.14,122000
1999-05-11,1.14,1.14,1.1,1.1,109000
1999-05-12,1.08,1.08,1.08,1.08,50000
1999-05-13,1.08,1.08,1.08,1.08,13000
1999-05-14,1.08,1.08,1.04,1.04,776000
1999-05-17,1.0,1.02,1.0,1.02,15000
1999-05-18,1.02,1.02,1.02,1.02,4000
1999-05-19,1.12,1.12,1.12,1.12,100000
1999-05-20,1.12,1.12,1.1,1.1,163000
1999-05-21,1.1,1.18,1.1,1.12,415000
1999-05-24,1.14,1.16,1.14,1.16,428000
1999-05-25,1.1,1.1,1.1,1.1,33000
1999-05-26,1.1,1.1,1.1,1.1,6000
1999-05-27,1.18,1.18,1.16,1.16,110000
1999-05-28,1.1,1.1,1.1,1.1,133000
1999-05-31,1.1,1.14,1.1,1.14,110000
1999-06-01,1.12,1.12,1.12,1.12,111000
1999-06-03,1.12,1.14,1.12,1.14,290000
1999-06-04,1.1,1.1,1.1,1.1,10000
1999-06-07,1.1,1.1,1.1,1.1,150000
1999-06-08,1.12,1.12,1.12,1.12,65000
1999-06-09,1.1,1.1,1.1,1.1,200000
1999-06-10,1.12,1.14,1.12,1.14,30000
1999-06-11,1.14,1.16,1.14,1.16,85000
1999-06-14,1.14,1.14,1.14,1.14,81000
1999-06-15,1.16,1.16,1.16,1.16,69000
1999-06-16,1.16,1.16,1.16,1.16,42000
1999-06-17,1.2,1.32,1.2,1.28,1048000
1999-06-18,1.28,1.28,1.28,1.28,155000
1999-06-21,1.28,1.4,1.28,1.36,2546000
1999-06-22,1.36,1.42,1.34,1.36,1379000
1999-06-23,1.32,1.38,1.3,1.32,960000
1999-06-24,1.34,1.38,1.28,1.28,640000
1999-06-25,1.28,1.28,1.28,1.28,1411000
1999-06-29,1.28,1.28,1.28,1.28,350000
1999-06-30,1.28,1.3,1.28,1.3,559000
1999-07-01,1.34,1.5,1.32,1.38,490000
1999-07-02,1.4,1.42,1.4,1.4,1055000
1999-07-05,1.46,1.46,1.42,1.42,344000
1999-07-06,1.42,1.54,1.42,1.5,250000
1999-07-07,1.5,1.52,1.5,1.52,531000
1999-07-08,1.56,1.66,1.56,1.62,1218000
1999-07-09,1.62,1.62,1.5,1.5,1600000
1999-07-12,1.5,1.5,1.48,1.48,1150000
1999-07-13,1.5,1.5,1.48,1.48,200000
1999-07-14,1.46,1.46,1.44,1.46,2911000
1999-07-15,1.46,1.46,1.44,1.46,270000
1999-07-19,1.46,1.46,1.44,1.44,119000
1999-07-20,1.4,1.4,1.4,1.4,732000
1999-07-21,1.38,1.4,1.36,1.4,401000
