date,open,high,low,close,volume
2013-05-17,101.5,105.1,101.5,104.0,19989300
2013-05-20,105.5,105.5,101.8,102.0,4044830
2013-05-21,102.2,103.3,102.0,102.8,1949410
2013-05-22,102.8,103.0,101.5,101.9,1256120
2013-05-23,101.8,101.8,97.2,97.2,4851320
2013-05-24,97.55,99.0,97.55,98.7,500860
2013-05-27,98.6,98.8,97.0,97.5,608420
2013-05-28,97.5,97.8,97.0,97.75,286850
2013-05-29,98.0,98.9,97.1,97.55,685550
2013-05-30,97.6,97.6,94.0,94.3,1755130
2013-05-31,94.5,94.5,92.8,92.85,1053530
2013-06-03,92.85,93.0,91.5,91.55,1238720
2013-06-04,91.55,92.7,91.15,91.15,605690
2013-06-05,91.15,91.5,90.25,90.25,962790
2013-06-06,90.2,94.0,90.0,90.05,1031330
2013-06-07,90.25,91.0,90.25,90.8,347140
2013-06-10,90.9,92.0,90.8,91.2,1158620
2013-06-11,91.1,91.2,88.2,89.5,673310
2013-06-13,88.5,88.5,86.4,86.5,1767020
2013-06-14,87.5,88.8,87.5,88.7,719800
2013-06-17,89.0,89.5,88.5,89.5,215600
2013-06-18,89.5,91.0,89.5,89.9,166070
2013-06-19,90.5,90.5,88.0,89.0,240260
2013-06-20,87.0,88.0,86.0,87.0,225120
2013-06-21,85.0,85.0,80.5,81.3,500090
2013-06-24,80.6,82.5,79.0,79.0,431320
2013-06-25,78.0,78.5,68.0,75.0,463450
2013-06-26,75.0,81.5,75.0,79.6,322140
2013-06-27,81.0,83.0,80.0,80.5,168430
2013-06-28,82.0,82.0,79.5,80.0,192460
2013-07-01,80.0,81.0,79.0,79.95,121140
2013-07-02,79.95,84.0,79.95,79.95,857180
2013-07-03,79.95,80.1,79.85,79.95,188560
2013-07-04,79.9,79.9,79.65,79.65,95020
2013-07-05,79.0,79.75,79.0,79.0,88710
2013-07-08,79.1,79.1,76.0,77.0,176110
2013-07-09,77.5,77.5,76.45,77.0,67120
2013-07-10,77.0,79.0,76.5,77.0,362440
2013-07-11,79.0,79.0,76.55,77.2,63630
2013-07-12,77.3,80.0,77.2,80.0,152850
2013-07-15,80.0,81.0,80.0,81.0,153540
2013-07-16,80.95,80.95,79.5,80.0,110110
2013-07-17,80.0,80.0,78.1,79.8,36820
2013-07-18,78.0,78.4,78.0,78.0,247780
2013-07-19,78.0,78.2,77.5,78.2,540610
2013-07-22,78.0,78.0,77.5,77.75,171490
2013-07-23,78.0,78.9,77.95,78.0,456170
2013-07-24,78.0,79.2,78.0,79.2,545950
2013-07-25,79.25,80.25,79.25,79.5,400740
2013-07-26,79.5,80.2,79.0,79.5,367170
2013-07-29,79.5,79.5,78.8,79.4,298880
2013-07-30,78.6,79.0,78.45,79.0,187460
2013-07-31,78.1,79.0,77.25,77.6,171320
2013-08-01,77.5,77.5,77.0,77.5,199190
2013-08-02,77.5,77.5,75.4,76.95,397120
2013-08-05,75.5,76.9,75.5,76.85,64470
2013-08-06,75.6,75.6,74.25,75.5,240340
2013-08-07,75.5,76.45,75.4,75.85,57320
2013-08-08,75.75,76.75,75.4,76.75,60570
2013-08-12,76.75,76.85,75.55,76.0,86730
2013-08-13,76.1,76.4,74.5,74.55,278080
2013-08-14,74.55,74.55,73.35,73.35,219280
2013-08-15,73.35,73.4,72.75,73.35,114220
2013-08-16,73.0,73.7,73.0,73.2,52210
2013-08-22,72.75,72.75,69.3,70.0,354220
2013-08-23,70.0,70.0,68.25,69.0,228970
2013-08-27,69.0,69.0,62.5,63.0,681680
2013-08-28,61.0,61.0,56.0,56.3,1205010
2013-08-29,61.0,61.0,57.0,58.3,1428990
2013-08-30,62.3,62.8,59.0,60.45,1769800
2013-09-02,60.3,61.35,60.0,60.4,96520
2013-09-03,61.4,61.4,60.8,61.3,342690
2013-09-04,61.9,61.9,60.15,60.2,231040
2013-09-05,61.8,62.0,60.0,62.0,866180
2013-09-06,61.25,64.0,60.95,64.0,575160
2013-09-09,63.5,63.95,62.6,63.0,327950
2013-09-10,63.0,63.1,62.65,62.8,563710
2013-09-11,63.0,64.95,63.0,64.1,917980
2013-09-12,63.95,65.0,63.95,64.55,131530
2013-09-13,63.3,63.9,62.3,63.2,349050
2013-09-16,63.7,65.6,63.2,65.6,197930
2013-09-17,65.55,66.8,65.55,66.8,248710
2013-09-18,66.0,67.7,65.8,67.7,175130
2013-09-19,67.95,70.0,67.95,69.9,331710
2013-09-20,69.9,71.0,69.45,71.0,372940
2013-09-23,70.7,71.0,68.35,71.0,361040
2013-09-24,70.4,71.95,70.4,71.95,89280
2013-09-25,73.0,73.0,71.55,72.5,91900
2013-09-26,72.8,72.9,71.6,72.8,127160
2013-09-27,72.95,73.5,72.8,73.3,59380
2013-09-30,73.5,73.5,72.2,72.3,104730
2013-10-01,72.0,72.8,71.8,72.25,119370
2013-10-02,70.0,72.2,70.0,72.2,205000
2013-10-03,72.0,73.3,71.3,73.3,98870
2013-10-04,72.3,73.5,72.2,73.45,270320
2013-10-07,73.0,74.0,73.0,73.85,105430
2013-10-08,73.95,74.45,73.45,74.45,111580
2013-10-09,74.3,74.5,73.7,74.2,419290
2013-10-10,74.35,74.45,73.6,74.0,159000
2013-10-11,74.4,74.55,73.4,73.95,334790
2013-10-14,73.9,73.9,73.55,73.55,59260
2013-10-16,73.6,73.6,72.6,73.0,131940
2013-10-17,73.3,73.3,71.8,73.0,154340
2013-10-18,71.8,73.0,71.3,72.7,85720
2013-10-21,72.5,72.95,71.5,72.0,104940
2013-10-22,72.0,72.7,71.0,71.85,275720
2013-10-23,71.85,71.85,70.9,70.95,55530
2013-10-24,71.0,71.0,68.05,68.05,471990
2013-10-25,69.9,69.95,69.0,69.0,327910
2013-10-29,69.9,69.9,68.8,69.85,6310
2013-10-30,69.0,69.85,68.5,68.9,35140
2013-10-31,68.5,69.0,68.5,68.8,110370
2013-11-04,68.8,69.45,68.0,68.35,507800
2013-11-05,68.35,68.9,67.8,68.5,372640
2013-11-06,67.8,68.75,67.8,68.5,32700
2013-11-07,68.5,68.5,67.6,67.6,158560
2013-11-08,68.5,69.0,67.9,68.5,88620
2013-11-11,68.5,68.5,67.5,68.0,385930
2013-11-12,68.0,68.5,67.55,68.5,22110
2013-11-13,68.0,68.45,67.8,67.8,30430
2013-11-14,67.6,69.3,67.6,68.7,27090
2013-11-15,68.0,68.8,67.9,68.7,135650
2013-11-18,68.5,69.25,68.3,68.45,187150
2013-11-19,69.5,69.5,68.5,69.0,169580
2013-11-20,68.2,69.0,66.45,67.5,531990
2013-11-21,68.5,68.5,65.15,66.25,487120
2013-11-22,68.5,68.5,66.5,67.15,48210
2013-11-25,67.15,68.0,63.5,68.0,74780
2013-11-26,68.5,68.5,66.1,68.0,314920
2013-11-27,66.2,68.0,66.2,68.0,124190
2013-11-28,68.0,68.0,66.7,67.65,146570
2013-11-29,67.65,68.0,67.65,67.9,146300
2013-12-02,66.8,68.45,66.8,68.0,69500
2013-12-03,68.0,68.4,68.0,68.1,79840
2013-12-04,68.1,68.8,68.1,68.3,96530
2013-12-05,68.0,69.0,68.0,69.0,32410
2013-12-06,68.35,69.85,68.35,68.8,68680
2013-12-09,68.5,69.0,68.5,68.9,4660
2013-12-10,69.0,69.0,68.6,68.6,339690
2013-12-11,68.6,69.0,68.1,68.8,781520
2013-12-12,68.2,68.85,68.0,68.4,321950
2013-12-13,68.0,68.0,66.5,67.45,568650
2013-12-16,67.45,67.45,67.1,67.1,367570
2013-12-17,66.5,67.45,66.5,66.9,134480
2013-12-18,67.0,67.35,66.8,67.35,30620
2013-12-19,68.0,68.25,67.6,68.05,54730
2013-12-20,68.25,68.25,67.8,67.8,242210
2013-12-23,68.15,68.25,67.8,68.15,219380
2013-12-26,68.15,68.15,68.1,68.15,9790
2013-12-27,68.2,68.2,68.1,68.1,546400
2014-01-02,68.1,68.8,68.1,68.7,294120
2014-01-03,68.8,68.8,68.6,68.6,40900
2014-01-06,68.7,68.7,68.5,68.7,19930
2014-01-07,68.6,69.0,68.6,68.7,72060
2014-01-08,68.7,69.05,68.6,68.8,32860
2014-01-09,68.7,68.9,68.6,68.8,230280
2014-01-10,68.4,68.8,66.4,68.7,244190
2014-01-13,68.7,69.3,68.7,69.3,73240
2014-01-14,68.75,69.5,68.75,69.5,100020
2014-01-15,69.0,69.8,69.0,69.8,56670
2014-01-16,69.5,72.0,69.5,72.0,77680
2014-01-17,72.0,73.0,72.0,72.5,113050
2014-01-20,72.9,73.0,72.4,72.7,102950
2014-01-21,72.7,73.2,72.5,72.5,243770
2014-01-22,72.95,72.95,72.0,72.2,440230
2014-01-23,72.5,73.0,72.3,72.5,84160
2014-01-24,72.0,73.0,72.0,72.1,349210
2014-01-27,71.5,72.0,71.1,71.5,128120
2014-01-28,72.0,72.0,71.2,71.35,41770
2014-01-29,71.0,72.3,71.0,72.0,23810
2014-01-30,71.1,72.0,71.0,72.0,94980
2014-02-03,71.8,72.5,71.6,72.5,318720
2014-02-04,71.5,71.5,70.0,70.8,114820
2014-02-05,71.0,71.0,70.6,70.65,160390
2014-02-06,71.0,71.0,70.4,70.4,48120
2014-02-07,70.95,70.95,70.6,70.8,60440
