date,open,high,low,close,volume
1999-03-08,4.0,4.0,4.0,4.0,1000
1999-05-06,4.4,4.4,4.4,4.4,2000
1999-06-21,4.4,4.4,4.4,4.4,96000
1999-07-22,4.4,4.4,4.4,4.4,96000
1999-08-05,4.3,4.3,2.65,2.65,2000
1999-08-06,3.0,3.0,3.0,3.0,8000
1999-08-09,3.2,3.2,3.2,3.2,1000
1999-08-10,3.45,3.45,3.45,3.45,7000
1999-08-16,3.1,3.3,3.1,3.3,3000
1999-08-26,3.45,3.45,2.6,2.6,2000
1999-08-30,2.6,2.6,2.6,2.6,2000
1999-09-01,2.6,2.6,2.6,2.6,15000
1999-09-29,3.9,3.9,3.9,3.9,103000
1999-09-30,4.5,5.2,4.5,4.75,98000
1999-10-01,5.0,5.0,5.0,5.0,3000
1999-10-04,4.9,5.1,4.9,5.1,12000
1999-10-06,4.85,4.85,4.85,4.85,1000
1999-10-07,4.8,4.8,4.8,4.8,2000
1999-11-05,3.0,3.0,3.0,3.0,5000
1999-11-22,3.0,3.0,3.0,3.0,16000
1999-11-26,3.0,3.4,3.0,3.4,4000
1999-11-29,3.0,3.0,3.0,3.0,2000
1999-12-01,3.1,3.1,3.1,3.1,10000
1999-12-09,3.0,3.0,3.0,3.0,40000
1999-12-13,2.8,2.8,2.8,2.8,50000
1999-12-16,2.7,2.7,2.7,2.7,2000
1999-12-23,2.7,2.7,2.7,2.7,100000
1999-12-29,2.5,2.5,2.5,2.5,5000
2000-02-28,2.8,2.8,2.8,2.8,20000
2000-03-30,2.5,2.5,2.5,2.5,10000
2000-04-18,3.7,3.7,3.7,3.7,4000
2000-05-25,3.0,3.0,3.0,3.0,2000
2000-06-28,1.8,1.8,1.8,1.8,6000
2000-07-06,1.08,1.2,1.08,1.2,13000
2000-07-11,1.2,1.2,1.2,1.2,6000
2000-07-12,1.2,1.2,1.2,1.2,8000
2000-08-11,1.0,1.0,1.0,1.0,5000
2000-09-29,0.8,0.8,0.8,0.8,10000
2001-08-07,0.6,0.6,0.6,0.6,150000
2002-01-24,0.5,0.5,0.5,0.5,20000
2002-05-08,0.3,0.3,0.3,0.3,50000
2002-05-21,0.3,0.3,0.3,0.3,50000
2002-05-23,0.45,0.45,0.45,0.45,150000
2002-06-25,0.35,0.35,0.35,0.35,20000
2002-07-01,0.35,0.35,0.35,0.35,100000
2002-07-02,0.32,0.32,0.32,0.32,100000
2002-07-08,0.29,0.29,0.29,0.29,100000
2002-07-18,0.23,0.25,0.23,0.25,200000
2002-08-27,0.25,0.25,0.25,0.25,50000
2002-09-05,0.2,0.2,0.2,0.2,50000
2002-09-26,0.16,0.16,0.16,0.16,100000
2002-09-27,0.15,0.15,0.15,0.15,100000
2002-11-05,0.09,0.09,0.09,0.09,10000
2004-05-24,0.135,0.135,0.135,0.135,1100000
2004-05-25,0.2,0.2,0.2,0.2,150000
2004-05-26,0.3,0.3,0.3,0.3,50000
2004-05-27,0.45,0.45,0.45,0.45,10000
2004-05-28,0.67,0.67,0.67,0.67,200000
2004-05-31,0.75,0.8,0.68,0.68,130000
2004-06-01,0.67,0.67,0.67,0.67,30000
2004-06-02,0.6,0.6,0.5,0.5,160000
2004-06-03,0.5,0.72,0.5,0.72,80000
2004-06-11,0.61,0.61,0.61,0.61,10000
2004-06-16,0.68,0.72,0.68,0.72,240000
2004-06-17,0.75,1.08,0.75,1.08,610000
2004-06-18,1.1,1.38,1.0,1.0,236000
2004-06-21,1.1,1.5,1.1,1.5,430000
2004-06-22,1.6,1.9,1.4,1.7,362000
2004-06-23,1.4,1.4,1.4,1.4,20000
2004-06-24,1.12,1.12,1.06,1.06,180000
2004-06-25,1.12,1.24,1.1,1.2,200000
2004-06-28,1.2,1.2,1.12,1.18,100000
2004-06-29,1.18,1.18,1.18,1.18,5000
2004-06-30,1.18,1.18,1.18,1.18,15000
2004-07-01,1.24,1.3,1.24,1.3,33000
2004-07-05,1.12,1.12,1.12,1.12,30000
2004-07-06,1.1,1.1,1.06,1.06,40000
2004-07-07,1.1,1.12,1.0,1.0,65000
