date,open,high,low,close,volume
1999-03-08,4.7,4.7,4.7,4.7,3000
1999-08-04,4.4,4.4,4.4,4.4,1000
1999-08-11,4.4,4.4,4.4,4.4,10000
1999-08-12,4.4,4.4,4.4,4.4,22000
1999-08-27,4.1,4.1,4.1,4.1,1000
1999-09-02,4.0,4.0,4.0,4.0,1000
1999-09-29,6.0,6.0,6.0,6.0,5000
1999-09-30,7.0,7.0,6.0,6.0,4000
1999-11-11,5.0,5.0,5.0,5.0,3000
1999-12-02,4.0,4.2,4.0,4.2,3000
2000-02-03,4.8,4.8,4.8,4.8,1000
2000-03-06,3.0,3.0,2.9,2.9,2000
2000-03-07,1.8,1.8,1.8,1.8,1000
2001-04-24,1.8,1.8,1.8,1.8,5000
2001-04-26,1.8,1.8,1.8,1.8,10000
2001-05-09,1.8,1.8,1.8,1.8,5000
2002-05-23,1.8,2.0,1.8,2.0,6000
2002-05-24,2.06,2.06,1.5,1.5,3000
2003-08-07,1.5,1.7,1.5,1.7,9000
2003-12-18,1.7,2.5,1.7,2.5,19000
2004-04-06,2.2,2.2,2.2,2.2,1000
2004-04-14,1.8,1.8,1.8,1.8,1000
2004-05-13,1.72,1.72,1.72,1.72,2000
2004-05-20,1.94,2.0,1.94,2.0,4000
2004-05-25,2.5,2.5,2.5,2.5,1000
2004-05-28,3.2,3.2,3.2,3.2,1000
2004-06-03,3.1,3.1,3.1,3.1,2000
2004-06-08,2.0,2.0,2.0,2.0,1000
2004-06-16,3.0,3.0,3.0,3.0,5000
2004-06-17,4.5,4.5,4.5,4.5,1000
2004-07-07,5.0,5.0,5.0,5.0,1000
2004-07-30,3.05,3.05,3.05,3.05,1000
2004-08-18,2.9,2.9,2.9,2.9,1000
2004-10-20,1.76,1.76,1.76,1.76,2000
2004-10-21,1.08,1.08,1.08,1.08,2000
2004-10-28,1.32,1.32,1.32,1.32,100000
2004-11-02,1.8,1.8,1.8,1.8,3000
2004-11-03,2.48,2.48,2.48,2.48,1000
2004-11-12,2.75,2.75,2.75,2.75,1000
2004-12-02,4.0,4.0,4.0,4.0,1000
2004-12-06,5.9,5.9,5.9,5.9,1000
2004-12-07,6.0,6.0,6.0,6.0,6000
2004-12-09,6.0,6.0,6.0,6.0,2000
2005-01-26,6.0,6.0,6.0,6.0,5000
2005-02-01,9.0,9.0,9.0,9.0,2000
2005-02-02,10.0,10.0,10.0,10.0,3000
2005-02-10,13.0,13.0,13.0,13.0,1000
2005-02-15,12.0,12.0,12.0,12.0,500
2005-02-16,18.0,18.0,18.0,18.0,3000
2005-02-21,13.0,13.0,13.0,13.0,1000
2005-02-24,14.0,14.0,14.0,14.0,4000
2005-03-01,15.0,15.0,15.0,15.0,100
2005-03-18,15.0,15.0,15.0,15.0,200
2005-03-21,20.0,20.0,20.0,20.0,3100
2005-03-22,22.0,24.0,22.0,24.0,19200
2005-03-28,24.0,24.0,24.0,24.0,21200
2005-03-29,24.0,24.0,22.5,22.5,5000
2005-03-30,23.5,23.5,23.5,23.5,1600
2005-03-31,22.75,24.0,22.75,24.0,4800
2005-04-01,25.0,25.0,25.0,25.0,500
2005-04-05,25.5,25.5,25.5,25.5,500
2005-04-06,27.0,27.0,27.0,27.0,2200
2005-04-07,27.0,27.0,25.0,25.0,2500
2005-04-08,25.0,25.0,25.0,25.0,15800
2005-04-11,27.0,27.0,27.0,27.0,3500
2005-04-12,27.0,27.0,27.0,27.0,15500
2005-04-14,27.0,27.0,27.0,27.0,1000
2005-04-15,25.0,25.0,23.5,24.0,6100
2005-04-18,23.5,23.5,23.5,23.5,4000
2005-04-20,23.5,23.5,23.5,23.5,4100
2005-04-22,20.0,20.5,20.0,20.5,5600
2005-04-26,26.0,27.5,26.0,27.5,2300
2005-04-27,29.5,29.5,29.5,29.5,17500
2005-04-28,29.0,29.0,29.0,29.0,300
2005-04-29,29.5,32.0,29.5,32.0,26300
2005-05-03,32.0,35.0,32.0,35.0,3100
2005-05-04,36.0,41.0,36.0,41.0,20200
2005-05-05,42.0,49.5,42.0,48.0,5300
2005-05-06,50.0,50.0,50.0,50.0,700
2005-05-10,45.0,45.0,45.0,45.0,3000
2005-05-12,43.0,43.0,43.0,43.0,3300
2005-05-13,43.0,43.0,43.0,43.0,1500
