date,open,high,low,close,volume
1999-04-22,25.0,25.0,25.0,25.0,400
1999-04-23,25.0,25.0,25.0,25.0,400
1999-10-27,25.0,25.0,25.0,25.0,100
1999-12-02,25.0,25.0,25.0,25.0,1000
2001-10-01,17.5,17.5,17.5,17.5,1892000
2001-10-31,20.0,20.0,20.0,20.0,100
2002-10-07,20.0,20.0,20.0,20.0,4595900
2002-10-10,20.0,20.0,20.0,20.0,365400
2002-10-21,20.0,20.0,20.0,20.0,25300
2002-10-22,20.0,20.0,20.0,20.0,9500
2002-10-23,20.0,20.0,20.0,20.0,3400
2003-01-10,20.0,20.0,20.0,20.0,8700
2003-04-08,20.0,20.0,20.0,20.0,2000000
2003-04-09,20.0,20.0,20.0,20.0,3084000
2003-04-10,20.0,20.0,20.0,20.0,1263600
2003-04-14,20.0,27.0,20.0,27.0,630100
2003-04-15,30.0,37.0,30.0,37.0,3000
2003-04-16,40.0,40.0,40.0,40.0,1000
2003-04-23,32.0,32.0,32.0,32.0,500
2003-04-24,28.0,28.0,24.0,24.0,2200
2003-04-25,24.0,24.0,21.0,21.0,1100
2003-04-30,20.0,22.0,20.0,20.0,23300
2003-05-05,20.0,20.0,20.0,20.0,3000
2003-07-30,18.0,18.0,18.0,18.0,1000
2003-12-01,20.0,20.0,20.0,20.0,638400
2003-12-02,20.0,20.0,20.0,20.0,476900
2003-12-03,20.0,20.0,20.0,20.0,5000
2003-12-04,20.0,20.0,20.0,20.0,4324200
2003-12-09,20.0,20.0,20.0,20.0,17300
2003-12-11,20.0,20.0,20.0,20.0,1000
2003-12-17,20.0,20.0,20.0,20.0,43200
2003-12-23,26.0,26.0,26.0,26.0,1000
2003-12-29,25.0,34.0,25.0,34.0,5000
2003-12-30,32.0,44.0,32.0,44.0,6200
2004-09-16,44.0,44.0,44.0,44.0,100
2005-07-14,28.0,44.0,28.0,44.0,469100
2006-01-16,34.0,34.0,34.0,34.0,1100
2006-01-17,25.0,25.0,25.0,25.0,1000
2006-01-18,22.0,34.0,20.0,34.0,95000
