date,open,high,low,close,volume
1999-02-04,2.1,2.1,2.06,2.1,31228000
1999-02-05,2.06,2.1,2.06,2.1,25866000
1999-02-08,2.06,2.1,2.06,2.1,25866000
1999-02-09,2.06,2.1,2.06,2.1,25866000
1999-02-10,2.06,2.1,2.06,2.1,25866000
1999-02-11,2.06,2.1,2.06,2.1,25866000
1999-02-12,2.1,2.12,2.02,2.02,34236000
1999-02-15,2.02,2.04,2.0,2.02,15901000
1999-02-16,2.0,2.02,2.0,2.02,5075000
1999-02-17,2.02,2.02,1.98,2.0,9742000
1999-02-18,2.0,2.0,1.9,1.94,29521000
1999-02-19,1.9,1.94,1.84,1.94,38660000
1999-02-22,1.94,1.94,1.92,1.92,4281000
1999-02-23,1.96,1.96,1.94,1.96,14891000
1999-02-24,1.96,1.96,1.92,1.92,5437000
1999-02-25,1.9,1.9,1.9,1.9,11995000
1999-02-26,1.9,1.94,1.88,1.92,33069000
1999-03-01,1.9,1.9,1.84,1.86,12650000
1999-03-02,1.86,1.86,1.82,1.84,8378000
1999-03-03,1.82,1.88,1.82,1.88,28034000
1999-03-04,1.86,1.86,1.8,1.8,9826000
1999-03-05,1.8,1.82,1.7,1.76,30083000
1999-03-08,1.78,1.78,1.74,1.76,3508000
1999-03-09,1.72,1.72,1.62,1.64,11862000
1999-03-10,1.64,1.68,1.6,1.68,12324000
1999-03-11,1.66,1.68,1.56,1.58,10527000
1999-03-12,1.6,1.62,1.56,1.56,12621000
1999-03-15,1.56,1.56,1.5,1.54,7654000
1999-03-16,1.56,1.62,1.56,1.58,15059000
1999-03-17,1.58,1.6,1.56,1.58,4584000
1999-03-18,1.58,1.74,1.58,1.74,24706000
1999-03-19,1.74,1.78,1.7,1.78,29549000
1999-03-22,1.74,1.82,1.74,1.8,11148000
1999-03-23,1.8,1.8,1.78,1.8,11920000
1999-03-24,1.76,1.78,1.76,1.78,6586000
1999-03-25,1.78,1.82,1.7,1.72,33232000
1999-03-26,1.72,1.74,1.72,1.74,3462000
1999-03-29,1.72,1.74,1.72,1.74,829000
1999-03-30,1.76,1.78,1.76,1.78,5565000
1999-03-31,1.78,1.8,1.78,1.8,2117000
1999-04-05,1.8,1.86,1.8,1.86,4280000
1999-04-06,1.88,1.92,1.86,1.92,13989000
1999-04-07,1.92,2.0,1.92,1.92,25516000
1999-04-08,1.94,1.94,1.9,1.94,14006000
1999-04-12,1.98,2.0,1.92,1.94,14002000
1999-04-13,1.94,1.94,1.88,1.92,8260000
1999-04-14,1.9,1.92,1.84,1.86,13246000
1999-04-15,1.86,1.88,1.8,1.8,8518000
1999-04-16,1.82,1.82,1.76,1.8,15296000
1999-04-19,1.84,1.94,1.84,1.9,56477000
1999-04-20,1.92,1.96,1.88,1.9,42708000
1999-04-21,1.92,1.92,1.88,1.9,10519000
1999-04-22,1.9,2.08,1.9,2.06,78908000
1999-04-23,2.08,2.08,2.02,2.06,58239000
1999-04-26,2.06,2.06,2.02,2.04,30956000
1999-04-27,2.06,2.12,2.06,2.1,89311000
1999-04-28,2.12,2.14,2.08,2.08,39340000
1999-04-29,2.08,2.08,2.04,2.06,40081000
1999-04-30,2.1,2.1,2.06,2.08,46206000
1999-05-03,2.08,2.1,2.06,2.06,20194000
1999-05-04,2.08,2.08,2.06,2.08,21378000
1999-05-05,2.1,2.22,2.1,2.16,74768000
