date,open,high,low,close,volume
2000-08-23,340.0,340.0,340.0,340.0,1280
2001-12-04,340.0,340.0,340.0,340.0,510
2004-05-05,340.0,340.0,340.0,340.0,130
2005-01-05,210.0,210.0,210.0,210.0,720
2005-02-01,310.0,310.0,310.0,310.0,60
2005-05-11,210.0,210.0,210.0,210.0,2890
2007-08-07,150.0,150.0,150.0,150.0,100
2008-11-10,150.0,150.0,150.0,150.0,60
2009-10-16,225.0,225.0,225.0,225.0,10
2009-11-11,230.0,230.0,230.0,230.0,10
2010-01-08,250.0,250.0,250.0,250.0,10
2010-01-21,280.0,300.0,280.0,300.0,20
2010-01-22,320.0,320.0,320.0,320.0,10
2010-01-27,300.0,300.0,300.0,300.0,30
2010-01-29,300.0,300.0,300.0,300.0,10
2010-04-07,300.0,300.0,300.0,300.0,30
2010-04-12,300.0,300.0,300.0,300.0,30
2010-05-13,300.0,300.0,300.0,300.0,10
2010-06-01,300.0,300.0,300.0,300.0,10
2010-06-07,300.0,300.0,300.0,300.0,10
2010-06-09,300.0,300.0,300.0,300.0,20
2010-06-10,300.0,300.0,300.0,300.0,780
2010-07-02,260.0,260.0,260.0,260.0,10
2010-11-15,320.0,320.0,320.0,320.0,10
2010-12-10,320.0,320.0,320.0,320.0,10
2010-12-23,320.0,320.0,320.0,320.0,10
2010-12-28,330.0,340.0,320.0,340.0,1000
2011-01-03,350.0,350.0,350.0,350.0,10
2011-01-10,350.0,350.0,350.0,350.0,10
2011-03-03,300.0,300.0,300.0,300.0,210
2011-03-04,280.0,280.0,280.0,280.0,200
2011-03-07,290.0,290.0,290.0,290.0,10
2011-03-24,300.0,300.0,280.0,280.0,230
2011-03-25,280.0,280.0,280.0,280.0,200
2011-03-28,280.0,280.0,280.0,280.0,500
2011-03-30,280.0,280.0,280.0,280.0,300
2011-04-01,280.0,280.0,280.0,280.0,140
2011-05-26,290.0,290.0,280.0,280.0,1230
2011-06-02,270.0,270.0,270.0,270.0,1000
2011-06-08,280.0,280.0,280.0,280.0,980
2011-06-27,270.0,270.0,260.0,260.0,240
2011-07-18,300.0,350.0,300.0,350.0,50
2011-07-19,400.0,400.0,400.0,400.0,20
2011-07-20,450.0,450.0,450.0,450.0,40
2011-07-21,400.0,400.0,400.0,400.0,20
2011-08-05,270.0,270.0,270.0,270.0,10
2011-09-20,290.0,405.0,290.0,405.0,12960
2011-09-22,310.0,310.0,270.0,270.0,130
2011-09-23,275.0,280.0,275.0,280.0,100
2011-09-26,270.0,270.0,270.0,270.0,30
2011-10-13,270.0,270.0,270.0,270.0,20
2011-11-18,333.0,405.0,333.0,405.0,800
2011-11-21,480.0,607.5,480.0,607.5,350
2011-11-22,800.0,800.0,660.0,720.0,90
2011-11-23,911.0,911.0,900.0,900.0,70
2011-12-01,450.0,450.0,450.0,450.0,30
2012-01-03,430.0,430.0,430.0,430.0,10
2012-03-09,400.0,400.0,400.0,400.0,50
2012-03-20,600.0,600.0,600.0,600.0,10
2012-05-04,600.0,600.0,600.0,600.0,10
2012-05-28,420.0,420.0,420.0,420.0,10
2012-06-05,630.0,630.0,630.0,630.0,10
2012-08-08,422.0,422.0,422.0,422.0,10
2012-09-17,430.0,430.0,430.0,430.0,10
2012-10-03,430.0,430.0,430.0,430.0,20
