date,open,high,low,close,volume
1999-02-04,1.28,1.28,1.28,1.28,492000
1999-02-05,1.3,1.3,1.2,1.28,420000
1999-02-08,1.3,1.3,1.2,1.28,420000
1999-02-09,1.3,1.3,1.2,1.28,420000
1999-02-10,1.3,1.3,1.2,1.28,420000
1999-02-11,1.3,1.3,1.2,1.28,420000
1999-02-15,1.14,1.14,1.14,1.14,101000
1999-02-16,1.1,1.14,1.1,1.14,11000
1999-02-17,1.12,1.14,1.12,1.14,235000
1999-02-18,1.14,1.16,1.14,1.16,57000
1999-02-19,1.16,1.16,1.16,1.16,91000
1999-02-24,1.16,1.16,1.12,1.14,211000
1999-02-25,1.16,1.16,1.16,1.16,277000
1999-02-26,1.16,1.18,1.16,1.18,220000
1999-03-01,1.2,1.34,1.2,1.3,982000
1999-03-02,1.3,1.34,1.28,1.28,947000
1999-03-03,1.3,1.32,1.3,1.32,494000
1999-03-04,1.3,1.3,1.3,1.3,92000
1999-03-05,1.3,1.3,1.3,1.3,261000
1999-03-09,1.26,1.26,1.26,1.26,6000
1999-03-11,1.24,1.24,1.24,1.24,140000
1999-03-15,1.24,1.24,1.24,1.24,85000
1999-03-17,1.3,1.3,1.3,1.3,112000
1999-03-18,1.36,1.36,1.32,1.32,234000
1999-03-19,1.3,1.32,1.3,1.3,66000
1999-03-22,1.3,1.3,1.3,1.3,190000
1999-03-23,1.34,1.34,1.32,1.34,231000
1999-03-24,1.34,1.4,1.34,1.4,292000
1999-03-25,1.4,1.4,1.36,1.38,644000
1999-03-26,1.42,1.56,1.4,1.52,1628000
1999-03-29,1.48,1.48,1.46,1.46,335000
1999-03-30,1.46,1.5,1.46,1.5,349000
1999-03-31,1.56,1.66,1.56,1.64,1651000
1999-04-05,1.66,1.66,1.6,1.6,85000
1999-04-06,1.6,1.6,1.58,1.6,269000
1999-04-07,1.58,1.64,1.58,1.62,327000
1999-04-08,1.62,1.66,1.62,1.66,297000
1999-04-12,1.68,1.68,1.62,1.66,143000
1999-04-13,1.66,1.7,1.66,1.7,358000
1999-04-14,1.68,1.72,1.68,1.7,606000
1999-04-15,1.7,1.8,1.7,1.78,1168000
1999-04-16,1.78,2.1,1.78,2.0,3235000
1999-04-19,1.98,2.0,1.9,2.0,2260000
1999-04-20,1.98,2.02,1.96,2.0,772000
1999-04-21,2.0,2.0,1.98,2.0,474000
1999-04-22,2.0,2.3,2.0,2.24,1783000
1999-04-23,2.5,2.65,2.5,2.6,3586000
1999-04-26,2.2,2.2,1.76,1.9,1073000
1999-04-27,2.5,2.9,2.5,2.8,1628000
1999-04-28,2.85,2.9,2.6,2.6,521000
1999-04-29,2.7,2.7,2.6,2.6,282000
1999-04-30,2.6,2.65,2.6,2.65,458000
1999-05-03,2.5,2.7,2.5,2.55,428000
1999-05-04,2.6,2.65,2.6,2.6,1189000
1999-05-05,2.5,2.6,2.5,2.55,665000
1999-05-06,2.5,2.5,2.48,2.5,322000
1999-05-07,2.5,2.55,2.5,2.5,442000
1999-05-10,2.5,2.6,2.5,2.5,573000
1999-05-11,2.5,2.5,2.4,2.4,143000
1999-05-12,2.4,2.4,2.4,2.4,196000
1999-05-13,2.4,2.5,2.4,2.44,452000
1999-05-14,2.44,2.44,2.26,2.26,438000
1999-05-17,2.2,2.28,2.2,2.28,197000
1999-05-18,2.3,2.3,2.2,2.2,277000
1999-05-19,2.2,2.2,2.18,2.18,450000
1999-05-20,2.16,2.16,2.1,2.12,237000
1999-05-21,2.28,2.28,2.16,2.16,85000
1999-05-24,2.12,2.12,2.06,2.06,61000
1999-05-25,2.12,2.16,2.12,2.16,142000
1999-05-27,2.16,2.24,2.16,2.24,222000
1999-05-28,2.18,2.2,2.18,2.2,332000
1999-05-31,2.2,2.2,2.2,2.2,815000
1999-06-01,2.2,2.2,2.2,2.2,146000
1999-06-02,2.2,2.2,2.2,2.2,38000
1999-06-03,2.2,2.2,2.2,2.2,475000
1999-06-04,2.2,2.2,2.2,2.2,300000
1999-06-07,2.0,2.1,2.0,2.1,14000
1999-06-08,2.14,2.22,2.14,2.22,111000
1999-06-09,2.2,2.22,2.2,2.22,223000
1999-06-10,2.4,2.4,2.3,2.3,390000
1999-06-11,2.4,2.5,2.36,2.36,940000
1999-06-14,2.46,2.48,2.4,2.46,809000
1999-06-15,2.44,2.46,2.4,2.4,140000
1999-06-16,2.38,2.38,2.3,2.3,455000
1999-06-17,2.34,2.34,2.34,2.34,20000
1999-06-18,2.28,2.28,2.2,2.24,360000
1999-06-21,2.24,2.26,2.2,2.26,608000
1999-06-22,2.34,2.5,2.34,2.5,225000
1999-06-23,2.5,2.5,2.44,2.46,255000
1999-06-24,2.5,3.4,2.5,3.4,6508000
1999-06-25,3.0,3.9,3.0,3.8,3525000
1999-06-28,4.0,4.0,3.6,3.6,675000
1999-06-29,3.6,3.6,3.5,3.6,468000
1999-06-30,3.5,3.6,3.4,3.6,896000
1999-07-01,3.6,3.7,3.6,3.6,1709000
1999-07-02,3.6,3.6,3.5,3.5,211000
1999-07-05,3.5,3.6,3.5,3.5,650000
1999-07-06,3.5,3.6,3.5,3.6,175000
1999-07-07,3.7,3.7,3.6,3.6,64000
1999-07-08,3.6,3.65,3.6,3.65,141000
1999-07-09,3.6,3.6,3.5,3.55,548000
1999-07-12,3.55,3.55,3.5,3.5,1336000
1999-07-13,3.4,3.5,3.4,3.45,16000
1999-07-14,3.45,3.45,3.45,3.45,110000
1999-07-16,3.5,3.6,3.45,3.5,307000
1999-07-19,3.4,3.4,3.4,3.4,224000
1999-07-20,3.4,3.4,3.05,3.05,15000
1999-07-21,3.1,3.3,3.1,3.2,160000
1999-07-22,3.25,3.3,3.2,3.2,195000
1999-07-23,3.1,3.15,3.1,3.15,47000
1999-07-26,2.6,2.6,1.9,1.9,100000
1999-07-27,1.9,1.9,1.9,1.9,180000
1999-07-28,1.9,1.94,1.9,1.9,162000
1999-07-29,1.92,1.94,1.92,1.94,371000
1999-08-04,2.0,2.1,2.0,2.1,80000
1999-08-05,2.1,2.1,2.0,2.0,144000
1999-08-06,2.0,2.0,1.98,2.0,270000
1999-08-09,1.98,1.98,1.94,1.94,39000
1999-08-10,2.02,2.02,2.02,2.02,10000
1999-08-11,1.98,2.0,1.98,2.0,572000
1999-08-12,2.0,2.0,1.98,1.98,2123000
1999-08-13,1.98,2.0,1.98,2.0,70000
1999-08-16,1.98,1.98,1.9,1.9,25000
1999-08-17,1.9,1.98,1.9,1.92,122000
1999-08-18,1.92,1.92,1.9,1.9,140000
1999-08-19,1.92,1.92,1.92,1.92,40000
1999-08-20,1.92,1.92,1.9,1.9,247000
1999-08-24,1.9,1.9,1.88,1.88,30000
1999-08-25,1.88,1.9,1.88,1.9,68000
1999-08-26,1.92,1.92,1.9,1.9,177000
1999-09-01,1.7,1.8,1.7,1.8,265000
1999-09-02,1.8,1.8,1.8,1.8,130000
1999-09-03,1.8,1.8,1.78,1.8,543000
1999-09-06,1.8,1.8,1.8,1.8,70000
1999-09-08,1.8,1.8,1.8,1.8,159000
1999-09-09,1.78,1.78,1.78,1.78,15000
1999-09-10,1.78,1.78,1.78,1.78,13000
1999-09-13,1.76,1.76,1.76,1.76,30000
1999-09-14,1.74,1.74,1.72,1.72,39000
1999-09-17,1.68,1.68,1.68,1.68,40000
1999-09-20,1.7,1.7,1.62,1.62,194000
1999-09-22,1.62,1.62,1.6,1.6,150000
