date,open,high,low,close,volume
1999-02-04,0.67,0.67,0.65,0.65,600000
1999-02-15,0.6,0.65,0.6,0.65,620000
1999-02-16,0.61,0.65,0.61,0.65,560000
1999-02-23,0.55,0.55,0.55,0.55,110000
1999-02-24,0.6,0.6,0.6,0.6,20000
1999-02-26,0.65,0.68,0.65,0.68,100000
1999-03-01,0.62,0.62,0.62,0.62,60000
1999-03-02,0.62,0.62,0.62,0.62,10000
1999-03-11,0.59,0.59,0.59,0.59,10000
1999-03-12,0.59,0.59,0.59,0.59,10000
1999-03-16,0.55,0.55,0.55,0.55,130000
1999-03-17,0.55,0.58,0.55,0.58,30000
1999-03-18,0.58,0.58,0.58,0.58,10000
1999-03-19,0.58,0.58,0.58,0.58,40000
1999-03-23,0.6,0.6,0.6,0.6,30000
1999-03-26,0.6,0.6,0.6,0.6,20000
1999-03-30,0.56,0.56,0.55,0.55,210000
1999-03-31,0.55,0.55,0.55,0.55,10000
1999-04-07,0.62,0.62,0.62,0.62,250000
1999-04-14,0.62,0.62,0.62,0.62,20000
1999-04-15,0.59,0.59,0.58,0.58,350000
1999-04-16,0.59,0.63,0.59,0.63,60000
1999-04-20,0.58,0.59,0.58,0.59,60000
1999-04-21,0.6,0.6,0.59,0.6,680000
1999-04-22,0.59,0.6,0.59,0.6,160000
1999-04-23,0.6,0.6,0.6,0.6,40000
1999-04-27,0.62,0.66,0.61,0.63,6310000
1999-04-28,0.64,0.65,0.62,0.63,2210000
1999-04-29,0.6,0.6,0.59,0.6,1920000
1999-04-30,0.6,0.68,0.6,0.67,5100000
1999-05-03,0.66,0.72,0.66,0.72,2250000
1999-05-04,0.72,0.72,0.7,0.7,750000
1999-05-05,0.68,0.72,0.68,0.72,180000
1999-05-06,0.69,0.8,0.69,0.8,1180000
1999-05-07,0.78,0.81,0.74,0.74,1240000
1999-05-10,0.72,0.72,0.72,0.72,150000
1999-05-11,0.72,0.72,0.72,0.72,280000
1999-05-12,0.7,0.7,0.7,0.7,720000
1999-05-13,0.71,0.72,0.7,0.7,650000
1999-05-14,0.7,0.7,0.7,0.7,10000
1999-05-17,0.7,0.71,0.7,0.71,220000
1999-05-18,0.73,0.75,0.73,0.75,210000
1999-05-19,0.76,0.76,0.68,0.68,1610000
1999-05-20,0.7,0.7,0.7,0.7,110000
1999-05-21,0.72,0.74,0.71,0.74,880000
1999-05-24,0.75,0.75,0.75,0.75,10000
1999-05-25,0.7,0.7,0.7,0.7,250000
1999-05-26,0.7,0.7,0.7,0.7,580000
1999-05-27,0.7,0.7,0.69,0.69,110000
1999-05-31,0.69,0.72,0.69,0.72,20000
1999-06-02,0.7,0.7,0.7,0.7,130000
1999-06-03,0.7,0.7,0.7,0.7,130000
1999-06-04,0.7,0.71,0.7,0.7,380000
1999-06-09,0.65,0.65,0.65,0.65,10000
1999-06-10,0.7,0.7,0.7,0.7,350000
1999-06-11,0.7,0.7,0.69,0.7,430000
1999-06-16,0.66,0.85,0.66,0.84,5890000
1999-06-17,0.84,0.84,0.75,0.76,1040000
1999-06-18,0.8,0.8,0.77,0.8,2240000
1999-06-21,0.8,0.85,0.8,0.83,1140000
1999-06-22,0.83,0.88,0.83,0.88,1910000
1999-06-23,0.95,1.1,0.95,1.06,8340000
1999-06-24,1.02,1.02,0.9,1.02,5336000
1999-06-25,1.02,1.26,1.02,1.16,10192000
1999-06-28,1.16,1.22,1.12,1.16,1800000
1999-06-29,1.16,1.2,1.14,1.14,2043000
1999-06-30,1.12,1.12,1.06,1.06,1595000
1999-07-01,1.08,1.1,1.04,1.06,1723000
1999-07-02,1.06,1.08,1.06,1.08,962000
1999-07-05,1.06,1.06,1.06,1.06,634000
1999-07-06,1.04,1.06,1.04,1.04,460000
1999-07-07,1.04,1.12,1.04,1.12,260000
1999-07-08,1.12,1.12,1.04,1.04,406000
1999-07-09,1.04,1.1,1.04,1.04,567000
1999-07-12,1.0,1.04,1.0,1.04,164000
1999-07-13,1.02,1.04,1.0,1.0,528000
1999-07-14,1.0,1.0,0.98,0.98,250000
1999-07-16,0.98,1.0,0.98,1.0,240000
1999-07-19,1.0,1.0,0.96,1.0,720000
1999-07-20,1.0,1.0,1.0,1.0,1080000
1999-07-21,1.0,1.0,0.99,0.99,1110000
1999-07-22,0.99,0.99,0.98,0.99,650000
1999-07-23,0.95,0.96,0.94,0.95,260000
1999-07-26,0.97,0.97,0.94,0.94,400000
1999-07-27,0.92,0.92,0.86,0.87,230000
1999-07-28,0.9,0.9,0.9,0.9,90000
1999-07-29,0.9,0.9,0.9,0.9,100000
1999-07-30,0.9,0.94,0.9,0.94,190000
1999-08-04,0.87,0.87,0.87,0.87,100000
1999-08-05,0.9,0.9,0.9,0.9,10000
1999-08-09,0.88,0.88,0.88,0.88,130000
1999-08-10,1.04,1.04,1.04,1.04,10000
1999-08-11,0.94,0.94,0.94,0.94,100000
1999-08-12,0.97,0.97,0.97,0.97,10000
1999-08-13,0.9,0.9,0.9,0.9,30000
1999-08-17,0.8,0.8,0.8,0.8,30000
1999-08-18,0.7,0.72,0.7,0.72,70000
1999-08-19,0.8,0.8,0.8,0.8,10000
1999-08-20,0.85,0.85,0.85,0.85,70000
1999-08-26,0.85,0.85,0.85,0.85,10000
1999-08-31,0.94,0.94,0.94,0.94,100000
1999-09-21,0.8,0.8,0.8,0.8,150000
1999-09-24,0.75,0.75,0.7,0.7,310000
1999-09-27,0.7,0.7,0.7,0.7,70000
1999-09-29,0.7,0.72,0.7,0.72,20000
1999-09-30,0.7,0.8,0.7,0.8,80000
1999-10-05,0.8,0.8,0.8,0.8,130000
1999-10-06,0.8,0.8,0.8,0.8,150000
1999-10-07,0.7,0.7,0.7,0.7,10000
1999-10-13,0.55,0.55,0.55,0.55,50000
1999-10-14,0.56,0.74,0.56,0.74,170000
1999-10-18,0.6,0.6,0.59,0.6,420000
1999-10-19,0.6,0.6,0.6,0.6,20000
1999-10-20,0.6,0.6,0.6,0.6,180000
