date,open,high,low,close,volume
2000-01-03,116.0,119.0,116.0,118.0,212150
2000-01-04,117.0,118.0,116.0,116.0,68040
2000-01-05,115.0,115.0,112.0,113.0,21500
2000-01-06,112.0,113.0,110.0,111.0,568920
2000-01-14,109.0,113.0,109.0,113.0,66370
2000-01-17,112.0,112.0,110.0,110.0,263380
2000-01-18,110.0,111.0,110.0,111.0,388890
2000-01-19,111.0,111.0,110.0,111.0,422470
2000-01-27,102.0,102.0,100.0,100.0,1696280
2000-01-28,100.0,100.0,97.5,98.0,1377200
2000-01-31,98.0,99.5,95.5,99.5,615800
2000-02-01,100.0,102.0,100.0,101.0,176500
2000-02-02,101.0,102.0,101.0,102.0,602420
2000-02-03,101.0,103.0,101.0,103.0,59300
2000-02-04,103.0,108.0,102.0,108.0,310410
2000-02-07,105.0,105.0,104.0,105.0,33880
2000-02-08,106.0,106.0,104.0,106.0,233720
2000-02-09,108.0,112.0,108.0,112.0,753020
2000-02-10,111.0,112.0,110.0,111.0,1316970
2000-02-11,111.0,113.0,111.0,113.0,566170
2000-02-14,113.0,115.0,107.0,108.0,1468580
2000-02-15,107.0,107.0,105.0,105.0,399600
2000-02-16,106.0,107.0,106.0,106.0,119160
2000-02-17,105.0,105.0,105.0,105.0,60650
2000-02-18,105.0,105.0,102.0,102.0,58190
2000-02-21,102.0,102.0,98.0,98.5,490500
2000-02-22,98.5,98.5,96.5,96.5,394700
2000-02-23,96.0,98.5,95.5,97.0,359200
2000-02-24,98.0,98.5,97.0,98.5,116800
2000-02-28,99.0,99.0,91.0,92.5,614400
2000-02-29,92.5,93.0,92.5,93.0,126700
2000-03-01,93.0,93.5,93.0,93.5,399800
2000-03-02,100.0,100.0,93.0,93.0,873300
2000-03-03,94.0,94.0,90.0,90.0,445500
2000-03-06,91.0,91.0,89.5,90.0,344000
2000-03-07,90.0,90.0,89.0,89.5,170400
2000-03-08,88.0,88.0,84.0,84.5,416000
2000-03-09,85.0,88.0,85.0,86.5,93400
2000-03-10,86.0,86.5,86.0,86.0,198800
2000-03-13,85.0,86.5,84.5,86.5,62900
2000-03-14,86.5,86.5,86.0,86.5,70300
2000-03-15,87.0,88.5,87.0,88.5,59100
2000-03-16,89.0,92.5,89.0,92.5,160100
2000-03-17,94.0,95.0,92.0,93.0,257800
2000-03-20,92.5,92.5,91.5,91.5,70900
2000-03-21,91.5,91.5,90.5,91.5,52200
2000-03-22,91.5,91.5,90.0,90.0,88100
2000-03-23,90.5,92.5,90.5,92.0,108700
2000-03-24,92.0,92.5,91.5,92.0,340700
2000-03-27,92.0,92.5,92.0,92.5,209500
2000-03-28,93.0,93.5,92.0,92.5,576000
2000-03-29,92.5,93.0,92.5,93.0,467200
2000-03-30,93.0,93.5,92.5,93.0,167900
2000-03-31,93.0,93.5,93.0,93.5,327700
2000-04-03,93.5,94.0,93.0,93.0,281800
2000-04-04,94.0,94.5,92.0,92.0,459700
2000-04-05,94.0,94.0,93.0,93.0,423800
2000-04-06,94.5,96.0,94.0,95.5,138900
2000-04-07,95.5,97.5,95.5,97.5,153300
2000-04-10,97.0,98.0,95.0,95.5,149400
2000-04-11,95.5,95.5,94.0,94.0,113600
2000-04-12,94.0,95.0,94.0,95.0,241000
2000-04-13,94.5,96.0,94.5,95.5,266700
2000-04-14,95.0,95.0,94.5,95.0,383000
2000-04-17,93.0,93.0,90.0,90.0,602300
2000-04-18,90.5,92.5,90.5,92.5,278800
2000-04-19,92.5,93.0,90.5,90.5,718500
2000-04-24,91.5,92.0,90.0,90.5,449500
2000-04-25,91.5,92.0,91.5,92.0,97000
2000-04-26,92.5,94.0,92.5,93.5,506600
2000-04-27,93.5,94.0,93.0,93.5,554500
2000-04-28,93.0,93.5,92.5,92.5,469300
2000-05-02,92.5,93.0,92.0,92.0,207800
2000-05-03,92.0,92.0,88.0,88.0,393100
2000-05-04,86.0,86.0,83.0,84.0,495700
2000-05-05,84.0,85.5,83.0,85.0,221200
2000-05-08,85.0,85.5,82.5,82.5,454300
2000-05-09,82.5,83.5,82.5,83.5,110500
2000-05-10,83.5,84.5,83.0,83.0,122700
2000-05-11,83.0,83.0,81.0,81.0,223800
2000-05-12,81.5,81.5,81.0,81.0,175200
2000-05-15,81.5,81.5,78.0,79.5,379900
2000-05-16,78.0,80.0,78.0,79.5,146500
2000-05-17,80.0,80.5,79.5,80.0,545600
2000-05-18,80.0,80.0,79.5,80.0,128600
2000-05-19,80.0,80.0,78.0,78.5,385900
2000-05-22,77.5,78.0,75.0,75.0,411400
2000-05-23,75.0,76.0,74.5,75.0,1097200
2000-05-24,76.0,76.0,75.5,76.0,318300
2000-05-25,75.5,77.5,75.0,76.0,285000
2000-05-26,75.5,76.5,75.0,75.0,257000
2000-05-29,73.5,74.5,73.5,74.5,179900
2000-05-30,78.0,78.0,77.5,77.5,49300
2000-05-31,74.5,76.5,74.5,76.0,526400
2000-06-01,81.0,81.0,79.0,80.0,141800
2000-06-02,81.0,81.0,80.0,80.0,145700
2000-06-05,81.0,83.0,81.0,82.5,193800
2000-06-06,81.5,82.0,81.0,82.0,112900
2000-06-07,82.0,82.0,81.5,82.0,46000
2000-06-08,83.0,83.5,81.5,82.0,152200
2000-06-09,81.5,82.0,81.5,82.0,262000
2000-06-13,81.0,81.5,80.5,80.5,220400
2000-06-14,80.5,81.5,80.5,81.0,36800
2000-06-15,82.0,83.0,81.5,83.0,463300
2000-06-16,82.0,82.0,80.5,80.5,388200
2000-06-19,80.5,81.0,80.5,80.5,530000
2000-06-20,81.0,81.0,80.0,80.0,210100
2000-06-21,80.0,80.0,80.0,80.0,9500
2000-06-22,80.5,81.0,80.0,80.5,546800
2000-06-23,80.5,81.0,80.5,81.0,511700
2000-06-26,81.5,81.5,80.5,81.0,161200
2000-06-27,81.0,81.0,80.5,80.5,1483400
2000-06-28,80.0,80.0,79.0,79.0,147400
2000-06-29,79.0,79.0,78.0,78.5,249400
2000-06-30,78.0,78.0,77.5,78.0,128600
2000-07-03,78.0,78.0,77.5,78.0,33200
2000-07-04,78.0,78.5,77.5,78.0,99100
2000-07-05,77.5,78.0,77.5,78.0,13100
2000-07-06,78.0,78.0,77.5,77.5,89600
2000-07-07,77.5,78.0,77.5,78.0,32700
2000-07-10,78.0,78.0,77.5,78.0,109800
2000-07-11,78.0,78.0,78.0,78.0,58100
2000-07-12,78.0,78.5,78.0,78.0,85800
2000-07-13,78.0,78.5,78.0,78.0,114300
2000-07-14,78.5,78.5,78.0,78.5,517600
2000-07-19,76.5,76.5,75.0,75.5,233600
2000-07-20,75.5,75.5,75.0,75.0,355700
2000-07-21,75.5,75.5,74.0,74.0,317900
