date,open,high,low,close,volume
1999-02-04,0.2,0.2,0.2,0.2,400000
1999-02-05,0.2,0.2,0.2,0.2,30000
1999-02-08,0.2,0.2,0.2,0.2,30000
1999-02-09,0.2,0.2,0.2,0.2,30000
1999-02-10,0.2,0.2,0.2,0.2,30000
1999-02-11,0.2,0.2,0.2,0.2,30000
1999-02-12,0.195,0.205,0.195,0.205,300000
1999-02-15,0.19,0.19,0.19,0.19,400000
1999-02-18,0.185,0.19,0.185,0.19,6920000
1999-02-19,0.19,0.19,0.19,0.19,300000
1999-02-23,0.2,0.2,0.2,0.2,120000
1999-02-24,0.19,0.19,0.19,0.19,20000
1999-03-01,0.18,0.185,0.18,0.185,170000
1999-03-02,0.17,0.185,0.17,0.185,170000
1999-03-04,0.185,0.185,0.185,0.185,380000
1999-03-05,0.185,0.185,0.185,0.185,210000
1999-03-09,0.185,0.185,0.18,0.18,680000
1999-03-10,0.19,0.19,0.19,0.19,120000
1999-03-15,0.19,0.19,0.19,0.19,110000
1999-03-17,0.18,0.19,0.18,0.19,80000
1999-03-19,0.19,0.19,0.19,0.19,280000
1999-03-22,0.18,0.18,0.18,0.18,100000
1999-03-23,0.185,0.19,0.185,0.19,60000
1999-03-24,0.185,0.185,0.185,0.185,50000
1999-03-25,0.185,0.185,0.185,0.185,30000
1999-03-30,0.19,0.22,0.19,0.22,290000
1999-03-31,0.18,0.2,0.18,0.2,150000
1999-04-06,0.215,0.215,0.215,0.215,100000
1999-04-07,0.22,0.22,0.22,0.22,450000
1999-04-08,0.23,0.24,0.22,0.24,1290000
1999-04-12,0.24,0.25,0.24,0.25,1380000
1999-04-13,0.23,0.23,0.23,0.23,300000
1999-04-14,0.21,0.21,0.21,0.21,50000
1999-04-15,0.22,0.23,0.22,0.22,500000
1999-04-16,0.225,0.225,0.225,0.225,350000
1999-04-19,0.21,0.225,0.21,0.225,740000
1999-04-20,0.225,0.23,0.225,0.23,1200000
1999-04-21,0.22,0.225,0.22,0.22,7390000
1999-04-22,0.22,0.24,0.22,0.23,620000
1999-04-23,0.225,0.225,0.22,0.22,290000
1999-04-26,0.215,0.215,0.215,0.215,20000
1999-04-27,0.225,0.225,0.225,0.225,1200000
1999-04-28,0.225,0.225,0.225,0.225,250000
1999-04-30,0.225,0.23,0.225,0.23,660000
1999-05-03,0.23,0.23,0.23,0.23,200000
1999-05-04,0.225,0.23,0.225,0.23,360000
1999-05-05,0.23,0.25,0.23,0.25,1010000
1999-05-06,0.26,0.32,0.26,0.29,2060000
1999-05-07,0.28,0.28,0.28,0.28,2160000
1999-05-11,0.27,0.27,0.27,0.27,20000
1999-05-12,0.27,0.28,0.27,0.28,60000
1999-05-13,0.27,0.27,0.27,0.27,90000
1999-05-17,0.27,0.27,0.26,0.27,400000
1999-05-18,0.25,0.26,0.25,0.25,1270000
1999-05-19,0.24,0.24,0.24,0.24,260000
1999-05-20,0.25,0.25,0.25,0.25,100000
1999-05-21,0.25,0.27,0.25,0.27,400000
1999-05-24,0.25,0.26,0.24,0.26,580000
1999-05-25,0.25,0.25,0.24,0.24,150000
1999-05-26,0.24,0.26,0.24,0.26,1150000
1999-05-28,0.26,0.34,0.26,0.28,4860000
1999-05-31,0.28,0.29,0.28,0.28,470000
1999-06-01,0.29,0.3,0.28,0.3,230000
1999-06-02,0.24,0.25,0.24,0.25,60000
1999-06-04,0.29,0.29,0.29,0.29,10000
1999-06-07,0.28,0.28,0.25,0.25,170000
1999-06-08,0.29,0.29,0.27,0.28,400000
1999-06-09,0.29,0.29,0.25,0.25,420000
1999-06-10,0.28,0.28,0.26,0.28,750000
1999-06-11,0.28,0.28,0.28,0.28,700000
1999-06-14,0.29,0.38,0.28,0.37,11810000
1999-06-15,0.39,0.43,0.35,0.35,21150000
1999-06-16,0.34,0.36,0.34,0.36,1870000
1999-06-17,0.37,0.41,0.37,0.38,11250000
1999-06-18,0.39,0.42,0.39,0.41,12490000
1999-06-21,0.42,0.48,0.42,0.47,12250000
1999-06-22,0.46,0.46,0.41,0.45,2650000
1999-06-23,0.44,0.44,0.41,0.41,1420000
1999-06-24,0.41,0.41,0.39,0.39,1870000
1999-06-25,0.4,0.4,0.38,0.38,750000
1999-06-28,0.38,0.38,0.36,0.38,2170000
1999-06-29,0.38,0.42,0.38,0.41,3910000
1999-06-30,0.4,0.4,0.38,0.4,1050000
1999-07-01,0.4,0.42,0.38,0.39,5570000
1999-07-02,0.39,0.39,0.39,0.39,540000
1999-07-05,0.38,0.38,0.37,0.37,1940000
1999-07-06,0.36,0.37,0.36,0.36,1900000
1999-07-07,0.37,0.38,0.37,0.37,1730000
1999-07-08,0.37,0.4,0.37,0.39,3710000
1999-07-09,0.39,0.39,0.37,0.37,4090000
1999-07-12,0.37,0.4,0.37,0.39,10160000
1999-07-13,0.39,0.41,0.39,0.39,4550000
1999-07-14,0.38,0.38,0.37,0.37,1290000
1999-07-15,0.38,0.39,0.37,0.37,770000
1999-07-16,0.38,0.41,0.38,0.4,3870000
1999-07-19,0.4,0.4,0.38,0.38,1180000
1999-07-20,0.37,0.38,0.37,0.38,730000
1999-07-21,0.37,0.37,0.35,0.36,2420000
1999-07-22,0.35,0.35,0.31,0.31,2600000
1999-07-23,0.34,0.34,0.31,0.31,1010000
1999-07-26,0.3,0.3,0.3,0.3,360000
1999-07-28,0.3,0.3,0.3,0.3,1030000
1999-07-29,0.3,0.33,0.3,0.33,1330000
1999-07-30,0.31,0.32,0.31,0.32,550000
1999-08-02,0.31,0.31,0.31,0.31,30000
1999-08-04,0.31,0.31,0.31,0.31,270000
1999-08-05,0.34,0.34,0.34,0.34,960000
1999-08-06,0.34,0.34,0.32,0.33,600000
1999-08-09,0.31,0.31,0.31,0.31,700000
1999-08-10,0.3,0.3,0.3,0.3,720000
1999-08-12,0.29,0.29,0.29,0.29,250000
1999-08-13,0.28,0.28,0.28,0.28,650000
1999-08-17,0.29,0.29,0.28,0.28,1260000
1999-08-18,0.28,0.28,0.28,0.28,100000
1999-08-20,0.31,0.31,0.31,0.31,10000
1999-08-24,0.31,0.31,0.3,0.3,260000
1999-08-25,0.28,0.28,0.28,0.28,310000
1999-08-26,0.29,0.3,0.29,0.3,1310000
1999-08-27,0.29,0.29,0.29,0.29,10000
1999-08-31,0.28,0.28,0.28,0.28,800000
1999-09-01,0.27,0.27,0.27,0.27,1490000
1999-09-02,0.27,0.27,0.26,0.26,750000
1999-09-06,0.26,0.26,0.26,0.26,100000
1999-09-07,0.25,0.25,0.25,0.25,100000
1999-09-08,0.29,0.29,0.25,0.25,610000
1999-09-09,0.25,0.25,0.25,0.25,350000
1999-09-10,0.25,0.26,0.25,0.26,530000
1999-09-13,0.26,0.26,0.26,0.26,100000
1999-09-14,0.25,0.25,0.25,0.25,550000
1999-09-17,0.25,0.25,0.25,0.25,60000
1999-09-21,0.25,0.25,0.25,0.25,100000
1999-09-22,0.27,0.31,0.26,0.29,1540000
1999-09-23,0.3,0.32,0.27,0.28,1410000
1999-09-24,0.28,0.28,0.28,0.28,50000
1999-09-28,0.26,0.3,0.26,0.29,1250000
1999-09-29,0.3,0.3,0.28,0.28,1400000
1999-09-30,0.27,0.28,0.27,0.27,1010000
1999-10-01,0.29,0.29,0.27,0.27,1100000
1999-10-04,0.27,0.27,0.27,0.27,360000
1999-10-05,0.28,0.28,0.27,0.27,1340000
1999-10-06,0.3,0.33,0.3,0.31,6280000
1999-10-07,0.34,0.35,0.33,0.33,3490000
1999-10-08,0.32,0.32,0.29,0.3,1250000
1999-10-11,0.33,0.34,0.3,0.3,2980000
1999-10-12,0.3,0.3,0.3,0.3,430000
1999-10-13,0.34,0.34,0.34,0.34,800000
