date,open,high,low,close,volume
2019-03-18,6.1,6.11,5.93,5.95,739400
2019-03-19,5.95,5.95,5.76,5.8,902100
2019-03-20,5.8,5.9,5.77,5.8,767200
2019-03-21,5.8,5.8,5.74,5.76,677700
2019-03-22,5.76,5.86,5.75,5.84,398600
2019-03-25,5.85,5.98,5.81,5.91,783300
2019-03-26,5.91,5.95,5.84,5.89,283600
2019-03-27,5.92,5.92,5.8,5.81,540600
2019-03-28,5.81,5.83,5.8,5.8,196600
2019-03-29,5.8,5.84,5.68,5.68,551300
2019-04-01,5.66,5.9,5.25,5.3,2948700
2019-04-02,5.44,5.44,5.2,5.2,991100
2019-04-03,5.26,5.47,5.24,5.45,696200
2019-04-04,5.48,5.58,5.35,5.35,590800
2019-04-05,5.35,5.4,5.34,5.36,324900
2019-04-08,5.4,5.4,5.25,5.38,485700
2019-04-10,5.4,5.58,5.4,5.45,445600
2019-04-11,5.45,5.5,5.41,5.41,222100
2019-04-12,5.45,5.45,5.31,5.31,326300
2019-04-15,5.31,5.31,5.2,5.2,578100
2019-04-16,5.21,5.21,5.12,5.14,599800
2019-04-17,5.14,5.2,5.14,5.16,282500
2019-04-22,5.12,5.14,5.09,5.1,344400
2019-04-23,5.1,5.12,5.08,5.09,412800
2019-04-24,5.08,5.14,5.08,5.1,383100
2019-04-25,5.1,5.29,5.09,5.29,2360300
2019-04-26,5.33,5.47,5.33,5.37,1030700
2019-04-29,5.75,6.29,5.75,5.89,5586400
2019-04-30,5.95,5.95,5.66,5.71,1469700
2019-05-02,5.7,5.86,5.69,5.84,667000
2019-05-03,5.86,5.88,5.74,5.79,441400
2019-05-06,5.75,5.78,5.61,5.65,388300
2019-05-07,5.65,5.9,5.65,5.77,785400
2019-05-08,5.8,5.88,5.66,5.79,315300
2019-05-09,5.72,5.83,5.69,5.8,372400
2019-05-10,5.83,5.95,5.83,5.88,1077600
2019-05-14,5.92,6.11,5.91,6.0,1592500
2019-05-15,6.03,6.15,6.03,6.13,1476700
2019-05-16,6.18,6.42,6.14,6.38,2841100
2019-05-17,6.4,6.45,6.33,6.39,2917000
2019-05-20,6.38,6.39,5.95,5.96,2859500
2019-05-21,6.3,6.38,6.15,6.19,1677600
2019-05-22,6.24,6.25,6.15,6.19,869100
2019-05-23,6.25,6.74,6.25,6.7,4628700
2019-05-24,6.7,6.7,6.38,6.58,1489700
2019-05-27,6.58,6.6,6.3,6.39,1119100
2019-05-28,6.39,6.55,6.24,6.43,702800
2019-05-29,6.5,6.85,6.5,6.75,3592200
2019-05-30,6.78,6.79,6.52,6.69,1009400
2019-05-31,6.68,6.69,6.5,6.6,744700
2019-06-03,6.64,6.68,6.59,6.66,807400
2019-06-04,6.65,6.65,6.6,6.6,401300
2019-06-06,6.59,6.59,6.4,6.4,1700900
2019-06-07,6.46,6.6,6.46,6.54,536900
2019-06-10,6.55,6.74,6.55,6.73,1409000
2019-06-11,6.6,6.85,6.6,6.82,1987900
2019-06-13,6.85,7.0,6.7,6.7,2806700
2019-06-14,6.73,7.19,6.7,7.0,5345800
2019-06-17,7.11,7.15,7.05,7.07,1798100
2019-06-18,7.11,7.5,7.1,7.5,7196700
2019-06-19,7.53,8.19,7.53,8.04,15456200
2019-06-20,8.05,8.05,7.82,7.97,5737700
2019-06-21,7.97,8.16,7.97,8.08,4743300
2019-06-24,8.1,8.44,8.1,8.43,6148100
2019-06-25,8.5,8.74,8.24,8.3,10261500
2019-06-26,8.34,8.47,8.05,8.1,5454200
2019-06-27,8.11,8.3,8.1,8.29,2655600
2019-06-28,8.31,8.4,8.31,8.39,2020200
2019-07-01,8.41,8.68,8.33,8.64,4824900
2019-07-02,8.66,8.85,8.66,8.74,3874800
2019-07-03,8.75,8.8,8.4,8.57,3304300
2019-07-04,8.58,8.68,8.4,8.4,3185100
2019-07-05,8.38,8.63,8.38,8.59,2786900
2019-07-08,8.85,9.06,8.73,9.02,17235800
2019-07-09,9.1,9.36,8.1,8.15,29825800
2019-07-10,8.15,8.15,7.33,7.35,21697500
2019-07-11,7.35,7.93,7.2,7.93,9946300
2019-07-12,7.95,8.04,7.7,7.87,4632200
2019-07-15,7.8,7.96,7.61,7.95,3777500
2019-07-16,7.98,8.08,7.89,7.99,2639400
2019-07-17,8.0,8.08,7.99,8.0,1346900
2019-07-18,8.0,8.07,7.8,7.84,1783100
2019-07-19,7.85,7.98,7.75,7.93,1151000
2019-07-22,7.93,7.94,7.81,7.83,662000
2019-07-23,7.85,7.96,7.82,7.83,967400
2019-07-24,7.83,7.84,7.56,7.57,2978300
2019-07-25,7.57,7.61,7.2,7.4,3409300
2019-07-26,7.39,7.57,7.21,7.55,1373900
2019-07-29,7.5,7.58,7.44,7.49,690400
2019-07-30,7.46,7.55,7.36,7.52,1059600
2019-07-31,7.54,7.57,7.4,7.45,1052800
2019-08-01,7.45,7.45,7.3,7.35,824500
2019-08-02,7.31,7.33,7.27,7.32,875300
2019-08-05,7.34,7.54,7.2,7.27,1982400
2019-08-06,7.19,7.19,6.78,6.93,4321800
2019-08-07,6.93,7.2,6.93,7.03,897000
2019-08-08,7.06,7.11,7.01,7.08,558800
2019-08-09,7.08,7.09,6.95,7.09,897100
2019-08-13,7.15,7.16,6.81,6.82,1519100
2019-08-14,6.82,6.97,6.75,6.87,721100
2019-08-15,6.75,6.75,6.5,6.65,1193700
2019-08-16,6.65,6.8,6.65,6.79,997000
2019-08-19,6.8,6.8,6.66,6.74,479800
2019-08-20,6.74,6.8,6.66,6.73,486600
2019-08-22,6.7,6.71,6.43,6.5,2316600
2019-08-23,6.4,7.25,6.22,7.15,5722600
2019-08-27,7.2,7.36,6.75,6.95,3919700
2019-08-28,6.9,7.15,6.76,7.12,2173900
2019-08-29,7.17,7.17,7.0,7.01,591700
2019-08-30,7.06,7.12,6.9,7.06,707200
2019-09-02,7.1,7.4,7.04,7.28,2542200
2019-09-03,7.34,7.34,7.13,7.22,1049000
2019-09-04,7.48,7.64,7.32,7.35,4871300
2019-09-05,7.35,7.39,7.16,7.2,1198800
2019-09-06,7.35,7.4,7.17,7.24,488600
2019-09-09,7.24,7.38,7.14,7.35,1047400
2019-09-10,7.39,7.39,7.24,7.3,348900
2019-09-11,7.3,7.38,7.26,7.34,451500
2019-09-12,7.34,7.35,7.14,7.2,1765900
2019-09-13,7.22,7.31,7.2,7.27,248000
2019-09-16,7.28,7.28,7.0,7.05,3068200
2019-09-17,7.05,7.15,7.01,7.04,505700
2019-09-18,7.02,7.12,7.02,7.05,271400
2019-09-19,7.05,7.12,7.02,7.05,366100
2019-09-20,7.05,7.35,7.01,7.34,1725500
2019-09-23,7.28,7.28,7.12,7.13,659100
2019-09-24,7.1,7.18,7.02,7.02,937300
2019-09-25,7.03,7.08,6.92,6.98,1471800
2019-09-26,6.98,7.1,6.96,6.98,518300
2019-09-27,6.99,7.11,6.96,7.0,320100
2019-09-30,7.0,7.0,6.83,6.88,829400
2019-10-01,6.89,7.0,6.8,6.81,902600
2019-10-02,6.82,6.9,6.73,6.73,684000
2019-10-03,6.73,6.8,6.63,6.65,709600
2019-10-04,6.94,6.99,6.67,6.77,530400
2019-10-07,6.77,6.77,6.6,6.66,469400
2019-10-08,6.66,6.8,6.66,6.8,261600
2019-10-09,6.8,6.81,6.71,6.77,305200
2019-10-10,6.7,6.9,6.69,6.75,701900
2019-10-11,6.8,6.96,6.8,6.92,545900
2019-10-14,6.94,7.18,6.94,7.12,940700
2019-10-15,7.13,7.15,7.03,7.05,387200
2019-10-16,7.05,7.05,6.93,7.03,528500
2019-10-17,7.03,7.03,6.81,6.88,680100
2019-10-18,6.9,6.94,6.87,6.9,214600
2019-10-21,6.9,6.98,6.83,6.87,724800
2019-10-22,6.9,6.94,6.8,6.83,386200
2019-10-23,6.82,6.9,6.8,6.83,348100
2019-10-24,6.79,6.92,6.78,6.83,414400
2019-10-25,6.8,6.93,6.78,6.78,282900
2019-10-28,6.79,6.83,6.75,6.76,274400
2019-10-29,6.75,6.75,6.69,6.73,481600
2019-10-30,6.69,6.7,6.61,6.65,562500
2019-10-31,6.67,6.77,6.63,6.68,224800
2019-11-04,6.69,6.75,6.69,6.71,199300
2019-11-05,6.71,6.72,6.65,6.67,336900
2019-11-06,6.67,6.76,6.59,6.59,868100
2019-11-07,6.58,6.65,6.51,6.53,721700
2019-11-08,6.53,6.57,6.47,6.47,1096400
2019-11-11,6.46,6.57,6.44,6.45,488600
2019-11-12,6.44,6.49,6.4,6.48,651600
2019-11-13,6.59,6.6,6.48,6.6,287800
2019-11-14,6.65,6.73,6.6,6.6,426300
2019-11-15,6.61,6.64,6.5,6.5,349400
2019-11-18,6.53,6.59,6.41,6.48,232700
2019-11-19,6.46,6.5,6.39,6.39,287400
2019-11-20,6.38,6.6,6.31,6.39,428300
2019-11-21,6.31,6.46,5.89,5.91,2258700
2019-11-22,5.92,5.96,5.88,5.96,686800
2019-11-25,5.99,5.99,5.83,5.83,333100
2019-11-26,5.83,5.93,5.79,5.8,862300
2019-11-27,5.8,5.86,5.79,5.85,339400
2019-11-28,5.85,5.97,5.85,5.93,422600
2019-11-29,5.99,5.99,5.75,5.85,274700
2019-12-02,5.75,5.75,5.51,5.56,709500
2019-12-03,5.57,5.6,5.48,5.55,713900
2019-12-04,5.54,5.7,5.5,5.65,217700
2019-12-05,5.59,5.79,5.52,5.55,398600
2019-12-06,5.55,5.75,5.55,5.56,379200
2019-12-09,5.7,5.75,5.58,5.7,302300
2019-12-10,5.72,5.75,5.48,5.51,603300
2019-12-11,5.49,5.49,5.27,5.27,1359000
2019-12-12,5.21,5.25,4.73,5.0,4306800
2019-12-13,5.1,5.11,4.88,5.03,1292800
2019-12-16,5.0,5.05,4.91,5.0,709600
2019-12-17,5.0,5.03,4.82,4.85,688100
2019-12-18,4.8,5.0,4.75,4.99,305000
2019-12-19,4.99,4.99,4.83,4.89,518000
2019-12-20,4.99,4.99,4.85,4.9,249000
2019-12-23,4.91,5.06,4.91,5.06,728000
2019-12-26,5.1,5.41,5.1,5.38,1504900
2019-12-27,5.4,5.5,5.3,5.5,1053100
2020-01-02,5.49,5.74,5.48,5.7,1875900
2020-01-03,5.76,5.89,5.75,5.83,903100
2020-01-06,5.6,5.68,5.41,5.53,1035500
2020-01-07,5.53,5.62,5.27,5.36,1343300
2020-01-08,5.31,5.31,5.15,5.3,1334800
2020-01-09,5.31,5.44,5.23,5.24,636600
2020-01-10,5.25,5.38,5.25,5.32,419100
2020-01-14,5.33,5.57,5.33,5.57,796500
2020-01-15,5.58,5.61,5.44,5.57,487600
2020-01-16,5.55,5.6,5.34,5.34,651000
2020-01-17,5.33,5.55,5.32,5.33,370300
2020-01-20,5.33,5.5,5.33,5.35,402600
2020-01-21,5.35,5.39,5.26,5.26,616800
2020-01-22,5.26,5.3,5.2,5.2,320100
2020-01-23,5.25,5.36,5.2,5.31,281200
2020-01-24,5.35,5.47,5.31,5.4,600800
2020-01-27,5.34,5.34,5.22,5.33,440600
2020-01-28,5.4,5.4,5.23,5.23,307100
2020-01-29,5.23,5.3,5.16,5.24,600800
2020-01-30,5.33,5.45,5.2,5.22,565300
2020-01-31,5.22,5.26,5.01,5.05,611600
2020-02-03,5.05,5.2,4.97,4.98,916200
2020-02-04,4.98,5.07,4.92,4.96,392000
2020-02-05,4.96,4.98,4.92,4.92,353000
2020-02-06,4.91,4.95,4.82,4.86,1472000
2020-02-07,4.86,4.86,4.67,4.67,1069000
2020-02-10,4.67,4.67,4.51,4.53,872000
2020-02-11,4.5,4.7,4.5,4.62,590000
2020-02-12,4.53,4.66,4.51,4.51,710000
2020-02-13,4.53,4.56,4.45,4.45,607000
2020-02-14,4.5,4.5,4.43,4.43,652000
2020-02-17,4.43,4.53,4.41,4.45,890000
2020-02-18,4.45,4.53,4.45,4.46,559000
2020-02-19,4.5,4.5,4.28,4.28,1517000
2020-02-20,4.25,4.28,4.21,4.23,630000
2020-02-21,4.21,4.21,4.14,4.17,751000
2020-02-24,4.13,4.13,3.88,3.98,1362000
2020-02-26,3.98,3.98,3.6,3.9,781000
2020-02-27,3.84,3.91,3.76,3.8,254000
2020-02-28,3.68,3.68,3.55,3.58,766000
2020-03-02,3.55,3.55,3.25,3.39,653000
2020-03-03,3.39,3.5,3.39,3.41,361000
2020-03-04,3.4,3.43,3.32,3.4,250000
2020-03-05,3.4,3.58,3.4,3.52,183000
2020-03-06,3.51,3.58,3.45,3.52,418000
2020-03-09,3.51,3.51,2.98,3.0,2083000
2020-03-10,2.98,2.99,2.75,2.94,710000
2020-03-11,2.95,3.08,2.95,2.97,390000
2020-03-12,2.95,2.95,2.7,2.7,619000
2020-03-13,2.4,2.69,2.0,2.68,1490000
2020-03-16,2.5,2.6,2.2,2.41,422000
2020-03-19,2.25,2.25,1.91,2.01,1350000
2020-03-20,2.0,2.15,1.96,2.08,651000
2020-03-23,2.04,2.07,1.98,2.0,806000
2020-03-24,2.0,2.07,1.98,2.06,460000
2020-03-25,2.11,2.16,2.08,2.11,1845000
2020-03-26,2.16,2.67,2.16,2.67,2631000
2020-03-27,2.79,2.95,2.41,2.65,4745000
2020-03-30,2.61,2.61,2.42,2.53,1159000
2020-03-31,2.56,2.89,2.56,2.85,2527000
2020-04-01,2.9,2.91,2.7,2.7,2383000
2020-04-02,2.68,2.68,2.49,2.57,4192000
2020-04-03,2.57,2.6,2.54,2.56,1097000
2020-04-06,2.56,2.65,2.56,2.65,879000
2020-04-07,2.68,2.74,2.58,2.58,1196000
2020-04-08,2.59,2.63,2.5,2.61,604000
2020-04-13,2.6,2.72,2.55,2.72,1594000
2020-04-14,2.78,2.85,2.75,2.84,1729000
2020-04-15,2.88,2.99,2.86,2.98,914000
2020-04-16,2.95,2.95,2.74,2.84,1016000
2020-04-17,2.94,2.95,2.85,2.92,947000
2020-04-20,2.96,3.2,2.96,3.2,2908000
2020-04-21,3.22,3.22,3.0,3.09,1979000
2020-04-22,3.09,3.12,3.01,3.05,818000
2020-04-23,3.12,3.69,3.1,3.46,4397000
2020-04-24,3.6,3.68,3.42,3.42,3472000
