date,open,high,low,close,volume
2000-04-13,3.6,3.6,3.6,3.6,8000
2000-04-14,3.6,3.6,3.6,3.6,2000
2000-05-25,3.0,3.0,3.0,3.0,10000
2000-06-01,3.6,3.6,3.6,3.6,1000
2000-07-07,2.7,2.7,2.7,2.7,3000
2000-09-01,2.7,2.7,2.7,2.7,1000
2001-11-07,1.8,1.8,1.8,1.8,10000
2002-05-16,1.16,1.16,1.16,1.16,200000
2002-05-17,1.16,1.16,1.16,1.16,220000
2002-05-20,1.74,1.74,1.74,1.74,5000
2002-08-09,2.6,2.6,2.6,2.6,5000
2002-09-04,3.9,3.9,3.9,3.9,2000
2003-05-26,2.5,2.5,2.5,2.5,1000
2003-05-27,1.5,1.5,1.5,1.5,29000
2003-05-28,1.5,1.5,1.5,1.5,20000
2003-05-30,1.34,1.34,1.34,1.34,4000
2003-06-05,1.6,1.6,1.6,1.6,12000
2003-06-20,1.6,1.6,1.6,1.6,5000
2003-07-31,2.38,2.4,2.38,2.4,93000
2003-08-01,3.2,3.2,3.2,3.2,5000
2003-08-04,2.4,2.4,2.4,2.4,90000
2003-10-27,1.84,1.84,1.84,1.84,1000
2003-10-31,1.48,1.48,1.48,1.48,160000
2003-11-05,1.2,1.2,1.12,1.12,180000
2003-11-06,1.66,1.66,1.6,1.62,50000
2003-11-07,2.38,2.38,2.38,2.38,5000
2003-11-10,2.95,3.0,2.9,3.0,123000
2003-12-30,3.45,3.45,3.45,3.45,2000
2004-01-19,4.95,4.95,4.95,4.95,2000
2004-02-12,4.55,4.55,4.55,4.55,10000
2004-03-19,3.9,3.9,3.9,3.9,10000
2004-04-12,5.6,5.6,5.6,5.6,2000
2004-04-13,3.4,4.7,3.4,4.7,10000
2004-04-14,3.5,3.5,3.5,3.5,3000
2004-04-15,3.45,3.45,3.45,3.45,5000
2004-04-16,3.35,3.35,3.35,3.35,5000
2004-04-20,3.25,3.25,3.25,3.25,5000
2004-05-19,4.8,4.8,4.8,4.8,2000
2004-06-16,3.6,3.75,3.6,3.75,10000
2004-07-28,5.4,5.4,5.4,5.4,1000
2004-11-05,5.5,5.5,5.5,5.5,1000
2005-03-07,3.3,3.3,3.3,3.3,1000
2006-04-04,2.0,2.0,2.0,2.0,2000
2006-04-10,1.22,1.22,1.22,1.22,2000
2006-04-11,1.22,1.22,1.22,1.22,109000
2006-04-25,1.8,1.8,1.8,1.8,2000
2006-05-03,2.65,2.65,2.65,2.65,2000
2006-05-05,3.9,3.9,3.9,3.9,2000
2006-05-10,4.5,4.5,4.5,4.5,4000
2006-05-23,6.6,6.6,6.6,6.6,1000
2006-07-05,8.0,8.0,8.0,8.0,2000
2006-07-07,5.0,5.0,5.0,5.0,3000
2006-07-19,3.0,3.0,3.0,3.0,10000
2006-07-21,3.0,3.0,3.0,3.0,2000
2006-07-25,1.9,1.9,1.9,1.9,8000
2006-07-26,2.8,2.8,2.8,2.8,1000
2006-08-03,4.1,4.1,4.1,4.1,2000
2006-08-10,2.6,2.6,2.6,2.6,20000
2006-08-17,3.85,3.85,3.85,3.85,2000
2006-08-22,3.75,3.75,3.75,3.75,9000
2006-08-25,2.28,3.7,2.28,3.7,22000
2006-08-29,3.95,3.95,3.95,3.95,8000
2006-08-30,4.5,4.5,4.5,4.5,7000
2006-08-31,5.3,5.3,5.3,5.3,6000
2006-09-05,3.2,3.2,3.2,3.2,13000
2006-09-06,4.45,4.45,4.45,4.45,2000
2006-09-11,4.3,4.45,4.3,4.45,18000
2006-10-03,4.2,4.2,4.2,4.2,2000
2006-10-06,4.5,4.5,4.5,4.5,2000
2006-10-11,5.0,5.0,4.4,4.5,17000
2006-10-18,4.6,4.6,4.6,4.6,5000
2006-10-20,4.7,4.7,4.7,4.7,2000
2006-11-10,6.9,6.9,6.8,6.9,113000
2006-11-13,6.8,6.8,6.8,6.8,10000
2007-02-14,4.2,4.2,4.2,4.2,2000
2007-02-15,2.6,2.6,2.6,2.6,1000
2007-02-16,3.9,3.9,2.8,2.8,4000
2007-02-19,3.9,3.9,3.4,3.4,21000
2007-02-21,2.85,2.85,2.85,2.85,110000
2007-02-27,4.15,4.15,4.15,4.15,2000
2007-03-05,4.75,4.75,4.75,4.75,2000
2007-03-09,4.75,4.75,4.75,4.75,3000
2007-03-13,3.0,4.95,3.0,4.95,22000
2007-05-29,6.6,6.6,6.6,6.6,117000
2007-06-12,4.1,4.1,4.1,4.1,2000
2007-06-13,4.1,4.1,4.1,4.1,3000
2007-06-15,2.65,2.65,2.65,2.65,115000
2007-06-18,2.8,2.8,2.8,2.8,2000
2007-06-19,4.1,4.1,4.1,4.1,2000
2007-06-21,4.1,4.1,4.1,4.1,2000
2007-06-25,2.9,2.9,2.9,2.9,1000
2007-06-26,4.2,4.2,4.2,4.2,2000
2007-08-03,2.55,2.55,2.55,2.55,3000
2007-08-16,2.55,2.55,2.55,2.55,5000
2007-09-18,3.65,3.65,3.65,3.65,112000
2007-09-26,2.24,2.24,2.24,2.24,2000
2007-10-16,3.3,3.3,3.3,3.3,10000
2007-10-17,3.3,3.3,3.3,3.3,12000
2007-10-30,2.3,2.3,2.3,2.3,112000
2007-11-19,3.4,3.45,3.4,3.45,12000
2007-12-11,2.08,2.08,2.08,2.08,2000
2008-01-15,1.32,1.32,1.32,1.32,5000
2008-02-11,1.98,1.98,1.98,1.98,20000
2008-02-18,2.9,2.9,2.9,2.9,1000
2008-03-14,1.74,1.74,1.74,1.74,5000
2008-03-26,2.55,2.55,2.55,2.55,1000
2008-05-02,3.75,3.75,3.75,3.75,2000
2008-05-08,2.26,3.0,2.26,3.0,8000
2008-09-02,3.15,3.15,3.15,3.15,1000
2008-11-05,2.95,3.05,2.95,3.05,18000
2008-11-13,2.95,2.95,2.95,2.95,5000
2009-05-18,2.95,2.95,2.95,2.95,20000
2009-05-19,2.95,2.95,2.95,2.95,5000
2009-06-29,2.95,2.95,2.95,2.95,35000
2009-06-30,2.95,2.95,2.95,2.95,20000
2009-07-07,4.3,4.3,4.3,4.3,116000
2009-07-20,4.7,4.7,4.7,4.7,1000
2009-07-23,4.65,4.65,4.65,4.65,3000
2009-07-24,4.7,4.9,4.7,4.9,4000
2009-07-27,4.9,4.9,4.9,4.9,3000
2009-07-30,4.7,4.7,4.7,4.7,4000
2009-07-31,2.95,2.95,2.95,2.95,2000
2009-08-03,4.4,4.4,4.4,4.4,1000
2009-08-04,4.4,4.4,4.4,4.4,16000
2009-08-20,2.75,2.75,2.75,2.75,120000
2009-10-09,4.0,4.0,4.0,4.0,10000
2009-10-16,5.9,5.9,5.9,5.9,10000
2009-10-23,8.7,8.7,8.7,8.7,10000
2009-10-27,12.75,12.75,12.75,12.75,10000
2009-11-06,13.0,13.0,13.0,13.0,200
2009-11-13,13.0,13.0,13.0,13.0,1000
2009-11-26,10.0,10.25,10.0,10.0,9900
2009-12-22,9.0,9.0,9.0,9.0,13000
2009-12-23,9.0,9.0,9.0,9.0,10000
2009-12-29,11.0,11.0,11.0,11.0,78000
2010-01-08,8.0,8.0,8.0,8.0,6000
2010-03-08,8.5,8.5,8.5,8.5,2000
2010-04-06,8.5,8.5,8.5,8.5,1000
2010-05-12,9.5,12.0,9.5,12.0,125000
2010-05-13,13.0,16.0,13.0,14.0,37800
2010-05-14,14.0,14.0,13.0,13.0,12800
2010-05-18,8.5,8.5,8.5,8.5,1000
2010-05-27,11.0,11.0,11.0,11.0,2000
2010-06-02,10.0,10.0,9.0,9.0,3000
2010-06-03,9.0,9.0,9.0,9.0,164000
2010-06-04,10.0,10.0,10.0,10.0,30000
2010-06-08,10.0,10.0,10.0,10.0,2000
2010-06-09,10.0,10.0,10.0,10.0,45000
2010-06-11,12.0,12.0,12.0,12.0,2000
2010-06-16,9.1,11.0,7.3,11.0,110200
2010-06-28,10.0,10.0,10.0,10.0,200
2010-07-06,10.0,10.0,10.0,10.0,1000
2010-07-14,14.5,14.5,14.5,14.5,2000
2010-07-16,12.5,12.5,12.5,12.5,500
2010-07-19,11.0,11.0,11.0,11.0,200
2010-09-14,10.9,10.9,10.9,10.9,1000
2010-09-22,10.0,10.0,10.0,10.0,800
2010-09-24,12.5,12.5,12.5,12.5,100
2010-09-27,12.38,12.38,12.38,12.38,100
2010-09-28,12.0,12.0,12.0,12.0,1000
2010-10-11,9.0,11.0,9.0,11.0,19100
2010-10-13,9.0,9.0,9.0,9.0,2200
2010-10-14,7.65,11.0,7.65,11.0,3500
2010-10-26,11.0,11.0,11.0,11.0,6000
2010-11-10,9.5,11.8,9.5,11.8,6300
2011-11-03,17.7,17.7,17.7,17.7,48400
2011-11-04,23.5,26.55,23.0,25.0,204200
2011-11-08,25.0,25.0,17.0,17.52,73600
2011-11-09,20.0,20.0,17.0,17.0,28600
2011-11-10,17.1,17.1,16.0,16.5,4200
2011-11-11,13.6,15.8,13.6,15.8,8600
2011-11-14,16.5,18.7,14.52,17.0,5200
2011-11-15,17.0,22.0,15.0,20.75,34300
2011-11-16,20.0,20.5,18.0,18.0,12300
2011-11-17,17.98,17.98,15.2,16.7,14900
2011-11-18,19.0,19.0,17.4,18.5,5600
2011-11-21,18.5,23.0,18.5,19.9,54200
2011-11-22,18.02,18.26,17.04,17.04,14100
2011-11-23,17.0,17.0,16.6,16.6,5000
2011-11-24,16.04,18.0,16.02,17.96,13400
2011-11-25,17.78,17.78,16.02,16.02,3500
2011-11-28,17.48,17.48,15.0,16.96,6400
2011-11-29,16.94,16.94,14.0,15.0,18700
2011-12-01,16.28,16.28,15.0,15.0,9300
2011-12-02,14.8,15.58,14.8,15.58,900
2011-12-05,15.0,15.4,14.5,14.5,2400
2011-12-06,15.38,15.88,14.7,14.7,7200
2011-12-07,14.7,15.6,14.7,15.4,6500
2011-12-09,15.58,15.58,15.58,15.58,200
2011-12-12,14.06,14.52,14.04,14.52,1800
2011-12-13,15.48,15.48,15.48,15.48,100
2011-12-14,15.0,15.0,15.0,15.0,500
2011-12-15,13.72,15.28,13.62,15.26,6700
2011-12-19,13.88,13.88,13.88,13.88,4600
2011-12-21,14.18,14.3,14.18,14.2,7000
2011-12-22,14.0,14.2,14.0,14.0,4700
2011-12-23,14.0,14.0,14.0,14.0,1000
2011-12-26,14.0,14.0,14.0,14.0,1000
2011-12-28,14.0,14.0,14.0,14.0,100
2011-12-29,14.0,14.0,13.08,13.08,5400
2012-01-02,14.18,14.18,14.18,14.18,100
2012-01-04,13.8,13.8,13.8,13.8,2900
2012-01-05,14.48,14.5,14.48,14.5,200
2012-01-06,14.78,14.78,13.58,13.58,1000
2012-01-09,13.58,14.0,13.3,13.32,13200
2012-01-10,13.2,13.2,13.08,13.08,7300
2012-01-11,12.6,13.0,12.6,13.0,5000
2012-01-12,12.8,12.8,12.8,12.8,6700
2012-01-13,13.0,13.0,13.0,13.0,1200
2012-01-16,13.96,13.96,13.0,13.0,2100
2012-01-17,12.9,13.0,12.6,13.0,3400
2012-01-18,13.1,13.1,13.1,13.1,200
2012-01-20,13.1,13.5,13.0,13.5,12900
2012-01-24,14.5,14.5,14.4,14.4,1100
2012-01-25,13.9,13.9,13.5,13.5,1000
2012-01-26,14.0,14.0,13.5,13.9,3100
2012-01-27,13.52,13.52,13.52,13.52,500
2012-01-30,14.38,14.38,14.38,14.38,300
2012-01-31,13.4,13.4,13.4,13.4,300
2012-02-01,13.0,13.9,12.6,13.9,3100
2012-02-03,13.0,13.9,13.0,13.1,2100
2012-02-07,12.8,13.0,12.8,12.8,4100
2012-02-08,13.0,14.62,13.0,14.4,20300
2012-02-09,13.1,13.1,12.6,12.6,7500
2012-02-13,13.76,13.76,12.5,12.5,7900
2012-02-14,14.18,14.18,12.5,12.5,6200
2012-02-16,13.0,13.7,13.0,13.0,8000
2012-02-17,13.0,13.0,13.0,13.0,1000
2012-02-23,13.5,13.5,13.0,13.0,2000
2012-02-24,13.4,14.0,13.0,14.0,7100
2012-02-27,14.0,14.0,14.0,14.0,100
2012-02-28,13.4,13.4,13.4,13.4,1000
2012-02-29,13.4,13.4,13.4,13.4,9000
2012-03-01,13.4,14.0,13.4,13.4,5000
2012-03-06,14.2,16.0,14.0,14.0,18000
2012-03-07,15.0,15.98,15.0,15.5,3400
2012-03-09,15.78,15.78,15.78,15.78,100
2012-03-12,16.3,16.3,16.3,16.3,100
2012-03-13,16.48,18.0,16.4,17.78,19000
2012-03-14,18.8,18.8,17.1,17.1,600
2012-03-15,17.0,17.1,17.0,17.0,5500
2012-03-19,16.0,16.0,16.0,16.0,400
2012-03-21,16.0,17.6,16.0,17.6,3500
2012-03-22,17.38,17.38,17.38,17.38,3300
2012-03-26,18.9,18.9,18.9,18.9,200
2012-03-27,18.5,18.5,18.5,18.5,100
2012-04-03,13.1,13.1,13.1,13.1,1000
2012-04-04,17.0,19.64,16.4,19.62,7100
2012-04-10,18.98,19.0,15.4,18.48,12900
2012-04-11,18.5,18.5,18.5,18.5,300
2012-04-13,15.42,15.42,15.42,15.42,800
2012-04-16,15.42,15.42,15.42,15.42,300
2012-04-18,17.0,17.0,16.0,16.0,400
2012-04-19,17.0,17.0,17.0,17.0,200
2012-04-20,16.0,16.0,16.0,16.0,300
2012-04-24,13.98,16.0,13.98,15.0,1500
2012-04-25,13.98,13.98,13.98,13.98,100
2012-04-30,17.98,20.0,17.98,20.0,10000
2012-05-02,19.94,19.96,19.94,19.96,1000
