date,open,high,low,close,volume
1999-02-16,9.0,9.0,9.0,9.0,2000
1999-02-17,9.0,9.0,9.0,9.0,2000
1999-02-24,9.4,9.4,9.4,9.4,2000
1999-03-19,9.0,9.0,9.0,9.0,1000
1999-03-25,9.0,9.0,9.0,9.0,1000
1999-03-29,8.8,8.8,8.8,8.8,5000
1999-03-30,9.0,9.0,9.0,9.0,1000
1999-04-06,8.6,8.6,8.5,8.5,2000
1999-04-07,8.5,8.5,8.5,8.5,2000
1999-04-08,8.6,8.6,8.6,8.6,2000
1999-04-12,8.5,8.5,8.5,8.5,2000
1999-04-13,8.5,8.5,8.5,8.5,3000
1999-04-14,8.5,8.5,8.5,8.5,8000
1999-04-20,8.5,8.5,8.5,8.5,1000
1999-04-28,8.5,8.5,8.5,8.5,3000
1999-05-04,9.0,9.0,9.0,9.0,1000
1999-05-05,8.5,8.5,8.5,8.5,2000
1999-05-12,8.5,8.5,8.5,8.5,2000
1999-05-13,8.5,8.5,8.5,8.5,1000
1999-06-02,8.5,8.5,8.5,8.5,3000
1999-06-03,8.5,8.5,8.5,8.5,5000
1999-06-07,8.5,8.5,8.5,8.5,10000
1999-06-08,8.5,8.5,8.5,8.5,3000
1999-06-10,8.5,8.5,8.5,8.5,9000
1999-06-14,8.4,8.4,8.4,8.4,10000
1999-06-16,8.6,8.6,8.6,8.6,5000
1999-06-18,8.5,8.5,8.5,8.5,10000
1999-06-21,8.6,8.6,8.6,8.6,5000
1999-06-29,8.5,8.5,8.5,8.5,6000
1999-07-12,8.7,8.7,8.7,8.7,5000
1999-07-26,8.6,8.6,8.6,8.6,2000
1999-09-07,8.6,8.6,8.6,8.6,5000
1999-09-09,8.9,9.0,8.9,9.0,2000
1999-09-10,9.2,9.2,9.2,9.2,3000
1999-09-13,10.0,10.0,10.0,10.0,2000
1999-10-05,9.9,10.0,9.9,10.0,9000
1999-10-06,10.0,12.0,10.0,11.5,122000
1999-10-07,10.5,10.5,10.5,10.5,4000
1999-10-08,10.5,11.0,10.5,11.0,28300
1999-10-11,11.0,11.0,11.0,11.0,35000
1999-10-12,10.5,10.5,10.5,10.5,9200
1999-10-13,10.5,10.5,10.5,10.5,21600
1999-10-14,10.0,10.0,9.4,9.4,30000
1999-10-15,10.5,10.5,9.9,9.9,26000
1999-10-18,9.8,9.8,9.8,9.8,20000
1999-10-19,9.9,10.0,9.9,9.9,51000
1999-10-20,9.9,10.0,9.9,10.0,11000
1999-10-21,10.0,10.0,10.0,10.0,20000
1999-10-22,10.0,10.0,10.0,10.0,20000
1999-10-25,10.25,10.25,10.0,10.0,32000
1999-10-26,10.0,10.0,9.8,9.8,13000
1999-10-27,9.5,9.5,9.5,9.5,10000
1999-10-28,9.4,9.4,9.3,9.3,10000
1999-11-22,6.5,6.5,6.5,6.5,1000
1999-11-29,5.8,5.8,5.8,5.8,7000
1999-12-02,6.0,6.0,6.0,6.0,2000
1999-12-10,6.0,6.0,6.0,6.0,2000
1999-12-13,6.0,6.0,6.0,6.0,1000
1999-12-14,6.0,6.0,6.0,6.0,3000
1999-12-21,6.0,6.0,6.0,6.0,2000
1999-12-27,5.9,5.9,5.0,5.0,98000
1999-12-28,5.0,5.0,5.0,5.0,9010000
1999-12-29,6.0,6.9,6.0,6.9,4000
2000-01-03,4.5,4.5,4.5,4.5,2000
2000-01-04,6.0,6.0,6.0,6.0,2000
