date,open,high,low,close,volume
1999-02-26,900.0,900.0,900.0,900.0,70
1999-03-03,900.0,900.0,900.0,900.0,140
1999-03-05,850.0,850.0,850.0,850.0,470
1999-04-22,800.0,800.0,800.0,800.0,120
1999-04-26,800.0,800.0,800.0,800.0,30
1999-05-12,800.0,800.0,800.0,800.0,90
1999-05-13,800.0,800.0,800.0,800.0,50
1999-05-20,800.0,800.0,800.0,800.0,500
1999-05-21,800.0,800.0,800.0,800.0,50
1999-05-25,800.0,800.0,800.0,800.0,10
1999-06-29,800.0,1095.0,800.0,1095.0,580
1999-06-30,850.0,1100.0,850.0,1095.0,840
1999-07-02,850.0,900.0,850.0,900.0,280
1999-07-05,850.0,900.0,850.0,900.0,410
1999-07-06,900.0,1000.0,900.0,1000.0,750
1999-07-07,1000.0,1000.0,1000.0,1000.0,10
1999-07-13,850.0,850.0,850.0,850.0,100
1999-07-15,850.0,850.0,850.0,850.0,40
1999-07-16,850.0,850.0,850.0,850.0,110
1999-07-22,700.0,710.0,700.0,710.0,200
1999-08-04,800.0,800.0,800.0,800.0,230
1999-08-05,800.0,800.0,800.0,800.0,10
1999-08-09,710.0,710.0,710.0,710.0,50
1999-08-23,730.0,730.0,730.0,730.0,50
1999-08-25,750.0,750.0,750.0,750.0,20
1999-08-26,750.0,750.0,750.0,750.0,120
1999-08-27,750.0,760.0,750.0,760.0,120
1999-08-31,790.0,790.0,790.0,790.0,70
1999-09-03,750.0,760.0,750.0,760.0,230
1999-09-08,760.0,760.0,760.0,760.0,50
1999-09-09,780.0,790.0,780.0,790.0,80
1999-09-13,780.0,790.0,780.0,790.0,390
1999-09-21,760.0,760.0,760.0,760.0,50
1999-09-27,750.0,750.0,750.0,750.0,20
1999-10-06,790.0,790.0,790.0,790.0,50
1999-10-12,765.0,765.0,765.0,765.0,30
1999-10-13,790.0,790.0,790.0,790.0,10
1999-10-20,790.0,790.0,790.0,790.0,30
1999-10-22,790.0,790.0,790.0,790.0,50
1999-10-25,770.0,770.0,765.0,765.0,90
1999-12-07,650.0,650.0,650.0,650.0,30
1999-12-08,650.0,650.0,650.0,650.0,110
1999-12-09,600.0,600.0,600.0,600.0,40
1999-12-10,770.0,770.0,760.0,770.0,194770
1999-12-13,770.0,770.0,600.0,600.0,247230
1999-12-15,650.0,650.0,650.0,650.0,10
1999-12-20,740.0,740.0,740.0,740.0,10
1999-12-27,1000.0,1000.0,1000.0,1000.0,10
2000-01-05,900.0,900.0,900.0,900.0,100
2000-01-19,790.0,790.0,790.0,790.0,60
2000-02-22,750.0,750.0,700.0,700.0,170
2000-05-29,6.2,7.0,6.2,7.0,11000
2000-05-31,8.0,9.0,8.0,9.0,7000
2000-06-19,700.0,700.0,700.0,700.0,30
2000-07-04,600.0,700.0,600.0,700.0,380
2000-08-03,7.0,7.0,7.0,7.0,1000
