date,open,high,low,close,volume
2000-01-03,785.0,785.0,785.0,785.0,3220
2000-01-04,785.0,785.0,785.0,785.0,7660
2000-01-06,785.0,785.0,785.0,785.0,200
2000-01-10,785.0,785.0,785.0,785.0,3190
2000-01-11,785.0,785.0,785.0,785.0,26300
2000-01-12,785.0,785.0,785.0,785.0,1630
2000-01-13,785.0,785.0,785.0,785.0,1190
2000-01-14,785.0,790.0,785.0,785.0,1960
2000-01-17,785.0,785.0,785.0,785.0,640
2000-01-18,785.0,785.0,785.0,785.0,5530
2000-01-19,790.0,790.0,785.0,785.0,1420
2000-01-20,785.0,785.0,785.0,785.0,3580
2000-01-21,785.0,785.0,785.0,785.0,270
2000-01-24,785.0,790.0,785.0,790.0,5150
2000-01-25,785.0,785.0,785.0,785.0,530
2000-01-27,790.0,790.0,790.0,790.0,970
2000-01-28,790.0,790.0,790.0,790.0,330
2000-01-31,785.0,785.0,785.0,785.0,360
2000-02-01,785.0,785.0,785.0,785.0,130
2000-02-02,785.0,785.0,785.0,785.0,390
2000-02-03,785.0,785.0,785.0,785.0,20000
2000-02-04,785.0,785.0,785.0,785.0,4000
2000-02-07,785.0,785.0,785.0,785.0,770
2000-02-08,785.0,785.0,785.0,785.0,70
2000-02-09,800.0,800.0,785.0,800.0,485600
2000-02-10,800.0,820.0,800.0,800.0,519270
2000-02-11,800.0,800.0,800.0,800.0,199580
2000-02-14,810.0,850.0,810.0,850.0,10650
2000-02-17,810.0,810.0,800.0,810.0,510
2000-02-21,810.0,810.0,800.0,800.0,2560
2000-02-22,800.0,800.0,780.0,800.0,118320
2000-02-23,800.0,800.0,800.0,800.0,4800
2000-02-24,800.0,800.0,800.0,800.0,10
2000-03-01,790.0,790.0,790.0,790.0,100
2000-03-02,800.0,800.0,780.0,780.0,91590
2000-03-03,800.0,800.0,800.0,800.0,50
2000-03-06,780.0,780.0,780.0,780.0,12740
2000-03-07,800.0,800.0,800.0,800.0,4070
2000-03-08,800.0,800.0,800.0,800.0,10670
2000-03-09,800.0,800.0,800.0,800.0,540
2000-03-10,780.0,780.0,780.0,780.0,30040
2000-03-13,780.0,780.0,780.0,780.0,22330
2000-03-14,770.0,770.0,770.0,770.0,200
2000-03-15,770.0,770.0,770.0,770.0,100480
2000-03-16,760.0,770.0,760.0,760.0,1410
2000-03-17,760.0,760.0,760.0,760.0,70
2000-03-20,760.0,760.0,760.0,760.0,3860
2000-03-21,760.0,760.0,760.0,760.0,30
2000-03-23,740.0,740.0,740.0,740.0,200
2000-03-24,720.0,720.0,720.0,720.0,200
2000-03-27,720.0,720.0,720.0,720.0,650
2000-03-28,720.0,720.0,720.0,720.0,200
2000-03-29,710.0,710.0,710.0,710.0,200
2000-03-30,720.0,720.0,720.0,720.0,15940
2000-03-31,720.0,720.0,720.0,720.0,830
2000-04-05,710.0,710.0,710.0,710.0,50
2000-04-06,710.0,710.0,710.0,710.0,340
2000-04-07,710.0,710.0,710.0,710.0,590
2000-04-12,710.0,720.0,710.0,720.0,20200
2000-04-17,720.0,720.0,720.0,720.0,200
2000-04-19,700.0,700.0,700.0,700.0,81560
2000-04-24,700.0,700.0,700.0,700.0,200
2000-04-25,700.0,700.0,700.0,700.0,1110
2000-04-26,700.0,700.0,700.0,700.0,1220
2000-04-27,700.0,700.0,700.0,700.0,70
2000-04-28,700.0,720.0,700.0,720.0,19910
2000-05-03,720.0,720.0,720.0,720.0,2660
2000-05-04,720.0,720.0,720.0,720.0,5760
2000-05-05,720.0,720.0,720.0,720.0,1500
2000-05-08,720.0,720.0,715.0,720.0,20680
2000-05-09,720.0,720.0,720.0,720.0,2050
2000-05-10,720.0,720.0,720.0,720.0,2740
2000-05-11,720.0,720.0,720.0,720.0,1180
2000-05-18,720.0,720.0,720.0,720.0,50
2000-05-24,610.0,610.0,610.0,610.0,1000
2000-05-26,700.0,700.0,700.0,700.0,710
2000-05-29,630.0,630.0,630.0,630.0,100
2000-05-31,680.0,680.0,680.0,680.0,5780
2000-06-01,725.0,725.0,725.0,725.0,5900
2000-06-02,700.0,700.0,700.0,700.0,100
2000-06-08,750.0,750.0,700.0,700.0,380
2000-06-09,700.0,700.0,700.0,700.0,490
2000-06-13,700.0,700.0,700.0,700.0,300
2000-06-14,700.0,700.0,700.0,700.0,310
2000-06-15,750.0,750.0,750.0,750.0,70
2000-06-20,720.0,720.0,720.0,720.0,1650
2000-06-21,720.0,720.0,720.0,720.0,800
2000-06-22,700.0,700.0,700.0,700.0,310
2000-06-23,700.0,700.0,700.0,700.0,3000
2000-06-26,700.0,700.0,700.0,700.0,10030
2000-06-27,720.0,720.0,720.0,720.0,3000
2000-07-03,700.0,700.0,700.0,700.0,50
2000-07-04,700.0,720.0,700.0,700.0,8010
2000-07-10,750.0,750.0,700.0,700.0,130
2000-07-11,700.0,700.0,700.0,700.0,230
2000-07-12,700.0,700.0,700.0,700.0,170
2000-07-14,700.0,700.0,700.0,700.0,770
2000-07-20,700.0,700.0,700.0,700.0,500
2000-07-21,700.0,700.0,700.0,700.0,60
2000-07-24,700.0,700.0,700.0,700.0,100
2000-07-25,700.0,700.0,700.0,700.0,1360
2000-07-26,700.0,700.0,700.0,700.0,300
2000-07-27,700.0,700.0,700.0,700.0,12420
2000-07-31,700.0,700.0,700.0,700.0,1240
2000-08-02,700.0,700.0,700.0,700.0,5540
2000-08-04,700.0,700.0,700.0,700.0,3990
2000-08-08,700.0,700.0,700.0,700.0,6310
2000-08-10,670.0,700.0,670.0,670.0,270
2000-08-11,690.0,700.0,690.0,700.0,5410
2000-08-14,620.0,620.0,620.0,620.0,190
2000-08-16,600.0,600.0,600.0,600.0,250
2000-08-17,600.0,600.0,600.0,600.0,20
2000-08-21,650.0,650.0,650.0,650.0,80
2000-08-22,650.0,650.0,650.0,650.0,80
2000-08-24,600.0,600.0,600.0,600.0,930
2000-08-25,650.0,650.0,650.0,650.0,10
2000-08-28,600.0,600.0,600.0,600.0,690
2000-09-01,600.0,600.0,600.0,600.0,40
2000-09-06,600.0,600.0,600.0,600.0,9880
2000-09-07,600.0,600.0,600.0,600.0,500
2000-09-12,600.0,600.0,600.0,600.0,2360
2000-09-13,600.0,600.0,600.0,600.0,6000
2000-09-15,600.0,600.0,600.0,600.0,350
2000-09-18,600.0,600.0,600.0,600.0,370
2000-09-19,600.0,600.0,600.0,600.0,360
2000-09-20,600.0,600.0,600.0,600.0,2060
2000-09-21,600.0,600.0,600.0,600.0,5670
2000-09-26,600.0,600.0,600.0,600.0,4680
2000-09-27,600.0,600.0,600.0,600.0,1550
2000-09-28,600.0,600.0,600.0,600.0,1000
2000-09-29,600.0,600.0,600.0,600.0,1110
2000-10-02,600.0,600.0,600.0,600.0,10330
2000-10-03,600.0,600.0,600.0,600.0,1000
2000-10-04,600.0,600.0,600.0,600.0,930
