date,open,high,low,close,volume
2016-07-18,11.2,11.36,10.8,11.1,264903600
2016-07-19,11.12,11.12,10.82,11.0,44822300
2016-07-20,11.0,11.04,10.9,10.96,32516600
2016-07-21,11.0,11.7,10.98,11.7,45945200
2016-07-22,11.8,12.06,11.8,11.94,49363400
2016-07-25,12.06,12.96,12.06,12.46,52297700
2016-07-26,12.48,12.5,12.2,12.36,27934500
2016-07-27,12.34,12.34,11.86,12.04,27667900
2016-07-28,12.06,12.3,12.04,12.18,24810900
2016-07-29,12.18,12.24,11.86,11.9,23319700
2016-08-01,11.88,12.18,11.76,12.16,11571300
2016-08-02,12.18,12.18,11.98,12.0,10329900
2016-08-03,12.0,12.1,11.7,12.0,15765900
2016-08-04,12.0,12.02,11.94,12.0,8353100
2016-08-05,12.04,12.32,12.04,12.3,15027000
2016-08-08,12.3,12.3,12.0,12.0,4246200
2016-08-09,12.1,12.28,12.0,12.04,10247800
2016-08-10,12.1,12.18,12.02,12.1,17689300
2016-08-11,12.08,12.08,11.82,11.98,14426900
2016-08-12,11.9,11.94,11.74,11.82,10091500
2016-08-15,11.82,11.96,11.46,11.54,19592800
2016-08-16,11.58,11.78,11.56,11.7,22178100
2016-08-17,11.6,12.42,11.6,12.42,42736500
2016-08-18,12.36,12.52,12.2,12.38,21514900
2016-08-19,12.38,12.72,12.38,12.66,17174600
2016-08-22,12.66,12.8,12.5,12.66,18110800
2016-08-23,12.64,12.64,12.3,12.4,12306400
2016-08-24,12.38,12.4,12.1,12.14,6560800
2016-08-25,12.1,12.34,12.04,12.3,6262600
2016-08-26,12.3,12.4,12.16,12.2,6981700
2016-08-30,12.2,12.34,11.9,12.2,7871700
2016-08-31,12.0,12.2,11.98,12.18,4325900
2016-09-01,12.16,12.16,11.98,12.0,24726400
2016-09-02,12.06,12.16,11.98,12.02,5589200
2016-09-05,12.0,12.14,12.0,12.04,7579900
2016-09-06,12.04,12.1,11.94,12.0,14627300
2016-09-07,12.0,12.14,11.88,12.0,11020600
2016-09-08,12.0,12.0,11.9,11.92,2656800
