date,open,high,low,close,volume
2013-11-27,26.0,26.0,24.0,25.85,1695200
2013-11-28,25.5,26.0,25.5,26.0,673300
2013-11-29,25.95,26.0,25.85,25.85,693200
2013-12-02,26.0,26.0,25.85,25.9,67400
2013-12-03,25.7,25.8,25.5,25.5,84700
2013-12-04,25.5,25.5,25.25,25.25,351800
2013-12-05,25.25,25.25,25.2,25.25,104500
2013-12-06,25.0,25.2,25.0,25.2,80200
2013-12-09,25.0,25.2,25.0,25.0,61100
2013-12-10,25.2,25.2,24.8,25.0,142100
2013-12-11,25.0,25.0,24.8,24.9,93300
2013-12-12,25.0,25.0,24.5,24.8,169900
2013-12-13,24.7,24.7,24.0,24.0,325800
2013-12-16,24.0,24.0,23.85,23.85,50100
2013-12-17,23.85,24.0,23.8,24.0,43700
2013-12-18,24.2,24.2,23.8,23.8,258100
2013-12-19,24.0,24.0,23.6,23.8,329400
2013-12-20,23.5,23.8,23.4,23.8,106200
2013-12-23,23.9,24.1,23.9,23.9,481900
2013-12-26,24.8,24.8,24.5,24.5,145800
2013-12-27,24.5,24.5,24.5,24.5,300
2014-01-02,24.95,24.95,24.95,24.95,500
2014-01-06,23.0,24.8,23.0,24.8,2100
2014-01-07,24.75,24.75,24.45,24.45,361600
2014-01-08,24.45,24.5,24.0,24.0,357100
2014-01-09,23.5,23.55,21.5,23.0,100800
2014-01-10,23.0,23.0,22.3,22.5,227400
2014-01-13,22.6,23.0,22.6,22.9,99700
2014-01-14,23.0,23.35,23.0,23.35,2800
2014-01-15,23.35,24.0,23.35,24.0,601300
2014-01-16,23.8,23.8,23.35,23.8,61000
2014-01-17,24.0,24.0,23.75,23.75,42400
2014-01-20,24.0,24.2,24.0,24.0,59300
2014-01-21,23.5,23.5,23.5,23.5,5000
2014-01-22,23.5,23.5,23.4,23.45,281900
2014-01-23,23.3,23.3,23.3,23.3,41000
2014-01-24,23.0,23.05,23.0,23.0,45200
2014-01-27,22.9,23.0,22.8,22.8,243200
2014-01-28,22.8,22.8,22.8,22.8,473200
2014-01-29,22.8,22.8,22.8,22.8,12300
2014-01-30,22.8,23.45,22.8,23.45,102600
2014-02-03,23.45,23.45,23.45,23.45,100
2014-02-04,23.45,23.5,23.45,23.45,132500
2014-02-05,23.45,23.45,23.45,23.45,2304800
2014-02-06,23.45,23.5,23.45,23.5,6300
2014-02-07,24.0,25.5,24.0,25.5,227400
2014-02-10,24.0,24.0,24.0,24.0,1000
2014-02-11,25.75,25.95,25.75,25.85,144200
2014-02-13,24.95,25.7,24.35,25.7,196000
2014-02-14,25.9,25.9,24.4,25.8,33000
2014-02-17,25.95,25.95,25.0,25.9,800
2014-02-18,24.6,25.95,24.6,25.9,394000
2014-02-19,25.9,26.25,25.5,26.05,88900
2014-02-20,25.85,26.1,25.85,26.0,3400
2014-02-21,26.1,26.65,26.1,26.5,268500
2014-02-24,26.0,27.1,26.0,27.0,626100
2014-02-25,26.15,26.95,26.15,26.95,630100
2014-02-26,26.95,27.25,26.95,26.95,180200
2014-02-27,26.95,27.0,26.5,27.0,297000
2014-02-28,26.45,27.4,26.45,27.4,41700
2014-03-03,27.0,27.0,27.0,27.0,71100
2014-03-04,27.0,27.1,27.0,27.1,100000
2014-03-05,27.0,27.1,27.0,27.1,5500
2014-03-06,27.1,27.1,27.0,27.1,93300
2014-03-07,27.2,27.2,27.1,27.1,15300
2014-03-10,27.0,27.0,27.0,27.0,2500
2014-03-11,27.0,27.05,27.0,27.05,7000
2014-03-12,27.1,27.1,27.05,27.05,10200
2014-03-13,27.0,27.0,27.0,27.0,2800
2014-03-14,27.0,27.0,27.0,27.0,17800
2014-03-17,27.1,27.2,27.0,27.0,36100
2014-03-18,27.0,27.0,27.0,27.0,28100
2014-03-19,27.0,27.0,27.0,27.0,2800
2014-03-20,27.0,27.45,27.0,27.0,338900
2014-03-21,27.45,27.45,27.0,27.3,5300
2014-03-24,27.0,27.0,27.0,27.0,17200
2014-03-25,27.4,27.4,27.4,27.4,12500
2014-03-26,27.2,27.9,27.2,27.9,60100
2014-03-27,27.9,27.9,27.9,27.9,132400
