date,open,high,low,close,volume
2014-05-06,15.5,16.04,15.0,15.2,60827600
2014-05-07,15.3,15.36,14.6,14.62,18573300
2014-05-08,14.64,14.96,14.62,14.92,9239000
2014-05-09,14.98,15.3,14.98,15.3,11638600
2014-05-12,15.4,16.1,15.4,15.98,19706900
2014-05-13,16.1,16.2,15.78,15.84,5617000
2014-05-14,15.96,16.06,15.84,16.0,10407000
2014-05-15,16.0,16.06,15.82,15.96,4441700
2014-05-16,15.8,15.8,15.42,15.5,3236800
2014-05-19,15.54,16.0,15.54,16.0,3502600
2014-05-20,16.04,16.1,15.76,15.96,1640500
2014-05-21,15.9,15.92,15.62,15.8,2100600
2014-05-22,15.84,16.5,15.84,16.36,9032600
2014-05-23,16.46,16.46,16.1,16.2,2613100
2014-05-26,16.24,17.02,16.24,16.9,9585000
2014-05-27,17.0,17.0,16.7,16.74,1842700
2014-05-28,16.86,16.96,16.76,16.82,1626300
2014-05-29,16.82,16.92,16.56,16.64,3673200
2014-05-30,16.64,16.74,16.5,16.72,1242200
2014-06-02,16.72,16.86,16.72,16.8,1262700
2014-06-03,16.8,16.9,16.8,16.82,456500
2014-06-04,16.96,17.2,16.8,16.86,3295000
2014-06-05,16.88,16.9,16.64,16.74,1773600
2014-06-06,16.76,16.86,16.76,16.8,2369200
2014-06-09,16.8,16.82,16.36,16.36,2915800
2014-06-10,16.52,16.6,16.34,16.42,1171500
2014-06-11,16.42,16.74,16.3,16.68,1359900
2014-06-13,16.64,16.68,16.5,16.66,782300
2014-06-16,16.66,16.66,16.54,16.6,583700
2014-06-17,16.6,16.6,16.36,16.4,1055300
2014-06-18,16.38,16.4,16.2,16.22,2051000
2014-06-19,16.32,16.48,16.3,16.32,889500
2014-06-20,16.32,16.66,16.3,16.6,570500
2014-06-23,16.5,16.6,16.3,16.3,147700
2014-06-24,16.32,16.5,16.2,16.28,242300
2014-06-25,16.2,16.3,16.2,16.3,199300
2014-06-26,16.28,16.28,16.14,16.14,1101700
2014-06-27,16.18,16.18,15.8,15.8,1277900
2014-06-30,16.0,16.06,15.8,16.06,461300
2014-07-01,16.06,16.06,15.94,15.98,923200
2014-07-02,16.0,16.06,15.98,16.0,1758500
2014-07-03,16.04,16.04,15.8,15.98,512000
2014-07-04,16.0,16.1,16.0,16.1,3524400
2014-07-07,16.06,16.1,16.0,16.0,726600
2014-07-08,16.02,16.14,15.98,16.02,357500
2014-07-09,16.0,16.0,15.8,15.86,216000
