date,open,high,low,close,volume
2020-01-10,102.0,102.0,100.0,100.0,34350
2020-01-14,101.2,101.5,101.2,101.3,9540
2020-01-15,101.2,101.5,101.2,101.3,3080
2020-01-16,101.0,101.0,101.0,101.0,1100
2020-01-17,101.0,101.0,100.6,100.6,1900
2020-01-20,101.1,102.0,101.1,102.0,25640
2020-01-22,100.7,100.8,100.7,100.8,320
2020-01-24,101.9,101.9,101.9,101.9,1000
2020-01-27,100.9,100.9,100.9,100.9,2190
2020-01-28,101.9,101.9,101.9,101.9,7300
2020-01-29,101.9,102.0,101.9,102.0,100000
2020-01-30,100.9,100.9,100.5,100.5,1000
2020-01-31,102.0,102.0,100.7,100.7,14960
2020-02-03,102.0,102.0,102.0,102.0,1100
2020-02-04,102.0,102.0,102.0,102.0,200
2020-02-05,102.0,102.0,102.0,102.0,520
2020-02-06,101.0,101.0,101.0,101.0,500
2020-02-07,102.0,102.0,100.9,100.9,20230
2020-02-11,101.1,101.1,101.1,101.1,930
2020-02-12,101.0,102.0,101.0,102.0,2670
2020-02-13,101.0,101.0,101.0,101.0,500
2020-02-17,101.0,101.0,100.8,100.8,4000
2020-02-18,101.0,102.0,100.8,102.0,8900
2020-02-19,101.0,101.0,100.9,100.9,3000
2020-02-20,101.0,101.0,100.9,100.9,12500
2020-02-21,101.0,101.0,101.0,101.0,3400
2020-02-24,102.0,103.0,102.0,103.0,6800
2020-02-26,101.1,101.1,101.1,101.1,1300
2020-02-28,101.2,101.2,101.2,101.2,200
2020-03-02,101.2,101.3,101.2,101.3,1000
2020-03-03,100.9,101.2,100.9,101.2,7500
2020-03-04,103.0,103.0,103.0,103.0,10
2020-03-05,103.0,103.0,103.0,103.0,90
2020-03-06,102.5,102.5,102.5,102.5,1400
2020-03-09,103.0,103.0,102.0,102.0,3900
2020-03-10,102.5,102.5,102.5,102.5,1000
2020-03-12,102.5,102.5,102.0,102.0,1700
2020-03-13,102.0,102.0,101.0,101.0,13210
2020-03-16,101.0,101.0,100.8,100.8,1200
2020-03-19,100.6,100.7,100.5,100.6,37490
2020-03-20,100.5,100.5,100.5,100.5,2000
2020-03-23,101.0,101.0,100.0,100.0,20290
2020-03-24,96.1,96.1,96.0,96.0,500
2020-03-31,100.8,100.8,100.8,100.8,100
2020-04-01,100.0,100.0,100.0,100.0,80
2020-04-02,99.5,99.5,99.5,99.5,400
2020-04-03,99.5,99.5,99.5,99.5,50
2020-04-06,99.5,99.5,99.4,99.4,870
2020-04-08,99.5,99.5,99.5,99.5,2510
2020-04-13,99.5,99.5,99.5,99.5,490
2020-04-15,100.0,100.0,100.0,100.0,290
2020-04-16,100.0,100.0,100.0,100.0,50
2020-04-20,99.5,99.5,98.5,98.5,3300
2020-04-21,99.5,99.5,99.5,99.5,1770
2020-04-22,99.5,99.5,99.5,99.5,2870
2020-04-23,99.5,99.5,99.5,99.5,2000
2020-04-24,99.5,99.5,99.5,99.5,500
2020-04-27,99.5,99.5,99.5,99.5,40
2020-04-28,99.0,99.5,99.0,99.0,12030
