date,open,high,low,close,volume
2009-10-06,1.5,1.5,1.5,1.5,200000
2009-10-07,2.24,2.24,2.24,2.24,200000
2009-10-08,3.35,3.35,2.9,3.35,86918000
2009-10-09,3.55,4.15,3.55,4.05,73330000
2009-10-12,4.1,4.2,3.8,3.85,21932000
2009-10-13,3.85,3.95,3.35,3.45,30821000
2009-10-14,3.5,3.6,3.4,3.6,20579000
2009-10-15,3.65,3.7,3.6,3.7,36420000
2009-10-16,3.65,3.65,3.5,3.55,9546000
2009-10-19,3.55,3.6,3.5,3.6,23900000
2009-10-20,3.6,3.65,3.6,3.65,26665000
2009-10-21,3.55,3.6,3.45,3.5,6920000
2009-10-22,3.45,3.5,3.45,3.5,10294000
2009-10-23,3.55,3.55,3.5,3.5,17269000
2009-10-26,3.6,3.7,3.6,3.7,19728000
2009-10-27,3.7,3.9,3.7,3.9,38825000
2009-10-28,3.95,4.0,3.9,4.0,30480000
2009-10-29,3.95,4.05,3.9,4.05,21560000
2009-10-30,4.05,4.2,4.05,4.2,32563000
2009-11-03,4.2,4.25,4.1,4.25,41327000
2009-11-04,4.3,4.35,4.25,4.35,40618000
2009-11-05,4.4,4.4,4.3,4.4,43665000
2009-11-06,4.45,4.6,4.45,4.6,37436000
2009-11-09,4.6,4.8,4.6,4.8,39014000
2009-11-10,4.9,5.2,4.9,5.2,49415000
2009-11-11,5.3,5.8,5.3,5.7,38622000
2009-11-12,6.0,6.3,5.8,6.2,56416000
2009-11-13,6.3,6.3,5.8,6.0,48787000
2009-11-16,6.0,6.0,5.6,5.8,40897000
2009-11-17,5.9,6.0,5.1,5.4,61692000
2009-11-18,5.4,5.6,5.3,5.6,63794000
2009-11-19,5.6,5.7,5.4,5.5,36678000
2009-11-20,5.4,5.6,5.4,5.6,32155000
2009-11-23,5.6,5.8,5.5,5.8,59882000
2009-11-24,6.0,6.4,6.0,6.4,66958000
2009-11-25,6.4,6.9,6.4,6.7,57009000
2009-11-26,6.7,7.0,6.7,7.0,66774000
2009-11-27,6.7,6.7,6.4,6.6,37681000
2009-12-01,6.6,6.8,6.5,6.7,42803000
2009-12-02,6.9,7.1,6.8,7.0,75873000
2009-12-03,7.0,7.1,6.4,6.6,57521000
2009-12-04,6.5,6.7,6.5,6.6,31541000
