date,open,high,low,close,volume
2015-04-27,2.11,2.11,2.11,2.11,10858000
2015-04-28,2.8,2.97,2.3,2.82,137782000
2015-04-29,2.83,2.94,2.57,2.63,35778000
2015-04-30,2.6,2.6,2.35,2.43,28304000
2015-05-04,2.5,2.64,2.42,2.59,14358000
2015-05-05,2.61,2.66,2.4,2.43,10730000
2015-05-06,2.43,2.48,2.32,2.38,9442000
2015-05-07,2.37,2.37,2.21,2.21,10896000
2015-05-08,2.21,2.41,2.21,2.41,10844000
2015-05-11,2.45,2.53,2.41,2.41,6569000
2015-05-12,2.41,2.41,2.28,2.31,4962000
2015-05-13,2.32,2.33,2.24,2.25,4323000
2015-05-14,2.25,2.3,1.99,2.0,19938000
2015-05-15,2.08,2.11,1.91,2.0,12569000
2015-05-18,2.01,2.05,1.96,2.02,3684000
2015-05-19,2.02,2.02,1.95,1.95,5373000
2015-05-20,1.92,1.99,1.79,1.99,11821000
2015-05-21,2.03,2.04,1.85,1.85,4474000
2015-05-22,1.86,1.92,1.81,1.84,2349000
2015-05-25,1.85,1.85,1.7,1.72,7764000
2015-05-26,1.7,1.71,1.5,1.53,9986000
2015-05-27,1.53,1.72,1.52,1.63,11229000
2015-05-28,1.63,1.67,1.5,1.57,4492000
2015-05-29,1.56,1.65,1.51,1.6,3582000
2015-06-01,1.6,1.66,1.55,1.6,2028000
2015-06-02,1.67,2.02,1.62,2.02,31052000
2015-06-03,2.07,2.23,2.0,2.0,57295000
2015-06-04,2.02,2.08,1.97,1.98,4715000
2015-06-05,1.98,1.98,1.85,1.9,4672000
2015-06-08,1.92,2.07,1.89,1.95,5133000
2015-06-09,2.0,2.0,1.84,1.87,2919000
2015-06-10,1.85,1.96,1.85,1.94,1103000
2015-06-11,1.95,2.03,1.92,2.03,5046000
2015-06-15,2.04,2.21,2.04,2.2,11928000
2015-06-16,2.23,2.27,2.1,2.1,9204000
2015-06-17,2.1,2.2,2.04,2.17,4529000
2015-06-18,2.19,2.3,2.17,2.21,10604000
2015-06-19,2.21,2.25,2.17,2.21,2160000
2015-06-22,2.22,2.22,2.08,2.08,2668000
2015-06-23,2.1,2.17,2.08,2.17,1945000
2015-06-24,2.18,2.38,2.16,2.36,12752000
2015-06-25,2.36,2.48,2.31,2.46,11308000
2015-06-26,2.48,2.5,2.37,2.42,6162000
2015-06-29,2.42,2.52,2.27,2.44,8062000
2015-06-30,2.45,2.57,2.39,2.54,9423000
2015-07-01,2.57,2.58,2.5,2.52,9351000
2015-07-02,2.55,2.58,2.45,2.45,4060000
2015-07-03,2.45,2.51,2.38,2.48,4174000
2015-07-06,2.49,2.52,2.32,2.37,3723000
2015-07-07,2.39,2.45,2.39,2.41,3224000
2015-07-08,2.41,2.41,2.31,2.31,3784000
2015-07-09,2.25,2.39,2.13,2.37,5145000
2015-07-10,2.38,2.38,2.31,2.33,1344000
2015-07-13,2.3,2.37,2.24,2.37,1004000
2015-07-14,2.37,2.48,2.37,2.4,3012000
2015-07-15,2.45,2.45,2.36,2.4,1288000
2015-07-16,2.4,2.47,2.4,2.45,2128000
2015-07-20,2.48,2.5,2.42,2.45,1250000
2015-07-21,2.47,2.69,2.47,2.65,12803000
2015-07-22,2.65,2.75,2.65,2.66,5391000
2015-07-23,2.69,2.69,2.57,2.57,2245000
2015-07-24,2.59,2.64,2.52,2.61,2952000
2015-07-27,2.6,2.67,2.55,2.55,1992000
2015-07-28,2.52,2.59,2.46,2.53,5556000
2015-07-29,2.59,2.64,2.55,2.6,1643000
2015-07-30,2.6,2.73,2.6,2.66,5749000
2015-07-31,2.7,2.83,2.7,2.8,12479000
2015-08-03,2.83,2.97,2.82,2.95,11501000
2015-08-04,2.97,3.05,2.95,2.95,11670000
2015-08-05,2.89,3.0,2.83,3.0,5829000
2015-08-06,3.0,3.03,2.92,2.96,2890000
2015-08-07,2.94,3.07,2.9,3.04,6413000
2015-08-10,3.06,3.2,3.05,3.2,6310000
2015-08-11,3.25,3.33,3.0,3.07,7936000
2015-08-12,3.1,3.2,3.05,3.11,2203000
2015-08-13,3.13,3.17,2.99,2.99,4597000
2015-08-14,2.9,3.0,2.84,2.92,7504000
2015-08-17,2.92,2.92,2.68,2.71,6744000
2015-08-18,2.7,2.93,2.7,2.89,7734000
2015-08-19,2.94,2.95,2.89,2.9,1259000
2015-08-20,2.9,2.93,2.79,2.8,3627000
2015-08-24,2.65,2.65,2.3,2.33,5070000
2015-08-25,2.3,2.46,2.25,2.34,1281000
2015-08-26,2.45,2.55,2.4,2.55,2910000
2015-08-27,2.62,2.72,2.58,2.68,2963000
2015-08-28,2.6,2.75,2.6,2.75,2793000
2015-09-01,2.7,2.74,2.6,2.68,859000
2015-09-02,2.52,2.75,2.52,2.67,1303000
2015-09-03,2.7,2.75,2.65,2.75,2012000
2015-09-04,2.71,2.88,2.6,2.62,4966000
2015-09-07,2.62,2.65,2.58,2.58,1256000
2015-09-08,2.58,2.62,2.52,2.62,737000
