date,open,high,low,close,volume
2002-01-03,12.25,12.5,12.25,12.5,40000
2002-01-04,12.25,12.5,12.25,12.5,16000
2002-01-07,12.5,12.5,12.5,12.5,16000
2002-01-08,12.5,12.5,12.5,12.5,5000
2002-01-09,12.5,12.75,12.5,12.75,2000
2002-01-10,12.75,12.75,12.75,12.75,1000
2002-01-11,12.75,12.75,12.75,12.75,1000
2002-01-14,12.75,12.75,12.75,12.75,1000
2002-01-15,12.25,12.75,12.25,12.5,16000
2002-01-17,12.75,12.75,12.75,12.75,1000
2002-01-18,12.75,12.75,12.75,12.75,1000
2002-01-21,12.75,12.75,12.75,12.75,1000
2002-01-22,12.75,12.75,12.75,12.75,1000
2002-01-23,12.75,14.0,12.75,14.0,17000
2002-01-25,14.0,14.0,14.0,14.0,1000
2002-01-28,14.25,14.25,14.25,14.25,47000
2002-01-29,14.25,14.25,14.25,14.25,13000
2002-01-30,14.25,14.25,14.25,14.25,3000
2002-01-31,14.25,14.25,14.25,14.25,4000
2002-02-01,14.25,14.25,14.25,14.25,4000
2002-02-04,14.25,14.25,14.25,14.25,2000
2002-02-05,14.25,14.25,14.0,14.0,5000
2002-02-06,14.25,14.25,14.25,14.25,2000
2002-02-07,14.0,14.0,14.0,14.0,26000
2002-02-08,14.25,14.25,14.25,14.25,2000
2002-02-11,14.25,14.25,14.25,14.25,3000
2002-02-12,14.25,14.25,14.25,14.25,3000
2002-02-13,14.25,14.25,14.25,14.25,2000
2002-02-14,14.25,14.25,14.25,14.25,2000
2002-02-15,14.25,14.25,14.25,14.25,10000
2002-02-18,14.25,14.25,14.25,14.25,6000
2002-02-19,14.25,14.25,14.25,14.25,4000
2002-02-20,14.25,14.25,14.25,14.25,2000
2002-02-21,14.25,14.25,14.25,14.25,2000
2002-02-22,14.25,14.25,14.25,14.25,2100
2002-02-26,14.25,14.25,14.25,14.25,1000
2002-02-27,14.25,14.25,14.25,14.25,2000
2002-02-28,14.25,14.25,14.25,14.25,3000
2002-03-01,14.25,14.25,14.25,14.25,2000
2002-03-04,14.25,14.25,14.25,14.25,2000
2002-03-05,14.25,14.25,14.25,14.25,3000
2002-03-06,14.25,14.25,14.25,14.25,2000
2002-03-07,14.25,14.25,14.25,14.25,3000
2002-03-08,14.25,14.25,14.25,14.25,1000
2002-03-11,14.25,14.25,14.25,14.25,2000
2002-03-12,14.25,14.25,14.0,14.0,3000
2002-03-13,14.25,14.25,14.25,14.25,2000
2002-03-14,14.25,14.25,14.25,14.25,2000
2002-03-15,14.25,14.25,14.25,14.25,2000
2002-03-18,14.25,14.25,14.25,14.25,2000
2002-03-19,14.25,14.25,14.25,14.25,2000
2002-03-20,14.25,14.25,14.25,14.25,2000
2002-03-21,14.25,14.25,14.25,14.25,3000
2002-03-22,14.25,14.25,14.25,14.25,40000
2002-03-25,14.25,14.25,14.25,14.25,2000
2002-03-26,14.25,14.25,14.25,14.25,3000
2002-03-27,14.25,14.25,14.25,14.25,2000
2002-04-01,14.25,14.25,14.25,14.25,2000
2002-04-02,14.25,14.25,14.25,14.25,3000
2002-04-03,14.25,14.25,14.25,14.25,2000
2002-04-04,14.25,14.25,14.25,14.25,2000
2002-04-05,14.25,14.25,14.25,14.25,3000
2002-04-09,14.25,14.25,14.25,14.25,1000
2002-04-10,14.25,14.25,14.25,14.25,1000
2002-04-11,14.25,14.25,14.25,14.25,2000
2002-04-12,14.25,14.25,14.25,14.25,3000
2002-04-15,14.25,14.25,14.25,14.25,2000
2002-04-16,14.25,14.25,14.25,14.25,2000
