date,open,high,low,close,volume
2014-04-07,2.4,3.0,2.4,3.0,167525000
2014-04-08,3.53,4.42,3.53,3.86,161918000
2014-04-10,4.03,4.1,3.67,3.95,47265000
2014-04-11,3.82,3.91,3.75,3.83,11303000
2014-04-14,3.84,4.01,3.77,3.97,24617000
2014-04-15,4.01,4.07,3.9,3.97,7994000
2014-04-16,3.99,4.04,3.97,3.99,9959000
2014-04-21,4.05,4.14,4.0,4.09,10598000
2014-04-22,4.14,4.3,4.14,4.25,10805000
2014-04-23,4.3,4.62,4.3,4.36,21329000
2014-04-24,4.42,4.51,4.28,4.34,7489000
2014-04-25,4.4,4.4,4.15,4.3,9296000
2014-04-28,4.3,4.39,4.23,4.3,3912000
2014-04-29,4.31,4.32,4.25,4.28,3311000
2014-04-30,4.3,4.37,4.27,4.31,3781000
2014-05-02,4.32,4.36,4.31,4.36,3438000
2014-05-05,4.37,4.47,4.37,4.41,3982000
2014-05-06,4.42,4.53,4.41,4.47,6887000
2014-05-07,4.5,4.75,4.5,4.7,10714000
2014-05-08,4.76,5.01,4.76,4.94,11174000
2014-05-09,5.03,7.4,5.03,6.76,50992000
2014-05-12,7.1,7.55,6.5,6.88,61543100
2014-05-13,7.02,7.04,6.8,6.97,9822200
2014-05-14,7.0,7.96,6.9,7.73,30757600
2014-05-15,7.83,9.75,7.74,9.5,56170700
2014-05-16,9.7,10.0,8.25,9.09,61277600
2014-05-19,9.06,9.44,9.05,9.25,15168700
2014-05-20,9.39,9.45,9.05,9.22,8373300
2014-05-21,9.23,9.3,8.45,8.78,24951000
2014-05-22,8.78,9.2,8.78,9.15,9222000
2014-05-23,9.42,9.88,9.28,9.85,19381900
2014-05-26,10.0,10.96,10.0,10.0,45206600
2014-05-27,9.37,9.79,9.0,9.7,19139100
2014-05-28,10.0,10.42,9.79,9.9,12660100
2014-05-29,10.2,10.2,9.5,9.6,9614200
2014-05-30,9.6,9.6,9.03,9.2,12209300
2014-06-02,9.39,10.0,9.04,9.84,13612800
2014-06-03,10.2,10.24,9.5,9.5,12320900
2014-06-04,9.51,9.51,9.2,9.35,5328700
2014-06-05,9.37,9.75,9.3,9.38,4389500
2014-06-06,9.38,9.4,9.0,9.15,6812700
2014-06-09,9.1,9.3,9.0,9.1,5218100
