date,open,high,low,close,volume
2018-04-10,10.24,10.5,10.2,10.48,151200
2018-04-11,10.48,10.5,10.4,10.48,223700
2018-04-12,10.1,10.38,10.1,10.38,700
2018-04-13,12.5,12.5,10.1,10.44,9900
2018-04-16,10.46,10.46,10.44,10.44,1100
2018-04-17,10.12,10.3,10.0,10.1,3000
2018-04-18,10.04,10.3,9.92,10.3,3600
2018-04-19,9.88,10.3,9.88,10.28,8300
2018-04-20,10.02,10.02,10.0,10.0,10000
2018-04-23,10.0,10.0,9.92,9.92,13400
2018-04-24,9.94,10.14,9.92,9.92,49700
2018-04-25,9.89,10.14,9.89,10.0,2500
2018-04-26,10.14,10.14,9.9,9.9,8100
2018-04-27,9.9,10.0,9.89,9.9,3400
2018-04-30,9.89,10.2,9.89,10.18,3900
2018-05-02,10.0,10.0,10.0,10.0,3200
2018-05-03,9.94,9.94,9.6,9.6,43200
2018-05-04,9.31,9.58,9.0,9.0,46900
2018-05-07,9.38,9.38,9.01,9.01,77600
2018-05-08,9.01,9.04,9.0,9.0,42300
2018-05-09,9.3,9.3,9.0,9.0,3000
2018-05-10,9.3,9.3,9.1,9.2,9700
2018-05-11,9.1,9.3,9.1,9.3,12800
2018-05-15,9.3,9.5,9.3,9.41,25600
2018-05-16,9.45,9.5,9.45,9.45,7300
2018-05-17,9.46,9.46,9.45,9.45,17200
2018-05-18,9.45,9.45,9.45,9.45,900
2018-05-21,9.45,9.45,9.38,9.38,6000
2018-05-22,9.98,9.98,9.7,9.7,3200
2018-05-23,9.95,9.95,9.7,9.7,1600
2018-05-24,9.8,9.8,9.8,9.8,4100
2018-05-25,9.8,9.98,9.8,9.8,21700
2018-05-28,9.98,9.98,9.38,9.7,167700
2018-05-29,9.7,9.8,9.21,9.7,4800
2018-05-30,9.98,9.98,9.01,9.69,45000
2018-05-31,9.68,9.68,8.9,9.0,103200
2018-06-01,9.0,9.1,8.8,9.0,52700
2018-06-04,9.3,9.6,8.8,9.3,41900
2018-06-05,9.0,9.28,8.82,8.82,32100
2018-06-06,8.83,9.28,8.8,8.8,31000
2018-06-07,8.81,9.25,8.81,9.1,12500
2018-06-08,9.2,9.2,8.71,8.71,49500
2018-06-11,9.22,9.22,8.7,8.71,30300
2018-06-13,8.7,9.13,8.61,8.66,6800
2018-06-14,9.11,9.11,8.8,8.99,8900
2018-06-18,9.13,9.13,8.68,8.68,3000
2018-06-19,8.5,8.52,8.2,8.2,33500
2018-06-20,8.2,8.2,8.05,8.06,29900
2018-06-21,8.06,8.06,7.4,7.9,60600
2018-06-22,7.4,8.14,7.4,8.0,20700
2018-06-25,8.09,8.43,8.0,8.43,12400
2018-06-26,8.43,8.7,8.01,8.68,32200
2018-06-27,8.06,8.5,7.8,8.0,30800
2018-06-28,8.0,8.1,8.0,8.0,16200
2018-06-29,8.0,8.0,7.62,7.62,11000
2018-07-02,8.44,8.44,7.63,8.27,8200
2018-07-03,8.0,8.26,7.63,7.63,20600
2018-07-04,8.3,8.3,7.8,7.8,17800
2018-07-05,7.64,7.78,7.62,7.78,63800
2018-07-06,7.65,7.65,7.4,7.4,84900
2018-07-09,7.5,7.89,7.4,7.68,16100
2018-07-10,7.75,7.75,7.7,7.74,1500
2018-07-11,7.45,7.72,7.4,7.72,4600
2018-07-12,7.68,7.75,7.68,7.75,16800
2018-07-13,7.68,7.75,7.68,7.75,47700
2018-07-17,7.8,7.8,7.8,7.8,200
2018-07-18,7.8,7.8,7.7,7.8,2900
2018-07-19,7.89,7.89,7.7,7.89,7500
2018-07-20,7.8,8.0,7.8,8.0,5800
2018-07-23,8.0,8.0,7.7,7.8,8700
2018-07-24,7.8,7.8,7.55,7.55,21400
2018-07-25,7.58,7.58,7.5,7.5,55300
2018-07-26,7.56,7.6,7.56,7.6,1300
2018-07-27,7.6,7.8,7.6,7.7,3400
2018-07-30,7.8,7.8,7.5,7.8,21700
2018-07-31,7.8,7.8,7.7,7.7,2300
2018-08-01,7.7,7.7,7.6,7.6,3900
2018-08-02,7.55,7.6,7.55,7.6,900
2018-08-03,7.8,7.8,7.45,7.55,25800
2018-08-07,7.8,7.8,7.8,7.8,2600
2018-08-08,7.79,7.79,7.69,7.79,8100
2018-08-09,7.76,7.88,7.5,7.88,14600
2018-08-10,7.74,7.88,7.5,7.88,18100
2018-08-13,7.56,7.7,7.51,7.51,40400
2018-08-14,7.87,7.87,7.52,7.8,1000
2018-08-15,7.7,7.7,7.7,7.7,800
2018-08-16,7.66,7.66,7.66,7.66,1500
2018-08-17,7.67,7.67,7.5,7.5,38800
2018-08-20,7.48,7.77,7.48,7.77,4200
2018-08-22,7.51,7.77,7.51,7.6,4300
2018-08-23,7.7,7.7,7.6,7.62,29400
2018-08-24,7.62,7.62,7.6,7.6,4500
2018-08-28,7.5,7.5,7.49,7.5,1600
2018-08-29,7.49,7.5,7.4,7.5,58100
2018-08-30,7.5,7.5,7.42,7.44,5800
2018-08-31,7.42,7.7,7.42,7.68,29400
2018-09-03,7.68,7.68,7.4,7.63,6500
2018-09-04,7.5,7.66,7.4,7.4,16700
2018-09-05,7.66,7.66,7.38,7.65,10400
2018-09-06,7.65,7.66,7.4,7.6,6400
2018-09-07,7.6,7.66,7.5,7.54,4000
2018-09-10,7.52,7.52,7.38,7.4,11100
2018-09-11,7.49,7.49,7.38,7.38,10100
2018-09-12,7.5,7.5,7.36,7.36,800
2018-09-14,7.38,7.5,7.36,7.36,3700
2018-09-17,7.37,7.37,7.36,7.36,3600
2018-09-18,7.36,7.36,7.36,7.36,2700
2018-09-19,7.35,7.35,6.55,6.56,81600
2018-09-20,6.8,6.8,6.62,6.62,4800
2018-09-21,7.2,7.68,7.2,7.5,3900
2018-09-24,7.5,7.5,7.36,7.4,13300
2018-09-25,7.3,7.4,7.28,7.28,2600
2018-09-26,7.57,7.57,7.35,7.35,10100
2018-09-27,7.5,7.5,7.5,7.5,300
2018-09-28,7.48,7.48,7.45,7.45,3100
2018-10-01,7.46,7.46,7.45,7.45,1000
2018-10-02,7.48,7.49,7.4,7.4,19800
2018-10-03,7.1,7.46,7.0,7.42,2800
2018-10-04,7.38,7.39,6.55,7.39,8400
2018-10-05,6.75,7.39,6.75,7.39,700
2018-10-08,7.2,7.3,6.57,7.3,3700
2018-10-09,7.0,7.0,6.95,6.95,7200
2018-10-10,6.95,7.28,6.95,6.95,16000
2018-10-11,7.27,7.27,6.59,7.14,5000
2018-10-12,7.0,7.07,6.7,7.07,4100
2018-10-15,7.08,7.08,7.08,7.08,2600
2018-10-16,6.61,7.06,6.61,7.06,2200
2018-10-17,6.64,7.04,6.64,7.02,31500
2018-10-18,7.04,7.04,6.9,7.0,900
2018-10-19,7.0,7.0,7.0,7.0,1200
2018-10-22,7.1,7.1,7.0,7.1,11300
2018-10-23,6.61,7.1,6.61,7.0,3400
2018-10-24,7.1,7.1,6.8,7.08,10500
2018-10-25,6.8,7.0,6.79,7.0,2200
2018-10-29,7.0,7.0,7.0,7.0,100
2018-10-30,7.1,7.1,6.75,7.1,2100
2018-10-31,7.0,7.0,6.8,6.8,3100
2018-11-05,6.8,7.08,6.8,7.0,15600
2018-11-06,6.8,6.9,6.8,6.8,1900
2018-11-07,6.8,6.8,6.5,6.5,25200
2018-11-08,6.6,7.0,6.46,7.0,23200
2018-11-09,7.0,7.08,6.8,7.0,3800
2018-11-12,6.8,7.08,6.8,7.08,16300
2018-11-13,7.07,7.08,6.8,7.0,20000
2018-11-14,7.09,7.09,7.05,7.05,2100
2018-11-15,6.8,7.08,6.8,7.06,14500
2018-11-16,7.0,7.0,7.0,7.0,1900
2018-11-19,7.0,7.0,7.0,7.0,8000
2018-11-20,6.7,7.0,6.5,6.9,1200
2018-11-21,6.9,7.0,6.9,7.0,200
2018-11-22,7.0,7.0,6.8,6.8,1000
2018-11-23,7.0,7.0,6.5,7.0,4600
2018-11-26,6.91,6.91,6.6,6.85,8600
2018-11-27,6.98,7.0,6.8,6.89,41500
2018-11-29,6.89,6.9,6.85,6.85,900
2018-12-03,6.95,6.95,6.85,6.85,19700
2018-12-04,6.99,6.99,6.6,6.6,28000
2018-12-05,6.72,6.74,6.63,6.65,30600
2018-12-06,6.62,6.75,6.6,6.6,20800
2018-12-07,6.6,6.7,6.55,6.55,71200
2018-12-10,6.55,6.65,6.55,6.64,600
2018-12-11,6.64,6.64,6.5,6.51,26300
2018-12-12,6.75,6.75,6.75,6.75,2200
2018-12-13,6.5,6.7,6.5,6.6,24800
2018-12-17,6.6,6.6,6.56,6.6,24500
2018-12-19,6.6,6.6,6.6,6.6,13200
2018-12-20,6.6,6.65,6.46,6.5,23200
2018-12-21,6.6,6.6,6.6,6.6,6200
2018-12-26,6.6,6.6,6.4,6.4,36100
2018-12-27,6.4,6.55,6.3,6.32,52700
2018-12-28,6.2,6.38,6.2,6.38,103600
2019-01-02,6.38,6.38,6.38,6.38,5100
2019-01-03,6.38,6.38,6.3,6.31,12500
2019-01-04,6.35,6.54,6.35,6.46,99700
2019-01-07,6.6,6.7,6.35,6.35,79200
2019-01-08,6.46,6.5,6.46,6.5,14000
2019-01-09,6.6,6.62,6.4,6.4,55100
2019-01-10,6.62,6.79,6.62,6.65,17900
2019-01-11,6.7,6.7,6.56,6.65,13700
2019-01-14,6.64,6.64,6.5,6.64,12900
2019-01-15,6.7,6.7,6.64,6.69,37500
2019-01-16,6.64,6.68,6.5,6.5,54800
2019-01-17,6.7,6.7,6.69,6.7,9100
2019-01-18,6.62,6.64,6.3,6.64,53400
2019-01-21,6.54,6.63,6.34,6.62,18600
2019-01-22,6.62,6.7,6.4,6.4,33000
2019-01-23,6.4,6.69,6.35,6.4,24300
2019-01-24,6.4,6.68,6.4,6.4,23100
2019-01-25,6.4,6.42,6.4,6.4,44200
2019-01-28,6.4,6.4,6.4,6.4,3200
2019-01-29,6.42,6.42,6.42,6.42,2000
2019-01-30,6.4,6.65,6.4,6.6,48700
2019-01-31,6.6,6.61,6.45,6.6,15700
2019-02-01,6.61,6.69,6.61,6.68,15800
2019-02-04,6.7,6.98,6.7,6.8,62000
2019-02-06,6.8,6.82,6.8,6.81,127600
2019-02-07,6.82,6.83,6.81,6.81,154300
2019-02-08,6.84,6.97,6.59,6.74,179100
2019-02-11,6.74,6.95,6.7,6.85,34400
2019-02-12,6.86,6.9,6.85,6.85,4700
2019-02-13,6.72,6.72,6.62,6.62,29500
2019-02-14,6.6,6.85,6.6,6.66,14400
2019-02-15,6.79,6.79,6.62,6.7,6800
2019-02-18,6.7,6.7,6.62,6.62,25800
2019-02-19,6.69,6.7,6.51,6.51,25400
