date,open,high,low,close,volume
2000-01-03,1.44,1.52,1.4,1.48,8634000
2000-01-04,1.5,1.54,1.48,1.5,8712000
2000-01-05,1.48,1.48,1.38,1.42,3249000
2000-01-06,1.48,1.5,1.44,1.46,3805000
2000-01-07,1.46,1.46,1.44,1.44,535000
2000-01-10,1.44,1.44,1.4,1.4,2393000
2000-01-11,1.4,1.42,1.4,1.42,2233000
2000-01-12,1.4,1.4,1.4,1.4,3421000
2000-01-13,1.4,1.42,1.4,1.42,2936000
2000-01-14,1.42,1.46,1.42,1.46,5138000
2000-01-17,1.44,1.44,1.4,1.4,5030000
2000-01-18,1.4,1.4,1.36,1.36,3722000
2000-01-19,1.34,1.36,1.28,1.36,8121000
2000-01-20,1.3,1.36,1.3,1.34,2435000
2000-01-21,1.32,1.34,1.32,1.34,7896000
2000-01-24,1.32,1.32,1.3,1.32,3630000
2000-01-25,1.3,1.3,1.28,1.28,3088000
2000-01-26,1.28,1.28,1.18,1.18,7910000
2000-01-27,1.2,1.22,1.14,1.16,6858000
2000-01-28,1.14,1.18,1.14,1.16,5003000
2000-01-31,1.16,1.2,1.16,1.18,5600000
2000-02-01,1.18,1.18,1.12,1.12,5988000
2000-02-02,1.16,1.16,1.1,1.1,6084000
2000-02-03,1.1,1.14,1.08,1.1,3948000
2000-02-04,1.12,1.2,1.12,1.18,2923000
2000-02-07,1.18,1.18,1.14,1.14,4170000
2000-02-08,1.16,1.24,1.14,1.2,10685000
2000-02-09,1.22,1.22,1.16,1.16,6446000
2000-02-10,1.16,1.16,1.12,1.12,5604000
2000-02-11,1.12,1.14,1.1,1.12,10949000
2000-02-14,1.14,1.2,1.12,1.18,13277000
2000-02-15,1.22,1.26,1.14,1.14,15581000
2000-02-16,1.14,1.16,1.04,1.04,14256000
2000-02-17,1.08,1.08,1.04,1.08,3370000
2000-02-18,1.1,1.12,1.08,1.08,3193000
2000-02-21,1.08,1.1,1.02,1.02,7545000
2000-02-22,1.02,1.02,1.02,1.02,1430000
2000-02-23,1.04,1.06,1.02,1.06,1277000
2000-02-24,1.06,1.06,1.02,1.02,2215000
2000-02-28,1.0,1.0,0.99,1.0,4990000
2000-02-29,1.0,1.04,0.99,1.0,4670000
2000-03-01,1.0,1.04,1.0,1.0,3910000
2000-03-02,1.0,1.04,1.0,1.04,1750000
2000-03-03,1.04,1.1,1.04,1.1,3872000
2000-03-06,1.1,1.12,1.02,1.08,4611000
2000-03-07,1.08,1.08,1.02,1.04,3555000
2000-03-08,1.02,1.02,1.0,1.0,4392000
2000-03-09,1.0,1.04,1.0,1.02,2910000
2000-03-10,1.02,1.02,0.99,1.0,4423000
2000-03-13,1.0,1.02,0.99,0.99,2570000
2000-03-14,0.98,0.99,0.98,0.99,2890000
2000-03-15,1.02,1.04,1.0,1.02,5230000
2000-03-16,1.02,1.02,1.0,1.0,3013000
2000-03-17,1.02,1.02,1.0,1.0,3150000
2000-03-20,1.0,1.02,1.0,1.02,5300000
2000-03-21,1.06,1.06,1.0,1.02,6037000
2000-03-22,1.06,1.06,1.02,1.04,2544000
2000-03-23,1.02,1.08,1.0,1.04,4845000
2000-03-24,1.04,1.12,1.04,1.06,6303000
2000-03-27,1.06,1.06,1.04,1.06,1088000
2000-03-28,1.06,1.08,1.06,1.06,466000
2000-03-29,1.04,1.06,1.02,1.06,685000
2000-03-30,1.04,1.04,1.02,1.04,1199000
2000-03-31,1.04,1.04,1.02,1.02,2125000
2000-04-03,1.02,1.02,1.02,1.02,1040000
2000-04-04,1.0,1.0,1.0,1.0,2595000
2000-04-05,1.0,1.0,1.0,1.0,1570000
2000-04-06,1.0,1.0,1.0,1.0,1070000
2000-04-07,1.02,1.04,1.02,1.02,1020000
2000-04-10,1.0,1.14,1.0,1.14,8248000
2000-04-11,1.1,1.1,1.06,1.08,2593000
2000-04-12,1.06,1.06,1.04,1.06,1334000
2000-04-13,1.04,1.06,1.02,1.02,3849000
2000-04-14,1.02,1.04,1.0,1.0,7201000
2000-04-17,1.0,1.0,1.0,1.0,1370000
2000-04-18,1.02,1.02,1.0,1.0,2270000
2000-04-19,1.0,1.0,0.99,1.0,4120000
2000-04-24,1.0,1.0,0.95,0.95,1590000
2000-04-25,0.94,0.94,0.9,0.9,4860000
2000-04-26,0.94,0.96,0.94,0.96,520000
2000-04-27,0.96,0.96,0.94,0.95,3680000
2000-04-28,0.94,0.94,0.93,0.93,470000
2000-05-02,0.92,0.92,0.92,0.92,50000
