date,open,high,low,close,volume
2020-03-30,1.55,1.59,1.44,1.53,36531000
2020-03-31,1.6,1.7,1.56,1.7,60459000
2020-04-01,1.75,1.78,1.57,1.6,100339000
2020-04-02,1.52,1.62,1.5,1.58,36402000
2020-04-03,1.59,1.63,1.55,1.58,17041000
2020-04-06,1.6,1.68,1.6,1.68,22832000
2020-04-07,1.72,1.78,1.65,1.66,46406000
2020-04-08,1.67,1.7,1.63,1.7,17710000
2020-04-13,1.72,1.87,1.7,1.85,70016000
2020-04-14,1.88,2.01,1.87,1.97,87311000
2020-04-15,2.04,2.06,1.91,1.94,53157000
2020-04-16,1.89,1.93,1.83,1.9,38797000
2020-04-17,1.92,2.1,1.92,2.09,64512000
2020-04-20,2.13,2.35,2.13,2.33,107448000
2020-04-21,2.35,2.37,2.16,2.32,100095000
2020-04-22,2.22,2.32,2.17,2.29,61740000
2020-04-23,2.34,2.45,2.26,2.28,101074000
2020-04-24,2.27,2.33,2.22,2.28,40507000
