date,open,high,low,close,volume
1999-02-04,3.05,3.05,3.05,3.05,1000
1999-02-05,3.05,3.05,3.05,3.05,10000
1999-02-08,3.05,3.05,3.05,3.05,10000
1999-02-09,3.05,3.05,3.05,3.05,10000
1999-02-10,3.05,3.05,3.05,3.05,10000
1999-02-11,3.05,3.05,3.05,3.05,10000
1999-02-12,3.05,3.05,3.05,3.05,10000
1999-02-15,3.05,3.05,3.05,3.05,17000
1999-02-22,3.0,3.0,3.0,3.0,10000
1999-02-25,3.0,3.0,3.0,3.0,100000
1999-02-26,2.9,2.9,2.9,2.9,300000
1999-03-01,2.95,2.95,2.95,2.95,10000
1999-03-02,2.85,2.85,2.85,2.85,1000
1999-03-04,2.85,2.85,2.85,2.85,65000
1999-03-09,2.9,2.9,2.9,2.9,139000
1999-03-18,2.8,2.8,2.8,2.8,122000
1999-03-25,2.8,2.8,2.8,2.8,10000
1999-03-26,2.8,2.8,2.8,2.8,2000
1999-04-13,2.85,2.85,2.8,2.8,3000
1999-04-14,3.0,3.0,3.0,3.0,10000
1999-04-16,2.8,2.8,2.8,2.8,2000
1999-04-21,3.0,3.0,3.0,3.0,4000
1999-04-23,3.0,3.0,3.0,3.0,5000
1999-04-26,2.9,3.1,2.9,3.0,147000
1999-04-27,2.9,2.9,2.9,2.9,3000
1999-04-28,2.9,2.9,2.9,2.9,1000
1999-04-30,3.0,3.0,2.9,2.9,20000
1999-05-03,2.9,2.9,2.9,2.9,1000
1999-05-06,3.0,3.0,3.0,3.0,15000
1999-05-07,3.05,3.05,3.05,3.05,18000
1999-05-10,3.0,3.0,3.0,3.0,55000
1999-05-12,3.0,3.0,3.0,3.0,5000
1999-05-17,3.0,3.0,3.0,3.0,6000
1999-05-18,3.0,3.0,3.0,3.0,8000
1999-05-26,3.0,3.0,3.0,3.0,173000
1999-05-27,3.0,3.0,3.0,3.0,7000
1999-05-28,3.0,3.0,3.0,3.0,2000
1999-05-31,3.0,3.0,3.0,3.0,1000
1999-06-01,3.45,3.45,3.45,3.45,20000
1999-06-02,3.45,4.0,3.45,4.0,208000
1999-06-03,4.0,4.2,4.0,4.2,46000
1999-06-04,4.0,4.0,4.0,4.0,45000
1999-06-07,3.8,4.0,3.8,4.0,65000
1999-06-08,3.6,4.0,3.6,4.0,23000
1999-06-09,3.7,3.75,3.7,3.75,120000
1999-06-10,3.6,3.6,3.6,3.6,25000
1999-06-15,3.65,3.65,3.65,3.65,11000
1999-06-16,3.65,3.65,3.65,3.65,36000
1999-06-17,3.65,3.7,3.6,3.7,180000
1999-06-18,3.6,3.6,3.6,3.6,129000
1999-06-21,3.65,3.65,3.65,3.65,45000
1999-06-22,3.65,3.65,3.65,3.65,10000
1999-06-24,3.65,3.65,3.65,3.65,41000
1999-06-25,3.65,3.65,3.65,3.65,1000
1999-06-29,3.95,3.95,3.95,3.95,1000
1999-07-06,3.9,3.9,3.9,3.9,10000
1999-07-07,3.95,3.95,3.95,3.95,20000
1999-07-08,3.95,4.2,3.95,4.0,150000
1999-07-14,4.0,4.1,3.95,3.95,130000
1999-07-15,3.8,3.8,3.8,3.8,30000
1999-07-16,3.65,3.65,3.65,3.65,5000
1999-07-20,3.65,3.65,3.65,3.65,100000
1999-07-21,3.65,3.65,3.65,3.65,100000
