date,open,high,low,close,volume
1999-02-04,1.8,1.8,1.72,1.74,1617000
1999-02-05,1.74,1.76,1.72,1.72,1670000
1999-02-08,1.74,1.76,1.72,1.72,1670000
1999-02-09,1.74,1.76,1.72,1.72,1670000
1999-02-10,1.74,1.76,1.72,1.72,1670000
1999-02-11,1.74,1.76,1.72,1.72,1670000
1999-02-12,1.66,1.68,1.6,1.6,2568000
1999-02-15,1.58,1.6,1.56,1.56,1846000
1999-02-16,1.6,1.6,1.6,1.6,265000
1999-02-17,1.6,1.6,1.6,1.6,2000000
1999-02-18,1.6,1.66,1.58,1.58,1333000
1999-02-19,1.58,1.62,1.58,1.58,972000
1999-02-22,1.6,1.6,1.54,1.54,2183000
1999-02-23,1.58,1.64,1.58,1.64,3899000
1999-02-24,1.62,1.62,1.6,1.62,2164000
1999-02-25,1.6,1.64,1.6,1.64,3647000
1999-02-26,1.68,1.76,1.68,1.74,6963000
1999-03-01,1.74,1.78,1.68,1.7,4127000
1999-03-02,1.68,1.68,1.66,1.66,172000
1999-03-03,1.68,1.72,1.68,1.7,5540000
1999-03-04,1.72,1.74,1.7,1.72,5406000
1999-03-05,1.74,1.74,1.7,1.7,1327000
1999-03-08,1.76,1.78,1.7,1.72,1932000
1999-03-09,1.7,1.7,1.68,1.68,835000
1999-03-10,1.66,1.66,1.64,1.66,626000
1999-03-11,1.66,1.66,1.64,1.64,1074000
1999-03-12,1.64,1.68,1.64,1.66,603000
1999-03-15,1.7,1.74,1.7,1.72,3310000
1999-03-16,1.74,1.74,1.7,1.72,364000
1999-03-17,1.72,1.72,1.68,1.68,579000
1999-03-18,1.68,1.78,1.68,1.78,5455000
1999-03-19,1.78,1.78,1.7,1.74,1556000
1999-03-22,1.74,1.74,1.7,1.72,4922000
1999-03-23,1.7,1.72,1.7,1.72,1196000
1999-03-24,1.7,1.72,1.68,1.68,717000
1999-03-25,1.66,1.66,1.64,1.64,676000
1999-03-26,1.62,1.66,1.62,1.66,499000
1999-03-29,1.62,1.62,1.62,1.62,67000
1999-03-30,1.62,1.64,1.62,1.64,255000
1999-03-31,1.66,1.68,1.66,1.66,104000
1999-04-05,1.66,1.7,1.66,1.68,1562000
1999-04-06,1.74,1.76,1.68,1.68,4837000
1999-04-07,1.72,1.8,1.72,1.78,16323000
1999-04-08,1.78,1.82,1.76,1.76,5401000
1999-04-12,1.8,1.84,1.78,1.78,6569000
1999-04-13,1.76,1.76,1.72,1.76,3269000
1999-04-14,1.74,1.76,1.7,1.7,2512000
1999-04-15,1.7,1.74,1.64,1.64,8050000
1999-04-16,1.7,1.7,1.6,1.66,5335000
1999-04-19,1.7,1.8,1.7,1.78,13743000
1999-04-20,1.76,1.78,1.7,1.72,4779000
1999-04-21,1.7,1.7,1.66,1.66,2291000
1999-04-22,1.68,1.7,1.66,1.7,1969000
1999-04-23,1.72,1.82,1.72,1.8,20557000
1999-04-26,1.8,1.82,1.78,1.78,5499000
1999-04-27,1.76,1.84,1.76,1.84,12060000
1999-04-28,1.9,1.96,1.9,1.96,19131000
1999-04-29,2.0,2.24,2.0,2.2,50808000
1999-04-30,2.2,2.3,2.18,2.24,18984000
1999-05-03,2.24,2.5,2.24,2.5,30821000
1999-05-04,2.7,2.9,2.65,2.85,234515000
1999-05-05,2.8,2.85,2.6,2.7,20394000
1999-05-06,2.7,2.75,2.65,2.75,5644000
1999-05-07,2.7,2.7,2.55,2.6,6169000
1999-05-10,2.65,2.65,2.32,2.32,5596000
1999-05-11,2.32,2.46,2.32,2.38,3994000
1999-05-12,2.38,2.46,2.38,2.4,5177000
1999-05-13,2.4,2.4,2.26,2.3,12440000
1999-05-14,2.32,2.34,2.26,2.3,20376000
1999-05-17,2.2,2.3,2.16,2.28,27356000
1999-05-18,2.26,2.34,2.22,2.22,17562000
1999-05-19,2.22,2.3,2.18,2.22,21105000
1999-05-20,2.22,2.24,2.14,2.2,16529000
1999-05-21,2.2,2.26,2.18,2.2,22967000
1999-05-24,2.24,2.24,2.16,2.16,7060000
1999-05-25,2.18,2.2,2.16,2.16,7616000
1999-05-26,2.12,2.2,2.12,2.18,10585000
1999-05-27,2.24,2.24,2.06,2.08,18717000
1999-05-28,2.08,2.14,2.06,2.06,9808000
1999-05-31,2.1,2.12,2.06,2.06,4133000
1999-06-01,2.08,2.12,2.08,2.1,2720000
1999-06-02,2.12,2.14,2.1,2.1,3300000
1999-06-03,2.1,2.1,2.0,2.04,3611000
1999-06-04,2.08,2.08,2.0,2.02,4146000
1999-06-07,2.06,2.06,2.02,2.02,2354000
1999-06-08,2.02,2.18,2.02,2.08,10269000
1999-06-09,2.16,2.16,2.06,2.12,2340000
1999-06-10,2.14,2.16,2.1,2.1,4758000
1999-06-11,2.12,2.12,2.08,2.08,6622000
