date,open,high,low,close,volume
2018-04-30,10.2,10.24,10.2,10.24,4500
2018-05-02,10.24,10.26,10.24,10.26,3800
2018-05-03,10.2,10.2,10.2,10.2,260
2018-05-04,10.2,10.2,10.2,10.2,100
2018-05-15,10.2,10.2,10.2,10.2,6830
2018-05-17,10.2,10.26,10.2,10.26,10000
2018-05-18,10.1,10.1,10.1,10.1,840
2018-05-25,10.2,10.26,10.2,10.26,14910
2018-05-28,10.26,10.28,10.26,10.28,5540
2018-06-04,10.0,10.0,10.0,10.0,700
2018-06-06,10.0,10.0,10.0,10.0,400
2018-06-11,10.0,10.0,10.0,10.0,26000
2018-06-13,10.0,10.0,10.0,10.0,9000
2018-06-14,10.0,10.0,10.0,10.0,400
2018-06-18,10.04,10.04,10.0,10.0,1500
2018-06-20,10.0,10.0,10.0,10.0,3300
2018-06-22,10.0,10.0,10.0,10.0,600
2018-06-28,10.0,10.0,10.0,10.0,100
2018-07-06,10.0,10.0,10.0,10.0,6020
2018-07-10,10.0,10.0,10.0,10.0,2000
2018-07-11,10.0,10.0,10.0,10.0,2000
2018-07-19,10.0,10.0,10.0,10.0,10000
2018-07-20,10.0,10.0,10.0,10.0,200
2018-07-23,10.0,10.0,10.0,10.0,5780
2018-07-24,10.1,10.1,10.1,10.1,4170
2018-07-25,10.02,10.02,10.02,10.02,2500
2018-07-27,10.1,10.1,10.1,10.1,2500
2018-08-02,10.1,10.1,10.1,10.1,980
2018-08-09,10.1,10.1,10.0,10.0,29350
2018-08-15,10.0,10.0,9.8,9.8,2500
2018-08-22,10.26,10.26,10.0,10.0,11900
2018-08-23,10.0,10.0,10.0,10.0,10000
2018-08-30,10.0,10.0,10.0,10.0,7500
2018-08-31,10.26,10.26,10.26,10.26,780
2018-09-04,10.26,10.26,10.26,10.26,3890
2018-09-05,10.26,10.26,10.02,10.02,4710
2018-09-06,10.02,10.02,10.02,10.02,5610
2018-09-10,10.26,10.26,10.26,10.26,520
2018-09-12,10.26,10.26,10.26,10.26,2500
2018-09-19,10.26,10.26,10.26,10.26,2920
2018-09-21,10.26,10.26,10.26,10.26,2870
2018-09-24,10.12,10.12,10.12,10.12,2000
2018-09-28,10.26,10.26,10.26,10.26,3500
2018-10-04,10.0,10.0,10.0,10.0,32950
2018-10-05,10.0,10.0,10.0,10.0,7070
2018-10-09,9.8,9.8,9.7,9.7,10000
2018-10-10,9.7,9.7,9.7,9.7,3030
2018-10-11,9.7,9.7,9.7,9.7,16760
2018-10-12,9.7,10.0,9.7,10.0,6400
2018-10-16,9.9,10.0,9.9,10.0,20000
2018-10-18,10.0,10.0,10.0,10.0,5370
2018-10-19,10.0,10.0,10.0,10.0,2500
2018-10-23,10.0,10.0,10.0,10.0,7500
2018-10-26,10.0,10.0,10.0,10.0,11190
2018-10-29,10.0,10.0,10.0,10.0,3490
2018-10-30,10.0,10.0,10.0,10.0,5000
2018-11-06,10.0,10.0,10.0,10.0,7000
2018-11-09,10.0,10.0,10.0,10.0,1000
2018-11-12,10.0,10.0,10.0,10.0,8190
2018-11-15,10.1,10.1,10.1,10.1,1000
2018-11-16,10.1,10.2,10.1,10.2,5920
