date,open,high,low,close,volume
2018-06-29,11.8,11.8,9.66,10.26,43591300
2018-07-02,10.12,10.64,10.06,10.14,8935100
2018-07-03,10.2,10.4,10.1,10.34,2946400
2018-07-04,10.46,10.46,10.2,10.2,5783400
2018-07-05,10.2,10.2,9.78,9.8,3109400
2018-07-06,9.8,9.81,9.08,9.8,5274300
2018-07-09,9.81,9.81,9.3,9.4,1663600
2018-07-10,9.59,9.59,9.26,9.27,598700
2018-07-11,9.24,9.24,8.67,8.75,3499200
2018-07-12,8.75,9.1,8.73,8.99,2891500
2018-07-13,8.95,9.1,8.8,9.0,3050300
2018-07-16,9.01,9.15,8.76,8.76,324900
2018-07-17,8.78,8.82,8.74,8.74,433400
2018-07-18,8.74,8.92,8.74,8.87,493000
2018-07-19,8.79,8.9,8.79,8.81,327400
2018-07-20,8.85,8.85,8.8,8.8,300000
2018-07-23,8.8,8.99,8.8,8.84,301800
2018-07-24,8.83,8.92,8.82,8.87,555200
2018-07-25,8.88,9.38,8.88,9.15,1366600
2018-07-26,9.2,9.35,9.2,9.32,321100
2018-07-27,9.32,9.88,9.32,9.7,1564500
2018-07-30,9.7,10.0,9.52,9.85,2007100
2018-07-31,9.85,9.97,9.65,9.77,2239400
2018-08-01,9.77,9.87,9.69,9.72,708700
2018-08-02,9.68,9.8,9.65,9.74,484500
2018-08-03,9.74,9.85,9.7,9.82,299000
2018-08-06,9.73,10.2,9.69,10.18,1222400
2018-08-07,10.1,10.74,10.1,10.46,1826900
2018-08-08,10.4,10.4,10.12,10.16,422600
2018-08-09,10.2,10.26,9.8,9.86,780000
2018-08-10,9.86,10.14,9.86,10.14,502700
2018-08-13,10.14,10.14,9.91,9.91,302200
2018-08-14,9.98,9.98,9.85,9.89,127000
2018-08-15,9.86,9.93,9.7,9.77,265600
2018-08-16,9.75,10.0,9.65,10.0,356200
2018-08-17,9.9,9.9,9.8,9.84,148000
2018-08-20,9.84,9.95,9.76,9.95,136500
2018-08-22,9.9,9.98,9.7,9.7,57800
2018-08-23,9.7,9.9,9.65,9.67,203600
2018-08-24,9.7,9.81,9.55,9.55,406600
2018-08-28,9.7,9.75,9.4,9.4,489800
2018-08-29,9.38,9.5,9.24,9.24,1374900
2018-08-30,9.22,9.39,9.2,9.35,224500
2018-08-31,9.35,9.35,9.2,9.2,460100
2018-09-03,9.2,9.27,9.2,9.21,649800
2018-09-04,9.22,9.35,9.22,9.23,473100
2018-09-05,9.35,9.35,9.09,9.09,844500
2018-09-06,9.11,9.11,8.77,8.8,948000
2018-09-07,8.81,8.81,8.67,8.67,655200
2018-09-10,8.67,8.91,8.67,8.9,192600
2018-09-11,8.91,9.0,8.7,8.73,244900
2018-09-12,8.75,8.82,8.75,8.75,50600
2018-09-13,8.75,8.81,8.7,8.72,177900
2018-09-14,8.7,8.82,8.7,8.7,193200
2018-09-17,8.7,8.84,8.7,8.79,221100
2018-09-18,8.82,8.85,8.67,8.67,346500
2018-09-19,8.7,8.74,8.49,8.49,458400
2018-09-20,8.44,8.59,8.42,8.42,228200
2018-09-21,8.41,8.69,8.08,8.08,721300
2018-09-24,8.09,8.4,8.09,8.27,295200
2018-09-25,8.27,8.55,8.27,8.53,372300
2018-09-26,8.53,8.67,8.51,8.51,128500
2018-09-27,8.53,8.53,8.33,8.33,205700
2018-09-28,8.51,8.65,8.34,8.34,854000
2018-10-01,8.34,8.34,8.25,8.3,68500
2018-10-02,8.3,8.35,8.28,8.35,64400
2018-10-03,8.38,8.39,8.26,8.33,163700
2018-10-04,8.27,8.41,8.27,8.3,70700
2018-10-05,8.28,8.29,8.27,8.29,38300
2018-10-08,8.34,8.34,8.28,8.34,116900
2018-10-09,8.34,8.43,8.3,8.36,51400
2018-10-10,8.34,8.34,8.05,8.08,588000
2018-10-11,8.02,8.02,7.8,7.86,270600
2018-10-12,7.9,7.9,7.52,7.65,932100
2018-10-15,7.65,7.95,7.65,7.8,279200
2018-10-16,7.67,7.69,7.63,7.66,233100
2018-10-17,7.67,8.1,7.67,7.95,209900
2018-10-18,7.95,8.04,7.95,7.99,781300
2018-10-19,7.71,8.0,7.71,7.99,394700
2018-10-22,7.99,8.08,7.99,7.99,651300
2018-10-23,8.1,8.22,8.0,8.2,127400
2018-10-24,8.2,8.2,8.14,8.14,224200
2018-10-25,8.0,8.05,7.8,7.87,2857500
2018-10-26,7.8,7.87,7.8,7.8,352800
2018-10-29,7.8,8.0,7.8,7.9,949200
2018-10-30,7.9,7.92,7.86,7.9,193700
2018-10-31,7.9,7.9,7.88,7.9,102800
2018-11-05,7.89,8.0,7.88,8.0,94600
2018-11-06,7.89,8.0,7.84,7.85,123000
2018-11-07,7.99,7.99,7.85,7.91,160400
2018-11-08,7.83,7.92,7.8,7.81,476200
2018-11-09,7.8,7.81,7.76,7.79,257400
2018-11-12,7.76,8.1,7.76,7.77,353300
2018-11-13,7.76,7.76,7.7,7.71,701600
2018-11-14,7.7,7.75,7.55,7.6,763400
2018-11-15,7.54,7.57,7.5,7.55,678000
2018-11-16,7.55,7.65,7.55,7.6,156700
2018-11-19,7.58,7.61,7.53,7.6,291400
2018-11-20,7.55,7.65,7.55,7.6,419500
2018-11-21,7.57,7.6,7.57,7.6,155600
2018-11-22,7.59,7.59,7.5,7.57,204100
2018-11-23,7.56,7.59,7.51,7.56,341100
2018-11-26,7.6,7.65,7.6,7.61,296100
2018-11-27,7.62,7.65,7.61,7.63,342800
2018-11-28,7.94,7.94,7.7,7.93,112100
2018-11-29,7.9,7.9,7.8,7.85,77200
2018-12-03,7.8,7.93,7.8,7.91,46100
2018-12-04,7.91,8.0,7.9,8.0,183200
2018-12-05,8.1,8.13,8.06,8.06,390900
2018-12-06,8.07,8.07,7.99,7.99,2020700
2018-12-07,7.99,8.05,7.93,8.04,179000
2018-12-10,8.0,8.05,8.0,8.05,57200
2018-12-11,8.05,8.05,7.99,8.0,150600
2018-12-12,8.0,8.07,8.0,8.0,91200
2018-12-13,7.97,8.08,7.94,7.98,73100
2018-12-14,8.0,8.03,7.98,7.98,138000
2018-12-17,8.03,8.03,7.93,7.95,364800
2018-12-18,7.99,7.99,7.82,7.83,120200
2018-12-19,7.83,7.92,7.83,7.9,64500
2018-12-20,7.88,7.9,7.8,7.9,352800
2018-12-21,7.9,7.9,7.82,7.9,140400
2018-12-26,7.99,7.99,7.7,7.7,175800
2018-12-27,7.7,7.9,7.68,7.7,260900
2018-12-28,7.75,7.85,7.75,7.8,958100
2019-01-02,7.8,7.84,7.7,7.7,378700
