date,open,high,low,close,volume
2012-12-12,4.38,4.51,4.34,4.36,68451000
2012-12-13,4.34,4.45,4.32,4.44,28146000
2012-12-14,4.44,4.55,4.41,4.47,27942000
2012-12-17,4.5,4.5,4.41,4.42,8524000
2012-12-18,4.45,4.5,4.38,4.43,12263000
2012-12-19,4.42,4.44,4.4,4.4,3816000
2012-12-20,4.4,4.45,4.39,4.4,3268000
2012-12-21,4.4,4.45,4.39,4.4,4425000
2012-12-26,4.4,4.44,4.38,4.41,2610000
2012-12-27,4.4,4.41,4.39,4.41,2621000
2012-12-28,4.41,4.42,4.36,4.4,8394000
2013-01-02,4.37,4.4,4.37,4.37,3389000
2013-01-03,4.38,4.44,4.37,4.38,5949000
2013-01-04,4.38,4.4,4.36,4.36,3449000
2013-01-07,4.38,4.45,4.38,4.42,13950000
2013-01-08,4.42,4.46,4.41,4.44,4570000
2013-01-09,4.41,4.47,4.41,4.45,9363000
2013-01-10,4.48,4.7,4.48,4.61,34940000
2013-01-11,4.64,4.99,4.61,4.98,38147000
2013-01-14,4.99,5.15,4.85,5.01,31203000
2013-01-15,5.01,5.15,4.88,4.98,28959600
2013-01-16,5.0,5.05,4.88,4.98,15088000
2013-01-17,4.99,5.34,4.99,5.31,28320000
2013-01-18,5.32,5.4,5.25,5.37,30596000
2013-01-21,5.39,5.45,5.3,5.4,7734700
2013-01-22,5.4,5.43,5.25,5.34,13903000
2013-01-23,5.34,5.4,5.24,5.31,5275700
2013-01-24,5.29,5.54,5.28,5.48,17953400
2013-01-25,5.49,5.8,5.49,5.8,27578400
2013-01-28,5.84,5.9,5.71,5.83,15570400
2013-01-29,5.85,5.9,5.84,5.86,15461700
2013-01-30,5.85,5.9,5.74,5.79,16709200
2013-01-31,5.8,5.83,5.72,5.8,9797800
2013-02-01,5.8,6.12,5.8,6.11,15010300
2013-02-04,6.11,6.37,6.11,6.35,18769100
2013-02-05,6.35,6.48,6.22,6.43,21741500
2013-02-06,6.43,6.74,6.0,6.29,29649100
2013-02-07,6.29,6.3,5.8,5.97,24554100
2013-02-08,5.97,6.0,5.88,5.92,11021400
2013-02-11,5.92,6.2,5.92,6.04,5166800
2013-02-12,6.09,6.09,5.97,6.02,4602200
2013-02-13,6.07,6.08,5.97,6.0,6404000
2013-02-14,6.0,6.21,5.97,6.18,11047100
2013-02-15,6.16,6.7,6.16,6.45,37725100
2013-02-18,6.75,6.82,6.7,6.76,26614400
2013-02-19,6.85,6.99,6.85,6.95,25986800
2013-02-20,7.09,7.19,6.81,6.83,30711100
2013-02-21,6.9,7.1,6.82,6.85,19392600
2013-02-22,6.9,6.95,6.51,6.51,45641200
2013-02-25,6.6,6.75,6.58,6.6,13441400
2013-02-26,6.59,6.74,6.48,6.54,20879100
2013-02-27,6.57,6.65,6.55,6.55,7921000
2013-02-28,6.61,6.7,6.48,6.5,20062200
2013-03-01,6.52,6.79,6.52,6.76,10184100
2013-03-04,6.78,7.0,6.72,6.97,14472200
2013-03-05,6.98,7.13,6.95,7.12,13608200
2013-03-06,7.15,7.2,7.03,7.03,8822500
2013-03-07,7.03,7.03,6.89,6.96,3758800
2013-03-08,6.95,6.98,6.82,6.85,11809800
2013-03-11,6.85,7.0,6.84,6.91,8910200
2013-03-12,6.97,7.0,6.75,6.76,6112800
2013-03-13,6.78,6.83,6.56,6.71,11219500
2013-03-14,6.72,6.96,6.65,6.96,11923500
2013-03-15,7.0,7.04,6.91,6.94,4000800
2013-03-18,6.96,6.96,6.4,6.6,13439600
2013-03-19,6.58,6.7,6.07,6.68,15756000
2013-03-20,6.68,6.93,6.47,6.93,11878000
2013-03-21,6.9,7.01,6.75,6.85,5557200
2013-03-22,6.89,6.94,6.77,6.77,2117700
2013-03-25,6.79,7.0,6.78,6.94,6090100
2013-03-26,6.95,7.04,6.88,6.9,7077400
2013-03-27,6.9,7.05,6.9,6.99,7808400
2013-04-01,7.09,7.2,6.91,6.99,10494200
2013-04-02,7.0,7.0,6.85,6.9,2918100
2013-04-03,6.97,7.04,6.8,6.83,5401400
2013-04-04,6.83,6.94,6.78,6.8,6778100
2013-04-05,6.8,6.9,6.73,6.75,5553300
2013-04-08,6.75,6.75,6.6,6.65,4933300
2013-04-10,6.68,6.83,6.68,6.68,4358500
2013-04-11,6.7,6.92,6.67,6.85,10364900
2013-04-12,6.92,7.03,6.88,6.98,9643500
2013-04-15,7.0,7.02,6.9,6.97,5984700
2013-04-16,6.9,7.08,6.8,7.0,6905400
2013-04-17,7.0,7.15,6.9,6.9,13840400
2013-04-18,6.95,7.0,6.9,6.98,2303700
2013-04-19,7.05,7.05,6.98,6.99,7197500
2013-04-22,6.99,7.11,6.95,7.02,7819700
2013-04-23,7.07,7.4,7.0,7.35,16788600
2013-04-24,7.41,7.5,7.16,7.17,13260000
2013-04-25,7.23,7.23,7.06,7.15,10150300
2013-04-26,7.17,7.45,7.16,7.4,21769900
2013-04-29,7.5,7.68,7.5,7.59,9788300
2013-04-30,7.64,7.74,7.59,7.59,6608100
2013-05-02,7.63,7.77,7.6,7.71,4132600
2013-05-03,7.75,7.94,7.75,7.93,12142900
2013-05-06,7.98,8.01,7.93,7.98,10282400
2013-05-07,8.0,8.05,7.79,7.81,6773600
2013-05-08,7.85,7.99,7.85,7.91,6214300
2013-05-09,7.96,8.25,7.95,8.12,6482100
2013-05-10,8.25,8.34,8.17,8.31,4011900
2013-05-14,8.37,8.58,8.31,8.48,5634600
2013-05-15,8.52,8.6,8.29,8.29,13665500
2013-05-16,8.42,8.6,8.3,8.51,11689900
2013-05-17,8.55,8.6,8.32,8.32,7779900
2013-05-20,8.35,8.47,8.35,8.41,3495300
2013-05-21,8.44,8.47,8.35,8.35,1672900
2013-05-22,8.38,8.58,8.34,8.36,3882800
2013-05-23,8.4,8.5,7.95,8.15,7511500
2013-05-24,8.16,8.25,8.15,8.22,4220300
2013-05-27,8.22,8.22,8.0,8.1,6483500
2013-05-28,8.1,8.25,8.07,8.22,3865500
2013-05-29,8.31,8.32,8.1,8.3,2054300
2013-05-30,8.32,8.32,7.87,7.99,7428500
2013-05-31,7.99,8.3,7.65,8.3,29915500
2013-06-03,8.17,8.17,7.86,7.99,4014500
2013-06-04,8.0,8.1,7.7,7.9,3629000
2013-06-05,7.9,7.92,7.72,7.75,2250200
2013-06-06,7.7,7.95,7.1,7.75,13783000
2013-06-07,7.87,7.89,7.68,7.83,3134500
2013-06-10,7.87,8.15,7.87,8.15,5259000
2013-06-11,8.15,8.15,7.8,7.98,2894400
2013-06-13,7.68,7.68,7.15,7.3,9712600
2013-06-14,7.4,7.6,7.29,7.38,5411500
2013-06-17,7.38,7.58,7.2,7.55,1538100
2013-06-18,7.57,7.74,7.57,7.68,2661300
2013-06-19,7.77,7.77,7.4,7.65,1768500
2013-06-20,7.45,7.54,7.28,7.3,3955000
2013-06-21,7.24,7.24,7.05,7.05,7549500
2013-06-24,7.08,7.18,6.08,6.34,8506600
2013-06-25,6.34,6.44,5.8,6.1,11503700
2013-06-26,6.25,6.55,6.25,6.5,7599700
2013-06-27,6.69,6.8,6.56,6.7,5660200
2013-06-28,6.86,6.9,6.3,6.4,4936000
2013-07-01,6.5,6.8,6.49,6.8,2199300
2013-07-02,6.81,6.91,6.6,6.68,2696500
2013-07-03,6.75,6.8,6.55,6.58,2133500
2013-07-04,6.72,6.82,6.68,6.75,1028500
2013-07-05,6.78,6.8,6.66,6.67,1792200
2013-07-08,6.73,6.79,6.54,6.7,2018200
2013-07-09,6.72,6.8,6.67,6.7,951000
2013-07-10,6.74,6.76,6.5,6.5,1846500
2013-07-11,6.7,6.7,6.66,6.66,4645600
2013-07-12,6.8,6.9,6.73,6.74,8554600
2013-07-15,6.86,7.14,6.84,6.98,4738300
2013-07-16,7.08,7.1,6.9,7.01,1630800
2013-07-17,7.07,7.07,6.92,7.02,2786100
2013-07-18,7.05,7.17,7.04,7.17,3030200
2013-07-19,7.15,7.15,6.98,7.02,3301300
2013-07-22,7.04,7.1,6.98,6.99,3017000
2013-07-23,7.01,7.05,6.98,7.01,2691900
2013-07-24,7.08,7.23,7.02,7.15,5419900
2013-07-25,7.14,7.23,7.11,7.16,3388600
2013-07-26,7.15,7.16,7.04,7.09,2494600
2013-07-29,7.09,7.09,6.96,7.0,1657900
2013-07-30,7.0,7.01,6.89,6.99,2640300
2013-07-31,7.0,7.02,6.8,6.95,1717800
2013-08-01,6.97,6.98,6.94,6.96,297000
2013-08-02,6.96,6.99,6.78,6.78,1176100
2013-08-05,6.81,6.84,6.75,6.77,754200
2013-08-06,6.77,6.77,6.55,6.75,1742300
2013-08-07,6.75,6.8,6.66,6.7,376400
2013-08-08,6.79,6.79,6.7,6.75,593800
2013-08-12,6.77,6.8,6.75,6.77,420400
2013-08-13,6.77,6.84,6.77,6.8,1493700
2013-08-14,6.87,7.03,6.85,6.9,1851800
2013-08-15,6.98,6.98,6.8,6.87,979400
2013-08-16,6.87,6.87,6.8,6.83,653000
2013-08-22,6.76,6.76,6.37,6.48,6333100
2013-08-23,6.45,6.5,6.39,6.5,4152300
2013-08-27,6.53,6.53,6.3,6.33,2141700
2013-08-28,6.2,6.2,5.97,6.04,4459800
2013-08-29,6.04,6.5,6.04,6.25,1299600
2013-08-30,6.45,6.46,6.32,6.4,758100
2013-09-02,6.4,6.43,6.32,6.32,461300
2013-09-03,6.4,6.41,6.38,6.4,371000
2013-09-04,6.4,6.41,6.25,6.25,499400
2013-09-05,6.24,6.39,6.24,6.28,1718200
2013-09-06,6.35,6.35,6.15,6.15,754600
2013-09-09,6.16,6.3,6.16,6.21,441300
2013-09-10,6.28,6.45,6.28,6.32,1892800
2013-09-11,6.43,6.62,6.4,6.6,3065700
2013-09-12,6.63,6.66,6.44,6.51,596900
2013-09-13,6.57,6.57,6.35,6.4,460100
2013-09-16,6.42,6.6,6.4,6.45,1017500
2013-09-17,6.5,6.59,6.35,6.37,997600
2013-09-18,6.42,6.59,6.39,6.5,8376900
2013-09-19,6.75,6.9,6.69,6.7,6389600
2013-09-20,6.72,6.72,6.54,6.71,1328300
2013-09-23,6.7,6.72,6.56,6.7,832300
2013-09-24,6.75,6.75,6.61,6.64,582600
2013-09-25,6.68,6.68,6.45,6.58,976300
2013-09-26,6.61,6.61,6.5,6.54,700900
2013-09-27,6.59,6.63,6.54,6.59,387300
2013-09-30,6.64,6.64,6.5,6.54,1758500
2013-10-01,6.52,6.52,6.5,6.5,9708300
2013-10-02,6.49,6.65,6.49,6.5,1352100
2013-10-03,6.51,6.64,6.48,6.58,3972100
2013-10-04,6.6,6.6,6.55,6.58,1412600
2013-10-07,6.68,6.74,6.6,6.68,1722100
2013-10-08,6.7,6.9,6.66,6.9,3558300
2013-10-09,6.9,6.91,6.7,6.75,996000
