date,open,high,low,close,volume
1999-03-16,3.75,3.75,3.75,3.75,20000
1999-03-26,3.75,3.75,3.75,3.75,10000
1999-05-17,2.7,2.7,2.7,2.7,60000
1999-05-18,3.75,3.75,3.75,3.75,60000
1999-05-24,5.2,5.2,5.2,5.2,6000
1999-05-27,4.8,5.0,4.8,5.0,7000
1999-06-08,4.8,4.8,4.8,4.8,15000
1999-06-10,4.8,4.8,4.8,4.8,10000
1999-06-23,4.5,4.5,4.5,4.5,31000
1999-06-25,4.5,4.5,4.5,4.5,5000
1999-06-29,4.7,4.7,4.7,4.7,10000
1999-07-02,4.7,4.7,4.7,4.7,10000
1999-07-30,4.5,4.5,4.5,4.5,20000
1999-08-20,4.5,4.5,4.5,4.5,15000
1999-08-30,4.5,4.5,4.5,4.5,10000
1999-10-01,4.5,4.5,4.5,4.5,8000
1999-12-07,4.5,4.5,4.5,4.5,1000
1999-12-16,2.7,2.7,2.7,2.7,30000
1999-12-21,2.6,2.6,2.6,2.6,88000
2000-01-21,2.5,2.5,2.5,2.5,7000
2000-02-16,2.8,2.8,2.5,2.5,35000
2000-02-17,2.5,3.0,2.5,3.0,118000
2000-02-18,3.0,3.0,3.0,3.0,17000
2000-03-27,4.3,4.5,4.3,4.5,33000
2000-03-28,5.6,6.7,5.5,5.5,197000
2000-03-29,5.5,5.5,5.0,5.0,53000
2000-04-03,5.0,5.0,5.0,5.0,4000
2000-04-04,5.0,5.0,5.0,5.0,10000
2000-04-07,3.5,3.5,3.5,3.5,5000
2000-04-13,3.3,3.3,3.3,3.3,10000
2000-05-08,3.0,3.0,3.0,3.0,10000
2000-06-19,1.1,1.1,1.1,1.1,8000
2000-06-28,1.5,1.5,1.5,1.5,20000
2000-06-29,1.62,1.62,1.52,1.52,24000
2000-07-31,2.2,2.2,2.2,2.2,1000
2000-08-01,3.2,3.2,3.2,3.2,1000
2000-08-08,4.75,4.75,3.2,3.2,9000
2000-08-09,3.15,3.15,2.8,2.8,8000
2000-08-28,3.0,3.0,3.0,3.0,16000
2000-10-06,1.8,3.0,1.8,3.0,17000
2000-10-12,2.6,2.65,2.6,2.65,10000
2000-11-09,2.7,2.7,2.7,2.7,10000
2001-01-16,1.7,2.9,1.7,2.9,9000
2001-01-30,1.74,1.9,1.74,1.9,28000
2001-02-02,2.2,2.2,2.2,2.2,3000
2001-02-15,2.6,2.6,2.6,2.6,2000
2001-02-23,2.5,2.5,2.5,2.5,8000
2001-03-19,1.62,2.0,1.62,2.0,10000
2001-06-04,2.0,2.0,2.0,2.0,10000
