date,open,high,low,close,volume
2006-05-15,5.5,5.5,4.9,5.3,19296000
2006-05-16,4.9,5.1,4.85,5.0,20362000
2006-05-17,5.2,5.3,5.1,5.2,9334000
2006-05-18,5.0,5.0,4.85,4.9,10307000
2006-05-19,4.85,4.9,4.75,4.75,6437000
2006-05-22,4.6,4.6,4.25,4.35,10408000
2006-05-23,4.35,4.4,3.6,3.75,22974000
2006-05-24,4.0,4.15,3.95,3.95,14916000
2006-05-25,3.6,3.6,3.4,3.5,17070000
2006-05-26,3.75,3.85,3.7,3.75,17915000
2006-05-29,3.85,3.95,3.8,3.85,8112000
2006-05-30,3.9,3.9,3.75,3.9,10618000
2006-05-31,3.9,3.9,3.75,3.75,11425000
2006-06-01,3.7,3.8,3.65,3.75,5771000
2006-06-02,3.5,3.5,3.35,3.35,10049000
2006-06-05,3.55,3.65,3.45,3.65,6101000
2006-06-06,3.6,3.6,3.45,3.6,4713000
2006-06-07,3.6,3.6,3.4,3.4,6563000
2006-06-08,3.4,3.4,3.0,3.15,15480000
2006-06-09,3.0,3.15,2.9,3.05,8431000
2006-06-13,2.9,2.9,2.75,2.9,23070000
2006-06-14,2.7,2.8,2.65,2.7,12661000
2006-06-15,2.85,2.9,2.8,2.9,7052000
2006-06-16,3.1,3.35,3.1,3.35,19279000
2006-06-19,3.45,3.55,3.45,3.5,10697000
2006-06-20,3.35,3.35,3.25,3.3,13817000
2006-06-21,3.45,3.65,3.35,3.6,11134000
2006-06-22,3.85,4.05,3.85,4.0,16872000
2006-06-23,3.95,3.95,3.85,3.9,7633000
2006-06-26,3.9,3.95,3.85,3.9,5039000
2006-06-27,3.9,3.95,3.8,3.9,5889000
2006-06-28,3.8,3.85,3.8,3.85,2485000
2006-06-29,3.9,3.9,3.8,3.85,2704000
2006-06-30,4.1,4.25,4.05,4.25,11971000
2006-07-03,4.4,4.45,4.3,4.35,10293000
2006-07-04,4.35,4.45,4.2,4.25,9036000
2006-07-05,4.35,4.4,4.3,4.35,6929000
2006-07-06,4.35,4.35,4.3,4.3,2344000
2006-07-07,4.4,4.4,4.2,4.2,6817000
2006-07-10,4.2,4.2,4.0,4.05,9033000
2006-07-11,4.0,4.0,3.9,3.95,4419000
2006-07-12,4.2,4.3,4.0,4.0,6255000
2006-07-13,4.1,4.15,4.05,4.1,3277000
2006-07-14,4.1,4.15,4.0,4.1,3241000
2006-07-17,4.1,4.1,4.0,4.05,2819000
2006-07-18,3.95,4.05,3.95,4.0,1468000
2006-07-19,3.95,4.0,3.95,3.95,968000
2006-07-20,4.1,4.1,4.0,4.05,2559000
2006-07-21,4.0,4.0,3.9,3.95,3214000
2006-07-25,3.95,3.95,3.85,3.95,1536000
2006-07-26,3.95,4.0,3.9,3.95,2425000
2006-07-27,4.0,4.1,4.0,4.05,3874000
2006-07-28,4.1,4.15,4.0,4.05,3946000
2006-07-31,4.05,4.15,4.05,4.15,5330000
2006-08-01,4.1,4.25,4.1,4.15,5252000
2006-08-02,4.25,4.25,4.05,4.15,3955000
2006-08-03,4.2,4.25,4.1,4.25,3710000
2006-08-04,4.15,4.35,4.15,4.25,8070000
2006-08-07,4.25,4.4,4.25,4.3,3556000
2006-08-08,4.35,4.35,4.25,4.3,1244000
2006-08-09,4.3,4.35,4.2,4.35,9309000
2006-08-10,4.35,4.55,4.25,4.55,12367000
2006-08-11,4.55,4.6,4.5,4.5,10741000
2006-08-14,4.5,4.5,4.35,4.35,4257000
2006-08-15,4.35,4.45,4.3,4.3,2265000
2006-08-16,4.3,4.3,4.15,4.2,4333000
2006-08-17,4.25,4.4,4.2,4.25,3023000
2006-08-18,4.2,4.2,4.05,4.1,3834000
2006-08-22,4.15,4.3,4.15,4.25,3333000
2006-08-23,4.25,4.25,4.15,4.2,1416000
2006-08-24,4.2,4.25,4.1,4.1,2320000
2006-08-25,4.1,4.15,4.0,4.0,1273000
2006-08-28,4.0,4.2,4.0,4.05,1361000
2006-08-29,4.05,4.05,4.0,4.0,2205000
2006-08-30,4.0,4.05,4.0,4.0,2901000
2006-08-31,4.0,4.05,3.95,3.95,1905000
2006-09-01,4.05,4.05,3.95,4.0,3159000
2006-09-04,4.0,4.0,3.85,3.95,3986000
2006-09-05,3.95,4.0,3.9,3.95,1445000
2006-09-06,4.1,4.1,3.95,4.0,2617000
2006-09-07,4.0,4.0,3.9,3.9,1518000
2006-09-08,3.9,3.9,3.7,3.7,5398000
2006-09-11,3.6,3.65,3.45,3.5,3840000
2006-09-12,3.45,3.45,3.2,3.25,4357000
2006-09-13,3.2,3.25,3.15,3.2,2648000
2006-09-14,3.3,3.45,3.3,3.45,5694000
2006-09-15,3.25,3.55,3.25,3.55,12393000
2006-09-18,3.65,3.85,3.6,3.85,14736000
2006-09-19,3.95,3.95,3.75,3.75,13269000
2006-09-20,3.65,3.75,3.5,3.7,8742000
2006-09-21,3.7,3.85,3.7,3.75,7935000
2006-09-22,3.85,3.85,3.75,3.8,7218000
2006-09-25,3.8,3.85,3.75,3.75,4859000
2006-09-26,3.85,3.85,3.75,3.85,9156000
2006-09-27,3.8,3.8,3.7,3.7,4719000
2006-10-02,3.75,3.85,3.75,3.75,3634000
2006-10-03,3.8,3.8,3.7,3.7,3417000
2006-10-04,3.6,3.6,3.5,3.55,7242000
2006-10-05,3.5,3.65,3.45,3.6,4812000
2006-10-06,3.7,3.7,3.55,3.65,3280000
2006-10-09,3.65,3.75,3.65,3.7,2108000
2006-10-10,3.75,3.75,3.6,3.6,2163000
2006-10-11,3.6,3.65,3.55,3.55,6259000
2006-10-12,3.55,3.55,3.45,3.5,5904000
2006-10-13,3.55,3.7,3.55,3.65,8433000
2006-10-16,3.75,3.8,3.75,3.75,7942000
2006-10-17,3.85,3.9,3.75,3.8,7266000
2006-10-18,3.75,3.75,3.7,3.7,3598000
2006-10-19,3.7,3.85,3.65,3.8,6479000
2006-10-20,3.9,3.95,3.85,3.85,7321000
2006-10-23,3.85,3.85,3.75,3.75,3422000
2006-10-25,3.8,3.9,3.75,3.75,14378000
2006-10-26,3.85,3.85,3.7,3.7,9441000
2006-10-27,3.75,3.8,3.7,3.7,5484000
2006-10-30,3.8,3.95,3.75,3.95,13228000
2006-10-31,4.0,4.05,3.95,4.0,15480000
2006-11-02,4.05,4.25,4.05,4.15,20088000
2006-11-03,4.25,4.3,4.15,4.15,11237000
2006-11-06,4.25,4.25,4.15,4.2,17761000
2006-11-07,4.25,4.25,4.2,4.25,8763000
2006-11-08,4.25,4.25,4.15,4.15,6624000
2006-11-09,4.25,4.25,4.15,4.2,12521000
2006-11-10,4.35,4.7,4.35,4.65,42591000
2006-11-13,4.6,4.6,4.4,4.4,16671000
2006-11-14,4.5,4.5,4.35,4.5,60451000
2006-11-15,4.5,4.5,4.4,4.4,4974000
2006-11-16,4.4,4.4,4.25,4.35,5240000
2006-11-17,4.3,4.3,4.2,4.25,7522000
2006-11-20,4.15,4.2,4.05,4.2,10368000
2006-11-21,4.2,4.2,4.15,4.2,6628000
2006-11-22,4.25,4.35,4.2,4.3,10552000
2006-11-23,4.35,4.35,4.2,4.25,4973000
2006-11-24,4.25,4.3,4.2,4.2,7322000
2006-11-27,4.35,4.45,4.3,4.3,13808000
2006-11-28,4.4,4.4,4.2,4.25,19794000
2006-11-29,4.2,4.2,4.15,4.2,13044000
2006-11-30,4.2,4.3,4.15,4.3,10303000
2006-12-04,4.35,4.35,4.25,4.25,8805000
2006-12-05,4.25,4.4,4.2,4.3,8168000
2006-12-06,4.3,4.3,4.2,4.2,2443000
2006-12-07,4.15,4.3,4.15,4.25,6905000
2006-12-08,4.3,4.3,4.2,4.2,2192000
2006-12-11,4.25,4.25,4.1,4.1,4077000
2006-12-12,4.15,4.15,4.15,4.15,3451000
2006-12-13,4.15,4.15,4.1,4.1,4856000
2006-12-14,4.15,4.15,4.1,4.1,8346000
2006-12-15,4.15,4.25,4.15,4.2,2494000
2006-12-18,4.2,4.2,4.1,4.1,4374000
2006-12-19,4.1,4.1,4.0,4.1,7755000
2006-12-20,4.1,4.15,4.1,4.15,3285000
2006-12-21,4.1,4.15,4.05,4.1,6802000
2006-12-22,4.1,4.1,3.95,4.0,9747000
2006-12-27,4.05,4.1,4.05,4.05,6087000
2006-12-28,4.1,4.1,4.05,4.05,6413000
2006-12-29,4.05,4.15,4.05,4.05,7721000
2007-01-02,4.1,4.1,4.05,4.1,421000
2007-01-03,4.1,4.1,3.8,3.85,18686000
2007-01-04,3.8,3.95,3.8,3.9,10851000
2007-01-05,3.9,4.0,3.9,3.95,7141000
2007-01-08,3.85,3.9,3.75,3.75,10882000
2007-01-09,3.75,3.85,3.75,3.8,4452000
2007-01-10,3.8,3.9,3.8,3.9,4035000
2007-01-11,3.85,3.85,3.8,3.8,6228000
2007-01-12,3.75,3.8,3.75,3.75,2362000
2007-01-15,3.8,3.8,3.75,3.75,2698000
2007-01-16,3.8,3.85,3.75,3.8,5990000
2007-01-17,3.8,3.8,3.75,3.75,9800000
2007-01-18,3.8,3.8,3.55,3.6,25050000
2007-01-19,3.6,3.65,3.5,3.55,7716000
2007-01-22,3.65,3.75,3.65,3.75,3857000
2007-01-23,3.75,4.0,3.75,3.9,16607000
2007-01-24,4.05,4.15,3.9,3.95,21283000
2007-01-25,4.0,4.0,3.95,3.95,4663000
2007-01-26,4.0,4.0,3.85,3.9,5175000
2007-01-29,3.9,3.9,3.85,3.85,2990000
2007-01-30,3.9,3.9,3.8,3.8,2387000
2007-01-31,3.85,3.9,3.85,3.9,3904000
2007-02-01,3.95,4.0,3.85,3.9,4533000
2007-02-02,3.95,4.15,3.95,4.05,15907000
2007-02-05,4.0,4.1,3.95,4.1,6448000
2007-02-06,4.1,4.1,3.95,4.0,5580000
2007-02-07,4.0,4.0,3.95,4.0,1840000
2007-02-08,4.0,4.0,3.9,3.95,2921000
2007-02-09,3.95,4.05,3.95,3.95,6552000
2007-02-12,4.0,4.0,3.95,4.0,6567000
2007-02-13,3.95,3.95,3.9,3.9,2006000
2007-02-14,3.9,4.0,3.9,4.0,6236000
2007-02-15,4.05,4.05,3.95,4.05,6415000
2007-02-16,4.05,4.1,4.0,4.05,5544000
2007-02-19,4.0,4.05,4.0,4.05,4399000
2007-02-20,4.05,4.15,4.05,4.1,10349000
2007-02-21,4.1,4.1,4.0,4.0,10603000
2007-02-22,4.15,4.3,4.15,4.25,30389000
2007-02-23,4.25,4.65,4.25,4.6,67402000
2007-02-26,4.75,4.85,4.6,4.65,19615000
2007-02-27,4.75,4.8,4.6,4.7,20115000
2007-02-28,4.0,4.2,3.85,4.1,41510000
2007-03-01,4.25,4.3,4.15,4.2,15022000
2007-03-02,4.15,4.15,4.0,4.1,10155000
2007-03-05,3.9,3.9,3.7,3.75,15222000
2007-03-06,3.75,3.9,3.75,3.85,8973000
2007-03-07,3.95,4.0,3.9,3.95,6801000
2007-03-08,4.0,4.0,3.85,3.9,3549000
2007-03-09,4.1,4.2,4.1,4.15,17349000
2007-03-12,4.15,4.15,4.05,4.15,2087000
2007-03-13,4.25,4.3,4.25,4.25,8797000
2007-03-14,4.05,4.1,4.05,4.1,7816000
2007-03-15,4.2,4.2,4.15,4.15,7423000
2007-03-16,4.3,4.3,4.25,4.25,6579000
2007-03-19,4.3,4.3,4.25,4.3,6573000
2007-03-20,4.3,4.3,4.25,4.3,6017000
2007-03-21,4.3,4.35,4.3,4.3,4132000
2007-03-22,4.4,4.45,4.35,4.4,13998000
2007-03-23,4.4,4.5,4.4,4.5,10040000
2007-03-26,4.45,4.45,4.4,4.45,9017000
2007-03-27,4.55,4.65,4.5,4.55,13263000
2007-03-28,4.5,4.55,4.4,4.4,5496000
2007-03-29,4.45,4.45,4.35,4.35,9477000
2007-03-30,4.45,4.55,4.45,4.55,7239000
2007-04-02,4.45,4.5,4.45,4.5,4927000
2007-04-03,4.45,4.5,4.45,4.45,3894000
2007-04-04,4.55,4.6,4.5,4.55,6976000
2007-04-10,4.6,4.65,4.55,4.55,9963000
2007-04-11,4.6,4.65,4.6,4.6,10325000
2007-04-12,4.6,4.6,4.55,4.6,8219000
2007-04-13,4.6,4.6,4.55,4.6,8438000
2007-04-16,4.7,5.2,4.7,5.1,48632000
2007-04-17,5.3,5.4,5.1,5.2,31657000
2007-04-18,5.2,5.3,5.0,5.2,14457000
2007-04-19,5.2,5.2,4.95,5.1,16007000
2007-04-20,5.0,5.1,5.0,5.1,8914000
2007-04-23,5.2,5.2,5.1,5.2,29079000
2007-04-24,5.2,5.4,5.1,5.2,31118000
2007-04-25,5.2,5.3,5.1,5.2,6244000
2007-04-26,5.2,5.2,5.1,5.2,7838000
2007-04-27,5.1,5.2,5.0,5.2,8000000
2007-04-30,5.2,5.2,5.0,5.1,10238000
2007-05-02,5.0,5.1,5.0,5.0,9272000
2007-05-03,5.0,5.1,4.95,5.0,7515000
2007-05-04,5.1,5.1,4.95,4.95,5157000
2007-05-07,5.1,5.2,5.1,5.2,4373000
2007-05-08,5.2,5.4,5.1,5.1,14045000
2007-05-09,5.2,5.3,5.1,5.1,3649000
2007-05-10,5.2,5.4,5.2,5.3,8794000
2007-05-11,5.2,5.4,5.1,5.3,13575000
2007-05-15,5.3,5.4,5.2,5.4,8685000
2007-05-16,5.5,5.6,5.3,5.4,8366000
2007-05-17,5.3,5.4,5.2,5.2,7081000
2007-05-18,5.2,5.2,5.1,5.1,7142000
2007-05-21,5.3,5.6,5.2,5.6,37296000
2007-05-22,5.6,6.1,5.6,5.7,33783000
2007-05-23,5.7,6.1,5.6,6.0,202403000
2007-05-24,6.0,6.0,5.8,6.0,16721000
2007-05-25,5.8,5.9,5.8,5.8,19479000
2007-05-28,5.9,6.1,5.9,6.0,25505000
2007-05-29,6.1,6.3,6.0,6.2,17572000
2007-05-30,6.2,6.3,5.8,6.0,19442000
2007-05-31,6.0,6.1,6.0,6.1,13991000
2007-06-01,6.2,6.4,6.0,6.2,12909000
2007-06-04,6.2,6.2,6.0,6.1,5969000
2007-06-05,6.1,6.2,6.0,6.1,7590000
2007-06-06,6.0,6.1,6.0,6.1,8393000
2007-06-07,6.0,6.0,5.9,6.0,7748000
2007-06-08,5.9,6.0,5.8,6.0,4009000
2007-06-12,6.0,6.0,5.9,6.0,3660000
2007-06-13,5.9,5.9,5.7,5.9,11317000
2007-06-14,5.9,5.9,5.8,5.9,1789000
2007-06-15,5.9,6.0,5.8,5.8,5890000
2007-06-18,5.9,5.9,5.6,5.7,12320000
2007-06-19,5.9,5.9,5.8,5.9,1108000
2007-06-20,5.9,5.9,5.7,5.8,11126000
2007-06-21,5.8,5.8,5.6,5.7,12655000
2007-06-22,5.7,5.8,5.6,5.8,8375000
2007-06-25,5.7,5.7,5.6,5.7,5448000
2007-06-26,5.6,5.7,5.4,5.5,16127000
2007-06-27,5.5,5.5,5.3,5.5,20699000
2007-06-28,5.5,5.5,5.4,5.4,4391000
2007-06-29,5.4,5.5,5.3,5.4,7019000
2007-07-02,5.4,5.4,5.2,5.3,4665000
2007-07-03,5.4,5.5,5.4,5.4,3960000
2007-07-04,5.4,5.7,5.4,5.7,7754000
2007-07-05,5.6,5.8,5.6,5.8,9390000
2007-07-06,5.8,5.8,5.6,5.7,3172000
2007-07-09,5.7,5.8,5.6,5.8,6476000
2007-07-10,5.8,5.8,5.7,5.8,9196000
2007-07-11,5.7,5.8,5.6,5.6,3976000
2007-07-12,5.7,5.8,5.5,5.8,8679000
2007-07-13,5.8,6.1,5.8,5.9,33506000
2007-07-16,5.9,6.0,5.8,5.9,10857000
2007-07-17,5.9,5.9,5.6,5.6,15891000
2007-07-18,5.7,5.8,5.6,5.8,10331000
2007-07-19,5.7,5.7,5.6,5.7,1923000
2007-07-20,5.8,5.9,5.6,5.8,15246000
2007-07-23,5.8,5.8,5.8,5.8,4537000
2007-07-24,5.9,6.0,5.8,5.8,17589000
2007-07-25,5.8,5.8,5.7,5.8,5254000
2007-07-26,5.8,5.9,5.8,5.9,5780000
2007-07-27,5.7,5.7,5.5,5.6,9969000
2007-07-30,5.5,5.7,5.4,5.7,9462000
2007-07-31,5.7,5.8,5.5,5.7,2752000
2007-08-01,5.6,5.7,5.5,5.7,2959000
2007-08-02,5.7,5.7,5.4,5.5,8580000
2007-08-03,5.6,5.6,5.1,5.4,5782000
2007-08-06,5.1,5.3,4.95,5.3,3745000
2007-08-07,5.3,5.4,5.3,5.4,6210000
2007-08-08,5.4,5.4,5.3,5.4,3319000
2007-08-09,5.4,5.7,5.4,5.5,6007000
2007-08-10,5.3,5.4,5.2,5.4,6439000
2007-08-13,5.4,5.7,5.3,5.6,7944000
2007-08-14,5.5,5.6,5.5,5.6,2544000
2007-08-15,5.4,5.4,5.1,5.3,7681000
2007-08-16,5.0,5.0,4.75,4.8,14977000
2007-08-17,4.85,4.95,4.4,4.5,18121000
2007-08-21,4.85,5.0,4.85,5.0,14594000
2007-08-22,5.0,5.0,4.9,4.95,3753000
2007-08-23,5.1,5.4,5.1,5.4,7722000
2007-08-24,5.3,5.4,5.2,5.4,7429000
2007-08-28,5.4,5.5,5.2,5.4,6631000
2007-08-29,5.2,5.4,5.1,5.4,6760000
2007-08-30,5.5,5.6,5.5,5.6,5958000
2007-08-31,5.6,5.7,5.5,5.7,8643000
2007-09-03,5.7,5.8,5.6,5.7,1558000
2007-09-04,5.6,5.6,5.5,5.5,2239000
2007-09-05,5.7,5.7,5.4,5.5,5760000
2007-09-06,5.5,5.6,5.5,5.5,4756000
2007-09-07,5.8,6.2,5.8,6.2,40071000
2007-09-10,6.3,6.3,6.0,6.2,20269000
2007-09-11,6.3,6.3,6.1,6.2,10445000
2007-09-12,6.3,6.8,6.3,6.6,27922000
2007-09-13,6.6,6.6,6.2,6.3,13987000
2007-09-14,6.4,6.4,6.3,6.4,11307000
2007-09-17,6.3,6.7,6.3,6.6,10101000
2007-09-18,6.7,6.7,6.5,6.6,16307000
2007-09-19,6.9,7.0,6.8,6.9,25691000
2007-09-20,7.0,7.0,6.9,7.0,12550000
2007-09-21,7.1,7.4,7.1,7.4,44082000
2007-09-24,7.4,7.7,7.4,7.6,16451000
2007-09-25,7.5,7.7,7.5,7.7,14396000
2007-09-26,7.7,7.7,7.4,7.6,7544000
2007-09-27,7.7,7.7,7.5,7.7,9580000
2007-09-28,7.7,7.8,7.5,7.7,8105000
2007-10-01,7.9,8.1,7.8,8.0,23205000
2007-10-02,8.2,8.5,8.2,8.3,30037000
2007-10-03,8.1,8.4,8.1,8.3,9630000
2007-10-04,8.3,8.3,7.9,8.0,10640000
2007-10-05,8.1,8.1,7.9,8.1,11640000
2007-10-08,8.1,8.4,8.1,8.3,10343000
2007-10-09,8.2,8.2,7.8,7.9,6324000
2007-10-10,8.0,8.1,7.8,8.0,11948000
2007-10-11,8.1,8.2,8.1,8.2,8263000
2007-10-15,8.2,9.3,8.2,9.3,44095000
2007-10-16,9.3,9.4,9.0,9.1,20307000
2007-10-17,9.1,9.1,8.8,9.0,11339000
2007-10-18,8.9,9.7,8.9,9.4,27750000
2007-10-19,9.6,9.7,9.5,9.5,13228000
2007-10-22,9.0,9.2,8.8,9.1,21262000
2007-10-23,9.2,9.2,8.9,9.1,10045000
2007-10-24,9.1,9.3,9.0,9.1,22764000
2007-10-25,9.2,9.4,9.2,9.3,17341000
2007-10-26,9.5,9.8,9.5,9.8,18303000
2007-10-30,10.25,10.75,10.25,10.25,29390000
2007-10-31,10.25,10.5,10.0,10.5,20007400
2007-11-05,10.75,11.0,10.5,10.75,8173600
2007-11-06,10.75,10.75,10.25,10.5,6340200
2007-11-07,11.0,11.25,10.5,10.75,13751200
2007-11-08,10.5,10.75,10.25,10.5,18683900
2007-11-09,10.75,11.25,10.5,11.25,20068400
2007-11-12,10.75,11.0,10.5,10.75,13201800
2007-11-13,10.0,10.0,9.5,9.6,37398100
2007-11-14,10.0,10.0,9.8,9.8,11921000
2007-11-15,10.0,10.25,9.9,10.0,6627000
2007-11-16,9.8,10.0,9.7,9.8,7909000
2007-11-19,10.0,10.0,9.8,10.0,4071000
2007-11-20,9.8,9.8,9.3,9.5,16705000
2007-11-21,9.6,9.7,9.3,9.5,11085000
2007-11-22,9.2,9.5,9.0,9.5,13824000
2007-11-23,9.5,9.7,9.3,9.7,4450000
2007-11-26,9.9,10.0,9.7,9.9,8734000
2007-11-27,9.7,9.8,9.6,9.7,7155000
2007-11-28,9.7,9.8,9.7,9.8,2938000
2007-11-29,9.8,9.9,9.4,9.8,10322000
2007-12-03,9.6,9.9,9.6,9.9,4100000
2007-12-04,9.8,9.8,9.7,9.8,2303000
2007-12-05,9.7,9.8,9.6,9.8,4544000
2007-12-06,9.8,9.9,9.7,9.9,2965000
2007-12-07,9.9,9.9,9.6,9.8,3218000
2007-12-10,9.7,9.8,9.6,9.8,1602000
2007-12-11,9.8,9.8,9.7,9.7,16623000
2007-12-12,9.6,9.7,9.5,9.6,14620000
2007-12-13,9.7,9.8,9.7,9.8,8001000
2007-12-14,9.7,9.7,9.6,9.7,3168000
2007-12-17,9.7,9.7,9.4,9.5,5254000
2007-12-18,9.4,9.5,9.2,9.5,5922000
2007-12-19,9.5,9.5,9.3,9.5,4563000
2007-12-20,9.4,9.5,9.3,9.5,1302000
2007-12-21,9.4,9.4,9.1,9.1,8694000
2007-12-26,9.2,9.4,9.2,9.3,1270000
2007-12-27,9.5,9.9,9.5,9.6,14181000
2007-12-28,9.7,9.7,9.4,9.5,6913000
2008-01-02,9.5,9.8,9.5,9.8,5656000
2008-01-03,10.25,10.25,9.9,9.9,11023000
2008-01-04,9.9,10.5,9.9,10.0,16837000
2008-01-07,9.9,9.9,9.5,9.5,10986000
2008-01-08,9.5,9.6,9.5,9.6,10845000
2008-01-09,9.9,10.0,9.8,9.9,14410000
2008-01-10,10.0,10.0,9.8,9.8,8480000
2008-01-11,10.0,10.0,9.9,10.0,8779000
2008-01-14,9.9,10.0,9.8,10.0,5960000
2008-01-15,10.25,10.5,10.0,10.5,9808000
2008-01-16,10.0,10.0,9.8,10.0,8587700
2008-01-17,9.8,9.8,9.4,9.5,11257000
2008-01-18,9.0,9.2,8.7,9.2,11966000
2008-01-21,9.2,9.2,8.6,8.7,14124000
2008-01-22,8.3,8.4,7.9,8.0,17779000
2008-01-23,8.5,8.8,8.2,8.3,19057000
2008-01-24,8.5,8.7,8.5,8.7,14645000
2008-01-25,9.0,9.0,8.6,8.7,16668000
2008-01-28,8.6,8.9,8.6,8.9,2979000
2008-01-29,9.1,9.2,8.9,9.0,10937000
2008-01-30,9.0,9.1,8.8,9.0,11552000
2008-01-31,8.8,8.9,8.7,8.9,7466000
2008-02-01,9.0,9.0,8.8,8.9,3024000
2008-02-04,8.9,9.0,8.7,9.0,2161000
2008-02-05,8.9,9.0,8.8,9.0,2799000
2008-02-06,8.7,8.8,8.6,8.8,3880000
2008-02-07,8.8,8.9,8.8,8.9,4414000
