date,open,high,low,close,volume
1999-02-25,107.0,120.0,105.0,120.0,83540
1999-02-26,122.0,130.0,122.0,130.0,89180
1999-03-01,120.0,127.0,120.0,127.0,8210
1999-03-02,130.0,140.0,130.0,130.0,7820
1999-03-03,130.0,138.0,130.0,138.0,7260
1999-03-04,135.0,140.0,135.0,140.0,1860
1999-03-05,137.0,138.0,120.0,120.0,3030
1999-03-09,135.0,139.0,135.0,139.0,2700
1999-03-17,125.0,125.0,125.0,125.0,6090
1999-03-18,124.0,125.0,120.0,125.0,12270
1999-03-22,135.0,135.0,135.0,135.0,500
1999-03-23,125.0,125.0,125.0,125.0,11300
1999-03-24,127.0,131.0,124.0,131.0,24110
1999-03-25,123.0,125.0,123.0,123.0,3500
1999-03-26,122.0,123.0,120.0,121.0,38970
1999-03-30,120.0,120.0,120.0,120.0,1420
1999-03-31,122.0,123.0,122.0,123.0,16000
1999-04-06,125.0,125.0,125.0,125.0,500
1999-04-07,126.0,126.0,124.0,125.0,13720
1999-04-08,125.0,130.0,125.0,130.0,33200
1999-04-13,132.0,132.0,130.0,130.0,5000
1999-04-14,125.0,125.0,125.0,125.0,10
1999-04-15,126.0,126.0,126.0,126.0,640
1999-04-16,122.0,122.0,122.0,122.0,5000
1999-04-19,125.0,127.0,125.0,127.0,3000
1999-04-20,127.0,127.0,127.0,127.0,210
1999-04-23,129.0,129.0,129.0,129.0,100
1999-04-26,129.0,130.0,129.0,130.0,11260
1999-04-27,130.0,130.0,130.0,130.0,1000
1999-04-30,125.0,125.0,125.0,125.0,160
1999-05-06,127.0,128.0,127.0,128.0,1320
1999-05-10,127.0,127.0,127.0,127.0,530
1999-05-11,125.0,125.0,125.0,125.0,60
1999-05-12,128.0,130.0,127.0,130.0,260
1999-05-17,125.0,125.0,125.0,125.0,5000
1999-05-18,122.0,122.0,122.0,122.0,60
1999-05-21,125.0,125.0,125.0,125.0,50
1999-05-24,130.0,150.0,130.0,150.0,14960
1999-05-25,130.0,130.0,130.0,130.0,10
1999-05-26,130.0,130.0,130.0,130.0,160
1999-05-28,130.0,130.0,130.0,130.0,930
1999-06-01,125.0,125.0,125.0,125.0,130
1999-06-02,125.0,125.0,125.0,125.0,3390
1999-06-03,124.0,124.0,124.0,124.0,30
1999-06-07,144.0,144.0,125.0,125.0,460
1999-06-08,124.0,124.0,124.0,124.0,80
1999-06-09,125.0,125.0,125.0,125.0,70
1999-06-10,130.0,130.0,130.0,130.0,500
1999-06-15,130.0,130.0,130.0,130.0,810
1999-06-16,130.0,130.0,130.0,130.0,150
1999-06-21,130.0,130.0,130.0,130.0,1040
1999-06-22,130.0,130.0,130.0,130.0,650
1999-06-25,135.0,135.0,135.0,135.0,10000
1999-06-28,130.0,132.0,130.0,131.0,4010
1999-06-29,130.0,130.0,130.0,130.0,60
1999-07-02,128.0,128.0,128.0,128.0,50
1999-07-05,128.0,128.0,128.0,128.0,260
1999-07-06,128.0,128.0,128.0,128.0,360
1999-07-07,128.0,128.0,128.0,128.0,420
1999-07-08,128.0,128.0,128.0,128.0,4880
1999-07-09,128.0,128.0,128.0,128.0,500
1999-07-12,128.0,128.0,128.0,128.0,20
1999-07-13,128.0,128.0,128.0,128.0,5870
1999-07-14,128.0,128.0,128.0,128.0,20
1999-07-19,130.0,130.0,130.0,130.0,170
1999-07-20,130.0,130.0,130.0,130.0,40
1999-07-22,128.0,128.0,128.0,128.0,1200
1999-07-27,130.0,130.0,130.0,130.0,1000
1999-07-28,125.0,130.0,125.0,130.0,280
1999-08-06,133.0,140.0,133.0,140.0,12040
1999-08-09,130.0,130.0,130.0,130.0,30
1999-08-10,130.0,130.0,130.0,130.0,90
1999-08-11,130.0,130.0,130.0,130.0,50
1999-08-12,130.0,130.0,130.0,130.0,40
1999-08-13,130.0,130.0,130.0,130.0,50
1999-08-16,130.0,130.0,130.0,130.0,80
1999-08-17,140.0,140.0,140.0,140.0,20
1999-08-18,135.0,135.0,135.0,135.0,50
1999-08-20,130.0,130.0,130.0,130.0,4250
1999-08-23,130.0,130.0,130.0,130.0,320
1999-08-24,130.0,135.0,130.0,135.0,9340
1999-08-26,135.0,135.0,135.0,135.0,100
1999-08-31,130.0,135.0,130.0,135.0,50
1999-09-01,140.0,140.0,140.0,140.0,50
1999-09-02,140.0,147.0,140.0,147.0,900
1999-09-03,147.0,147.0,147.0,147.0,100
1999-09-06,150.0,150.0,140.0,140.0,600
1999-09-08,148.0,148.0,148.0,148.0,200
1999-09-09,145.0,148.0,145.0,148.0,250
1999-09-13,149.0,150.0,149.0,150.0,15000
1999-09-21,140.0,140.0,140.0,140.0,260
1999-09-24,130.0,130.0,130.0,130.0,30
