date,open,high,low,close,volume
1999-02-04,0.51,0.53,0.51,0.52,31090000
1999-02-05,0.51,0.58,0.51,0.56,82290000
1999-02-08,0.51,0.58,0.51,0.56,82290000
1999-02-09,0.51,0.58,0.51,0.56,82290000
1999-02-10,0.51,0.58,0.51,0.56,82290000
1999-02-11,0.51,0.58,0.51,0.56,82290000
1999-02-12,0.57,0.58,0.54,0.55,32650000
1999-02-15,0.54,0.55,0.52,0.53,22980000
1999-02-16,0.53,0.54,0.53,0.53,3260000
1999-02-17,0.54,0.55,0.53,0.54,7470000
1999-02-18,0.53,0.54,0.52,0.52,13400000
1999-02-19,0.52,0.52,0.51,0.51,14090000
1999-02-22,0.52,0.52,0.51,0.51,9610000
1999-02-23,0.52,0.53,0.52,0.52,7190000
1999-02-24,0.53,0.53,0.52,0.52,2720000
1999-02-25,0.51,0.52,0.51,0.52,4840000
1999-02-26,0.53,0.59,0.52,0.59,134160000
1999-03-01,0.61,0.62,0.58,0.6,130440000
1999-03-02,0.58,0.6,0.58,0.58,28550000
1999-03-03,0.59,0.62,0.59,0.62,73850000
1999-03-04,0.61,0.61,0.58,0.59,40630000
1999-03-05,0.59,0.6,0.56,0.57,51010000
1999-03-08,0.59,0.59,0.57,0.58,16050000
1999-03-09,0.59,0.62,0.58,0.62,138960000
1999-03-10,0.61,0.61,0.58,0.6,31510000
1999-03-11,0.59,0.59,0.58,0.59,18010000
1999-03-12,0.59,0.6,0.58,0.59,39310000
1999-03-15,0.59,0.59,0.57,0.59,16410000
1999-03-16,0.6,0.61,0.59,0.59,37270000
1999-03-17,0.61,0.64,0.6,0.62,99920000
1999-03-18,0.62,0.64,0.62,0.63,44400000
1999-03-19,0.64,0.64,0.62,0.63,55760000
1999-03-22,0.63,0.67,0.62,0.67,108800000
1999-03-23,0.67,0.68,0.66,0.67,86840000
1999-03-24,0.67,0.68,0.66,0.68,55010000
1999-03-25,0.68,0.7,0.67,0.68,79130000
1999-03-26,0.68,0.69,0.67,0.68,31110000
1999-03-29,0.68,0.71,0.67,0.7,65800000
1999-03-30,0.7,0.71,0.69,0.7,43500000
1999-03-31,0.69,0.71,0.69,0.7,68600000
1999-04-05,0.71,0.75,0.7,0.75,149560000
1999-04-06,0.76,0.78,0.75,0.77,61470000
1999-04-07,0.77,0.8,0.77,0.79,82140000
1999-04-08,0.8,0.8,0.76,0.8,73760000
1999-04-12,0.8,0.82,0.8,0.8,68720000
1999-04-13,0.8,0.8,0.77,0.8,113190000
1999-04-14,0.79,0.79,0.78,0.79,78430000
1999-04-15,0.78,0.78,0.71,0.73,124650000
1999-04-16,0.72,0.75,0.69,0.71,151440000
1999-04-19,0.72,0.75,0.71,0.74,84480000
1999-04-20,0.73,0.73,0.71,0.72,40320000
1999-04-21,0.71,0.71,0.69,0.7,20420000
1999-04-22,0.71,0.74,0.7,0.74,35070000
1999-04-23,0.74,0.74,0.73,0.74,45610000
1999-04-26,0.75,0.77,0.75,0.76,44800000
1999-04-27,0.78,0.8,0.76,0.8,140540000
1999-04-28,0.82,0.82,0.78,0.78,80290000
1999-04-29,0.78,0.78,0.75,0.75,145300000
1999-04-30,0.76,0.8,0.76,0.76,121930000
1999-05-03,0.76,0.78,0.74,0.75,95380000
1999-05-04,0.77,0.79,0.74,0.79,123880000
1999-05-05,0.86,0.98,0.86,0.93,508720000
1999-05-06,1.0,1.04,0.97,1.02,341520000
1999-05-07,1.06,1.08,0.96,0.98,278204000
1999-05-10,0.98,1.02,0.94,0.95,148300000
1999-05-11,0.97,0.97,0.93,0.93,110990000
1999-05-12,0.95,1.04,0.95,1.02,179160000
1999-05-13,1.06,1.06,1.0,1.0,110200000
1999-05-14,1.02,1.02,0.96,0.98,53880000
1999-05-17,0.93,0.95,0.92,0.94,60730000
1999-05-18,0.94,1.02,0.94,1.02,89290000
1999-05-19,1.06,1.08,1.02,1.04,258270000
1999-05-20,1.04,1.06,0.99,1.04,88865000
1999-05-21,1.06,1.14,1.04,1.04,232214000
1999-05-24,1.08,1.1,1.06,1.08,63311000
1999-05-25,1.08,1.12,1.04,1.04,89826000
1999-05-26,1.04,1.08,1.02,1.06,66702000
1999-05-27,1.1,1.1,1.04,1.06,52749000
1999-05-28,1.04,1.06,1.0,1.02,65980000
1999-05-31,1.02,1.04,1.0,1.0,61661000
1999-06-01,1.02,1.06,1.0,1.04,125720000
1999-06-02,1.02,1.04,0.99,1.02,45002000
1999-06-03,1.04,1.06,0.99,1.06,294450000
1999-06-04,1.06,1.06,1.0,1.02,55791000
1999-06-07,1.02,1.04,1.0,1.02,40386000
1999-06-08,1.02,1.02,0.99,1.0,55160000
1999-06-09,1.02,1.02,1.0,1.02,49600000
1999-06-10,1.04,1.06,1.0,1.0,93553000
1999-06-11,1.04,1.04,1.0,1.02,150190000
1999-06-14,1.0,1.02,1.0,1.02,63249000
1999-06-15,1.0,1.02,1.0,1.0,41926000
1999-06-16,1.0,1.02,0.99,1.02,46390000
1999-06-17,1.02,1.02,1.0,1.02,74533000
1999-06-18,1.02,1.02,0.99,1.0,52032000
1999-06-21,1.0,1.18,1.0,1.18,327100000
1999-06-22,1.26,1.34,1.22,1.32,368341000
1999-06-23,1.3,1.3,1.16,1.18,264996000
1999-06-24,1.2,1.2,1.1,1.12,194327000
1999-06-25,1.12,1.12,1.04,1.04,166059000
1999-06-28,1.08,1.12,1.06,1.08,51460000
1999-06-29,1.1,1.18,1.08,1.16,98528000
1999-06-30,1.26,1.26,1.1,1.12,181721000
1999-07-01,1.06,1.16,1.06,1.14,72924000
1999-07-02,1.14,1.14,1.08,1.14,44854000
1999-07-05,1.1,1.14,1.08,1.1,17470000
