date,open,high,low,close,volume
2011-12-19,4.75,4.75,4.15,4.15,951000
2011-12-20,4.12,4.15,4.03,4.05,40000
2011-12-21,4.05,4.07,4.05,4.07,82000
2011-12-22,4.07,4.2,4.07,4.08,18000
2011-12-23,4.08,4.08,4.07,4.08,11000
2011-12-26,4.07,4.07,4.07,4.07,16000
2011-12-27,4.06,4.33,4.05,4.33,17000
2011-12-28,4.06,4.1,4.0,4.0,193000
2011-12-29,4.3,4.3,4.1,4.1,5000
2012-01-02,3.92,4.0,3.9,4.0,125000
2012-01-04,4.0,4.08,3.91,4.0,142000
2012-01-05,3.91,4.2,3.9,4.2,246000
2012-01-06,4.01,4.01,4.01,4.01,2000
2012-01-10,3.95,4.2,3.95,4.2,9000
2012-01-11,4.18,4.18,3.95,4.0,171000
2012-01-12,4.0,4.1,3.96,4.1,5000
2012-01-13,3.96,4.0,3.96,4.0,102000
2012-01-16,4.1,4.19,4.1,4.19,481000
2012-01-18,3.95,3.97,3.94,3.94,11000
2012-01-19,3.96,3.96,3.96,3.96,15000
2012-01-20,3.94,4.0,3.94,3.95,48000
2012-01-25,3.95,3.95,3.9,3.9,6000
2012-01-26,3.8,3.8,3.7,3.7,49000
2012-01-30,4.0,4.0,3.79,3.89,98000
2012-01-31,3.98,3.99,3.98,3.99,3000
2012-02-01,3.78,3.97,3.78,3.97,20000
2012-02-02,3.97,3.97,3.97,3.97,1000
2012-02-03,3.77,3.77,3.77,3.77,1000
2012-02-06,3.78,3.78,3.78,3.78,60000
2012-02-07,3.78,3.78,3.75,3.75,33000
2012-02-08,3.75,3.78,3.72,3.75,203000
2012-02-09,3.8,3.8,3.7,3.7,83000
2012-02-10,3.93,3.93,3.7,3.93,27000
2012-02-14,3.71,3.71,3.71,3.71,200000
2012-02-16,3.71,3.71,3.71,3.71,2000
2012-02-20,3.71,3.71,3.7,3.7,70000
2012-02-21,3.7,3.71,3.6,3.7,396000
2012-02-22,3.7,3.7,3.7,3.7,178000
2012-02-23,3.71,3.71,3.7,3.7,105000
2012-02-28,3.52,3.53,3.52,3.53,309000
2012-02-29,3.55,3.55,3.5,3.5,17000
2012-03-01,3.52,3.52,3.52,3.52,300000
2012-03-05,3.55,3.93,3.55,3.92,407000
2012-03-09,3.3,3.89,3.3,3.89,5000
2012-03-19,3.85,3.89,3.85,3.89,11000
2012-03-22,3.7,3.71,3.7,3.7,67000
2012-03-23,3.66,3.66,3.65,3.65,5000
2012-03-26,3.6,3.6,3.6,3.6,5000
2012-03-27,3.6,3.6,3.58,3.58,20000
2012-03-29,3.58,3.58,3.58,3.58,4000
2012-03-30,3.58,3.58,3.58,3.58,1000
2012-04-02,3.58,3.58,3.58,3.58,1000
2012-04-04,3.56,3.56,3.56,3.56,1000
2012-04-12,3.5,3.5,3.5,3.5,142000
2012-04-13,3.56,3.86,3.53,3.86,718000
2012-04-17,3.53,3.53,3.52,3.52,51000
2012-04-18,3.52,3.52,3.52,3.52,31000
2012-04-19,3.78,3.78,3.6,3.6,20000
2012-04-20,3.51,3.51,3.5,3.5,50000
2012-04-23,3.5,3.5,3.5,3.5,177000
2012-04-24,3.75,3.75,3.53,3.53,11000
2012-04-25,3.53,3.53,3.53,3.53,5000
2012-04-26,3.52,3.52,3.5,3.5,12000
2012-04-27,3.5,3.5,3.5,3.5,2000
2012-04-30,3.5,3.79,3.5,3.79,40000
2012-05-07,3.53,3.53,3.53,3.53,1000
2012-05-08,3.53,3.53,3.53,3.53,17000
2012-05-09,3.53,3.6,3.53,3.55,3000
2012-05-11,3.53,3.53,3.53,3.53,6000
2012-05-14,3.53,3.53,3.52,3.52,448000
2012-05-15,3.53,3.53,3.52,3.52,53000
2012-05-16,3.53,3.53,3.52,3.52,14000
2012-05-18,3.52,3.52,3.52,3.52,106000
2012-05-21,3.52,3.52,3.52,3.52,11000
2012-05-22,3.52,3.52,3.52,3.52,5000
2012-05-23,3.52,3.52,3.52,3.52,6000
2012-05-24,3.52,3.52,3.52,3.52,4000
