date,open,high,low,close,volume
1999-02-04,4.95,4.95,4.95,4.95,1000
1999-02-05,4.95,4.95,4.95,4.95,4000
1999-02-08,4.95,4.95,4.95,4.95,4000
1999-02-09,4.95,4.95,4.95,4.95,4000
1999-02-10,4.95,4.95,4.95,4.95,4000
1999-02-11,4.95,4.95,4.95,4.95,4000
1999-02-18,5.3,5.3,5.3,5.3,10000
1999-02-19,5.3,5.3,5.3,5.3,1000
1999-03-09,5.0,5.1,5.0,5.1,95000
1999-03-29,5.0,5.0,5.0,5.0,500000
1999-04-06,4.8,4.8,4.8,4.8,29000
1999-04-13,4.8,4.8,4.8,4.8,4000
1999-04-15,4.8,4.8,4.8,4.8,29000
1999-04-16,4.8,4.85,4.8,4.85,11000
1999-04-19,4.8,5.0,4.8,5.0,15000
1999-04-20,5.0,5.2,5.0,5.2,123000
1999-04-26,5.0,5.0,5.0,5.0,5000
1999-04-28,5.0,5.3,5.0,5.3,90000
1999-04-29,4.85,5.2,4.85,5.2,84000
1999-05-05,5.1,5.5,5.1,5.5,214000
1999-05-10,5.4,5.5,5.4,5.5,30000
1999-05-11,5.3,5.5,5.3,5.5,49000
1999-05-17,5.0,5.5,5.0,5.5,11000
1999-05-19,5.5,5.5,5.4,5.5,78000
1999-05-25,5.3,5.3,5.3,5.3,1000
1999-05-26,5.6,5.6,5.6,5.6,2000
1999-06-03,5.3,5.3,5.3,5.3,10000
1999-06-07,5.2,5.2,5.2,5.2,5000
1999-06-08,5.3,5.5,5.3,5.5,34000
1999-06-09,5.1,5.1,5.1,5.1,5000
1999-06-14,5.1,5.1,5.1,5.1,8000
1999-06-21,4.75,5.5,4.75,5.5,13000
1999-06-24,5.1,5.1,5.1,5.1,1000
1999-07-12,5.2,6.0,5.2,6.0,131000
1999-07-13,5.9,5.9,5.9,5.9,1000
1999-07-14,5.9,5.9,5.9,5.9,5000
1999-07-15,6.0,6.1,6.0,6.1,18000
1999-07-19,6.0,6.0,6.0,6.0,1000
1999-07-20,6.0,6.0,6.0,6.0,112000
1999-07-21,6.0,6.0,6.0,6.0,5000
1999-07-22,6.0,6.0,5.9,5.9,10000
1999-07-26,6.0,6.0,6.0,6.0,1000
1999-07-30,6.3,6.3,6.3,6.3,2000
1999-08-02,6.0,6.0,6.0,6.0,1000
1999-08-05,6.0,6.2,6.0,6.2,163000
1999-08-12,5.7,5.7,5.7,5.7,10000
1999-08-17,5.6,5.6,5.6,5.6,10000
1999-08-18,5.5,5.5,5.5,5.5,1000
1999-09-21,5.2,5.5,5.2,5.5,47000
1999-09-30,5.0,5.0,5.0,5.0,4000
1999-10-01,5.3,5.5,5.3,5.5,110000
1999-10-11,5.1,5.1,5.1,5.1,4000
1999-10-12,5.5,5.5,5.5,5.5,16000
1999-10-20,5.1,5.1,5.1,5.1,1000
1999-10-22,5.1,5.1,5.1,5.1,5000
1999-10-25,5.1,5.1,5.1,5.1,6000
1999-11-05,5.0,5.0,5.0,5.0,8000
1999-11-10,5.0,5.0,5.0,5.0,1000
1999-11-25,5.3,5.3,5.0,5.0,14000
1999-11-26,5.0,5.0,5.0,5.0,2000
1999-12-01,5.0,5.0,5.0,5.0,4000
1999-12-02,5.0,5.0,5.0,5.0,2000
1999-12-03,5.0,5.0,5.0,5.0,1000
1999-12-10,5.0,5.0,4.95,4.95,22000
1999-12-16,4.95,4.95,4.95,4.95,10000
1999-12-28,5.3,5.3,5.3,5.3,150000
2000-01-03,5.0,5.0,5.0,5.0,5000
2000-01-04,5.0,5.0,5.0,5.0,1000
2000-01-18,4.75,4.75,4.75,4.75,5000
2000-01-20,4.85,5.2,4.85,5.2,31000
2000-02-16,4.6,4.6,4.6,4.6,1000
2000-02-21,4.5,5.2,4.5,5.2,11000
2000-02-22,4.5,5.2,4.5,5.2,6000
2000-02-29,4.65,5.1,4.65,5.1,7000
2000-03-08,4.6,5.1,4.6,5.1,11000
2000-03-14,4.65,5.0,4.65,5.0,10000
2000-03-15,4.65,5.1,4.65,5.1,10000
2000-03-20,4.65,4.9,4.65,4.9,9000
2000-03-24,4.95,5.4,4.95,5.4,40000
2000-04-03,4.7,5.2,4.7,5.2,4000
2000-04-10,5.1,5.1,5.1,5.1,2000
2000-05-12,4.2,4.2,4.2,4.2,2000
2000-05-15,4.6,5.1,4.6,5.0,78000
2000-05-17,5.0,5.3,5.0,5.3,51000
2000-05-22,4.5,5.2,4.5,5.2,10000
2000-06-07,4.6,5.1,4.6,5.1,2000
2000-06-15,4.7,5.0,4.7,5.0,4000
2000-07-21,4.85,4.95,4.85,4.95,5000
2000-08-02,4.35,4.85,4.35,4.85,10000
2000-08-03,4.85,5.0,4.85,5.0,12000
2000-08-15,4.5,4.5,4.5,4.5,6000
2000-08-16,4.9,5.0,4.9,5.0,10000
2000-08-24,5.0,5.2,5.0,5.2,20000
2000-08-29,4.8,5.2,4.8,5.2,8000
2000-09-01,5.0,5.2,5.0,5.2,10000
2000-09-07,5.1,5.6,5.1,5.6,15000
2000-10-10,4.75,5.2,4.75,5.2,38000
2000-10-31,5.0,5.0,5.0,5.0,1000
2000-11-07,4.85,4.85,4.8,4.8,6000
2000-11-10,4.8,4.8,4.8,4.8,2000
2000-11-15,4.7,5.3,4.7,5.3,16000
2000-12-20,5.0,5.0,5.0,5.0,10000
2001-01-12,4.8,4.8,4.8,4.8,1000
2001-01-15,4.8,4.8,4.8,4.8,3000
2001-01-26,4.85,4.85,4.85,4.85,4000
2001-02-02,4.75,4.75,4.75,4.75,5000
2001-02-09,4.7,4.7,4.7,4.7,6000
2001-02-21,4.7,4.7,4.7,4.7,7000
2001-02-22,4.75,4.75,4.75,4.75,7000
2001-05-30,4.4,4.6,4.4,4.6,21000
2001-06-13,4.75,4.75,4.75,4.75,4000
2001-06-14,4.8,5.0,4.8,5.0,10000
2001-06-15,5.0,5.2,5.0,5.2,22000
2001-06-18,5.0,5.2,5.0,5.2,6000
2001-06-19,5.2,5.2,5.2,5.2,4000
2001-06-21,5.3,5.3,5.3,5.3,1000
2001-07-25,2.9,2.9,2.9,2.9,12000
2001-07-26,3.8,3.8,3.8,3.8,5000
2001-07-31,4.9,5.0,4.9,5.0,15000
2001-08-22,4.8,5.1,4.8,5.1,15000
2001-08-23,4.9,4.9,4.9,4.9,2000
2001-09-10,4.5,4.5,4.5,4.5,1000
2001-09-12,4.5,5.1,4.5,4.9,33000
2001-09-13,4.8,4.8,4.8,4.8,10000
2001-10-10,4.5,5.2,4.5,5.2,103000
2001-10-17,5.2,5.2,5.2,5.2,750000
2001-10-23,4.5,4.5,4.5,4.5,11000
2001-10-24,4.5,4.5,4.5,4.5,8000
2001-10-25,5.1,5.1,5.1,5.1,5000
2001-11-07,4.4,5.0,4.4,5.0,3000
2001-12-04,4.4,5.0,4.4,5.0,23000
2002-01-21,4.45,4.45,4.45,4.45,4000
2002-02-11,4.25,4.25,4.25,4.25,7000
2002-02-27,4.9,5.0,4.9,5.0,10000
2002-04-22,3.6,5.3,3.6,5.3,43000
2002-05-17,5.0,5.0,5.0,5.0,1000
2002-05-24,4.05,4.05,4.0,4.05,7000
2002-05-30,5.0,5.0,5.0,5.0,1000
2002-06-07,5.0,5.0,5.0,5.0,2000
2002-07-03,4.7,4.7,4.7,4.7,1000
2002-07-04,4.7,4.7,4.0,4.0,7000
2002-07-05,4.0,5.0,4.0,5.0,16000
2002-07-16,4.0,5.0,4.0,5.0,37000
2002-07-23,4.15,4.15,4.15,4.15,1000
2002-07-25,4.75,4.75,4.75,4.75,1000
2002-08-20,4.5,4.5,4.5,4.5,1000
2002-09-12,4.5,5.0,4.5,5.0,25000
2002-09-25,4.05,5.0,4.05,4.5,15000
2002-09-26,4.95,5.0,4.95,5.0,18000
2002-10-08,4.5,4.9,4.5,4.9,32000
2002-10-11,4.95,4.95,4.95,4.95,1000
2002-10-29,3.75,5.0,3.75,5.0,21000
2002-11-05,4.75,4.75,4.75,4.75,11000
2002-11-06,4.95,4.95,4.95,4.95,10000
2002-11-08,4.5,4.75,4.5,4.75,5000
2002-11-13,4.25,4.8,4.25,4.8,45000
2002-11-22,4.2,4.8,4.1,4.8,20000
2002-12-04,4.4,4.4,4.4,4.4,1000
2002-12-10,4.4,4.4,4.4,4.4,4000
2002-12-12,4.4,4.85,4.4,4.7,31000
2002-12-17,4.5,4.5,4.5,4.5,1000
2002-12-27,4.85,4.9,4.85,4.9,7000
2003-01-07,4.5,4.5,4.5,4.5,3000
2003-01-16,4.5,4.5,4.5,4.5,9000
2003-01-20,4.5,4.5,4.5,4.5,1000
2003-01-28,4.85,4.85,4.85,4.85,1000
2003-02-04,4.15,4.15,4.15,4.15,2000
2003-02-12,4.2,4.2,4.2,4.2,8000
2003-03-04,3.15,3.15,3.15,3.15,2000
2003-03-18,3.15,3.15,3.15,3.15,4000
2003-04-28,3.15,3.15,3.15,3.15,8000
2003-06-24,2.7,2.7,2.7,2.7,8000
2003-07-04,3.8,3.8,3.8,3.8,8000
2003-07-07,3.05,3.05,3.05,3.05,4000
