date,open,high,low,close,volume
1999-02-04,0.145,0.145,0.14,0.14,750000
1999-02-05,0.14,0.14,0.135,0.135,520000
1999-02-08,0.14,0.14,0.135,0.135,520000
1999-02-09,0.14,0.14,0.135,0.135,520000
1999-02-10,0.14,0.14,0.135,0.135,520000
1999-02-11,0.14,0.14,0.135,0.135,520000
1999-02-12,0.125,0.13,0.125,0.13,500000
1999-02-15,0.125,0.125,0.125,0.125,100000
1999-02-16,0.125,0.13,0.125,0.13,1740000
1999-02-17,0.125,0.13,0.125,0.125,550000
1999-02-18,0.13,0.135,0.13,0.13,130000
1999-02-19,0.13,0.13,0.13,0.13,1000000
1999-02-22,0.125,0.13,0.125,0.13,370000
1999-02-23,0.135,0.14,0.135,0.14,3020000
1999-02-24,0.14,0.15,0.13,0.145,7630000
1999-02-25,0.145,0.145,0.14,0.145,560000
1999-02-26,0.14,0.14,0.135,0.135,1490000
1999-03-01,0.14,0.14,0.14,0.14,100000
1999-03-02,0.13,0.13,0.125,0.13,2090000
1999-03-03,0.13,0.13,0.13,0.13,550000
1999-03-04,0.13,0.13,0.13,0.13,500000
1999-03-05,0.13,0.13,0.13,0.13,1400000
1999-03-08,0.125,0.125,0.125,0.125,250000
1999-03-09,0.125,0.13,0.125,0.13,1040000
1999-03-10,0.125,0.125,0.125,0.125,1100000
1999-03-11,0.125,0.125,0.125,0.125,1570000
1999-03-12,0.13,0.13,0.13,0.13,6920000
1999-03-15,0.13,0.135,0.13,0.135,3420000
1999-03-16,0.135,0.14,0.13,0.135,1670000
1999-03-17,0.135,0.135,0.135,0.135,180000
1999-03-18,0.14,0.14,0.14,0.14,100000
1999-03-19,0.135,0.135,0.135,0.135,990000
1999-03-23,0.135,0.135,0.135,0.135,10000
1999-03-24,0.13,0.13,0.125,0.125,300000
1999-03-25,0.13,0.145,0.13,0.145,50000
1999-03-26,0.13,0.135,0.13,0.135,260000
1999-03-29,0.125,0.13,0.125,0.13,410000
1999-03-30,0.13,0.13,0.125,0.125,270000
1999-03-31,0.14,0.14,0.14,0.14,10000
1999-04-05,0.14,0.15,0.14,0.15,990000
1999-04-06,0.13,0.15,0.13,0.15,50000
1999-04-07,0.13,0.155,0.13,0.15,2630000
1999-04-08,0.16,0.16,0.15,0.15,2810000
1999-04-12,0.15,0.155,0.15,0.15,5570000
1999-04-13,0.15,0.15,0.14,0.15,720000
1999-04-14,0.14,0.14,0.13,0.135,1000000
1999-04-15,0.135,0.145,0.135,0.145,3920000
1999-04-16,0.14,0.14,0.135,0.135,2130000
1999-04-19,0.14,0.145,0.135,0.14,2400000
1999-04-20,0.145,0.145,0.135,0.14,5600000
1999-04-21,0.135,0.135,0.135,0.135,1100000
1999-04-23,0.13,0.14,0.13,0.14,2020000
1999-04-26,0.13,0.13,0.13,0.13,2120000
1999-04-27,0.135,0.145,0.135,0.14,6100000
1999-04-28,0.15,0.165,0.15,0.155,22180000
1999-04-29,0.16,0.16,0.15,0.15,3980000
1999-04-30,0.15,0.165,0.15,0.165,6260000
1999-05-03,0.155,0.155,0.15,0.15,1000000
1999-05-04,0.145,0.145,0.145,0.145,790000
1999-05-05,0.155,0.155,0.15,0.155,1150000
1999-05-06,0.155,0.17,0.155,0.165,10670000
1999-05-07,0.17,0.17,0.16,0.16,6530000
1999-05-10,0.165,0.17,0.16,0.16,4160000
1999-05-11,0.16,0.165,0.15,0.165,2280000
1999-05-12,0.16,0.16,0.16,0.16,3830000
1999-05-13,0.165,0.165,0.155,0.16,2360000
1999-05-14,0.17,0.175,0.165,0.175,6740000
1999-05-17,0.17,0.175,0.17,0.175,14070000
1999-05-18,0.175,0.2,0.175,0.185,23020000
1999-05-19,0.185,0.19,0.18,0.18,5690000
1999-05-20,0.175,0.18,0.175,0.175,2060000
1999-05-21,0.17,0.17,0.15,0.15,2930000
1999-05-24,0.155,0.155,0.155,0.155,2500000
1999-05-25,0.15,0.17,0.15,0.165,3510000
1999-05-26,0.165,0.175,0.165,0.175,1820000
1999-05-31,0.15,0.165,0.15,0.155,3320000
1999-06-01,0.15,0.155,0.15,0.155,1280000
1999-06-03,0.15,0.15,0.145,0.145,2320000
1999-06-04,0.15,0.15,0.15,0.15,1000000
1999-06-07,0.155,0.155,0.15,0.15,700000
1999-06-09,0.15,0.15,0.14,0.15,1270000
1999-06-10,0.15,0.155,0.15,0.155,2410000
1999-06-11,0.155,0.155,0.15,0.15,1620000
1999-06-14,0.16,0.16,0.15,0.16,310000
1999-06-15,0.155,0.16,0.155,0.16,400000
1999-06-16,0.16,0.16,0.16,0.16,60000
1999-06-17,0.16,0.16,0.15,0.15,1460000
1999-06-18,0.15,0.16,0.15,0.16,970000
1999-06-21,0.165,0.24,0.165,0.235,66850000
1999-06-22,0.3,0.3,0.19,0.23,27480000
1999-06-23,0.22,0.225,0.2,0.2,10010000
1999-06-24,0.21,0.215,0.2,0.2,8080000
1999-06-25,0.21,0.23,0.21,0.21,15770000
1999-06-28,0.23,0.23,0.205,0.21,6810000
1999-06-29,0.22,0.27,0.22,0.235,24880000
1999-06-30,0.24,0.25,0.23,0.23,12080000
1999-07-01,0.26,0.34,0.25,0.33,121300000
1999-07-02,0.37,0.37,0.28,0.29,90930000
1999-07-05,0.3,0.36,0.3,0.32,42190000
1999-07-06,0.34,0.37,0.31,0.37,117690000
1999-07-07,0.36,0.4,0.33,0.35,89080000
1999-07-08,0.36,0.38,0.32,0.34,49290000
1999-07-09,0.37,0.37,0.33,0.34,21940000
1999-07-12,0.35,0.35,0.29,0.31,21100000
1999-07-13,0.31,0.33,0.31,0.31,11120000
1999-07-14,0.31,0.31,0.28,0.31,14520000
1999-07-15,0.31,0.34,0.31,0.33,17580000
1999-07-16,0.35,0.44,0.35,0.42,212270000
1999-07-19,0.32,0.38,0.3,0.34,127620000
1999-07-20,0.34,0.36,0.31,0.36,29540000
1999-07-21,0.33,0.35,0.32,0.32,23960000
1999-07-22,0.32,0.34,0.29,0.3,37190000
1999-07-23,0.28,0.3,0.28,0.29,17820000
1999-07-26,0.31,0.33,0.26,0.3,23800000
1999-07-27,0.29,0.29,0.27,0.28,9090000
1999-07-28,0.31,0.31,0.29,0.29,11550000
1999-07-29,0.28,0.32,0.28,0.29,22730000
1999-07-30,0.29,0.3,0.28,0.28,4910000
1999-08-02,0.29,0.3,0.29,0.29,5210000
1999-08-04,0.29,0.32,0.29,0.32,7860000
1999-08-05,0.31,0.31,0.3,0.3,4760000
1999-08-06,0.32,0.32,0.29,0.29,6880000
