date,open,high,low,close,volume
2012-05-07,20.1,20.7,19.7,19.78,39768700
2012-05-08,19.8,19.98,19.62,19.72,9201300
2012-05-09,19.78,19.78,19.44,19.46,9063900
2012-05-10,19.44,19.44,18.84,18.9,4662800
2012-05-11,18.9,19.04,18.8,18.84,3734300
2012-05-14,18.8,18.8,18.52,18.52,3360900
2012-05-15,18.5,18.68,18.5,18.54,4933700
2012-05-16,18.56,18.7,18.56,18.58,1095900
2012-05-17,18.6,18.98,18.6,18.9,2021300
2012-05-18,18.9,18.9,18.56,18.56,7446200
2012-05-21,18.58,18.6,18.56,18.58,4645000
2012-05-22,18.6,18.68,18.52,18.52,4595800
2012-05-23,18.56,18.56,18.5,18.52,2342300
2012-05-24,18.52,18.62,18.52,18.62,405000
2012-05-25,18.62,18.68,18.58,18.62,2752000
2012-05-28,18.6,18.62,18.56,18.6,1428100
2012-05-29,18.6,18.86,18.58,18.6,1332200
2012-05-30,18.62,18.68,18.6,18.62,1588800
2012-05-31,18.62,18.7,18.54,18.62,1134500
2012-06-01,18.62,19.08,18.62,18.82,2245200
2012-06-04,18.8,18.8,18.56,18.56,1553100
2012-06-05,18.66,18.8,18.58,18.72,510300
2012-06-06,18.64,19.08,18.64,19.0,3290400
2012-06-07,19.1,19.4,19.1,19.22,5181400
2012-06-08,19.3,19.3,18.84,18.86,1506200
2012-06-11,18.9,19.1,18.7,18.7,702500
2012-06-13,18.7,18.9,18.7,18.9,674000
2012-06-14,18.9,19.0,18.64,18.64,788100
2012-06-15,18.66,18.7,18.6,18.6,440600
2012-06-18,18.66,18.98,18.66,18.92,372200
2012-06-19,19.0,19.0,18.84,18.88,254800
2012-06-20,18.9,19.1,18.9,19.0,1762400
2012-06-21,18.92,18.98,18.92,18.96,330500
2012-06-22,18.96,19.02,18.9,19.0,458800
2012-06-25,19.0,19.0,18.96,18.96,821000
2012-06-26,18.96,18.96,18.92,18.94,1125300
2012-06-27,18.94,19.02,18.68,18.68,2907300
2012-06-28,18.68,18.94,18.68,18.7,2482100
2012-06-29,18.7,18.9,18.7,18.9,297100
2012-07-02,18.9,19.14,18.9,18.92,4992800
2012-07-03,18.92,19.02,18.84,18.84,511300
2012-07-04,18.88,18.88,18.7,18.72,1194200
2012-07-05,18.72,18.8,18.72,18.74,419800
2012-07-06,18.74,18.8,18.74,18.78,124800
2012-07-09,18.78,18.78,18.68,18.7,263900
2012-07-10,18.72,18.8,18.66,18.68,922700
2012-07-11,18.68,18.7,18.64,18.64,1065500
2012-07-12,18.7,18.7,18.58,18.6,2034700
2012-07-13,18.6,18.7,18.58,18.64,670400
2012-07-16,18.62,18.7,18.5,18.68,2789200
2012-07-17,18.7,19.2,18.7,19.0,3231900
2012-07-18,19.1,19.1,18.56,18.62,1706000
2012-07-19,18.68,18.78,18.68,18.7,318900
2012-07-20,18.68,18.8,18.68,18.72,214100
2012-07-23,18.72,18.72,18.52,18.54,857400
2012-07-24,18.54,18.72,18.54,18.7,1498900
2012-07-25,18.64,18.76,18.64,18.72,750500
2012-07-26,18.72,18.76,18.7,18.72,406900
2012-07-27,18.78,18.78,18.7,18.7,122300
2012-07-30,18.7,18.8,18.7,18.78,355800
2012-07-31,18.84,19.0,18.8,18.86,938500
2012-08-01,18.98,19.06,18.86,18.92,621600
2012-08-02,19.0,19.7,18.98,19.54,4670800
2012-08-03,19.5,19.58,19.28,19.5,2012900
2012-08-06,19.6,19.86,19.5,19.6,1791300
2012-08-08,19.7,19.98,19.58,19.68,1574500
2012-08-09,19.7,19.7,19.24,19.4,518800
2012-08-10,19.68,19.7,19.26,19.4,261500
2012-08-13,19.4,19.5,19.26,19.5,292500
2012-08-14,19.6,19.6,19.46,19.6,309600
2012-08-15,19.5,19.62,19.46,19.5,906700
2012-08-16,19.5,19.52,19.44,19.5,1266500
2012-08-17,19.6,19.6,19.46,19.5,808900
2012-08-22,19.5,19.5,19.28,19.28,985900
2012-08-23,19.32,19.36,19.26,19.36,939100
2012-08-24,19.3,19.36,19.3,19.34,433700
2012-08-28,19.4,19.4,19.3,19.34,248000
2012-08-29,19.4,19.48,19.34,19.46,408800
2012-08-30,19.46,19.52,19.44,19.52,661200
2012-08-31,19.48,19.62,19.48,19.56,799600
2012-09-03,19.56,19.62,19.56,19.6,435700
2012-09-04,19.6,19.6,19.58,19.6,325500
2012-09-05,19.6,19.64,19.58,19.64,571900
2012-09-06,19.6,19.76,19.6,19.74,567800
2012-09-07,19.78,20.2,19.74,20.2,4530900
2012-09-10,20.4,21.25,20.4,20.95,4264100
2012-09-11,21.0,21.45,21.0,21.45,2139600
2012-09-12,21.5,21.95,21.15,21.7,2225800
2012-09-13,21.25,21.85,21.25,21.8,1365400
2012-09-14,21.85,22.2,21.85,22.0,2156100
2012-09-17,22.0,22.0,21.55,21.7,651900
2012-09-18,21.75,21.75,21.5,21.7,429900
2012-09-19,21.7,21.8,21.5,21.75,478800
2012-09-20,21.8,22.2,21.75,21.85,584500
2012-09-21,21.85,22.1,21.8,21.8,948800
2012-09-24,21.75,22.95,21.75,22.8,2773600
2012-09-25,23.0,23.35,22.85,23.3,1607000
2012-09-26,23.5,23.5,22.75,23.1,1537900
2012-09-27,23.1,23.15,22.9,22.95,289000
2012-09-28,23.0,23.2,22.9,22.9,644600
2012-10-01,23.0,23.2,22.75,22.75,760100
2012-10-02,22.75,23.3,22.55,22.6,1055600
2012-10-03,22.6,23.0,22.6,22.85,826000
2012-10-04,23.0,23.1,22.9,23.05,1258400
2012-10-05,23.05,23.7,23.05,23.3,1805800
2012-10-08,23.4,23.5,23.1,23.1,892800
2012-10-09,23.1,23.2,22.6,22.7,1521600
2012-10-10,22.7,22.9,22.6,22.8,369300
2012-10-11,22.95,22.95,22.65,22.8,372200
2012-10-12,22.8,23.0,22.8,22.85,271700
2012-10-15,22.9,22.95,22.75,22.8,395700
2012-10-16,22.8,22.9,22.75,22.9,995200
2012-10-17,22.95,23.4,22.95,23.4,950300
2012-10-18,23.4,23.4,23.1,23.15,198800
2012-10-19,23.15,23.35,23.05,23.1,1365600
2012-10-22,23.1,23.1,22.8,22.95,652800
2012-10-23,22.8,23.1,22.8,22.9,1509600
2012-10-24,22.85,23.0,22.8,22.95,1108700
2012-10-25,23.0,23.15,22.95,23.05,884900
2012-10-29,23.0,23.95,23.0,23.95,1770600
2012-10-30,23.7,24.0,23.6,23.9,777900
2012-10-31,24.0,24.45,23.8,23.8,1270000
2012-11-05,23.9,24.5,23.7,24.1,1087500
2012-11-06,24.15,24.8,24.15,24.7,856000
2012-11-07,24.8,24.85,24.25,24.25,607500
2012-11-08,24.0,24.3,23.75,24.3,497700
2012-11-09,24.3,24.5,24.0,24.3,314800
2012-11-12,24.4,24.8,24.3,24.3,405000
2012-11-13,24.3,24.7,24.3,24.6,797400
2012-11-14,24.7,24.8,24.65,24.75,94900
2012-11-15,24.8,25.8,24.8,25.45,3236700
2012-11-16,25.55,25.9,25.55,25.55,2144500
2012-11-19,25.75,25.9,25.55,25.75,819800
2012-11-20,25.8,25.9,25.65,25.7,1343800
2012-11-21,25.95,28.15,25.95,27.65,4426800
2012-11-22,27.65,28.15,26.5,26.95,2439700
2012-11-23,26.95,27.3,26.95,27.1,1750900
2012-11-26,27.3,27.85,27.3,27.6,819400
2012-11-27,27.7,27.85,27.5,27.6,668100
2012-11-28,27.7,27.7,27.35,27.45,2377600
2012-11-29,27.5,27.8,26.9,26.9,3456600
2012-12-03,27.2,28.0,26.9,27.95,4994800
2012-12-04,28.0,28.3,27.65,28.3,2236900
2012-12-05,28.35,28.35,27.9,28.1,1585300
2012-12-06,28.1,28.4,28.1,28.1,1048800
2012-12-07,28.3,28.5,28.1,28.25,1107400
2012-12-10,28.5,28.6,28.25,28.55,913100
2012-12-11,28.65,28.8,28.5,28.7,808800
2012-12-12,28.7,28.8,28.5,28.75,448000
2012-12-13,28.85,29.05,28.75,29.0,2980100
2012-12-14,29.0,29.2,29.0,29.15,790400
2012-12-17,29.25,29.25,29.0,29.15,2325100
2012-12-18,29.1,29.1,28.8,28.8,1382600
2012-12-19,28.8,28.95,28.6,28.85,150900
2012-12-20,28.7,28.9,28.65,28.75,429300
2012-12-21,28.5,29.05,28.3,29.0,830100
2012-12-26,29.0,29.0,28.8,29.0,245700
2012-12-27,28.55,29.2,28.55,29.1,335200
2012-12-28,29.05,29.1,28.9,29.0,599900
2013-01-02,29.1,29.25,29.1,29.25,183800
2013-01-03,29.35,30.5,29.35,30.5,1894600
2013-01-04,30.4,32.95,30.4,31.85,2366400
2013-01-07,31.9,32.7,31.9,32.35,1334200
2013-01-08,32.5,32.7,32.3,32.3,3021400
2013-01-09,32.25,32.3,31.4,31.5,2450800
2013-01-10,31.6,31.6,30.0,30.0,4197900
2013-01-11,30.2,30.8,30.0,30.05,2768400
2013-01-14,30.0,30.0,29.0,29.65,2976600
2013-01-15,29.65,30.2,29.65,30.0,1959600
2013-01-16,30.0,30.0,29.6,29.8,1754500
2013-01-17,29.7,30.0,29.5,29.6,1555000
2013-01-18,30.0,30.75,29.55,30.05,2176400
2013-01-21,30.75,30.75,30.1,30.25,586300
2013-01-22,30.6,32.0,30.55,31.05,2297800
2013-01-23,31.15,31.2,30.65,30.7,1881800
2013-01-24,30.7,31.0,30.7,30.85,2884300
2013-01-25,31.1,31.55,30.85,31.45,4535500
2013-01-28,31.6,31.85,31.6,31.75,3023800
2013-01-29,31.8,31.8,31.7,31.75,1229200
2013-01-30,31.8,31.85,30.85,30.9,3474100
2013-01-31,31.0,31.45,30.95,31.05,617300
2013-02-01,31.15,31.45,31.15,31.3,1327200
2013-02-04,31.4,31.9,31.4,31.4,1348300
2013-02-05,31.4,31.4,30.9,31.25,1181800
2013-02-06,31.25,32.15,31.15,31.15,1861700
2013-02-07,31.4,31.4,31.2,31.2,705800
2013-02-08,31.2,32.0,30.75,30.9,3258400
2013-02-11,30.95,31.5,30.3,30.7,1297600
2013-02-12,30.7,30.9,30.25,30.3,920300
2013-02-13,30.35,30.8,30.35,30.4,2978800
2013-02-14,30.65,30.75,30.5,30.55,919500
2013-02-15,30.7,31.5,30.55,31.25,3659600
2013-02-18,31.25,31.7,31.2,31.35,1666700
2013-02-19,31.5,31.8,31.5,31.6,1676000
2013-02-20,31.75,31.85,31.3,31.3,1287900
2013-02-21,31.45,32.9,30.95,32.9,11664100
2013-02-22,32.9,35.0,32.65,34.95,9537500
2013-02-25,34.95,35.3,34.5,34.65,1494100
2013-02-26,34.5,34.5,33.8,34.35,911500
2013-02-27,34.5,35.15,34.5,34.5,1173100
2013-02-28,34.95,35.1,34.8,35.1,1887800
2013-03-01,35.1,35.15,34.35,34.95,1590100
2013-03-04,35.3,36.2,35.3,35.8,2963000
2013-03-05,36.0,36.0,35.4,35.6,1041100
2013-03-06,35.75,35.8,34.8,34.95,2537000
2013-03-07,35.0,35.1,34.6,34.7,1427500
2013-03-08,35.0,35.95,35.0,35.65,1312100
2013-03-11,35.7,35.7,35.35,35.6,861700
2013-03-12,35.65,35.7,34.35,34.35,1981400
2013-03-13,34.45,34.95,34.45,34.5,1725600
2013-03-14,34.8,34.8,34.45,34.45,1471300
2013-03-15,34.5,34.85,34.5,34.7,856300
2013-03-18,34.7,34.75,32.6,33.0,2487500
2013-03-19,32.9,33.15,32.05,32.85,3012300
2013-03-20,32.6,33.3,32.1,33.25,1641300
2013-03-21,33.35,33.8,33.35,33.7,416600
2013-03-22,33.9,33.9,33.25,33.5,274800
2013-03-25,33.5,33.9,33.3,33.4,658000
2013-03-26,33.45,33.75,33.4,33.45,901700
2013-03-27,33.45,33.55,33.35,33.4,717800
2013-04-01,33.5,34.5,33.4,34.4,1560700
2013-04-02,34.4,34.4,33.9,34.25,1177100
2013-04-03,34.6,34.7,34.25,34.6,1089600
2013-04-04,34.5,34.5,34.0,34.25,146000
2013-04-05,34.25,34.25,33.85,34.0,1852200
2013-04-08,34.0,34.25,34.0,34.0,752000
2013-04-10,34.3,34.55,34.2,34.2,605500
2013-04-11,34.4,34.8,34.3,34.45,469600
2013-04-12,34.45,34.85,34.4,34.8,585700
2013-04-15,34.8,34.9,34.5,34.5,198600
2013-04-16,34.2,34.35,33.65,34.15,943400
2013-04-17,34.15,34.5,34.1,34.3,1022600
2013-04-18,34.3,34.3,34.0,34.1,996900
2013-04-19,34.1,34.3,34.05,34.15,559900
2013-04-22,34.15,35.1,34.15,34.9,1561900
2013-04-23,35.0,35.0,34.4,34.55,602000
2013-04-24,35.0,35.25,34.7,34.7,1903400
2013-04-25,34.6,34.75,34.4,34.5,688900
2013-04-26,34.5,35.1,34.5,34.5,444400
2013-04-29,34.5,34.6,34.25,34.6,666900
2013-04-30,34.7,35.75,34.7,35.7,1817100
2013-05-02,35.7,36.75,35.7,36.6,2879000
2013-05-03,36.75,37.15,36.4,36.6,1556500
2013-05-06,37.0,37.65,36.8,37.6,1988600
2013-05-07,37.65,37.65,37.05,37.2,1618500
2013-05-08,37.2,37.2,36.9,37.0,2622300
2013-05-09,37.2,37.4,37.0,37.0,889100
2013-05-10,37.0,37.4,36.95,37.0,1094900
2013-05-14,37.0,37.85,37.0,37.2,887700
2013-05-15,37.7,37.8,36.75,37.0,768800
2013-05-16,37.0,37.0,36.5,36.75,1152300
2013-05-17,36.8,36.85,36.5,36.65,1231700
2013-05-20,36.65,37.2,36.65,36.7,636900
2013-05-21,36.65,36.7,36.45,36.5,1451700
2013-05-22,36.4,36.8,36.35,36.4,1578800
2013-05-23,36.4,36.4,34.8,34.8,2419500
2013-05-24,34.9,35.9,34.8,35.6,598900
2013-05-27,35.55,35.7,35.05,35.65,1574900
2013-05-28,35.5,36.25,35.5,36.2,1127300
2013-05-29,36.25,36.25,35.75,35.9,323200
2013-05-30,35.85,35.85,34.7,34.75,604100
2013-05-31,34.7,35.0,34.3,35.0,1132500
2013-06-03,34.85,34.85,33.5,33.5,1439100
2013-06-04,33.2,33.7,32.5,32.95,1252400
2013-06-05,32.65,33.0,31.7,31.7,1557300
2013-06-06,31.65,31.7,30.0,31.4,1532100
2013-06-07,31.45,33.0,31.45,32.85,667400
2013-06-10,33.1,33.85,33.1,33.6,1821000
2013-06-11,33.6,34.0,32.9,33.0,1612700
2013-06-13,32.3,32.3,29.8,30.0,2987400
2013-06-14,30.1,31.4,30.1,30.55,546800
2013-06-17,31.55,31.55,30.0,31.0,957800
2013-06-18,31.5,31.6,31.35,31.45,324900
2013-06-19,31.6,31.6,31.2,31.35,661900
2013-06-20,31.0,31.0,30.15,30.6,545100
2013-06-21,30.1,33.3,29.8,32.6,1673500
2013-06-24,32.3,32.9,30.2,30.8,1185600
2013-06-25,30.75,30.75,27.5,28.6,1827300
2013-06-26,29.0,30.2,29.0,29.9,919400
2013-06-27,30.5,31.1,30.05,30.85,725700
2013-06-28,30.85,31.25,29.85,29.85,719800
2013-07-01,29.85,30.6,29.85,30.0,480300
2013-07-02,30.0,30.7,29.85,29.95,602100
2013-07-03,29.95,29.95,28.6,28.65,985300
2013-07-04,28.8,29.5,28.8,29.25,247200
2013-07-05,29.0,29.5,28.85,28.9,328900
2013-07-08,28.9,29.35,28.15,28.4,465300
2013-07-09,28.4,28.4,27.7,27.8,480000
2013-07-10,28.0,28.0,27.15,27.45,379800
2013-07-11,27.5,28.1,27.5,28.0,291000
2013-07-12,28.5,30.1,28.5,29.9,1461600
2013-07-15,29.9,30.2,29.1,29.6,279300
2013-07-16,29.6,29.6,28.6,28.9,1194900
2013-07-17,28.8,28.9,28.6,28.6,303200
2013-07-18,29.5,29.5,28.75,28.9,265000
2013-07-19,29.5,29.5,28.6,28.6,262100
2013-07-22,29.0,29.0,28.6,28.65,79400
2013-07-23,28.65,29.2,28.65,29.0,737800
2013-07-24,29.2,29.4,28.9,28.9,474300
2013-07-25,29.0,29.5,28.95,28.95,240200
2013-07-26,29.0,29.0,28.7,28.8,198200
2013-07-29,28.9,28.9,28.6,28.8,1013800
2013-07-30,28.6,29.0,28.6,28.75,50600
2013-07-31,28.75,28.75,27.8,27.8,526800
2013-08-01,27.85,28.0,27.0,27.25,5861200
2013-08-02,27.25,27.95,27.05,27.1,516700
2013-08-05,27.15,27.3,26.35,26.5,1312600
2013-08-06,26.65,26.65,26.0,26.45,289800
2013-08-07,26.65,27.0,26.65,26.9,164400
2013-08-08,26.9,26.95,26.8,26.9,33800
2013-08-12,27.45,27.45,26.9,27.25,170500
2013-08-13,27.4,27.95,27.4,27.5,238600
2013-08-14,27.8,28.6,27.5,28.4,431000
2013-08-15,28.45,29.0,28.0,28.8,578900
2013-08-16,28.0,28.8,28.0,28.8,257800
2013-08-22,27.9,27.9,26.4,26.4,911100
2013-08-23,26.5,27.0,26.4,26.65,204000
2013-08-27,26.2,26.4,25.0,25.25,508000
2013-08-28,24.75,24.75,22.8,23.25,1682200
2013-08-29,23.25,25.0,23.15,24.25,1093700
2013-08-30,24.25,25.0,24.15,25.0,1190900
2013-09-02,25.0,25.4,24.5,25.1,1287500
2013-09-03,25.45,25.65,25.0,25.2,74800
2013-09-04,25.4,25.4,24.5,24.95,318400
2013-09-05,25.0,25.6,25.0,25.45,427600
2013-09-06,25.2,25.5,25.2,25.45,230000
2013-09-09,25.3,25.8,25.3,25.7,425300
2013-09-10,25.9,26.4,25.7,26.0,1518500
2013-09-11,26.0,26.5,25.85,25.9,329500
2013-09-12,26.0,26.5,25.9,26.0,108700
2013-09-13,26.0,26.0,25.45,25.5,363700
2013-09-16,25.9,26.3,25.9,26.0,1300300
2013-09-17,26.0,26.4,26.0,26.05,1017100
2013-09-18,26.2,26.45,26.05,26.15,202300
2013-09-19,27.0,28.5,26.5,26.6,2679800
2013-09-20,27.0,27.2,26.7,26.9,655800
2013-09-23,26.7,26.9,26.0,26.8,356400
2013-09-24,26.8,27.05,26.8,26.95,503000
2013-09-25,27.15,27.15,26.6,26.8,46300
2013-09-26,27.0,27.05,26.2,26.5,67000
2013-09-27,26.55,26.95,26.5,26.9,110600
2013-09-30,26.75,26.9,26.2,26.85,301500
2013-10-01,26.85,26.85,26.05,26.1,212900
2013-10-02,26.95,26.95,26.0,26.65,134700
2013-10-03,26.5,26.55,25.8,25.8,909800
2013-10-04,26.0,26.1,25.75,26.1,449900
2013-10-07,26.1,26.5,26.1,26.45,747100
2013-10-08,26.2,26.5,26.0,26.25,111200
2013-10-09,26.5,26.5,25.95,26.15,541100
2013-10-10,26.15,26.15,25.8,25.8,603100
2013-10-11,26.0,26.15,25.75,25.85,1842200
2013-10-14,25.85,26.0,25.65,25.8,91200
2013-10-16,26.0,26.0,25.55,25.55,711900
2013-10-17,25.8,26.2,25.55,25.6,958300
2013-10-18,25.6,25.9,25.2,25.2,807100
2013-10-21,25.4,25.75,25.4,25.5,154500
2013-10-22,25.35,25.6,25.25,25.4,432100
2013-10-23,25.95,25.95,25.45,25.6,324500
2013-10-24,25.4,25.9,25.4,25.4,138900
2013-10-25,25.4,25.8,25.3,25.35,158100
2013-10-29,25.35,25.6,25.2,25.3,362800
2013-10-30,25.5,25.5,25.1,25.1,339100
2013-10-31,25.4,25.7,25.15,25.5,153900
2013-11-04,25.7,25.7,25.3,25.35,217700
2013-11-05,25.5,25.6,25.3,25.3,251000
2013-11-06,25.3,25.4,25.2,25.35,400800
2013-11-07,25.35,25.4,25.3,25.3,194000
2013-11-08,25.3,25.5,24.9,25.1,452200
2013-11-11,25.05,25.05,24.05,24.05,442800
2013-11-12,25.1,25.2,24.05,24.05,207900
2013-11-13,24.05,24.6,24.05,24.5,825500
2013-11-14,24.5,25.1,24.5,25.1,142900
2013-11-15,25.0,25.1,25.0,25.0,502900
2013-11-18,25.1,25.15,24.2,25.0,441700
2013-11-19,25.0,25.0,24.5,24.8,92300
2013-11-20,24.8,24.8,24.15,24.3,91000
2013-11-21,24.1,24.2,23.85,24.0,198300
2013-11-22,24.0,24.1,24.0,24.1,61200
2013-11-25,24.1,24.2,24.0,24.0,45500
2013-11-26,24.0,24.1,23.3,23.3,274300
2013-11-27,23.25,24.2,23.2,24.15,90100
2013-11-28,25.0,25.5,24.6,25.0,584400
2013-11-29,25.0,25.1,24.7,25.0,79500
2013-12-02,25.0,25.45,24.9,25.3,81500
2013-12-03,25.45,25.45,24.9,25.0,384200
2013-12-04,25.0,25.2,24.95,25.05,112200
2013-12-05,25.0,25.6,24.9,25.4,233100
2013-12-06,25.5,25.6,24.7,25.4,51600
2013-12-09,25.0,25.0,24.8,25.0,72500
2013-12-10,25.0,25.0,24.8,24.9,185300
2013-12-11,25.0,25.0,24.9,24.95,456200
2013-12-12,25.0,25.0,24.6,24.6,41900
2013-12-13,24.2,24.9,24.0,24.9,197000
2013-12-16,24.9,24.9,24.35,24.35,233400
2013-12-17,24.35,24.5,24.2,24.25,529600
2013-12-18,24.1,24.25,23.8,24.0,222900
2013-12-19,24.05,24.1,23.9,23.9,804900
2013-12-20,24.4,24.8,23.7,24.75,122400
2013-12-23,24.7,24.7,24.5,24.6,25400
2013-12-26,24.5,24.5,24.4,24.4,69300
2013-12-27,23.8,24.5,23.8,24.3,485600
2014-01-02,24.3,24.75,24.3,24.3,1067000
2014-01-03,24.3,24.8,24.3,24.7,1140200
2014-01-06,24.7,24.9,24.7,24.85,788800
2014-01-07,24.85,24.95,24.25,24.25,207500
2014-01-08,24.25,24.75,24.25,24.75,77700
2014-01-09,24.05,24.6,24.05,24.1,60800
2014-01-10,24.1,24.4,24.0,24.0,124900
2014-01-13,24.4,24.5,24.0,24.45,63300
2014-01-14,24.1,24.5,24.05,24.5,51900
2014-01-15,24.5,24.5,24.1,24.1,57700
2014-01-16,24.1,24.8,24.05,24.8,43500
2014-01-17,24.5,24.8,24.4,24.4,3382500
2014-01-20,24.4,24.4,24.3,24.3,13700
2014-01-21,24.3,24.4,24.15,24.15,36300
2014-01-22,24.15,24.9,24.15,24.3,111100
2014-01-23,24.5,24.9,24.4,24.4,106300
2014-01-24,24.4,24.4,24.1,24.3,58500
2014-01-27,24.3,24.7,24.1,24.55,162300
2014-01-28,24.5,24.7,24.3,24.6,316900
2014-01-29,24.6,25.4,24.6,25.0,226600
2014-01-30,25.0,25.4,24.8,25.35,301800
2014-02-03,25.3,25.35,25.05,25.1,81600
2014-02-04,24.85,25.5,24.85,24.95,228600
2014-02-05,25.0,25.4,24.9,25.0,438200
2014-02-06,25.25,25.6,25.25,25.5,483200
2014-02-07,25.8,26.25,25.75,26.05,538500
2014-02-10,26.05,26.45,26.05,26.2,111700
2014-02-11,26.2,26.75,26.2,26.7,247100
2014-02-12,26.7,26.7,26.0,26.1,463000
2014-02-13,26.2,26.2,25.85,26.1,73300
2014-02-14,26.2,26.45,26.2,26.35,38900
2014-02-17,26.35,26.6,26.35,26.5,108000
2014-02-18,26.5,26.65,26.5,26.5,371200
2014-02-19,26.5,26.6,26.45,26.6,331100
2014-02-20,26.45,26.6,26.2,26.55,132500
2014-02-21,26.55,26.7,26.5,26.7,151000
2014-02-24,26.7,26.9,26.5,26.85,90600
2014-02-25,26.8,27.6,26.8,27.3,872400
2014-02-26,27.5,28.2,27.2,27.8,415500
2014-02-27,28.2,28.2,27.9,28.0,200800
2014-02-28,28.25,28.3,28.0,28.3,229100
2014-03-03,28.0,28.5,27.85,28.5,275800
2014-03-04,28.45,28.5,28.2,28.45,105400
2014-03-05,28.45,28.6,28.2,28.3,251700
2014-03-06,28.3,28.6,28.1,28.6,608200
2014-03-07,28.6,28.6,28.4,28.45,179000
2014-03-10,28.45,28.45,27.5,28.1,450400
2014-03-11,28.35,28.6,28.2,28.55,206300
2014-03-12,28.55,28.55,28.35,28.4,160200
2014-03-13,28.4,28.4,28.3,28.4,211400
2014-03-14,28.35,28.75,28.3,28.75,277700
2014-03-17,28.75,28.9,28.75,28.8,171400
2014-03-18,28.85,28.9,28.6,28.7,337900
2014-03-19,28.9,29.0,28.7,28.85,173500
2014-03-20,28.85,28.85,28.3,28.8,469300
2014-03-21,28.75,28.8,28.5,28.65,120500
2014-03-24,28.65,28.9,28.5,28.9,342800
2014-03-25,28.9,28.9,28.5,28.6,259200
