date,open,high,low,close,volume
1999-03-17,0.27,0.27,0.27,0.27,200000
1999-03-31,0.3,0.38,0.3,0.38,150000
1999-04-27,0.23,0.28,0.23,0.28,340000
1999-05-13,0.33,0.33,0.33,0.33,100000
1999-05-14,0.3,0.31,0.3,0.31,240000
1999-05-26,0.33,0.4,0.31,0.39,1770000
1999-05-27,0.4,0.43,0.38,0.38,1080000
1999-05-28,0.36,0.42,0.35,0.36,510000
1999-06-18,0.36,0.4,0.25,0.38,2990000
1999-06-21,0.39,0.48,0.39,0.43,5980000
1999-06-22,0.42,0.42,0.39,0.4,660000
1999-06-23,0.4,0.4,0.4,0.4,1200000
1999-06-24,0.4,0.42,0.4,0.41,300000
1999-06-25,0.4,0.4,0.39,0.39,1370000
1999-06-28,0.4,0.4,0.4,0.4,100000
1999-06-29,0.4,0.44,0.4,0.4,4230000
1999-06-30,0.41,0.41,0.4,0.4,2010000
1999-07-01,0.43,0.43,0.42,0.42,130000
1999-07-05,0.42,0.42,0.42,0.42,100000
1999-07-07,0.41,0.43,0.4,0.43,880000
1999-07-08,0.55,0.6,0.48,0.49,4100000
1999-07-09,0.6,0.64,0.52,0.55,4500000
1999-07-12,0.6,0.8,0.59,0.71,15590000
1999-07-13,0.73,0.74,0.65,0.7,6680000
1999-07-14,0.68,0.69,0.52,0.61,2140000
1999-07-15,0.62,0.62,0.6,0.6,1270000
1999-07-16,0.6,0.63,0.6,0.63,650000
1999-07-19,0.62,0.62,0.6,0.6,810000
1999-07-20,0.6,0.64,0.56,0.64,2590000
1999-07-21,0.61,0.64,0.6,0.61,1660000
1999-07-22,0.6,0.6,0.57,0.57,1400000
1999-07-23,0.58,0.6,0.58,0.6,420000
1999-07-26,0.59,0.6,0.56,0.56,1810000
1999-07-27,0.54,0.54,0.51,0.51,80000
1999-07-28,0.51,0.53,0.51,0.52,110000
1999-07-29,0.6,0.6,0.57,0.58,1060000
1999-08-05,0.62,0.62,0.6,0.61,1050000
1999-08-06,0.61,0.74,0.61,0.65,2760000
1999-08-09,0.64,0.64,0.6,0.6,1070000
1999-08-10,0.61,0.63,0.6,0.62,1010000
1999-08-11,0.61,0.62,0.61,0.61,1100000
1999-08-12,0.63,0.67,0.63,0.66,1580000
1999-08-13,0.66,0.78,0.66,0.76,9160000
1999-08-16,0.8,0.91,0.8,0.88,8340000
1999-08-17,0.9,0.92,0.85,0.86,9630000
1999-08-18,0.86,0.88,0.86,0.87,2340000
1999-08-19,0.88,0.9,0.87,0.88,1580000
1999-08-20,0.87,0.89,0.87,0.88,1730000
1999-08-23,0.87,0.87,0.87,0.87,120000
1999-08-24,0.88,0.9,0.86,0.86,2230000
1999-08-25,0.85,0.87,0.83,0.87,510000
1999-08-26,0.83,0.85,0.83,0.85,330000
1999-08-27,0.83,0.83,0.83,0.83,40000
1999-08-30,0.84,0.86,0.84,0.86,1460000
1999-08-31,0.86,0.86,0.85,0.85,260000
1999-09-01,0.86,0.87,0.84,0.84,270000
1999-09-02,0.85,0.85,0.84,0.85,1650000
1999-09-03,0.87,0.87,0.85,0.85,740000
1999-09-06,0.86,0.86,0.86,0.86,210000
