date,open,high,low,close,volume
2018-04-02,608.0,634.0,606.0,623.0,16870
2018-04-03,625.0,625.0,620.0,620.0,20190
2018-04-04,624.0,633.0,624.0,633.0,55450
2018-04-05,69.0,71.5,63.4,69.4,1321030
2018-04-06,69.3,69.9,66.05,69.2,753730
2018-04-10,71.0,71.9,66.6,66.6,623340
2018-04-11,68.85,68.85,67.7,68.4,972430
2018-04-12,68.4,70.8,68.2,69.9,445660
2018-04-13,69.9,69.9,68.8,68.85,753470
2018-04-16,68.85,69.05,66.5,66.7,185790
2018-04-17,67.45,67.95,66.1,66.15,132380
2018-04-18,66.2,67.4,66.0,66.7,427630
2018-04-19,67.4,67.4,65.5,65.95,103230
2018-04-20,65.9,66.3,65.75,66.0,362210
2018-04-23,66.05,66.1,65.65,65.7,244290
2018-04-24,65.7,65.9,65.0,65.7,984530
2018-04-25,65.9,65.9,64.05,64.85,349080
2018-04-26,64.8,65.3,63.55,65.0,205030
2018-04-27,65.0,65.75,64.7,65.0,192480
2018-04-30,65.0,65.05,64.8,64.95,189540
2018-05-02,65.0,67.35,64.9,66.6,250380
2018-05-03,66.5,66.75,65.25,66.35,335340
2018-05-04,66.35,66.5,66.25,66.35,62890
2018-05-07,66.5,66.5,65.7,65.7,111450
2018-05-08,65.7,65.8,64.7,65.45,197360
2018-05-09,65.5,65.55,64.95,65.0,257830
2018-05-10,65.05,65.05,64.95,65.0,405600
2018-05-11,65.0,65.05,64.75,64.95,945200
2018-05-15,64.85,64.85,64.65,64.8,519180
2018-05-16,64.8,65.0,64.6,65.0,672670
2018-05-17,65.0,65.05,64.8,64.8,579580
2018-05-18,65.0,65.05,64.85,65.0,213580
2018-05-21,65.05,65.15,65.0,65.1,453200
2018-05-22,66.1,68.6,66.0,66.75,119130
2018-05-23,66.95,67.6,65.6,67.15,214010
2018-05-24,67.5,69.3,67.5,69.3,195130
2018-05-25,69.3,69.3,68.2,68.9,120790
2018-05-28,68.5,69.9,67.25,69.9,341400
2018-05-29,69.9,69.9,68.65,69.3,365140
2018-05-30,69.3,69.55,66.6,66.85,793900
2018-05-31,66.6,68.25,66.5,67.0,383700
2018-06-01,67.95,67.95,66.5,66.5,54360
2018-06-04,66.8,67.0,66.6,66.95,45600
2018-06-05,66.95,66.95,65.5,66.1,306590
2018-06-06,66.1,67.9,65.65,65.7,132420
2018-06-07,66.5,67.5,66.5,67.4,596210
2018-06-08,67.35,67.35,66.1,67.0,29880
2018-06-11,66.0,66.9,66.0,66.4,177940
2018-06-13,65.8,66.45,65.35,66.0,166830
2018-06-14,66.0,66.0,63.8,63.8,569440
2018-06-18,63.8,65.0,62.65,62.9,478370
2018-06-19,62.0,62.8,60.2,60.8,273140
2018-06-20,60.7,63.0,60.2,63.0,114580
2018-06-21,63.0,63.0,60.5,61.95,96440
2018-06-22,61.8,61.8,60.0,60.5,679900
2018-06-25,60.5,63.0,59.05,60.95,192370
2018-06-26,60.9,60.9,59.5,60.0,191330
2018-06-27,60.0,60.0,57.75,58.9,501710
2018-06-28,59.0,60.5,58.5,59.9,341550
2018-06-29,60.0,60.0,59.8,59.8,108590
2018-07-02,60.0,61.1,60.0,61.0,75420
2018-07-03,61.5,61.9,61.1,61.3,70710
2018-07-04,61.3,62.55,61.3,62.4,182810
2018-07-05,62.4,62.4,61.5,62.0,54900
2018-07-23,64.0,70.0,63.2,70.0,1650350
2018-07-24,69.7,69.7,67.5,67.55,213990
2018-07-25,68.5,68.55,67.4,68.0,243610
2018-07-26,67.8,69.5,67.8,69.5,154890
2018-07-27,69.5,69.55,67.9,67.9,231710
2018-07-30,67.9,68.55,67.9,67.9,33060
2018-07-31,67.9,69.4,67.0,69.3,273460
2018-08-01,69.4,69.4,68.1,68.1,58350
2018-08-02,69.0,69.1,67.9,68.5,184890
2018-08-03,68.8,68.8,67.95,68.0,150460
2018-08-06,68.5,68.65,68.05,68.4,543850
2018-08-07,69.35,71.5,68.4,70.0,786270
2018-08-08,69.95,75.2,68.5,74.5,1740270
2018-08-09,75.25,83.1,75.25,79.0,3899860
2018-08-10,79.0,81.65,77.0,80.0,641830
2018-08-13,80.0,81.0,78.0,80.0,642160
2018-08-14,79.95,80.0,79.0,79.0,538660
2018-08-15,79.8,83.6,79.2,82.05,1747890
2018-08-16,82.05,82.1,79.4,80.0,478670
2018-08-17,80.0,81.9,79.5,80.9,128820
2018-08-20,80.2,82.0,79.7,81.0,337600
2018-08-22,81.5,82.4,80.0,80.0,281880
2018-08-23,80.0,93.0,80.0,92.1,2427170
2018-08-24,93.0,103.4,93.0,96.0,4563340
2018-08-28,95.3,95.6,90.0,94.95,1512470
2018-08-29,94.4,94.9,92.65,94.9,517250
2018-08-30,94.5,95.0,93.5,94.0,1719270
2018-08-31,93.9,99.0,93.9,99.0,3975660
2018-09-03,99.5,104.0,99.35,103.0,1720700
2018-09-04,102.0,102.5,98.0,102.0,868880
2018-09-05,101.0,101.0,97.0,100.0,1059870
2018-09-06,98.9,98.9,95.0,96.3,1165450
2018-09-07,95.0,98.0,95.0,97.75,733220
2018-09-10,97.75,97.75,93.7,94.0,938310
2018-09-11,95.3,95.3,93.1,94.0,512310
2018-09-12,94.0,96.65,94.0,95.5,459500
2018-09-13,95.6,96.0,94.0,96.0,294390
2018-09-14,96.0,96.85,95.75,95.95,272980
2018-09-17,96.0,97.0,94.0,95.8,484420
2018-09-18,95.85,95.85,92.0,95.5,637970
2018-09-19,95.5,95.7,93.8,94.45,572680
2018-09-20,94.5,94.5,92.65,94.5,594840
2018-09-21,94.0,96.0,93.5,95.5,352200
2018-09-24,95.9,98.35,94.3,96.4,451210
2018-09-25,96.5,97.25,96.0,96.5,260560
2018-09-26,96.85,96.95,95.3,95.75,335540
2018-09-27,96.4,96.4,95.5,96.0,241670
2018-09-28,96.0,97.05,95.95,96.9,511400
2018-10-01,97.05,100.5,97.05,99.0,759950
2018-10-02,99.45,99.5,97.2,98.0,400480
2018-10-03,97.2,97.4,93.05,94.0,3999950
2018-10-04,94.0,94.0,92.7,93.0,534150
2018-10-05,98.0,100.0,93.0,93.05,1025030
2018-10-08,94.0,95.0,91.0,93.0,482950
2018-10-09,92.8,92.8,86.6,86.8,2050000
2018-10-10,86.3,86.5,82.5,86.0,2000850
2018-10-11,85.7,86.75,82.65,86.5,1331640
2018-10-12,86.0,89.5,85.3,89.5,688860
2018-10-15,89.5,90.5,87.5,90.5,703350
2018-10-16,90.9,90.9,84.5,85.0,2213330
2018-10-17,85.0,85.95,82.55,85.0,1053130
2018-10-18,85.75,85.75,83.1,85.5,977140
2018-10-19,85.25,86.0,84.05,84.15,1146370
2018-10-22,84.1,84.8,83.75,84.8,736060
2018-10-23,84.5,84.95,84.2,84.7,1832770
2018-10-24,84.0,84.0,82.3,83.8,3910950
2018-10-25,83.0,83.0,82.0,83.0,1360280
2018-10-26,83.0,85.5,82.1,85.5,2328100
2018-10-29,84.9,84.9,84.05,84.5,1748260
2018-10-30,84.5,85.5,84.5,85.5,588610
2018-10-31,85.45,85.45,84.95,85.0,413050
2018-11-05,85.0,85.0,84.25,84.95,329500
2018-11-06,84.95,84.95,83.0,84.85,589530
2018-11-07,84.0,84.5,82.0,84.5,783560
2018-11-08,83.9,83.9,82.1,82.5,1472580
2018-11-09,82.5,84.95,82.5,84.95,1042730
2018-11-12,84.95,85.0,84.95,85.0,2039210
2018-11-13,84.95,85.0,84.85,84.95,4544740
2018-11-14,84.95,85.0,84.85,84.95,1732580
2018-11-15,84.95,84.95,84.0,84.0,5539870
2018-11-16,84.0,84.0,83.35,83.95,5421070
2018-11-19,83.95,84.0,83.85,84.0,1573350
2018-11-20,83.95,83.95,83.7,83.8,2706330
2018-11-21,83.8,83.8,83.4,83.6,2584840
2018-11-22,83.6,83.7,83.3,83.35,2812000
2018-11-23,83.35,83.6,83.3,83.6,2445060
2018-11-26,83.6,83.6,83.45,83.6,1568220
2018-11-27,83.5,83.55,82.9,83.0,4081740
2018-11-28,83.0,83.05,82.85,83.0,1494680
2018-11-29,83.0,83.0,82.75,82.85,2800670
2018-12-03,82.85,83.6,82.75,83.6,1678800
2018-12-04,83.6,84.4,83.55,84.4,2578730
2018-12-05,84.4,84.45,84.15,84.25,1633250
2018-12-06,84.25,84.3,84.2,84.2,783860
2018-12-07,84.2,84.25,84.15,84.15,689470
2018-12-10,84.15,84.2,84.05,84.05,2259740
2018-12-11,84.05,84.1,84.0,84.0,2042180
2018-12-12,83.1,83.9,82.5,82.5,398720
2018-12-13,82.5,83.4,82.3,82.55,272460
2018-12-14,83.2,83.2,80.5,82.5,1211470
2018-12-17,81.2,82.0,79.75,82.0,974680
2018-12-18,82.0,82.0,79.85,80.0,1062970
2018-12-19,80.0,80.0,79.6,80.0,187610
2018-12-20,80.0,82.0,79.5,82.0,140750
2018-12-21,82.0,82.0,80.0,81.7,97680
2018-12-26,81.5,81.6,80.25,80.25,3460
2018-12-27,80.0,81.0,80.0,81.0,34280
2018-12-28,81.1,82.0,80.0,82.0,395550
2019-01-02,82.0,82.0,80.5,82.0,45990
2019-01-03,81.95,82.0,80.55,81.7,79720
2019-01-04,81.7,82.0,81.5,81.95,427480
2019-01-07,81.95,83.05,81.8,82.9,242110
2019-01-08,82.95,83.6,82.9,83.1,298720
2019-01-09,83.5,83.95,83.3,83.8,252380
2019-01-10,83.8,83.95,83.55,83.95,886810
2019-01-11,83.9,84.5,83.8,84.3,867030
2019-01-14,84.5,84.5,84.0,84.0,628430
2019-01-15,84.0,84.4,83.7,84.4,421980
2019-01-16,84.5,85.5,83.9,85.1,601210
2019-01-17,85.4,87.5,85.25,87.5,1327570
2019-01-18,87.55,91.0,87.55,90.15,1069340
2019-01-21,90.2,94.0,90.2,91.75,779150
