date,open,high,low,close,volume
2018-04-30,990.0,990.0,990.0,990.0,200
2018-05-02,985.0,990.0,985.0,990.0,3350
2018-05-03,995.0,995.0,995.0,995.0,720
2018-05-04,995.0,998.5,985.0,985.0,4380
2018-05-08,980.0,990.0,980.0,990.0,70
2018-05-09,980.0,980.0,975.0,975.0,300
2018-05-10,990.0,990.0,975.0,975.0,450
2018-05-11,975.0,975.0,975.0,975.0,600
2018-05-15,985.0,985.0,976.0,976.0,210
2018-05-17,976.0,985.0,970.0,985.0,1950
2018-05-18,990.0,990.0,990.0,990.0,60
2018-05-22,990.0,990.0,990.0,990.0,1000
2018-05-24,990.0,990.0,990.0,990.0,400
2018-05-25,980.0,980.0,975.0,975.0,5000
2018-05-28,970.0,975.0,969.0,970.0,550
2018-05-30,993.0,993.0,993.0,993.0,50
2018-05-31,993.0,993.0,993.0,993.0,100
2018-06-04,992.0,992.0,992.0,992.0,5500
2018-06-05,975.0,975.0,968.5,968.5,1500
2018-06-08,970.0,970.0,970.0,970.0,9100
2018-06-14,975.0,978.0,975.0,978.0,10870
2018-06-19,977.0,977.0,968.5,968.5,1080
2018-06-20,975.0,978.0,975.0,978.0,8100
2018-06-21,978.0,983.0,978.0,983.0,6140
2018-06-22,983.0,990.0,983.0,990.0,2200
2018-06-25,990.0,995.0,990.0,995.0,1000
2018-06-26,978.0,995.0,975.0,995.0,2100
2018-06-27,980.0,999.5,980.0,999.5,5600
2018-06-28,1000.0,1000.0,1000.0,1000.0,500
2018-06-29,995.0,1000.0,995.0,1000.0,3000
2018-07-02,999.0,1000.0,999.0,999.0,20900
2018-07-03,999.0,999.0,999.0,999.0,1370
2018-07-04,1000.0,1000.0,1000.0,1000.0,1010
2018-07-05,986.0,986.0,985.0,985.0,210
2018-07-23,985.0,985.0,985.0,985.0,200
2018-07-24,975.0,1000.0,975.0,1000.0,2230
2018-07-25,990.0,1000.0,980.0,1000.0,17000
2018-07-26,976.0,1000.0,975.0,976.0,7490
2018-07-30,977.0,1000.0,977.0,1000.0,15580
2018-07-31,1000.0,1000.0,980.0,1000.0,1630
2018-08-01,1000.0,1000.0,980.0,980.0,5060
2018-08-02,980.0,990.0,980.0,985.5,3630
2018-08-03,990.0,1000.0,990.0,1000.0,1100
2018-08-06,999.0,1000.0,985.0,1000.0,1070
2018-08-09,1000.0,1000.0,1000.0,1000.0,10
2018-08-13,985.5,1000.0,980.0,1000.0,2140
2018-08-14,1000.0,1000.0,1000.0,1000.0,60
2018-08-15,980.0,1000.0,980.0,1000.0,2110
2018-08-17,988.0,1000.0,985.0,1000.0,1280
2018-08-22,985.0,985.0,985.0,985.0,10
2018-08-23,990.0,1000.0,990.0,1000.0,7750
2018-08-24,986.0,1000.0,985.0,1000.0,1660
2018-08-29,999.0,1000.0,999.0,1000.0,3200
2018-08-30,999.0,1000.0,999.0,1000.0,1005
2018-08-31,986.0,1000.0,986.0,1000.0,1050
2018-09-03,1000.0,1000.0,990.0,1000.0,3200
2018-09-04,986.0,1000.0,985.0,1000.0,2000
2018-09-05,990.0,1000.0,990.0,1000.0,1890
2018-09-07,986.0,1000.0,986.0,1000.0,400
2018-09-12,986.0,1000.0,986.0,1000.0,450
2018-09-13,1000.0,1000.0,1000.0,1000.0,40
2018-09-17,986.0,1000.0,985.0,1000.0,2650
2018-09-21,988.0,1000.0,988.0,1000.0,6700
2018-09-25,999.0,1000.0,980.0,1000.0,12150
2018-09-26,1000.0,1000.0,1000.0,1000.0,5
2018-09-27,1000.0,1000.0,982.0,1000.0,365
2018-09-28,1000.0,1000.0,1000.0,1000.0,300
2018-10-01,981.0,999.5,981.0,999.5,2050
2018-10-02,995.0,1000.0,995.0,1000.0,2620
2018-10-03,1000.0,1000.0,981.0,1000.0,1380
2018-10-04,981.0,1000.0,981.0,1000.0,4830
2018-10-05,983.0,999.0,983.0,999.0,3300
2018-10-08,983.0,1000.0,983.0,1000.0,7240
2018-10-09,990.0,1000.0,990.0,1000.0,1800
2018-10-10,988.0,1000.0,981.0,1000.0,1965
2018-10-11,999.0,1000.0,990.0,1000.0,1350
2018-10-12,1000.0,1000.0,997.0,1000.0,2105
2018-10-15,1000.0,1000.0,1000.0,1000.0,100
2018-10-16,999.0,1000.0,999.0,1000.0,500
2018-10-17,1000.0,1000.0,1000.0,1000.0,2200
2018-10-18,982.0,1000.0,982.0,1000.0,205
2018-10-19,1000.0,1000.0,1000.0,1000.0,1150
2018-10-22,995.0,1000.0,995.0,1000.0,3690
2018-10-24,983.0,1000.0,975.0,1000.0,2650
2018-10-25,976.0,1000.0,976.0,1000.0,5900
2018-10-26,976.0,1000.0,976.0,1000.0,1130
2018-10-29,1000.0,1000.0,970.0,1000.0,3635
2018-10-30,1000.0,1000.0,1000.0,1000.0,80
2018-10-31,1000.0,1000.0,1000.0,1000.0,2100
2018-11-07,980.0,999.0,979.0,999.0,3220
2018-11-09,972.5,998.5,972.5,998.5,60
2018-11-12,970.0,997.5,970.0,997.5,510
2018-11-13,970.5,970.5,970.0,970.0,980
2018-11-19,969.0,969.0,969.0,969.0,5000
2018-11-20,990.0,990.0,990.0,990.0,150
2018-11-22,969.0,999.5,968.5,999.5,4050
2018-11-26,970.0,998.0,968.5,998.0,1810
2018-11-29,980.0,998.0,980.0,998.0,510
2018-12-04,970.0,998.0,970.0,998.0,60
2018-12-10,997.5,997.5,997.5,997.5,10
2018-12-14,970.0,995.0,968.5,995.0,2190
2018-12-17,995.0,995.0,995.0,995.0,300
2018-12-19,990.0,990.0,990.0,990.0,100
2018-12-28,980.0,997.0,980.0,997.0,1000
2019-01-03,971.0,997.0,971.0,997.0,320
2019-01-04,971.0,997.0,971.0,997.0,100
2019-01-07,971.5,971.5,970.0,971.0,1140
2019-01-08,971.0,971.0,970.0,971.0,5550
2019-01-09,971.0,971.0,971.0,971.0,5950
2019-01-10,971.0,971.0,970.0,970.0,4000
2019-01-15,990.0,990.0,990.0,990.0,10
2019-01-16,970.0,986.0,968.5,986.0,3510
